Hybridization REF	TCGA-A2-A0SU-01A-11R-A084-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.582333333333333
CREB3L1	1.00925
RPS11	0.51175
PNMA1	0.46525
MMP2	0.463333333333333
C10orf90	-1.52425
ZHX3	-0.432166666666667
ERCC5	-0.00225
GPR98	-0.488285714285714
RXFP3	0.608
APBB2	1.49275
PRO0478	-1.5025
KLHL13	-0.79825
PRSSL1	-0.299666666666667
PDCL3	0.06
DECR1	-1.12675
SALL1	-3.08966666666667
CADM4	0.629833333333333
RPS18	0.2645
HNRPD	-0.272916666666667
CFHR5	0.5448
SLC10A7	0.422375
OR2K2	0.517
LMAN1	-0.98075
SUHW1	-2.62325
CHD8	-0.1533
SUMO1	0.2772
GP1BA	0.617
DDB1	0.231666666666667
MYO9B	-0.4243
MMP7	5.85325
CRNKL1	0.762625
C9orf45	-1.67566666666667
XAB2	0.12175
RTN1	1.452125
KLHL14	-1.18425
TBX10	-0.8335
CENPQ	-1.7305
UTY	-0.813428571428571
ZBTB12	-0.0715
DTNBP1	-0.75575
KBTBD8	-1.73116666666667
ZEB1	1.02416666666667
ZG16	-1.725
MIER1	0.9055
ADAM5P	0.5615
CHD9	-0.03975
STK16	0.2085
KIAA1486	-0.832
TOB2	0.71125
BANK1	2.5305
OR2V2	0.3155
GRM2	0.211166666666667
PROSC	0.37475
SPIN2B	0.2535
PIR	-2.02811111111111
IPO9	-0.7484
EVC	0.797333333333333
CXCL13	2.17933333333333
KIAA1199	-1.7153
SORL1	0.4465
NAT10	-0.25825
CHD1	-0.15025
SYN3	-0.12425
SLC22A2	-0.562
SERPINF1	0.548
WDR34	0.15575
OR7A17	0.1395
C9orf11	-0.64
RNF216L	-0.8047
LHB	-0.142
STK25	-0.381125
TAOK3	0.72075
LOC152573	-2.23625
C3orf39	0.764375
C14orf108	0.4102
CDC25B	-0.990909090909091
BMP3	0.4405
TMEM180	0.3915
MAP1LC3C	-0.04425
CRYGC	-1.2015
POU3F1	-1.0907
C20orf32	-1.1135
CCDC95	-0.278
HIGD1B	4.25475
USP6NL	-0.37975
ABCD4	-0.233833333333333
DIMT1L	-0.61625
TEK	1.71125
SLC25A46	-0.6805
LARP7	-1.5696
CD160	0.656166666666667
MT1JP	-0.745666666666667
PHF20	-0.3078125
CPNE4	-0.56325
GTPBP1	-0.401071428571429
