Hybridization REF	TCGA-A1-A0SH-01A-11R-A084-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.4615
CREB3L1	2.25925
RPS11	0.417125
PNMA1	0.325
MMP2	2.2855
C10orf90	-1.72675
ZHX3	0.4205
ERCC5	0.00725
GPR98	-0.696
RXFP3	0.296
APBB2	2.127
PRO0478	-1.423
KLHL13	-0.0005
PRSSL1	-0.685333333333333
PDCL3	0.547666666666667
DECR1	0.230625
SALL1	-0.958833333333333
CADM4	0.804333333333333
RPS18	-0.125214285714286
HNRPD	-0.426833333333333
CFHR5	0.4875
SLC10A7	0.26625
OR2K2	-0.268
LMAN1	-0.1475
SUHW1	-3.549
CHD8	-0.3685
SUMO1	0.4139
GP1BA	-0.1204
DDB1	0.119166666666667
MYO9B	-0.0064
MMP7	6.38325
CRNKL1	0.218
C9orf45	-2.14266666666667
XAB2	0.06775
RTN1	1.522125
KLHL14	-1.49825
TBX10	-0.847
CENPQ	-2.0825
UTY	-1.02114285714286
ZBTB12	-0.368
DTNBP1	-0.53025
KBTBD8	-1.0435
ZEB1	1.53016666666667
ZG16	-1.948
MIER1	0.4102
ADAM5P	-0.2355
CHD9	-0.1575
STK16	1.67175
KIAA1486	-0.4955
TOB2	0.534083333333333
BANK1	2.51375
OR2V2	0.17375
GRM2	0.250833333333333
PROSC	0.476
SPIN2B	0.0625
PIR	-1.84333333333333
IPO9	-0.1607
EVC	2.11016666666667
CXCL13	4.10316666666667
KIAA1199	0.2125
SORL1	1.003
NAT10	-0.4685
CHD1	-1.1585
SYN3	0.0735
SLC22A2	-0.00225
SERPINF1	2.31616666666667
WDR34	-0.12725
OR7A17	0.6395
C9orf11	0.4125
RNF216L	-0.2173
LHB	-0.082
STK25	-0.399875
TAOK3	1.23325
LOC152573	-3.513
C3orf39	1.000625
C14orf108	0.7259
CDC25B	-2.05863636363636
BMP3	-0.04
TMEM180	0.2115
MAP1LC3C	1.20475
CRYGC	-0.065
POU3F1	-1.2287
C20orf32	-1.4135
CCDC95	-0.66
HIGD1B	4.12775
USP6NL	-0.1215
ABCD4	-0.256666666666667
DIMT1L	-0.781166666666667
TEK	0.893625
SLC25A46	-0.38125
LARP7	-1.8777
CD160	0.261
MT1JP	-0.420833333333333
PHF20	0.04825
CPNE4	-1.3575
GTPBP1	-0.261642857142857
RAB33B	1.08483333333333
ALDOC	-2.50675
ZNF212	-0.04075
NUDT1	-0.554
RFPL2	-0.3185
ZNF83	-0.5965
GDPD5	-0.69425
PDCD4	1.0476
CEP350	-0.09325
OR10A2	0.631
CST7	2.16375
CIAO1	-0.86175
SELL	0.31875
OR8J3	0.2675
LTBP4	0.241833333333333
SIRT6	-0.088
CCL19	1.414
PPIL1	-0.976333333333333
GBP7	0.3555
STK17A	-0.2882
ABR	0.31625
OR9G1	-0.068
FOXE1	-0.495875
CNGA3	0.8635
GML	0.368
CD38	-3.0965
ZDHHC6	0.4615
NEFH	0.19325
CTDSP2	1.259
PGBD5	-0.892166666666667
CCNY	0.615714285714286
RMND5B	0.332916666666667
ZNF257	-2.7685
FLJ22167	-0.046
EXOSC7	-0.341833333333333
ROR2	2.54925
MAOA	0.31125
TNNT3	0.9135
GYPC	-0.6775
C7orf33	0.135
PLIN	0.5355
LOC90826	0.1695
RNF4	-0.0646
F8A1	1.81216666666667
PLEKHG4	-2.40525
GRB2	0.349
HIST1H2AD	-1.059
DUS3L	-0.892166666666667
EIF1	0.530333333333333
RP5-1077B9.4	-1.258
FPGT	1.19375
GDF10	0.128833333333333
COQ9	-0.51725
GCC2	-0.0470714285714286
RARRES3	2.93175
PLXNA1	0.1968
KIAA0100	0.019
PMF1	-0.30675
FNDC1	5.4205
HS2ST1	0.529
CRELD2	0.73625
C8G	-1.979
CD82	0.952
LIM2	-1.082
UNQ6490	-0.018
MMP16	1.4875
DRD3	-0.1905
C5orf26	-0.98
C11orf73	-0.419375
PTP4A2	0.86725
OR4M2	0.285
HPCA	-1.376
SEC14L1	-0.154166666666667
CHFR	-0.166
EMILIN1	1.843
NDUFS4	-0.5935
COL18A1	0.9965
PDZD3	-0.2244
C9orf16	0.0965
ERBB2IP	0.140333333333333
EMX2	4.9885
FUS	-1.417
TF	-3.7122
CLCN4	0.284666666666667
CXorf56	1.09
C11orf72	0.12925
ELAC2	-0.957
NPR1	-0.82625
ASS1	-3.1655
USP42	-0.313625
POLR2J	-0.125
SEC23IP	0.539166666666667
UQCRC1	-0.74375
LOC729603	-0.47275
C1orf71	-0.376125
POLG	-2.589
ADAM23	-2.38475
TFR2	-1.603
RICTOR	-1.1988
MGC39606	1.546
C19orf55	-0.59575
SNAPC1	-2.009
GNA11	1.060125
CCDC52	-0.446833333333333
FSIP1	1.776
UPF3A	-0.2625
IGSF11	-0.962333333333333
LAGE3	0.41575
CHST6	1.016
UNC13B	1.177375
TTLL4	-1.194
ZNF687	-0.07775
SDC2	0.905
COX7A2	-0.72575
LAMB4	-0.51525
FAM24A	0.0275
LRRTM3	-0.5635
GPHB5	0.13525
OR4C13	0.258
EIF3EIP	0.190571428571429
HABP4	0.2175
TMEM125	3.41375
CNTN2	0.270375
