Hybridization REF	TCGA-AR-A0TW-01A-11R-A084-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.05525
CREB3L1	-0.3405
RPS11	0.2645
PNMA1	0.05175
MMP2	0.137166666666667
C10orf90	-1.8925
ZHX3	0.068
ERCC5	0.05325
GPR98	-0.160875
RXFP3	0.485
APBB2	1.18775
PRO0478	-1.844125
KLHL13	-2.9245
PRSSL1	-0.463666666666667
PDCL3	0.7775
DECR1	-0.669375
SALL1	-3.36533333333333
CADM4	0.7765
RPS18	-0.164714285714286
HNRPD	-0.736
CFHR5	0.610333333333333
SLC10A7	1.129875
OR2K2	0.3065
LMAN1	0.29625
SUHW1	-3.02875
CHD8	-0.1893
SUMO1	0.58
GP1BA	0.9095
DDB1	0.517666666666667
MYO9B	-0.327
MMP7	4.858
CRNKL1	0.68325
C9orf45	-2.578
XAB2	-0.065375
RTN1	1.626375
KLHL14	-1.17325
TBX10	-0.465
CENPQ	-1.348
UTY	-1.03921428571429
ZBTB12	0.16
DTNBP1	-0.804
KBTBD8	-0.8385
ZEB1	-0.6375
ZG16	-1.39325
MIER1	0.1434
ADAM5P	0.0515
CHD9	-0.5285
STK16	1.56625
KIAA1486	-0.301
TOB2	0.159
BANK1	2.7925
OR2V2	0.7795
GRM2	0.233166666666667
PROSC	1.1175
SPIN2B	-0.2605
PIR	-0.882111111111111
IPO9	0.1823
EVC	0.1605
CXCL13	6.30616666666667
KIAA1199	-2.5177
SORL1	-0.83275
NAT10	0.133
CHD1	-0.794
SYN3	-0.2935
SLC22A2	-0.29575
SERPINF1	-0.4225
WDR34	-0.1305
OR7A17	0.80525
C9orf11	0.075
RNF216L	-0.2222
LHB	-0.001
STK25	0.052625
TAOK3	0.958375
LOC152573	-2.9805
C3orf39	-0.333125
C14orf108	1.3096
CDC25B	-1.88718181818182
BMP3	0.5005
TMEM180	0.139
MAP1LC3C	-0.077
CRYGC	0.1305
POU3F1	-1.2879
C20orf32	-0.684
CCDC95	-0.3965
HIGD1B	3.086
USP6NL	-0.15825
ABCD4	-0.529333333333333
DIMT1L	-1.154
TEK	0.349125
SLC25A46	-0.49
LARP7	-1.7446
CD160	1.3835
MT1JP	-0.9975
PHF20	0.268875
CPNE4	-1.4145
GTPBP1	-0.186285714285714
RAB33B	0.822166666666667
ALDOC	-1.455625
ZNF212	-0.51725
NUDT1	-1.51833333333333
RFPL2	-0.80775
ZNF83	0.0195
GDPD5	-1.3795
PDCD4	0.4731
CEP350	-0.01175
OR10A2	0.63975
CST7	2.182
CIAO1	0.012
SELL	1.548
OR8J3	0.4495
LTBP4	-0.8025
SIRT6	-0.127
CCL19	4.1755
PPIL1	-0.298666666666667
GBP7	0.271166666666667
STK17A	-0.2666
ABR	-0.01225
OR9G1	0.296
FOXE1	-0.618375
CNGA3	1.5855
GML	0.9575
CD38	1.4
ZDHHC6	-0.4955
NEFH	-2.632
CTDSP2	0.0281666666666667
PGBD5	-1.089
CCNY	0.0197857142857143
RMND5B	1.06783333333333
ZNF257	-3.28
FLJ22167	0.276625
EXOSC7	-0.4615
ROR2	1.179375
MAOA	-1.594125
TNNT3	-0.268166666666667
GYPC	-1.5745
C7orf33	0.031
PLIN	0.348166666666667
LOC90826	0.56175
RNF4	0.2216
F8A1	0.784333333333333
PLEKHG4	-2.883
GRB2	0.90225
HIST1H2AD	2.4515
DUS3L	-0.862833333333333
EIF1	0.183666666666667
RP5-1077B9.4	-1.383
FPGT	1.64125
GDF10	-1.21416666666667
COQ9	0.6395
GCC2	-0.0530714285714285
RARRES3	3.483375
PLXNA1	-0.688
KIAA0100	0.2275
PMF1	0.004
FNDC1	4.43875
HS2ST1	0.2925
CRELD2	0.23575
C8G	-1.6595
CD82	0.052
LIM2	-0.831
UNQ6490	0.2785
MMP16	0.23075
DRD3	0.25575
C5orf26	-2.4675
C11orf73	-0.18125
PTP4A2	0.7445
OR4M2	0.316
HPCA	-0.792833333333333
SEC14L1	-0.3415
CHFR	0.37475
EMILIN1	0.713
NDUFS4	-0.97525
COL18A1	-0.837625
PDZD3	0.2632
C9orf16	-0.0158333333333333
ERBB2IP	-0.509166666666667
EMX2	1.38
FUS	-1.971
TF	-4.1855
CLCN4	0.0405
CXorf56	1.188
C11orf72	0.46775
ELAC2	-0.603333333333333
NPR1	-1.36625
ASS1	-1.7915
USP42	0.17925
POLR2J	-0.8525
SEC23IP	0.691666666666667
UQCRC1	0.50725
LOC729603	-0.412
C1orf71	-0.45875
POLG	-2.112
ADAM23	-3.52175
TFR2	-0.91425
RICTOR	-0.3358
MGC39606	-0.35525
C19orf55	-0.269
SNAPC1	-1.2665
GNA11	0.773375
CCDC52	0.4085
FSIP1	6.536
UPF3A	-0.154
IGSF11	-2.32033333333333
LAGE3	0.63175
CHST6	-3.687
UNC13B	0.52275
TTLL4	-1.54225
ZNF687	0.369625
SDC2	-1.8289
COX7A2	0.37
LAMB4	0.218
FAM24A	0.5165
LRRTM3	-0.367666666666667
GPHB5	0.1305
OR4C13	0.1425
EIF3EIP	-0.171357142857143
HABP4	-0.094
TMEM125	3.75075
CNTN2	0.193375
ASNSD1	-0.367
FUT4	0.06
ACF	-3.77575
LOC158381	1.249
CDH8	0.084
AGPS	-1.24483333333333
C4orf18	3.02075
PECI	0.194583333333333
UNG	-0.174375
GSTP1	-2.78675
DCUN1D5	-1.09783333333333
DKFZP564J0863	0.1955
SLC9A3R1	2.90375
BCDO2	-1.180125
CHMP7	-0.517
REM2	0.626
DNHD1	-0.32425
FKBP4	0.388625
ZNF350	1.5855
MGC11102	1.298125
BST1	1.5545
KISS1R	0.4485
NCR2	0.3225
DEFB125	0.399
UBE2W	1.479
KRT15	-0.45675
C10orf99	0.402
SCN11A	0.01525
GFI1	-1.03875
RDHE2	0.982
FHL1	-2.55466666666667
OSGEP	-0.23
GATA1	-3.433
SMC6	-1.792
TTTY14	-1.68725
LPIN3	0.144
RPL4	-0.5123
RBPMS	-1.8481
PRPF3	-0.605833333333333
EMR1	-0.942
SPATA19	0.00275
XCR1	1.2625
IRX3	2.2865
RBM6	-1.357
KLF4	-0.6173
UNC5CL	-2.32675
SEBOX	-0.038
BTK	-0.17875
KRCC1	1.3085
C6orf27	0.26
SYTL5	-0.64
PRND	0.96425
LOC653319	-1.1275
PIGL	-1.373625
HUS1	0.530166666666667
SFRS6	0.67575
C17orf77	0.863
UIMC1	-0.252666666666667
FXYD2	-1.8517
LOC283152	0.39375
ZNF667	-1.95675
ZCCHC12	-0.2005
TFEC	3.5853
ATP7B	0.6595
POLD2	0.430833333333333
RG9MTD1	-0.094
ACOT2	1.01083333333333
HIST1H4I	1.222875
PPARGC1A	-2.8917
ETFA	-2.1357
POLRMT	-0.27
ZNF146	0.82875
MIA2	-1.4395
KLHL6	0.812333333333333
HOXB5	-0.730375
NENF	-0.0481666666666667
CUGBP1	0.587
PRSS22	1.64283333333333
CASC4	1.2189
CUL4B	0.1427
CENPJ	-2.0196
PITX1	0.100666666666667
FLJ31033	0.891
CELSR3	-0.174166666666667
ZNF568	0.349
ITSN1	-0.298083333333333
EHBP1L1	-0.901666666666667
C19orf2	-0.255
DCTN1	-0.1555
LIN28B	-3.2785
TNKS2	-0.971
C1QBP	-0.4855
CADPS2	0.94225
SRMS	0.1485
GJA9	0.447333333333333
MGC24975	-1.142
TRIM45	0.257166666666667
TSP50	-0.1045
TCP1	-2.0465
TMED7	0.6026
CMA1	1.098
CENPL	-0.953833333333333
PTCRA	0.7015
FST	-4.7595
VWCE	-4.1055
PAWR	-0.0405
ABCC12	0.223166666666667
LDLR	-1.8085
ASTN2	0.3401
LOC441212	-1.877875
GPATCH8	-0.1165
TANC2	0.00608333333333334
KIF4A	-1.89675
C18orf18	-0.615
PGM1	-0.75375
KIAA0258	1.42525
CPD	1.383
SNCAIP	-1.4295
DCT	-4.228
HLA-DOA	3.25740909090909
OR11L1	0.521
UPK1B	-0.332
DNAJB4	0.528375
UGT1A8	-0.01675
HIST1H4L	-3.63
PECR	0.0306666666666667
HSPA2	-0.389
WFIKKN1	-3.1965
SERP1	1.449375
SYDE2	1.30025
TACR2	0.569
NUP85	-0.9115
CD177	-0.387333333333333
LGR5	-1.60183333333333
PIGG	-0.28525
PTHR1	-2.49383333333333
RAB5A	0.7717
FLJ13224	0.01
USP9Y	-1.119
C7orf53	-2.07
LRP1B	-1.13125
XAF1	1.6018
ABCG8	-0.6395
ANKDD1A	-0.676166666666667
DAND5	-1.8695
SPAG6	0.203166666666667
LINCR	-0.8375
ZDHHC22	-1.426
CCDC60	0.4865
THOC7	-1.736
TCTA	2.0649
OR8K3	0.49425
NY-REN-7	-0.63625
B2M	1.9025
C6orf141	-2.168625
LPPR4	1.40275
SQLE	-1.8515
SEPHS1	-0.1255
BTBD14B	0.181071428571429
PLRG1	0.195
SPG7	-1.1365
ZNF614	0.8335
PARD6G	-0.326166666666667
INPP5B	-0.5508
GRPEL2	-0.228875
PPID	-0.7214
TRIM56	-0.771
UBE2J1	0.834625
IL20RA	6.39825
LOC387856	0.2775
C1orf107	1.292
UTS2R	0.25575
C19orf22	0.61175
SAFB2	-0.295125
KIAA0652	0.7545
KLRG1	-0.257333333333333
MS4A8B	0.388666666666667
FRAG1	1.29425
KIAA1546	-0.87575
E2F4	-0.7248
CLEC4M	0.268333333333333
BTBD14A	1.07
KIAA0999	0.2011
GYPA	-3.04933333333333
TAC1	1.479
TRAIP	-1.82066666666667
KIAA0232	1.1109
ERCC8	-1.40725
GPX4	1.232
KIAA0368	-0.7995
GPR157	-1.307
CTAGE4	0.6975
C9orf30	-1.79916666666667
OR52A1	0.175
HSP90B3P	0.275
ALG9	-0.4332
BTBD10	0.86575
SDK2	0.21825
BAIAP3	1.63725
RABGGTB	-1.316375
ANKRD40	1.1455
KRT74	0.5205
CALCOCO2	0.535
SNCA	-3.9365
TMSL8	-4.560375
C2orf53	0.016
ESRRB	-0.3855
ARHGAP26	-1.107625
TDRD9	-2.99125
HRAS	1.1285
KLRC4	-1.395
JAGN1	-0.298833333333333
BSDC1	0.53625
RNF43	0.57
NDUFAF1	1.42
PHF12	0.68625
OR1L3	0.2305
FOLR2	2.36891666666667
LYZL6	0.283333333333333
tcag7.1260	-1.4975
WSB1	-3.1365
PROS1	-1.5602
OSTN	0.815
PSMB8	1.285
SOCS4	0.57175
DDIT4L	-1.09075
MAS1	0.714
MGC34796	1.4565
CSHL1	0.533833333333333
TBCCD1	0.373166666666667
ZBTB7C	0.2085
AP2S1	1.1115
P15RS	0.6659
VAT1	-0.1063
SHANK3	0.427166666666667
TUFM	0.699333333333333
THEG	-0.40175
KRT34	-1.2675
SGSM3	-0.288875
TOMM22	-0.4055
SOCS3	1.8495
CPO	0.1645
POP4	1.03975
BHLHB3	-0.42725
MALL	0.291
OR1B1	0.661
PARK2	0.370333333333333
GPR124	-0.44725
LCE1E	-0.0425
RUVBL2	0.3325
CGRRF1	0.962
ACPL2	-0.41775
WNT10B	0.0225
BAIAP2L2	-2.111125
ISCA1	0.4855
C1orf125	0.334375
RPAP1	-0.34275
RAI16	-0.592333333333333
RPL27	-0.822
NLRP9	-0.1285
EPN1	0.8355
LOC388610	-1.03075
SLC35A1	0.972
GAL	-4.4255
SLC14A2	0.566
RDH11	0.0593333333333333
FAM138F	-0.1835
AUH	0.48525
FLJ40243	0.181
C14orf129	1.45016666666667
MBD2	-0.730666666666667
ABHD14B	0.254125
PIGT	0.19125
ALS2CR4	-0.50725
ALAS1	0.2165
FOXO1	0.955333333333333
CRLF3	-0.43825
C20orf107	0.066
FARS2	1.317
CCDC28A	2.24975
NPHP3	-1.75625
OR13F1	0.8525
TSEN54	-0.204
DEFB106B	0.1768
OR8B4	0.558
STH	0.144
ZC3H14	-0.435625
CBX2	-0.1095
TMEM49	1.38075
C6orf21	0.6405
FLJ20920	-1.048
CRTAP	-0.0434285714285714
DDX50	-2.0345
STYXL1	0.777
BLVRB	1.837
LOC147650	0.287666666666667
MMP24	0.289
GRID1	0.978333333333333
BANF1	-0.254666666666667
CTAGEP	0.691
HMBS	-1.326
SLC25A24	-0.3315
C14orf50	-0.43625
MRO	1.3735
SLC25A15	-0.798
FAM84B	1.3661
TDP1	-0.6315
C16orf78	0.5455
C11orf57	-1.129625
RFK	-0.320625
ZFYVE9	-0.798
STCH	0.0344
WIBG	0.61775
LOC283871	0.645166666666667
GBA2	-0.2518
NDUFB3	0.12725
HSD17B13	-0.6535
GRIN3A	2.466
FMNL1	-0.5175
SEPT7	-0.4637
GNLY	3.666
GRAMD1C	0.2815
ZNF165	0.43675
USP38	1.75525
FAM83A	-3.0905
C14orf24	1.11825
ARMCX3	0.95275
ARHGDIB	0.676833333333333
AK1	0.80075
KIAA1045	-0.04975
DNAJB13	0.14
NEU2	0.827
HIST1H4B	-0.518833333333333
FAM20B	-0.0342
HES2	-0.477285714285714
FAM73B	-0.477
LOC388381	-0.22775
INTS7	0.114545454545455
AMPH	2.9125
ZNF775	-0.3985
UCKL1	-0.676333333333333
C10orf97	1.09575
C1orf161	0.127
ALDH1L1	-1.69275
FLJ39378	0.370625
SLC23A1	1.525
RBM4B	0.238
THAP4	0.0861666666666667
OGFRL1	0.697
KIAA0831	0.218125
PPP1R15A	-0.301166666666667
C1orf96	-0.628857142857143
C12orf11	-1.562
BMF	0.94325
MAN1A1	0.36025
KIAA1600	0.235
NLGN4X	2.357
ALOX12	-0.943333333333333
RB1CC1	0.3517
NEIL2	-0.634
EIF4E	0.243545454545455
ABHD5	0.174
EXOC4	-0.271666666666667
CIP29	0.227666666666667
BATF2	2.17375
SLC29A4	0.669875
HTR4	0.6945
EMB	-0.1175
TRAF6	0.8385
LMNB1	-2.28975
FAM19A5	-1.118
SHE	0.995
PIK3C2B	0.48175
C15orf15	-1.0094
USP15	0.3805
TCEAL2	1.11475
C5orf39	0.2605
PTGER2	0.25575
SLC31A1	-0.3944375
IFT172	-0.18925
ADAM29	0.54275
GFOD1	-0.85775
ST7L	0.3105
C15orf26	-2.794
PKN3	-1.25275
