Hybridization REF	TCGA-A1-A0SJ-01A-11R-A084-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.877
CREB3L1	0.43775
RPS11	0.115
PNMA1	0.75775
MMP2	-0.0893333333333333
C10orf90	-1.78375
ZHX3	0.251
ERCC5	0.03525
GPR98	-0.640625
RXFP3	0.6885
APBB2	2.10675
PRO0478	-1.206125
KLHL13	-1.7125
PRSSL1	-0.188833333333333
PDCL3	0.852666666666667
DECR1	0.068625
SALL1	-3.67933333333333
CADM4	0.159166666666667
RPS18	-0.316
HNRPD	-0.351083333333333
CFHR5	0.54
SLC10A7	0.31475
OR2K2	0.13
LMAN1	-0.2345
SUHW1	-3.71025
CHD8	-0.6326
SUMO1	0.4085
GP1BA	0.7743
DDB1	0.0506666666666667
MYO9B	-0.896
MMP7	6.39725
CRNKL1	0.906875
C9orf45	-1.84416666666667
XAB2	-0.355
RTN1	0.912125
KLHL14	-0.9275
TBX10	-1.094
CENPQ	-1.4875
UTY	-0.939214285714286
ZBTB12	-0.4345
DTNBP1	-0.393625
KBTBD8	-1.30066666666667
ZEB1	0.458
ZG16	2.5125
MIER1	0.4746
ADAM5P	0.563
CHD9	0.0539375
STK16	-0.166
KIAA1486	-0.364
TOB2	0.48975
BANK1	3.078
OR2V2	0.16375
GRM2	0.1545
PROSC	0.33625
SPIN2B	-0.34925
PIR	-0.991777777777778
IPO9	-0.5092
EVC	0.838333333333333
CXCL13	5.74766666666667
KIAA1199	-2.3987
SORL1	1.03425
NAT10	-0.61575
CHD1	-0.62525
SYN3	-0.1605
SLC22A2	-0.286
SERPINF1	1.1365
WDR34	-1.00525
OR7A17	0.702
C9orf11	-0.1125
RNF216L	-0.1109
LHB	-0.288
STK25	-0.582625
TAOK3	0.4305
LOC152573	-1.79375
C3orf39	0.808625
C14orf108	0.2159
CDC25B	-1.26845454545455
BMP3	0.51
TMEM180	0.2615
MAP1LC3C	1.893
CRYGC	-0.2565
POU3F1	-1.4966
C20orf32	-0.97
CCDC95	-0.5025
HIGD1B	4.2575
USP6NL	-0.10525
ABCD4	-0.543166666666667
DIMT1L	-0.2615
TEK	1.67
SLC25A46	-0.1585
LARP7	-1.5273
CD160	0.530833333333333
MT1JP	0.917666666666667
PHF20	-0.0440625
CPNE4	-0.882
GTPBP1	-0.673285714285714
RAB33B	1.64
ALDOC	-2.00375
ZNF212	-0.3005
NUDT1	-0.726166666666667
RFPL2	-0.597
ZNF83	0.0576666666666667
GDPD5	1.03
PDCD4	1.313
CEP350	-0.13425
OR10A2	0.24525
CST7	0.43375
CIAO1	-0.8925
SELL	1.459375
OR8J3	0.4665
LTBP4	-0.266
SIRT6	-0.53
CCL19	5.00175
PPIL1	-0.770333333333333
GBP7	0.152666666666667
STK17A	-0.2427
ABR	0.17875
OR9G1	0.132
FOXE1	-0.7205
CNGA3	0.0755
GML	0.3725
CD38	-1.717
ZDHHC6	-1.03883333333333
NEFH	-1.617
CTDSP2	1.74
PGBD5	-0.226166666666667
CCNY	0.319714285714286
RMND5B	0.347583333333333
ZNF257	-0.2755
FLJ22167	0.67125
EXOSC7	-0.335
ROR2	0.701625
MAOA	2.6515
TNNT3	3.2985
GYPC	-1.08525
C7orf33	0.3395
PLIN	4.34383333333333
LOC90826	-0.1315
RNF4	0.5583
F8A1	0.958333333333333
PLEKHG4	-1.499
GRB2	0.02285
HIST1H2AD	-0.471
DUS3L	-1.41966666666667
EIF1	-0.237666666666667
RP5-1077B9.4	-1.63116666666667
FPGT	1.19775
GDF10	1.49966666666667
COQ9	0.2045
GCC2	-0.0472142857142857
RARRES3	2.27
PLXNA1	-0.9207
KIAA0100	0.109
PMF1	-0.4525
FNDC1	5.0905
HS2ST1	0.562416666666667
CRELD2	0.488
C8G	-2.2655
CD82	-0.16575
LIM2	-0.9475
UNQ6490	0.315
MMP16	0.97175
DRD3	0.0905
C5orf26	-0.21025
C11orf73	-0.998
PTP4A2	0.76175
OR4M2	0.386
HPCA	-0.443166666666667
SEC14L1	-0.365166666666667
CHFR	-0.68575
EMILIN1	1.28375
NDUFS4	0.0525
COL18A1	0.452
PDZD3	-0.2368
C9orf16	-0.594833333333333
ERBB2IP	0.587333333333333
EMX2	2.9375
FUS	-0.87275
TF	-3.3553
CLCN4	-0.275333333333333
CXorf56	0.27475
C11orf72	0.383
ELAC2	-1.45716666666667
NPR1	0.66525
ASS1	-0.997333333333333
USP42	0.269
POLR2J	-1.213
SEC23IP	0.595666666666667
UQCRC1	0.077
LOC729603	-1.0015
C1orf71	-0.16625
POLG	-1.6345
ADAM23	-2.894
TFR2	-1.3165
RICTOR	-0.586
MGC39606	1.28725
C19orf55	-0.32
SNAPC1	-0.940333333333333
GNA11	0.577125
CCDC52	-0.8475
FSIP1	1.141
UPF3A	0.448875
IGSF11	-2.08966666666667
LAGE3	0.365
CHST6	-3.2655
UNC13B	-0.340375
TTLL4	-1.59425
ZNF687	0.533375
SDC2	-0.4603
COX7A2	0.137
LAMB4	-0.40275
FAM24A	0.7455
LRRTM3	-1.2615
GPHB5	0.13975
OR4C13	0.432
EIF3EIP	-0.678142857142857
HABP4	0.03
TMEM125	3.76675
CNTN2	-0.024375
ASNSD1	-0.181
FUT4	-0.2015
ACF	-3.76975
LOC158381	0.3605
CDH8	-0.46625
AGPS	-0.719
C4orf18	2.90325
PECI	-0.567166666666667
UNG	-0.4025
GSTP1	-2.235125
DCUN1D5	-0.405833333333333
DKFZP564J0863	-1.43975
SLC9A3R1	1.298125
BCDO2	-1.103875
CHMP7	0.291125
REM2	0.2235
DNHD1	-0.947
FKBP4	0.0665
ZNF350	2.178
MGC11102	-0.826875
BST1	2.5325
KISS1R	0.7875
NCR2	-0.372
DEFB125	1.044
UBE2W	1.48725
KRT15	0.656125
C10orf99	0.4475
SCN11A	0.301625
GFI1	-2.62675
RDHE2	4.47966666666667
FHL1	1.38083333333333
OSGEP	-0.539333333333333
GATA1	-3.252
SMC6	-1.49075
TTTY14	-1.359
LPIN3	0.0495
RPL4	-0.924
RBPMS	0.4653
PRPF3	-1.40916666666667
EMR1	-2.1095
SPATA19	0.2945
XCR1	0.72
IRX3	2.0226
RBM6	-1.3375
KLF4	0.1121
UNC5CL	-1.1025
SEBOX	-0.0795
BTK	-1.7145
KRCC1	0.82275
C6orf27	0.047
SYTL5	-0.587
PRND	1.422875
LOC653319	-1.3055
PIGL	-1.780625
HUS1	-0.00616666666666667
SFRS6	-1.10283333333333
C17orf77	0.9485
UIMC1	-0.428166666666667
FXYD2	-1.9058
LOC283152	-0.858
ZNF667	1.51625
ZCCHC12	2.37525
TFEC	1.8669
ATP7B	-0.367666666666667
POLD2	-1.23066666666667
RG9MTD1	-0.68725
ACOT2	-0.0231666666666667
HIST1H4I	-0.914875
PPARGC1A	-0.3183
ETFA	-0.6323
POLRMT	-0.754
ZNF146	0.26375
MIA2	-0.8125
KLHL6	-0.6755
HOXB5	-1.509125
NENF	0.745833333333333
CUGBP1	-0.02175
PRSS22	1.75
CASC4	2.1689
CUL4B	0.1257
CENPJ	-1.3816
PITX1	-0.693833333333333
FLJ31033	1.41916666666667
CELSR3	-2.00033333333333
ZNF568	0.86525
ITSN1	-0.188916666666667
EHBP1L1	-1.481
C19orf2	-0.596
DCTN1	-0.2165
LIN28B	-3.35283333333333
TNKS2	-1.2785
C1QBP	-0.814
CADPS2	2.798
SRMS	2.513
GJA9	0.534833333333333
MGC24975	-2.0035
TRIM45	-1.27266666666667
TSP50	0.79275
TCP1	-0.56075
TMED7	0.4724
CMA1	1.288
CENPL	-1.06333333333333
PTCRA	-0.2195
FST	-2.983
VWCE	-3.863
PAWR	0.247
ABCC12	0.129666666666667
LDLR	-2.2466
ASTN2	0.8565
LOC441212	-0.45425
GPATCH8	-0.103
TANC2	0.610666666666667
KIF4A	-1.78625
C18orf18	-1.0385
PGM1	-0.7465
KIAA0258	0.7975
CPD	0.904375
SNCAIP	-0.33975
DCT	-4.25416666666667
HLA-DOA	2.14736363636364
OR11L1	0.4235
UPK1B	-0.35
DNAJB4	0.128125
UGT1A8	-0.11675
HIST1H4L	-2.211
PECR	-1.688
HSPA2	2.5245
WFIKKN1	-2.328
SERP1	0.916
SYDE2	2.93975
TACR2	0.5345
NUP85	-0.41
CD177	-0.0913333333333333
LGR5	-1.55816666666667
PIGG	0.0459166666666667
PTHR1	-1.11716666666667
RAB5A	0.5923
FLJ13224	-0.1235
USP9Y	-1.4505
C7orf53	-1.167
LRP1B	0.79825
XAF1	0.028
ABCG8	-0.0855
ANKDD1A	-0.126
DAND5	-2.9905
SPAG6	0.0716666666666667
LINCR	-1.21125
ZDHHC22	-1.641
CCDC60	-0.124
THOC7	-1.03916666666667
TCTA	0.7425
OR8K3	0.092
NY-REN-7	-0.027
B2M	1.35
C6orf141	-0.654125
LPPR4	2.19025
SQLE	-0.114
SEPHS1	-0.27575
BTBD14B	0.326642857142857
PLRG1	-0.0285
SPG7	-0.416
ZNF614	0.575333333333333
PARD6G	1.06516666666667
INPP5B	-0.9804
GRPEL2	0.007125
PPID	-0.6584
TRIM56	-0.27
UBE2J1	0.043125
IL20RA	0.60575
LOC387856	0.569
C1orf107	0.815083333333333
UTS2R	1.0265
C19orf22	-0.214
SAFB2	-0.241625
KIAA0652	0.037375
KLRG1	-0.249333333333333
MS4A8B	2.06416666666667
FRAG1	0.53825
KIAA1546	-0.407
E2F4	-0.809
CLEC4M	0.174833333333333
BTBD14A	-1.66825
KIAA0999	0.5457
GYPA	-3.62616666666667
TAC1	1.395
TRAIP	-1.36533333333333
KIAA0232	1.4145
ERCC8	-0.72625
GPX4	0.637
KIAA0368	0.014875
GPR157	-1.3575
CTAGE4	0.986
C9orf30	-1.81133333333333
OR52A1	-0.428
HSP90B3P	-0.1125
ALG9	-0.6071
BTBD10	1.0355
SDK2	0.089
BAIAP3	1.8735
RABGGTB	-0.970875
ANKRD40	0.515333333333333
KRT74	0.361
CALCOCO2	0.721214285714286
SNCA	-2.61925
TMSL8	-3.60725
C2orf53	0.2005
ESRRB	-0.31975
ARHGAP26	-1.426375
TDRD9	-2.5795
HRAS	0.511666666666667
KLRC4	-1.004
JAGN1	-0.586333333333333
BSDC1	0.73375
RNF43	-1.7295
NDUFAF1	0.76125
PHF12	0.102
OR1L3	0.021
FOLR2	1.7195
LYZL6	-0.027
tcag7.1260	-0.6065
WSB1	-1.275
PROS1	0.1083
OSTN	0.2915
PSMB8	0.50725
SOCS4	-0.324375
DDIT4L	0.34675
MAS1	0.116
MGC34796	1.15975
CSHL1	0.4955
TBCCD1	0.412833333333333
ZBTB7C	0.0845
AP2S1	-0.854
P15RS	0.2262
VAT1	-0.344
SHANK3	1.16183333333333
TUFM	0.0945
THEG	-0.268
KRT34	0.09675
SGSM3	-0.904
TOMM22	-0.607625
SOCS3	1.426
CPO	0.455
POP4	0.59625
BHLHB3	0.96725
MALL	0.92775
OR1B1	0.441
PARK2	1.46333333333333
GPR124	0.287375
LCE1E	0.3965
RUVBL2	-0.18325
CGRRF1	0.6892
ACPL2	0.06325
WNT10B	-2.5535
BAIAP2L2	-2.3295
ISCA1	0.642
C1orf125	0.0375
RPAP1	-0.6165
RAI16	-0.7905
RPL27	-1.2545
NLRP9	0.424
EPN1	0.2235
LOC388610	0.465625
SLC35A1	0.8632
GAL	-4.095
SLC14A2	0.39475
RDH11	-0.2765
FAM138F	-0.5115
AUH	0.3165
FLJ40243	-0.2615
C14orf129	0.8805
MBD2	0.0438333333333333
ABHD14B	0.064875
PIGT	1.747
ALS2CR4	-0.351875
ALAS1	-0.6671
FOXO1	1.9115
CRLF3	-0.2405
C20orf107	0.1755
FARS2	0.38025
CCDC28A	0.1115
NPHP3	-1.17125
OR13F1	0.489
TSEN54	-0.727
DEFB106B	0.2553
OR8B4	-0.1885
STH	-1.05875
ZC3H14	-0.26525
CBX2	-1.6985
TMEM49	-0.88725
C6orf21	0.3555
FLJ20920	1.1345
CRTAP	-0.111857142857143
DDX50	-0.55025
STYXL1	-0.255
BLVRB	0.680333333333333
LOC147650	-0.873166666666667
MMP24	0.88575
GRID1	1.49916666666667
BANF1	-1.05933333333333
CTAGEP	0.1545
HMBS	-2.2135
SLC25A24	1.1485
C14orf50	1.44225
MRO	0.407666666666667
SLC25A15	-0.50025
FAM84B	0.7961
TDP1	-0.854
C16orf78	0.180833333333333
C11orf57	-0.768125
RFK	0.1095
ZFYVE9	-0.409375
STCH	-0.3419
WIBG	-0.09825
LOC283871	-0.089
GBA2	-1.3096
NDUFB3	-0.37725
HSD17B13	0.20775
GRIN3A	0.373833333333333
FMNL1	-0.867
SEPT7	-0.0258
GNLY	2.0965
GRAMD1C	-0.0271666666666667
ZNF165	1.77525
USP38	1.69475
FAM83A	-2.57816666666667
C14orf24	2.3305
ARMCX3	1.066
ARHGDIB	-0.816166666666667
AK1	-0.262125
KIAA1045	0.66625
DNAJB13	-0.500166666666667
NEU2	0.3815
HIST1H4B	-1.73983333333333
FAM20B	-0.5952
HES2	0.356857142857143
FAM73B	-0.9704
LOC388381	0.9795
INTS7	-1.33754545454545
AMPH	1.91775
ZNF775	-0.0856250000000001
UCKL1	1.18433333333333
C10orf97	-0.06575
C1orf161	-0.61025
ALDH1L1	0.7795
FLJ39378	-0.26025
SLC23A1	-1.6415
RBM4B	0.209
THAP4	0.0288333333333333
OGFRL1	0.0875
KIAA0831	0.1975
PPP1R15A	0.0838333333333334
C1orf96	-0.00342857142857141
C12orf11	-1.68175
BMF	0.62025
MAN1A1	0.328875
KIAA1600	0.666166666666667
NLGN4X	0.7905
ALOX12	-1.26566666666667
RB1CC1	0.689
NEIL2	1.1644
EIF4E	0.471772727272727
ABHD5	-0.08975
EXOC4	-0.210833333333333
CIP29	-0.627
BATF2	-0.032
SLC29A4	-0.594125
HTR4	0.542
EMB	-1.22525
TRAF6	0.289
LMNB1	-1.3355
FAM19A5	-1.557
SHE	1.98225
PIK3C2B	1.122
C15orf15	-0.4837
USP15	-0.093
TCEAL2	2.1125
C5orf39	-0.596
PTGER2	1.20225
SLC31A1	-1.278
IFT172	-0.07675
ADAM29	2.222
GFOD1	0.26575
ST7L	1.236
C15orf26	-2.5145
PKN3	-1.07875
CNTD1	1.92566666666667
COMMD1	-0.23625
NTRK2	2.71883333333333
FOXN3	0.766375
MFGE8	-0.156
