Hybridization REF	TCGA-A2-A0SW-01A-11R-A084-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.907916666666667
CREB3L1	1.132
RPS11	-0.14225
PNMA1	-0.7435
MMP2	0.567166666666667
C10orf90	-2.0045
ZHX3	-0.1345
ERCC5	-0.15025
GPR98	1.55625
RXFP3	0.5645
APBB2	1.51525
PRO0478	-1.20625
KLHL13	0.8765
PRSSL1	-0.849166666666667
PDCL3	0.588833333333333
DECR1	0.6725
SALL1	-3.429
CADM4	1.0005
RPS18	-0.573785714285714
HNRPD	-0.454416666666667
CFHR5	0.47575
SLC10A7	0.682375
OR2K2	-0.0775
LMAN1	0.354
SUHW1	-2.88275
CHD8	-0.0961
SUMO1	0.0675
GP1BA	0.6326
DDB1	-0.183666666666667
MYO9B	0.0292
MMP7	3.18475
CRNKL1	0.906625
C9orf45	-1.96916666666667
XAB2	-0.126625
RTN1	2.93025
KLHL14	-1.185875
TBX10	2.1385
CENPQ	-1.5875
UTY	-0.981
ZBTB12	-0.3
DTNBP1	0.0516249999999999
KBTBD8	-0.31
ZEB1	-0.387
ZG16	-0.67575
MIER1	0.2413
ADAM5P	-0.252
CHD9	0.01225
STK16	0.72125
KIAA1486	-0.149
TOB2	0.701
BANK1	4.104
OR2V2	0.2345
GRM2	0.259
PROSC	0.362
SPIN2B	-0.30275
PIR	-0.434111111111111
IPO9	0.0918
EVC	0.3085
CXCL13	6.76983333333333
KIAA1199	0.7622
SORL1	0.679
NAT10	-0.6805
CHD1	-0.1715
SYN3	0.8355
SLC22A2	0.47575
SERPINF1	1.62166666666667
WDR34	0.563
OR7A17	0.49175
C9orf11	0.568
RNF216L	-0.0624
LHB	0.193
STK25	-0.937625
TAOK3	0.855375
LOC152573	-2.3425
C3orf39	-0.24475
C14orf108	1.3351
CDC25B	-0.0743636363636364
BMP3	0.707
TMEM180	0.228
MAP1LC3C	-0.09375
CRYGC	-0.3645
POU3F1	-0.9967
C20orf32	-1.033
CCDC95	0.003
HIGD1B	2.9645
USP6NL	-0.91725
ABCD4	-0.7115
DIMT1L	-0.506583333333333
TEK	1.431625
SLC25A46	-0.3585
LARP7	-1.7686
CD160	0.4115
MT1JP	-0.216
PHF20	0.1009375
CPNE4	-1.29775
GTPBP1	-0.376785714285714
RAB33B	0.8545
ALDOC	-2.572625
ZNF212	-0.11075
NUDT1	-0.188
RFPL2	-0.98275
ZNF83	-0.168833333333333
GDPD5	1.035125
PDCD4	2.05925
CEP350	0.3915
OR10A2	0.46325
CST7	2.204
CIAO1	-0.5315
SELL	2.0035
OR8J3	0.1885
LTBP4	0.0361666666666666
SIRT6	0.35875
CCL19	4.57375
PPIL1	-1.09833333333333
GBP7	1.045
STK17A	0.0628
ABR	-0.0425
OR9G1	1.4915
FOXE1	-0.534
CNGA3	0.0255
GML	0.3845
CD38	1.802
ZDHHC6	-0.001
NEFH	-2.71925
CTDSP2	0.411333333333333
PGBD5	-1.836
CCNY	-0.598428571428571
RMND5B	0.654666666666667
ZNF257	-0.99
FLJ22167	-1.321375
EXOSC7	-1.063
ROR2	0.5835
MAOA	-0.89925
TNNT3	0.491333333333333
GYPC	-0.73075
C7orf33	0.7845
PLIN	3.31283333333333
LOC90826	0.0285
RNF4	0.204
F8A1	1.33433333333333
PLEKHG4	0.736
GRB2	0.6523
HIST1H2AD	-0.70325
DUS3L	-0.787
EIF1	-0.607666666666667
RP5-1077B9.4	-0.1725
FPGT	1.62925
GDF10	0.544333333333333
COQ9	0.58775
GCC2	-0.0667142857142857
RARRES3	3.165125
PLXNA1	-0.7534
KIAA0100	-1.204
PMF1	0.1515
FNDC1	5.3695
HS2ST1	0.0865
CRELD2	1.29675
C8G	-1.594
CD82	1.272
LIM2	-1.2
UNQ6490	0.4055
MMP16	-0.2615
DRD3	0.16425
C5orf26	-1.8255
C11orf73	0.06375
PTP4A2	0.183625
OR4M2	0.6295
HPCA	-0.456666666666667
SEC14L1	0.2435
CHFR	-0.097125
EMILIN1	1.32675
NDUFS4	-0.49225
COL18A1	-0.488
PDZD3	-0.2295
C9orf16	-0.131166666666667
ERBB2IP	0.0903333333333333
EMX2	3.98925
FUS	-0.53075
TF	-3.7325
CLCN4	-0.548166666666667
CXorf56	0.773
C11orf72	0.41175
ELAC2	-0.647416666666667
NPR1	-0.667
ASS1	-3.2455
USP42	-0.044625
POLR2J	-0.0025
SEC23IP	0.790333333333333
UQCRC1	-0.46475
LOC729603	-0.44425
C1orf71	-0.227125
POLG	-1.8845
ADAM23	-3.2665
TFR2	-1.09575
RICTOR	-0.9218
MGC39606	0.33475
C19orf55	-0.237875
SNAPC1	-1.63133333333333
GNA11	0.926625
CCDC52	0.131833333333333
FSIP1	3.633
UPF3A	-1.0415
IGSF11	-1.85466666666667
LAGE3	1.25275
CHST6	-1.171
UNC13B	0.33125
TTLL4	-0.74975
ZNF687	0.504625
SDC2	-0.703
COX7A2	0.5155
LAMB4	-0.27775
FAM24A	0.399
LRRTM3	-0.810666666666667
GPHB5	0.16675
OR4C13	-0.12
EIF3EIP	-0.367357142857143
HABP4	-0.403
TMEM125	3.70525
CNTN2	0.481375
ASNSD1	-0.28325
FUT4	-0.2945
ACF	-3.2015
LOC158381	-0.3255
CDH8	-0.53125
AGPS	-1.716
C4orf18	3.788875
PECI	0.2595
UNG	-0.300125
GSTP1	-1.46475
DCUN1D5	-0.0788333333333333
DKFZP564J0863	-0.0805
SLC9A3R1	1.525625
BCDO2	-0.79875
CHMP7	0.87875
REM2	0.3495
DNHD1	-0.35225
FKBP4	-0.025
