Hybridization REF	TCGA-B6-A0RS-01A-11R-A084-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.401916666666667
CREB3L1	1.793
RPS11	0.820875
PNMA1	0.17825
MMP2	0.716166666666667
C10orf90	-2.69875
ZHX3	-0.636
ERCC5	0.34875
GPR98	-1.888125
RXFP3	0.4645
APBB2	-0.51425
PRO0478	-0.837375
KLHL13	1.04725
PRSSL1	-0.923333333333333
PDCL3	0.943
DECR1	0.334875
SALL1	-3.50616666666667
CADM4	1.57216666666667
RPS18	-0.214714285714286
HNRPD	-1.602
CFHR5	0.929333333333333
SLC10A7	0.81525
OR2K2	-0.9615
LMAN1	-0.78925
SUHW1	-3.483
CHD8	-0.0351
SUMO1	0.7367
GP1BA	0.6615
DDB1	0.120166666666667
MYO9B	-0.1014
MMP7	5.61575
CRNKL1	0.8485
C9orf45	-1.44783333333333
XAB2	-0.481
RTN1	2.5645
KLHL14	-1.2775
TBX10	2.3065
CENPQ	-2.41
UTY	-0.944571428571429
ZBTB12	-0.193
DTNBP1	0.04925
KBTBD8	-1.16916666666667
ZEB1	-0.091
ZG16	-1.36425
MIER1	0.6903
ADAM5P	0.351
CHD9	0.42825
STK16	0.23525
KIAA1486	-0.2975
TOB2	0.397083333333333
BANK1	2.60325
OR2V2	0.449
GRM2	-0.00433333333333335
PROSC	0.370625
SPIN2B	-0.44
PIR	-1.13488888888889
IPO9	0.2036
EVC	0.0913333333333333
CXCL13	6.15516666666667
KIAA1199	-0.2367
SORL1	1.46375
NAT10	-0.362
CHD1	-0.42275
SYN3	-1.17125
SLC22A2	-0.59875
SERPINF1	0.5
WDR34	0.45425
OR7A17	0.28525
C9orf11	-0.187
RNF216L	0.1236
LHB	-0.295
STK25	-0.55025
TAOK3	1.185
LOC152573	-2.73525
C3orf39	-0.506
C14orf108	1.19
CDC25B	-1.97863636363636
BMP3	0.1045
TMEM180	-0.208
MAP1LC3C	-0.00600000000000001
CRYGC	-0.387
POU3F1	-1.645
C20orf32	-1.149
CCDC95	-0.518
HIGD1B	2.91975
USP6NL	1.185
ABCD4	0.052
DIMT1L	-1.36783333333333
TEK	1.045125
SLC25A46	-0.62925
LARP7	-1.6922
CD160	0.711833333333333
MT1JP	-1.24566666666667
PHF20	0.9299375
CPNE4	-1.841
GTPBP1	-0.3
RAB33B	1.72883333333333
ALDOC	-2.576875
ZNF212	-0.83225
NUDT1	-1.3825
RFPL2	-1.32675
ZNF83	-0.31
GDPD5	0.30375
PDCD4	1.45985
CEP350	0.9535
OR10A2	0.2525
CST7	1.08025
CIAO1	-0.32175
SELL	1.2825
OR8J3	0.52
LTBP4	0.192333333333333
SIRT6	-0.22775
CCL19	4.5975
PPIL1	-0.655666666666667
GBP7	0.0796666666666667
STK17A	-0.6679
ABR	-0.322
OR9G1	-0.112
FOXE1	0.5575
CNGA3	-0.545
GML	0.1705
CD38	-0.6635
ZDHHC6	-0.00966666666666667
NEFH	-2.73725
CTDSP2	0.875833333333333
PGBD5	-1.49266666666667
CCNY	0.589714285714286
RMND5B	-0.222
ZNF257	-0.934
FLJ22167	-1.09625
EXOSC7	-0.5805
ROR2	1.038875
MAOA	-0.87325
TNNT3	0.619333333333333
GYPC	-0.87075
C7orf33	0.4415
PLIN	3.0455
LOC90826	0.4515
RNF4	-0.3632
F8A1	-0.294
PLEKHG4	-1.2575
GRB2	0.4926
HIST1H2AD	-0.47325
DUS3L	-1.112
EIF1	0.186
RP5-1077B9.4	-1.4805
FPGT	1.5555
GDF10	1.1105
COQ9	0.0385
GCC2	0.0814285714285714
RARRES3	2.6465
PLXNA1	-0.1053
KIAA0100	-0.4715
PMF1	-0.05075
FNDC1	5.13
HS2ST1	0.215416666666667
CRELD2	0.02025
C8G	-2.0595
CD82	2.11875
LIM2	-1.0535
UNQ6490	-0.612
MMP16	-0.496
DRD3	0.02625
C5orf26	-1.654
C11orf73	-0.1205
PTP4A2	-0.452
OR4M2	-0.0805
HPCA	0.281666666666667
SEC14L1	-0.0103333333333334
CHFR	0.45975
EMILIN1	0.79975
NDUFS4	-1.26875
COL18A1	0.152875
PDZD3	-0.2777
C9orf16	-0.0228333333333333
ERBB2IP	0.134333333333333
EMX2	3.086
FUS	-0.6565
TF	-4.1369
CLCN4	0.544333333333333
CXorf56	0.2275
C11orf72	-0.14275
ELAC2	-0.93125
NPR1	-0.92875
ASS1	0.1395
USP42	0.006
POLR2J	-0.358
SEC23IP	0.858
UQCRC1	-0.494
LOC729603	0.15975
C1orf71	0.2305
POLG	-1.36
ADAM23	-3.51875
TFR2	-1.887
RICTOR	-1.2836
MGC39606	-0.30025
C19orf55	-0.333
SNAPC1	-0.6295
GNA11	0.956875
CCDC52	-0.0645
FSIP1	-0.0345
UPF3A	0.237875
IGSF11	-2.83733333333333
LAGE3	-0.6545
CHST6	-2.3695
UNC13B	0.328875
TTLL4	-0.401375
ZNF687	0.6595
SDC2	2.6625
COX7A2	-0.22075
LAMB4	-0.21175
FAM24A	0.1875
LRRTM3	-0.493166666666667
GPHB5	0.363
OR4C13	0.226
EIF3EIP	0.476
HABP4	-0.403
TMEM125	3.30925
CNTN2	0.523
ASNSD1	0.20525
FUT4	0.684125
ACF	-4.0275
LOC158381	0.8185
CDH8	-0.20525
AGPS	-0.726666666666667
C4orf18	1.175375
PECI	0.339583333333333
UNG	0.321
GSTP1	1.1365
DCUN1D5	-0.8735
DKFZP564J0863	-0.175
SLC9A3R1	1.615375
BCDO2	-0.81
CHMP7	-0.188625
REM2	-0.7005
DNHD1	-1.053875
FKBP4	-0.4975
ZNF350	2.5985
MGC11102	0.3265
BST1	1.21275
KISS1R	0.266
NCR2	0.2435
DEFB125	-0.6225
UBE2W	1.19925
KRT15	2.72975
C10orf99	0.2065
SCN11A	-0.332875
GFI1	-1.653
RDHE2	-0.955833333333333
FHL1	-0.552166666666667
OSGEP	-0.0696666666666667
GATA1	-3.6625
SMC6	-0.32925
TTTY14	-1.185
LPIN3	0.256
RPL4	-0.7946
RBPMS	-0.0129
PRPF3	-0.400666666666667
EMR1	-2.0065
SPATA19	0.345666666666667
XCR1	0.4745
IRX3	2.0132
RBM6	-0.68275
KLF4	1.488
UNC5CL	1.0785
SEBOX	0.1195
BTK	0.05775
KRCC1	1.0025
C6orf27	0.112
SYTL5	-1.301
PRND	0.9125
LOC653319	-1.906
PIGL	-1.706125
HUS1	0.3295
SFRS6	-0.751916666666667
C17orf77	0.9325
UIMC1	-0.374666666666667
FXYD2	-2.1511
LOC283152	0.65
ZNF667	-1.555
ZCCHC12	-0.81525
TFEC	3.7665
ATP7B	0.2755
POLD2	-0.943
RG9MTD1	-0.041
ACOT2	0.9355
HIST1H4I	-0.725375
PPARGC1A	0.2996
ETFA	-0.7369
POLRMT	-0.67375
ZNF146	1.3075
MIA2	-1.4515
KLHL6	0.6395
HOXB5	-1.89475
NENF	0.856
CUGBP1	0.67175
PRSS22	1.9475
CASC4	1.5162
CUL4B	-0.3979
CENPJ	-0.089
PITX1	2.23633333333333
FLJ31033	0.225833333333333
CELSR3	-2.3645
ZNF568	1.6175
ITSN1	-0.887333333333333
EHBP1L1	-0.807
C19orf2	0.58925
