Hybridization REF	TCGA-A1-A0SK-01A-12R-A084-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	1.41233333333333
CREB3L1	-0.63725
RPS11	0.492875
PNMA1	0.94325
MMP2	-1.23316666666667
C10orf90	-2.755
ZHX3	-1.3315
ERCC5	0.791
GPR98	0.0145
RXFP3	-0.06
APBB2	0.9555
PRO0478	-1.313875
KLHL13	-0.75175
PRSSL1	-1.367
PDCL3	1.63766666666667
DECR1	-1.683
SALL1	-2.812
CADM4	1.5275
RPS18	0.139428571428571
HNRPD	1.04866666666667
CFHR5	1.1572
SLC10A7	-0.33075
OR2K2	-0.102
LMAN1	-0.948875
SUHW1	-2.75725
CHD8	-0.0708
SUMO1	0.5806
GP1BA	-0.2169
DDB1	0.182666666666667
MYO9B	0.1337
MMP7	6.52425
CRNKL1	-0.121375
C9orf45	1.021
XAB2	0.545625
RTN1	2.28757142857143
KLHL14	0.822
TBX10	-1.6455
CENPQ	-0.407
UTY	-1.09664285714286
ZBTB12	0.689
DTNBP1	-0.3385
KBTBD8	-1.4145
ZEB1	-1.62066666666667
ZG16	-2.02025
MIER1	-0.0249
ADAM5P	1.25
CHD9	-0.4450625
STK16	-0.903
KIAA1486	-0.143
TOB2	-1.48991666666667
BANK1	0.45975
OR2V2	-0.27525
GRM2	1.52266666666667
PROSC	2.10525
SPIN2B	0.08
PIR	-3.53611111111111
IPO9	0.6811
EVC	-0.481333333333333
CXCL13	3.87116666666667
KIAA1199	-1.8178
SORL1	0.97475
NAT10	-0.3115
CHD1	-0.94225
SYN3	0.5465
SLC22A2	-0.38075
SERPINF1	-1.96533333333333
WDR34	0.70925
OR7A17	0.03575
C9orf11	0.014
RNF216L	-1.632
LHB	-0.384
STK25	-0.058125
TAOK3	1.00525
LOC152573	-1.39475
C3orf39	0.375875
C14orf108	1.0064
CDC25B	0.686909090909091
BMP3	0.594
TMEM180	0.8755
MAP1LC3C	-0.42075
CRYGC	-0.7995
POU3F1	1.9983
C20orf32	-1.9225
CCDC95	-1.135
HIGD1B	3.31725
USP6NL	-0.098625
ABCD4	-0.248333333333333
DIMT1L	-0.808666666666667
TEK	-0.54575
SLC25A46	-0.867
LARP7	-1.6126
CD160	0.3275
MT1JP	-2.12083333333333
PHF20	-0.311375
CPNE4	1.23475
GTPBP1	0.432857142857143
RAB33B	1.30066666666667
ALDOC	-2.775
ZNF212	0.3755
NUDT1	-0.5775
RFPL2	0.71625
ZNF83	0.658
GDPD5	0.0495
PDCD4	0.73405
CEP350	-0.395
OR10A2	0.20425
CST7	-2.07625
CIAO1	-0.941
SELL	-0.337375
OR8J3	-1.542
LTBP4	-1.28333333333333
SIRT6	0.10175
CCL19	2.023
PPIL1	-1.03166666666667
GBP7	-0.182333333333333
STK17A	-2.0246
ABR	1.51725
OR9G1	2.059
FOXE1	-0.03825
CNGA3	2.455
GML	0.1445
CD38	-3.1135
ZDHHC6	0.445
NEFH	0.84825
CTDSP2	1.28991666666667
PGBD5	2.19016666666667
CCNY	0.686428571428571
RMND5B	-0.4475
