Hybridization REF	TCGA-A2-A0SX-01A-12R-A084-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	1.09083333333333
CREB3L1	0.36375
RPS11	-0.46775
PNMA1	0.14575
MMP2	1.4875
C10orf90	-0.76125
ZHX3	-1.35
ERCC5	0.432
GPR98	-0.7345
RXFP3	-0.0485
APBB2	-0.6
PRO0478	-0.7695
KLHL13	-1.9825
PRSSL1	-1.12816666666667
PDCL3	0.717666666666667
DECR1	-0.3725
SALL1	-4.3155
CADM4	-0.450666666666667
RPS18	0.0304285714285714
HNRPD	0.0703333333333333
CFHR5	0.746833333333333
SLC10A7	-0.04625
OR2K2	0.699
LMAN1	0.066625
SUHW1	-3.40525
CHD8	-0.188
SUMO1	0.3036
GP1BA	1.0679
DDB1	-0.129666666666667
MYO9B	0.7223
MMP7	7.34175
CRNKL1	0.487125
C9orf45	-0.997166666666667
XAB2	0.51875
RTN1	2.17125
KLHL14	-1.109375
TBX10	-1.7815
CENPQ	-0.5145
UTY	-1.16185714285714
ZBTB12	-1.001
DTNBP1	0.442375
KBTBD8	-0.588333333333333
ZEB1	0.00883333333333335
ZG16	-2.311
MIER1	0.4243
ADAM5P	0.1475
CHD9	-0.1490625
STK16	0.98425
KIAA1486	-0.485
TOB2	-0.00616666666666666
BANK1	4.892
OR2V2	-0.07125
GRM2	0.0505
PROSC	0.5215
SPIN2B	-1.08475
PIR	-2.74611111111111
IPO9	0.3218
EVC	1.605
CXCL13	6.30466666666667
KIAA1199	0.0424444444444444
SORL1	-0.182
NAT10	-0.6755
CHD1	-0.8525
SYN3	-0.3845
SLC22A2	1.0805
SERPINF1	1.524
WDR34	-0.34525
OR7A17	0.3
C9orf11	-0.6515
RNF216L	-1.1663
LHB	-0.3065
STK25	0.430875
TAOK3	1.066
LOC152573	-2.83825
C3orf39	-0.03875
C14orf108	0.6332
CDC25B	-0.935909090909091
BMP3	-0.8855
TMEM180	0.1035
MAP1LC3C	1.87525
CRYGC	0.3135
POU3F1	-1.4882
C20orf32	-1.377
CCDC95	-1.071
HIGD1B	3.2385
USP6NL	0.5465
ABCD4	-0.277666666666667
DIMT1L	-0.77825
TEK	0.927375
SLC25A46	-0.51075
LARP7	-2.2985
CD160	1.01033333333333
MT1JP	-0.878833333333333
PHF20	-0.181875
CPNE4	-0.14125
GTPBP1	0.0857142857142857
RAB33B	0.965166666666667
ALDOC	-2.21725
ZNF212	0.467
NUDT1	-1.07016666666667
RFPL2	-0.023
ZNF83	-0.181666666666667
GDPD5	0.4355
PDCD4	1.5662
CEP350	0.58575
OR10A2	-0.091
CST7	2.0205
CIAO1	-1.1725
SELL	2.442875
OR8J3	0.043
LTBP4	0.634
SIRT6	-0.723
CCL19	4.80475
PPIL1	-1.374
GBP7	0.351
STK17A	-0.1817
ABR	0.7625
OR9G1	0.2725
FOXE1	-0.332875
CNGA3	-1.187
GML	0.12
CD38	1.599
ZDHHC6	0.417833333333333
NEFH	-1.7045
CTDSP2	1.61408333333333
PGBD5	3.4595
CCNY	0.452714285714286
RMND5B	-0.402416666666667
ZNF257	-0.0315
FLJ22167	0.142
EXOSC7	-0.970666666666666
ROR2	1.61025
MAOA	-0.09875
TNNT3	3.24533333333333
GYPC	-0.4935
C7orf33	1.2115
PLIN	3.8315
LOC90826	-0.49575
RNF4	0.6102
F8A1	0.614
PLEKHG4	0.90475
GRB2	0.5577
HIST1H2AD	-1.59425
DUS3L	-0.1005
EIF1	-0.093
RP5-1077B9.4	-0.590833333333333
FPGT	0.91675
GDF10	0.5285
COQ9	-0.000499999999999994
GCC2	0.412142857142857
RARRES3	1.837125
PLXNA1	0.4436
KIAA0100	-0.1657
PMF1	0.17625
FNDC1	5.1835
HS2ST1	0.406166666666667
CRELD2	-0.1065
C8G	-1.9245
CD82	2.1995
LIM2	-1.376
UNQ6490	0.868
MMP16	-0.333
DRD3	-0.2795
C5orf26	-0.48075
C11orf73	-0.272
PTP4A2	-0.24575
OR4M2	0.055
HPCA	-0.175166666666667
SEC14L1	-0.08
CHFR	0.901875
EMILIN1	0.5775
NDUFS4	-1.38875
COL18A1	-0.087125
PDZD3	-0.3857
C9orf16	-0.656333333333333
ERBB2IP	-0.4255
EMX2	3.162
FUS	0.0955
TF	-3.8404
CLCN4	1.17666666666667
CXorf56	0.384
C11orf72	0.1355
ELAC2	-0.184166666666667
NPR1	-0.08875
ASS1	-0.0218333333333333
USP42	-0.305375
POLR2J	-0.9795
SEC23IP	0.483666666666667
UQCRC1	-0.28625
LOC729603	0.3645
C1orf71	0.37625
POLG	-1.894
ADAM23	-3.18775
TFR2	-0.75675
RICTOR	-0.5265
MGC39606	0.077
C19orf55	0.173625
SNAPC1	-1.39716666666667
GNA11	0.32375
CCDC52	-0.399166666666667
FSIP1	-0.348
UPF3A	0.8805
IGSF11	-2.26966666666667
LAGE3	0.00225
CHST6	-0.0915
UNC13B	0.2585
TTLL4	2.29625
ZNF687	0.049125
SDC2	1.0135
COX7A2	-0.726
LAMB4	0.0975
FAM24A	-0.166
LRRTM3	-1.40883333333333
GPHB5	-0.64525
OR4C13	-0.043
EIF3EIP	-0.288071428571429
HABP4	0.2735
TMEM125	3.072
CNTN2	0.1645
ASNSD1	0.11075
FUT4	0.45275
ACF	-4.72175
LOC158381	0.0455
CDH8	-0.0206666666666667
AGPS	-0.39
C4orf18	1.80425
PECI	-1.2645
UNG	0.256375
GSTP1	0.287125
DCUN1D5	-1.1595
DKFZP564J0863	-0.86875
SLC9A3R1	0.077
BCDO2	-0.8605
CHMP7	0.27075
REM2	0.828
DNHD1	-0.250125
FKBP4	-0.65275
ZNF350	0.553
MGC11102	-0.015375
BST1	1.97375
KISS1R	-0.0155
NCR2	-0.2945
DEFB125	0.766
UBE2W	0.851625
KRT15	2.79225
C10orf99	-0.3955
SCN11A	0.101625
GFI1	-0.71175
RDHE2	2.63666666666667
FHL1	1.00683333333333
OSGEP	-0.286166666666667
GATA1	-4.46083333333333
SMC6	-0.509
TTTY14	-1.16225
LPIN3	-0.2615
RPL4	-0.1691
RBPMS	-0.5671
PRPF3	0.109
EMR1	-1.8475
SPATA19	0.356
XCR1	-0.132
IRX3	1.3413
RBM6	-0.62775
KLF4	-0.2856
UNC5CL	-0.04175
SEBOX	0.662
BTK	0.63775
KRCC1	1.044
C6orf27	-0.086
SYTL5	-1.0175
PRND	1.37225
LOC653319	-1.164
PIGL	-1.70725
HUS1	-1.01083333333333
SFRS6	0.447416666666667
C17orf77	0.66
UIMC1	-0.441333333333333
FXYD2	-1.8514
LOC283152	-0.19625
ZNF667	1.435
ZCCHC12	-0.024
TFEC	4.3633
ATP7B	-1.41466666666667
POLD2	-1.24983333333333
RG9MTD1	-0.64525
ACOT2	-0.595833333333333
HIST1H4I	-1.3865
PPARGC1A	-0.6612
ETFA	-1.7014
POLRMT	-1.2355
ZNF146	2.266375
MIA2	-1.303
KLHL6	0.899666666666667
HOXB5	1.07825
NENF	0.235333333333333
CUGBP1	-0.86975
PRSS22	0.847666666666667
CASC4	0.2508
CUL4B	-0.2997
CENPJ	-0.0788
PITX1	0.2735
FLJ31033	1.204
CELSR3	-2.341
ZNF568	1.73425
ITSN1	-0.434666666666667
EHBP1L1	-0.103166666666667
C19orf2	1.02525
DCTN1	0.0745
LIN28B	-1.15183333333333
TNKS2	0.49325
C1QBP	-0.653
CADPS2	0.445
SRMS	0.5745
GJA9	0.420333333333333
MGC24975	-1.89533333333333
TRIM45	-0.740666666666667
TSP50	0.63925
TCP1	-0.16125
TMED7	-0.4437
CMA1	0.4655
CENPL	0.401666666666667
