Hybridization REF	TCGA-BH-A0HP-01A-12R-A084-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.703333333333333
CREB3L1	1.6965
RPS11	0.860125
PNMA1	0.20225
MMP2	0.727
C10orf90	-1.4725
ZHX3	-0.229
ERCC5	0.4255
GPR98	-1.071
RXFP3	0.085
APBB2	1.577
PRO0478	-1.226
KLHL13	-0.5765
PRSSL1	-0.7255
PDCL3	0.113166666666667
DECR1	-0.472625
SALL1	-4.11033333333333
CADM4	0.9595
RPS18	0.7745
HNRPD	-0.34825
CFHR5	0.6004
SLC10A7	0.43275
OR2K2	-0.3015
LMAN1	-1.093375
SUHW1	-3.64625
CHD8	-0.2233
SUMO1	0.5244
GP1BA	-0.1685
DDB1	0.0231666666666667
MYO9B	-0.378
MMP7	7.365
CRNKL1	1.0935
C9orf45	-1.2575
XAB2	0.1325
RTN1	1.231875
KLHL14	-0.482875
TBX10	-1.2075
CENPQ	-1.89425
UTY	-1.04578571428571
ZBTB12	-0.3695
DTNBP1	0.0826249999999999
KBTBD8	-1.41316666666667
ZEB1	0.4575
ZG16	-1.73725
MIER1	0.4743
ADAM5P	0.363
CHD9	-0.3735625
STK16	0.95625
KIAA1486	-0.663
TOB2	0.551583333333333
BANK1	2.15975
OR2V2	0.261
GRM2	0.401333333333333
PROSC	0.49275
SPIN2B	0.26825
PIR	-0.640111111111111
IPO9	-0.3499
EVC	1.1685
CXCL13	2.0295
KIAA1199	-2.6058
SORL1	0.78375
NAT10	-0.63225
CHD1	-0.74075
SYN3	-0.294
SLC22A2	-0.73775
SERPINF1	0.791166666666667
WDR34	-0.43975
OR7A17	0.145
C9orf11	0.276
RNF216L	-0.0148
LHB	-0.4325
STK25	0.0045
TAOK3	0.902
LOC152573	-2.24
C3orf39	0.715625
C14orf108	0.6082
CDC25B	-1.79054545454545
BMP3	0.4435
TMEM180	0.089
MAP1LC3C	0.98375
CRYGC	-0.46
POU3F1	-1.1012
C20orf32	-1.128
CCDC95	-0.5435
HIGD1B	4.384
USP6NL	0.010125
ABCD4	-0.123
DIMT1L	-0.613666666666667
TEK	2.10775
SLC25A46	-0.40575
LARP7	-1.8665
CD160	0.5555
MT1JP	-0.463833333333333
PHF20	0.161375
CPNE4	-1.55925
GTPBP1	-0.452142857142857
RAB33B	1.97166666666667
ALDOC	-2.35275
ZNF212	0.00425
NUDT1	-0.751666666666667
RFPL2	-1.13225
ZNF83	0.139666666666667
GDPD5	-0.01
PDCD4	1.9403
CEP350	0.01225
OR10A2	0.281
CST7	0.51625
CIAO1	-1.15525
SELL	1.133875
OR8J3	0.12
LTBP4	0.1605
SIRT6	-0.33225
CCL19	4.4465
PPIL1	-1.40333333333333
GBP7	0.948
STK17A	-0.8335
ABR	-0.08075
OR9G1	0.6755
FOXE1	-0.724
CNGA3	0.981
GML	-0.004
CD38	-2.5345
ZDHHC6	-0.5425
NEFH	0.1995
CTDSP2	1.20866666666667
PGBD5	-0.931
CCNY	0.470857142857143
RMND5B	0.655166666666667
ZNF257	-1.7065
FLJ22167	0.24875
EXOSC7	-0.3835
ROR2	2.244
MAOA	2.73125
TNNT3	2.45316666666667
GYPC	-0.493
C7orf33	0.2325
PLIN	3.70383333333333
LOC90826	-0.06925
RNF4	0.0592
F8A1	0.487166666666667
PLEKHG4	-1.061
GRB2	-0.1271
HIST1H2AD	-0.4505
DUS3L	-0.635833333333333
EIF1	-0.569833333333333
RP5-1077B9.4	-1.40933333333333
FPGT	1.71375
GDF10	2.2955
COQ9	-0.432
GCC2	0.0943571428571429
RARRES3	3.368
PLXNA1	-0.7462
KIAA0100	-0.7254
PMF1	0.31975
FNDC1	5.3825
HS2ST1	-0.100833333333333
CRELD2	0.5235
C8G	-1.4525
CD82	1.682
LIM2	-1.252
UNQ6490	-0.037
MMP16	0.336
DRD3	-0.10425
C5orf26	0.0245
C11orf73	-0.8005
PTP4A2	0.552
OR4M2	0.1475
HPCA	-0.714166666666667
SEC14L1	-0.860166666666667
CHFR	-0.7155
EMILIN1	0.656875
NDUFS4	-0.3595
COL18A1	0.275
PDZD3	0.2067
C9orf16	-0.269333333333333
ERBB2IP	0.278166666666667
EMX2	4.28175
FUS	-0.524
TF	-3.2381
CLCN4	0.664166666666667
CXorf56	0.30575
C11orf72	0.43075
ELAC2	-0.971583333333333
NPR1	0.06175
ASS1	-1.21516666666667
USP42	0.444375
POLR2J	-0.7785
SEC23IP	-0.0293333333333333
UQCRC1	-0.0545
LOC729603	-0.27425
C1orf71	-0.273125
POLG	-2.68
ADAM23	-2.97725
TFR2	-1.124
RICTOR	-0.6417
MGC39606	1.6715
C19orf55	-0.488625
SNAPC1	-1.8615
GNA11	1.042625
CCDC52	0.485166666666667
FSIP1	3.753
UPF3A	0.122625
IGSF11	-2.78083333333333
LAGE3	1.018
CHST6	-2.61
UNC13B	0.85875
TTLL4	-0.96475
ZNF687	0.647625
SDC2	-0.3277
COX7A2	-0.9305
LAMB4	-0.113
FAM24A	0.339
LRRTM3	-0.7875
GPHB5	0.48025
OR4C13	0.5085
EIF3EIP	0.722285714285714
HABP4	-0.029
TMEM125	3.821
CNTN2	0.62975
ASNSD1	-0.1975
FUT4	-0.307125
ACF	-4.05225
LOC158381	0.317
CDH8	0.51375
AGPS	-2.187
C4orf18	3.95725
PECI	0.381333333333333
UNG	0.3385
GSTP1	0.018375
DCUN1D5	-1.821
DKFZP564J0863	-0.61375
SLC9A3R1	-0.158125
BCDO2	-0.079625
CHMP7	0.50275
REM2	0.637
DNHD1	-0.420375
FKBP4	-0.3415
ZNF350	2.15825
MGC11102	0.114625
BST1	0.9255
KISS1R	0.486
NCR2	-0.174
DEFB125	-1.8875
UBE2W	0.5455
KRT15	1.92975
C10orf99	0.3145
SCN11A	-0.0201250000000001
GFI1	-2.1785
RDHE2	2.4165
FHL1	-0.0985
OSGEP	-0.0176666666666667
GATA1	-3.39483333333333
SMC6	-1.3925
TTTY14	-1.11175
LPIN3	-0.1955
RPL4	-0.1843
RBPMS	0.554
PRPF3	-0.9905
EMR1	-1.81
SPATA19	-0.06775
XCR1	0.251
IRX3	1.8396
RBM6	-0.49
KLF4	0.6899
UNC5CL	-0.80625
SEBOX	-0.141
BTK	-0.297
KRCC1	1.926
C6orf27	0.299
SYTL5	-0.12
PRND	1.70425
LOC653319	-1.8965
PIGL	-2.309875
HUS1	-0.296166666666667
SFRS6	0.000749999999999987
C17orf77	0.551
UIMC1	-0.5685
FXYD2	-1.8952
LOC283152	-0.69325
ZNF667	0.646
ZCCHC12	-0.8085
TFEC	2.7837
ATP7B	1.20383333333333
POLD2	-0.484333333333333
RG9MTD1	-0.51575
ACOT2	0.598833333333333
HIST1H4I	-1.416625
PPARGC1A	-1.088
ETFA	-1.7571
POLRMT	-0.56175
ZNF146	0.2125
MIA2	-1.2555
KLHL6	-1.03316666666667
HOXB5	-0.4125
NENF	0.969
CUGBP1	-0.24625
PRSS22	0.437333333333333
CASC4	0.7526
CUL4B	0.178
CENPJ	-1.5114
PITX1	1.074
FLJ31033	1.3275
CELSR3	-1.84633333333333
ZNF568	1.54375
ITSN1	-0.0433333333333333
EHBP1L1	-0.956
C19orf2	-0.56975
DCTN1	0.46975
LIN28B	-3.89766666666667
TNKS2	-0.5455
C1QBP	-1.054875
CADPS2	1.45825
SRMS	0.53725
GJA9	0.4585
MGC24975	-1.19766666666667
TRIM45	0.0246666666666667
TSP50	0.24125
TCP1	-1.3225
TMED7	0.3468
CMA1	0.447
CENPL	-0.0953333333333333
PTCRA	-0.2725
FST	-3.378
VWCE	-3.50325
PAWR	-2.35975
ABCC12	0.372166666666667
LDLR	-2.3828
ASTN2	1.2055
LOC441212	-0.64625
GPATCH8	-0.358
TANC2	-1.53191666666667
KIF4A	-1.64125
C18orf18	-1.3065
PGM1	-0.33725
KIAA0258	1.4205
CPD	0.705
SNCAIP	0.23
DCT	-4.184
HLA-DOA	3.05718181818182
OR11L1	0.4455
UPK1B	-0.211833333333333
DNAJB4	0.9035
UGT1A8	-0.24175
HIST1H4L	-1.935
PECR	-0.712333333333333
HSPA2	1.649
WFIKKN1	-2.009
SERP1	1.222
SYDE2	1.63625
TACR2	0.8775
NUP85	-1.3365
CD177	-0.313
LGR5	-1.47733333333333
PIGG	-0.188166666666667
PTHR1	-1.54483333333333
RAB5A	0.4442
FLJ13224	-0.475
USP9Y	-1.41916666666667
C7orf53	-1.2455
LRP1B	0.225
XAF1	1.6779
ABCG8	-0.1885
ANKDD1A	-0.702833333333333
DAND5	-1.399
SPAG6	5.03983333333333
LINCR	1.97275
ZDHHC22	-1.664375
CCDC60	0.8775
THOC7	-0.974666666666667
TCTA	1.2813
OR8K3	0.656
NY-REN-7	-0.41075
B2M	1.383
C6orf141	-2.285625
LPPR4	3.02825
SQLE	-2.33425
SEPHS1	-0.2915
BTBD14B	0.447357142857143
PLRG1	-0.1825
SPG7	-0.50025
ZNF614	0.154
PARD6G	0.698833333333333
INPP5B	0.1143
GRPEL2	-0.409875
