Hybridization REF	TCGA-B6-A0RT-01A-21R-A084-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	1.00575
CREB3L1	0.14575
RPS11	0.241875
PNMA1	0.0175
MMP2	0.4425
C10orf90	-1.86125
ZHX3	-0.963
ERCC5	0.877
GPR98	-1.8155
RXFP3	0.0825
APBB2	0.19
PRO0478	-0.708125
KLHL13	-0.3665
PRSSL1	-0.352833333333333
PDCL3	0.334666666666667
DECR1	-0.21075
SALL1	-3.5705
CADM4	0.324333333333333
RPS18	0.0057142857142857
HNRPD	-0.296833333333333
CFHR5	0.7365
SLC10A7	0.02725
OR2K2	0.3455
LMAN1	0.08175
SUHW1	-3.1895
CHD8	-0.3826
SUMO1	-0.1396
GP1BA	2.6407
DDB1	-0.135
MYO9B	0.6288
MMP7	7.612
CRNKL1	-0.233875
C9orf45	-0.328
XAB2	0.18475
RTN1	1.8315
KLHL14	-0.05425
TBX10	-0.9865
CENPQ	-1.14325
UTY	-0.821357142857143
ZBTB12	-0.315
DTNBP1	0.56275
KBTBD8	1.00366666666667
ZEB1	0.0351666666666667
ZG16	-1.79625
MIER1	0.3699
ADAM5P	0.1835
CHD9	-0.43875
STK16	0.9955
KIAA1486	-0.5175
TOB2	0.565166666666667
BANK1	5.90725
OR2V2	-0.11275
GRM2	0.0905
PROSC	0.532125
SPIN2B	-0.3045
PIR	-1.26822222222222
IPO9	-0.7927
EVC	0.893833333333333
CXCL13	8.00633333333333
KIAA1199	-2.2188
SORL1	1.21075
NAT10	0.16775
CHD1	-0.1605
SYN3	-0.5115
SLC22A2	-0.31775
SERPINF1	1.31933333333333
WDR34	-0.7645
OR7A17	0.1325
C9orf11	-0.1505
RNF216L	0.0468
LHB	-0.2445
STK25	0.57675
TAOK3	1.281875
LOC152573	-2.55825
C3orf39	-0.119625
C14orf108	0.7663
CDC25B	-0.0030909090909091
BMP3	0.036
TMEM180	-0.5285
MAP1LC3C	2.11925
CRYGC	-0.346
POU3F1	-0.7835
C20orf32	-0.921
CCDC95	-0.5845
HIGD1B	3.09525
USP6NL	0.69925
ABCD4	0.193
DIMT1L	-0.206
TEK	1.507375
SLC25A46	-0.28375
LARP7	-1.876
CD160	1.969
MT1JP	-0.8575
PHF20	-0.601875
CPNE4	-0.70325
GTPBP1	0.0374285714285714
RAB33B	0.703
ALDOC	-2.4855
ZNF212	-0.000749999999999999
NUDT1	-0.0936666666666667
RFPL2	0.4545
ZNF83	-0.207
GDPD5	-0.3755
PDCD4	1.39415
CEP350	0.3525
OR10A2	0.64175
CST7	3.5895
CIAO1	-0.433
SELL	3.8285
OR8J3	0.207
LTBP4	-0.44
SIRT6	-0.28425
CCL19	5.47
PPIL1	-0.635
GBP7	0.1244
STK17A	0.5674
ABR	0.65425
OR9G1	-0.1255
FOXE1	-1.04
CNGA3	-0.081
GML	0.579
CD38	2.2845
ZDHHC6	0.1755
NEFH	-1.873
CTDSP2	0.851916666666667
PGBD5	2.40016666666667
CCNY	1.03707142857143
RMND5B	0.05375
ZNF257	0.15175
FLJ22167	0.10475
EXOSC7	-0.214
ROR2	1.199875
MAOA	-1.047875
TNNT3	0.579166666666667
GYPC	-0.0595
C7orf33	0.4685
PLIN	3.74216666666667
LOC90826	-0.2435
RNF4	0.9986
F8A1	1.75633333333333
PLEKHG4	-0.3255
GRB2	0.826
HIST1H2AD	-0.79775
DUS3L	-0.668166666666667
EIF1	-0.139666666666667
RP5-1077B9.4	0.180833333333333
FPGT	0.94275
GDF10	0.888
COQ9	-0.24825
GCC2	0.368571428571429
RARRES3	2.8265
PLXNA1	0.0909
KIAA0100	-0.0013
PMF1	0.48675
FNDC1	5.37525
HS2ST1	-0.2655
CRELD2	0.5615
C8G	-1.3755
CD82	1.6805
LIM2	5.2175
UNQ6490	-0.921
MMP16	0.188
DRD3	-0.1515
C5orf26	-1.16725
C11orf73	-0.509125
PTP4A2	0.52475
OR4M2	-0.199
HPCA	-0.978
SEC14L1	0.245333333333333
CHFR	0.60425
EMILIN1	1.0085
NDUFS4	-0.9695
COL18A1	-0.686125
PDZD3	-0.0378
C9orf16	-0.653666666666667
ERBB2IP	0.343833333333333
EMX2	2.9265
FUS	-0.41225
TF	-3.8178
CLCN4	1.70783333333333
CXorf56	1.107
C11orf72	0.2445
ELAC2	-0.295833333333333
NPR1	0.191
ASS1	-1.22383333333333
USP42	0.253
POLR2J	-1.0155
SEC23IP	0.3545
UQCRC1	-0.40125
LOC729603	-0.42275
C1orf71	0.21
POLG	-1.269
ADAM23	-3.1415
TFR2	-0.6875
RICTOR	-0.4052
MGC39606	1.3325
C19orf55	-0.237625
SNAPC1	-1.36833333333333
GNA11	0.27225
CCDC52	-0.909166666666667
FSIP1	-0.3495
UPF3A	0.0975
IGSF11	-2.4815
LAGE3	1.02625
CHST6	-2.2805
UNC13B	0.173375
TTLL4	0.837875
ZNF687	0.798375
SDC2	-1.1979
COX7A2	-0.69325
LAMB4	-0.23925
FAM24A	-0.2755
LRRTM3	-0.743166666666667
GPHB5	0.07175
OR4C13	0.338
EIF3EIP	-0.512
HABP4	0.1365
TMEM125	2.02325
CNTN2	0.348875
ASNSD1	-0.23725
FUT4	0.973625
ACF	-4.305
LOC158381	-0.2255
CDH8	-0.258333333333333
AGPS	-0.883833333333333
C4orf18	1.922
PECI	-1.36516666666667
UNG	-0.3135
GSTP1	0.325875
DCUN1D5	-0.587666666666667
DKFZP564J0863	0.98025
SLC9A3R1	0.91175
BCDO2	0.382625
CHMP7	0.8685
REM2	-0.3115
DNHD1	-0.014125
FKBP4	-0.935875
ZNF350	1.33125
MGC11102	0.4255
BST1	1.564
KISS1R	0.4765
NCR2	0.6305
DEFB125	0.264
UBE2W	0.153375
KRT15	1.737875
C10orf99	0.004
SCN11A	0.11925
GFI1	1.01575
RDHE2	0.7735
FHL1	-0.781666666666667
OSGEP	0.216333333333333
GATA1	-3.98966666666667
SMC6	-0.35525
TTTY14	-0.785
LPIN3	-0.33275
RPL4	-0.4538
RBPMS	-0.3317
