Hybridization REF	TCGA-A1-A0SM-01A-11R-A084-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	1.66675
CREB3L1	2.58
RPS11	-0.525
PNMA1	0.64175
MMP2	1.5915
C10orf90	-1.86975
ZHX3	0.0598333333333333
ERCC5	-0.17725
GPR98	0.091875
RXFP3	0.171
APBB2	0.862
PRO0478	-1.231875
KLHL13	-1.83775
PRSSL1	-0.843833333333333
PDCL3	0.457166666666667
DECR1	-1.08175
SALL1	-3.304
CADM4	1.14983333333333
RPS18	-0.745857142857143
HNRPD	-0.477
CFHR5	0.244666666666667
SLC10A7	0.560875
OR2K2	0.567
LMAN1	0.5705
SUHW1	-3.1205
CHD8	0.1412
SUMO1	-0.0344
GP1BA	-0.0248
DDB1	-0.394666666666667
MYO9B	0.0642
MMP7	5.71675
CRNKL1	0.497625
C9orf45	-2.403
XAB2	-0.12
RTN1	1.091375
KLHL14	-1.20875
TBX10	-0.991
CENPQ	-1.495
UTY	1.53921428571429
ZBTB12	-1.2445
DTNBP1	-0.348875
KBTBD8	-1.95583333333333
ZEB1	0.528666666666667
ZG16	-1.591
MIER1	1.1526
ADAM5P	-0.075
CHD9	-0.2635625
STK16	1.1075
KIAA1486	-0.17
TOB2	0.6165
BANK1	2.0075
OR2V2	0.539
GRM2	0.22
PROSC	1.15625
SPIN2B	0.11625
PIR	-2.82266666666667
IPO9	0.1806
EVC	1.6595
CXCL13	3.94366666666667
KIAA1199	1.46
SORL1	1.5025
NAT10	-0.0915
CHD1	-0.47425
SYN3	-0.38975
SLC22A2	-0.799
SERPINF1	1.584
WDR34	-0.74675
OR7A17	0.5205
C9orf11	0.0225
RNF216L	-0.6017
LHB	-0.3825
STK25	0.044875
TAOK3	1.117
LOC152573	-2.693
C3orf39	0.592375
C14orf108	0.6639
CDC25B	-1.428
BMP3	0.1635
TMEM180	0.364
MAP1LC3C	0.34675
CRYGC	-0.4545
POU3F1	-1.4815
C20orf32	-0.832
CCDC95	-0.5845
HIGD1B	3.5675
USP6NL	0.15975
ABCD4	-0.731666666666667
DIMT1L	-0.7335
TEK	0.98825
SLC25A46	-0.38675
LARP7	-2.3579
CD160	-0.134
MT1JP	-0.452666666666667
PHF20	-0.1259375
CPNE4	1.927
GTPBP1	-0.335857142857143
RAB33B	1.18016666666667
ALDOC	-1.281375
ZNF212	-0.75775
NUDT1	-1.337
RFPL2	-0.58525
ZNF83	0.284833333333333
GDPD5	2.42675
PDCD4	0.5941
CEP350	0.8535
OR10A2	0.091
CST7	0.21675
CIAO1	-1.1075
SELL	0.521875
OR8J3	0.742
LTBP4	-0.536833333333333
SIRT6	0.2075
CCL19	3.13475
PPIL1	-1.252
GBP7	-0.368666666666667
STK17A	-0.4715
ABR	0.93075
OR9G1	0.402
FOXE1	-0.663875
CNGA3	0.2305
GML	0.254
CD38	-4.22675
ZDHHC6	0.3795
NEFH	-2.49575
CTDSP2	1.14416666666667
PGBD5	-1.11733333333333
CCNY	0.650714285714286
RMND5B	0.0663333333333333
ZNF257	-2.831
FLJ22167	-0.19875
EXOSC7	-0.688833333333333
ROR2	1.97625
MAOA	-2.101625
TNNT3	-0.3855
GYPC	-1.364
C7orf33	0.43
PLIN	0.254333333333333
LOC90826	-0.183
RNF4	0.3111
F8A1	0.538666666666667
PLEKHG4	-1.93475
GRB2	1.3071
HIST1H2AD	-2.0615
DUS3L	-0.779833333333333
EIF1	-0.0928333333333333
RP5-1077B9.4	-1.57283333333333
FPGT	1.10025
GDF10	-0.755
COQ9	-0.54625
GCC2	0.00707142857142857
RARRES3	2.173
PLXNA1	0.0949
KIAA0100	1.0421
PMF1	0.54525
FNDC1	5.02975
HS2ST1	0.374166666666667
CRELD2	1.224
C8G	-2.2505
CD82	1.11125
LIM2	-1.2765
UNQ6490	-0.143
MMP16	0.158
DRD3	-0.01725
C5orf26	-1.902
C11orf73	-1.2425
PTP4A2	1.4925
OR4M2	0.249
HPCA	-0.404166666666667
SEC14L1	0.474166666666667
CHFR	0.479375
EMILIN1	0.921125
NDUFS4	-0.61875
COL18A1	0.44375
PDZD3	0.0489
C9orf16	-0.802666666666667
ERBB2IP	0.313333333333333
EMX2	2.958
FUS	-0.09775
TF	-4.5052
CLCN4	0.762333333333333
CXorf56	0.30425
C11orf72	0.336
ELAC2	-0.78525
NPR1	-0.77275
ASS1	-3.05383333333333
USP42	-0.182
POLR2J	-0.4695
SEC23IP	1.84233333333333
UQCRC1	0.19875
LOC729603	-0.007
C1orf71	0.24025
POLG	-1.6675
ADAM23	-3.28625
TFR2	-0.83625
RICTOR	-0.6795
MGC39606	0.714
C19orf55	-0.50875
SNAPC1	-1.86166666666667
GNA11	1.195625
CCDC52	0.0138333333333333
FSIP1	2.422
UPF3A	0.26925
IGSF11	-1.8445
LAGE3	0.80275
CHST6	-1.6545
UNC13B	2.57375
TTLL4	-1.08675
ZNF687	0.928875
SDC2	0.4821
COX7A2	-0.52475
LAMB4	-0.2975
FAM24A	0.8235
LRRTM3	-0.324333333333333
GPHB5	-0.3505
OR4C13	-0.387
EIF3EIP	-0.149
HABP4	0.1645
TMEM125	4.25775
CNTN2	1.404
ASNSD1	-0.37425
FUT4	0.323875
ACF	-3.7835
LOC158381	0.8805
CDH8	-0.208
AGPS	-0.353333333333333
C4orf18	2.489125
PECI	-0.231583333333333
UNG	-0.4005
GSTP1	-2.3255
DCUN1D5	-1.86233333333333
DKFZP564J0863	-1.638
SLC9A3R1	1.7415
BCDO2	-0.92325
CHMP7	1.22525
REM2	0.978
DNHD1	-0.57925
FKBP4	0.1265
ZNF350	1.1195
MGC11102	-0.10375
BST1	1.6555
KISS1R	0.1945
NCR2	0.1145
DEFB125	-0.8885
UBE2W	0.9205
KRT15	3.68425
C10orf99	0.2075
SCN11A	0.06525
GFI1	-2.60675
RDHE2	4.57716666666667
FHL1	-0.5395
OSGEP	-0.630833333333333
GATA1	-3.93783333333333
SMC6	-0.27325
TTTY14	1.14825
LPIN3	-0.04875
RPL4	-0.1784
RBPMS	-0.3626
PRPF3	-0.0353333333333333
EMR1	-2.394
SPATA19	-0.20475
XCR1	0.636
IRX3	1.9631
RBM6	-0.54125
KLF4	0.4357
UNC5CL	2.3055
SEBOX	-0.2075
BTK	-0.16175
KRCC1	-0.113
C6orf27	0.278
SYTL5	-0.429
PRND	2.000625
LOC653319	-1.7735
PIGL	-2.077375
HUS1	0.0621666666666667
SFRS6	0.158166666666667
C17orf77	0.105
UIMC1	-0.6435
FXYD2	-2.1715
LOC283152	-0.056
ZNF667	-1.3245
ZCCHC12	-0.42575
TFEC	2.5976
ATP7B	1.01266666666667
POLD2	-0.784333333333333
RG9MTD1	-0.3365
ACOT2	0.139666666666667
HIST1H4I	-2.02375
PPARGC1A	-1.3976
ETFA	-1.6929
POLRMT	-1.31875
ZNF146	0.328
MIA2	-0.8625
KLHL6	-1.16733333333333
HOXB5	-0.858125
NENF	0.829666666666667
CUGBP1	0.2875
PRSS22	1.44166666666667
CASC4	1.2285
CUL4B	-0.0829
CENPJ	-0.831
PITX1	1.893
FLJ31033	0.288666666666667
CELSR3	-2.05633333333333
ZNF568	-0.222
ITSN1	-0.0374166666666666
EHBP1L1	-0.814
C19orf2	-0.049
DCTN1	-0.133
LIN28B	-3.20583333333333
TNKS2	0.01025
C1QBP	-0.55325
CADPS2	3.0055
SRMS	0.3085
GJA9	0.238833333333333
MGC24975	-1.7425
TRIM45	-0.207333333333333
TSP50	0.81325
TCP1	-1.071
TMED7	0.1336
CMA1	-0.132
CENPL	-0.532
PTCRA	-0.151
FST	-2.9515
VWCE	-4.37675
PAWR	0.3615
ABCC12	3.47383333333333
LDLR	-0.0356
ASTN2	1.7835
LOC441212	-1.3195
GPATCH8	-0.103
TANC2	0.643666666666667
KIF4A	-1.1865
C18orf18	-1.172
PGM1	0.587
KIAA0258	1.25625
CPD	0.4165
SNCAIP	-1.122
DCT	-4.65266666666667
HLA-DOA	2.58659090909091
OR11L1	0.2745
UPK1B	-0.318
DNAJB4	0.775875
UGT1A8	0.0795
HIST1H4L	-2.7705
PECR	-1.37466666666667
HSPA2	1.7815
WFIKKN1	-2.476
SERP1	0.551375
SYDE2	0.44775
TACR2	0.263
NUP85	-0.249
CD177	-0.515166666666667
LGR5	-0.504333333333333
PIGG	-0.563166666666667
PTHR1	-0.669333333333333
RAB5A	0.7201
FLJ13224	-0.3745
USP9Y	1.637
C7orf53	-1.1695
LRP1B	-0.583
