Hybridization REF	TCGA-A2-A0SY-01A-31R-A084-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.4905
CREB3L1	0.71475
RPS11	0.8855
PNMA1	0.61725
MMP2	0.687166666666667
C10orf90	-1.816
ZHX3	-0.390333333333333
ERCC5	-0.00125
GPR98	-1.183125
RXFP3	0.2545
APBB2	1.06225
PRO0478	-1.403
KLHL13	-2.11125
PRSSL1	-0.235166666666667
PDCL3	0.4515
DECR1	-0.1455
SALL1	-3.57566666666667
CADM4	0.641166666666667
RPS18	0.511357142857143
HNRPD	-0.1025
CFHR5	1.18066666666667
SLC10A7	0.154375
OR2K2	-0.0445
LMAN1	-0.104375
SUHW1	-2.8105
CHD8	-0.434
SUMO1	0.4365
GP1BA	1.4911
DDB1	-0.142166666666667
MYO9B	-0.2673
MMP7	5.426
CRNKL1	0.931
C9orf45	-1.57333333333333
XAB2	0.00225
RTN1	2.24
KLHL14	-0.411375
TBX10	-0.9925
CENPQ	-1.431
UTY	-0.855846153846154
ZBTB12	-0.164
DTNBP1	-0.25325
KBTBD8	-0.2415
ZEB1	0.475666666666667
ZG16	-1.4315
MIER1	0.4082
ADAM5P	-0.7965
CHD9	-0.4238125
STK16	0.69275
KIAA1486	-0.382
TOB2	0.90475
BANK1	4.96425
OR2V2	0.231
GRM2	0.129166666666667
PROSC	0.49475
SPIN2B	0.22625
PIR	-2.80311111111111
IPO9	-0.4446
EVC	1.13116666666667
CXCL13	5.2455
KIAA1199	-1.4321
SORL1	1.53875
NAT10	-0.54775
CHD1	0.074
SYN3	-0.5435
SLC22A2	-0.50575
SERPINF1	1.31016666666667
WDR34	-0.5095
OR7A17	0.292
C9orf11	-0.817
RNF216L	-0.5877
LHB	-0.7475
STK25	0.174375
TAOK3	0.875125
LOC152573	-1.05175
C3orf39	0.309
C14orf108	0.6758
CDC25B	-2.18436363636364
BMP3	0.412
TMEM180	0.1205
MAP1LC3C	2.5925
CRYGC	0.1545
POU3F1	-1.3421
C20orf32	-1.121
CCDC95	-0.615
HIGD1B	3.77975
USP6NL	-0.669125
ABCD4	-0.198666666666667
DIMT1L	-0.651166666666667
TEK	1.836625
SLC25A46	-0.729
LARP7	-1.8033
CD160	0.00433333333333334
MT1JP	-1.04466666666667
PHF20	0.15225
CPNE4	-1.44775
