Hybridization REF	TCGA-AR-A0TP-01A-11R-A084-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.628083333333333
CREB3L1	-0.22975
RPS11	0.372625
PNMA1	-0.8655
MMP2	-0.994333333333333
C10orf90	2.277
ZHX3	-0.0203333333333333
ERCC5	-0.12325
GPR98	-1.919
RXFP3	0.3505
APBB2	0.60125
PRO0478	-0.988625
KLHL13	2.2
PRSSL1	-0.7985
PDCL3	0.6905
DECR1	0.019
SALL1	-4.46216666666667
CADM4	1.62116666666667
RPS18	0.0941428571428571
HNRPD	-0.726416666666667
CFHR5	0.3462
SLC10A7	0.075375
OR2K2	-0.215
LMAN1	0.44625
SUHW1	-3.8775
CHD8	-0.2074
SUMO1	0.2723
GP1BA	-0.4993
DDB1	-0.3855
MYO9B	0.4047
MMP7	4.73325
CRNKL1	0.0325
C9orf45	-0.592666666666667
XAB2	0.222875
RTN1	1.731125
KLHL14	-1.68442857142857
TBX10	-1.159
CENPQ	-1.47125
UTY	-1.247
ZBTB12	0.4725
DTNBP1	0.542625
KBTBD8	-2.6935
ZEB1	-1.284
ZG16	-1.693
MIER1	-0.3062
ADAM5P	0.441
CHD9	0.4863125
STK16	-0.0695
KIAA1486	-0.271
TOB2	0.967083333333333
BANK1	2.3035
OR2V2	0.40425
GRM2	0.641166666666667
PROSC	-0.761375
SPIN2B	0.36
PIR	-0.195777777777778
IPO9	-0.1036
EVC	0.439666666666667
CXCL13	0.698
KIAA1199	-2.269
SORL1	1.58175
NAT10	-0.92375
CHD1	-1.353
SYN3	2.0085
SLC22A2	-1.0055
SERPINF1	-0.81
WDR34	-0.96625
OR7A17	0.45775
C9orf11	-0.4
RNF216L	-0.434
LHB	0.048
STK25	-0.5435
TAOK3	0.688
LOC152573	-2.065
C3orf39	0.61025
C14orf108	-0.2281
CDC25B	-0.902
BMP3	0.4785
TMEM180	0.365
MAP1LC3C	-0.1845
CRYGC	-0.242
POU3F1	-1.4174
C20orf32	-1.62
CCDC95	-0.5265
HIGD1B	3.6205
USP6NL	0.642375
ABCD4	-1.59583333333333
DIMT1L	-0.934666666666667
TEK	-0.5185
SLC25A46	-1.91275
LARP7	-2.7158
CD160	0.316166666666667
MT1JP	0.413666666666667
PHF20	-0.3760625
CPNE4	-1.0305
GTPBP1	0.0547692307692308
RAB33B	0.384333333333333
ALDOC	-1.124625
ZNF212	1.057
NUDT1	-0.501166666666667
RFPL2	-0.02175
ZNF83	0.0723333333333333
GDPD5	2.06175
PDCD4	2.2084
CEP350	0.71475
OR10A2	0.126
CST7	-0.987
CIAO1	-1.09575
SELL	-0.170625
OR8J3	-0.3165
LTBP4	-0.00783333333333333
SIRT6	-0.299
CCL19	1.0785
PPIL1	-0.692833333333333
GBP7	0.00883333333333333
STK17A	1.3448
ABR	-0.97125
OR9G1	0.768
FOXE1	0.34225
CNGA3	-0.138
GML	-0.047
CD38	-4.41525
ZDHHC6	0.222166666666667
NEFH	-3.4245
CTDSP2	1.675
PGBD5	-2.33016666666667
CCNY	0.765142857142857
RMND5B	-0.639166666666667
ZNF257	-3.39875
FLJ22167	0.822
EXOSC7	-1.6345
ROR2	-0.10675
MAOA	-2.222125
TNNT3	0.0306666666666667
GYPC	-1.42425
C7orf33	0.439
PLIN	0.072
LOC90826	-0.70325
RNF4	-0.7499
F8A1	0.1675
PLEKHG4	-0.05125
GRB2	-0.19425
HIST1H2AD	-0.22875
DUS3L	0.235833333333333
EIF1	-0.878166666666667
RP5-1077B9.4	-0.958666666666667
FPGT	0.96475
GDF10	0.482
COQ9	0.2105
GCC2	-0.531285714285714
RARRES3	-0.950875
PLXNA1	-0.1585
KIAA0100	-1.0898
PMF1	0.933
FNDC1	4.89875
HS2ST1	0.13025
CRELD2	0.94425
C8G	-1.6825
CD82	1.97175
LIM2	-1.4355
UNQ6490	-0.502
MMP16	1.96775
DRD3	-0.01725
C5orf26	-1.7715
C11orf73	-0.241
PTP4A2	-0.35
OR4M2	0.854
HPCA	-0.3105
SEC14L1	0.409166666666667
CHFR	-0.64125
EMILIN1	1.038625
NDUFS4	-1.78075
COL18A1	-0.659875
PDZD3	-0.1321
C9orf16	-0.363333333333333
ERBB2IP	-0.52
EMX2	0.13125
FUS	-0.804
TF	-2.8885
CLCN4	0.656333333333333
CXorf56	0.24325
C11orf72	0.158
ELAC2	-1.28758333333333
NPR1	1.315
