Hybridization REF	TCGA-A7-A0DB-11A-33R-A089-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.869416666666667
CREB3L1	0.87825
RPS11	-0.024625
PNMA1	0.8195
MMP2	1.93233333333333
C10orf90	-0.4175
ZHX3	0.570833333333333
ERCC5	0.501
GPR98	-2.131375
RXFP3	0.595
APBB2	1.2575
PRO0478	-0.345375
KLHL13	-0.82375
PRSSL1	0.179
PDCL3	0.0133333333333333
DECR1	0.775875
SALL1	-4.53566666666667
CADM4	-0.0641666666666668
RPS18	-0.560071428571429
HNRPD	-0.561833333333333
CFHR5	-0.0228333333333333
SLC10A7	-0.07625
OR2K2	-0.2665
LMAN1	-0.946375
SUHW1	-3.15575
CHD8	-0.4168
SUMO1	-0.0184
GP1BA	0.2251
DDB1	-0.206833333333333
MYO9B	0.2505
MMP7	2.3145
CRNKL1	-0.16875
C9orf45	-1.43583333333333
XAB2	0.138
RTN1	2.077625
KLHL14	-1.013625
TBX10	-1.2185
CENPQ	-1.62975
UTY	-1.21964285714286
ZBTB12	-0.8465
DTNBP1	0.1035
KBTBD8	-1.358
ZEB1	1.8725
ZG16	-1.087
MIER1	0.3946
ADAM5P	0.8175
CHD9	0.45625
STK16	0.3455
KIAA1486	-0.573
TOB2	1.31183333333333
BANK1	4.2605
OR2V2	-0.07625
GRM2	0.0885
PROSC	1.459875
SPIN2B	0.171
PIR	-0.404888888888889
IPO9	-0.5204
EVC	0.734333333333333
CXCL13	0.299666666666667
KIAA1199	-4.2749
SORL1	-0.3495
NAT10	-0.97425
CHD1	-0.93225
SYN3	0.38425
SLC22A2	-0.454
SERPINF1	2.922
WDR34	-1.665
OR7A17	0.255
C9orf11	-0.4385
RNF216L	-0.3893
LHB	-0.162
STK25	0.0545
TAOK3	0.87425
LOC152573	-0.02125
C3orf39	0.687
C14orf108	0.4144
CDC25B	-1.16218181818182
BMP3	1.581
TMEM180	0.0815
MAP1LC3C	4.082
CRYGC	-0.221
POU3F1	-1.4264
C20orf32	-1.2435
CCDC95	-0.383
HIGD1B	4.4035
USP6NL	-0.532875
ABCD4	0.67
DIMT1L	-0.707166666666667
TEK	3.058875
SLC25A46	-0.067
LARP7	-1.4293
CD160	0.8305
MT1JP	1.1295
PHF20	-0.2463125
CPNE4	-1.003
GTPBP1	-0.159285714285714
RAB33B	1.334
ALDOC	-1.166
ZNF212	-0.53975
NUDT1	-0.693333333333333
RFPL2	-0.8505
ZNF83	-0.0285
GDPD5	1.871625
PDCD4	1.3083
CEP350	-0.016
OR10A2	-0.1595
CST7	0.41375
CIAO1	-0.58875
SELL	0.89075
OR8J3	0
LTBP4	1.42583333333333
SIRT6	-0.4595
CCL19	4.5005
PPIL1	-1.83
GBP7	0.072
STK17A	-0.7795
ABR	0.806
OR9G1	0.1835
FOXE1	-0.592875
CNGA3	0.65
GML	-0.0605
CD38	-0.712
ZDHHC6	-0.00933333333333333
NEFH	-1.6145
CTDSP2	1.7915
PGBD5	-1.18416666666667
CCNY	0.948285714285714
RMND5B	0.421416666666667
ZNF257	-1.9345
FLJ22167	0.17275
EXOSC7	-0.5615
ROR2	0.1215
MAOA	4.711
TNNT3	4.31316666666667
GYPC	1.77925
C7orf33	0.458
PLIN	4.78483333333333
LOC90826	-0.0985
RNF4	-0.2775
F8A1	1.12433333333333
PLEKHG4	-0.419
GRB2	0.30365
HIST1H2AD	-1.58525
DUS3L	-0.762833333333333
EIF1	1.03033333333333
RP5-1077B9.4	-0.567333333333333
FPGT	0.85975
GDF10	4.45816666666667
COQ9	-0.07325
GCC2	0.0973571428571429
RARRES3	1.3535
PLXNA1	0.3556
KIAA0100	0.1316
PMF1	-0.391
FNDC1	5.09275
HS2ST1	0.05975
CRELD2	0.27725
C8G	-1.9635
CD82	0.596
LIM2	-0.822
UNQ6490	-0.983
MMP16	0.6645
DRD3	0.09825
C5orf26	-0.93475
C11orf73	-0.000749999999999994
PTP4A2	0.5705
OR4M2	-0.023
HPCA	-0.122833333333333
SEC14L1	0.560166666666667
CHFR	-0.227875
EMILIN1	1.014875
NDUFS4	-0.035
COL18A1	-0.051875
PDZD3	-0.1397
C9orf16	-0.157166666666667
ERBB2IP	-0.299666666666667
EMX2	5.1545
FUS	-1.22175
TF	-1.5727
CLCN4	1.75533333333333
CXorf56	0.623
C11orf72	0.24675
ELAC2	-0.335166666666667
NPR1	3.34275
ASS1	0.886
USP42	-0.7365
POLR2J	-0.6195
SEC23IP	0.248666666666667
UQCRC1	-0.17975
LOC729603	0.49925
C1orf71	-0.912375
POLG	-2.5415
ADAM23	-2.28225
TFR2	-1.61325
RICTOR	-0.4864
MGC39606	1.10075
C19orf55	-0.413
SNAPC1	-1.27216666666667
GNA11	0.983125
CCDC52	-1.17483333333333
FSIP1	-0.2725
UPF3A	-0.612125
IGSF11	-2.38933333333333
LAGE3	-1.317
CHST6	-3.676
UNC13B	0.99425
TTLL4	-1.511125
ZNF687	-0.212375
SDC2	2.0188
COX7A2	-0.5955
LAMB4	1.09
FAM24A	0.0215
LRRTM3	-1.04316666666667
GPHB5	-0.043
