Hybridization REF	TCGA-BH-A0HK-11A-11R-A089-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.0645
CREB3L1	0.2735
RPS11	0.47775
PNMA1	0.29025
MMP2	0.99
C10orf90	-0.10875
ZHX3	0.204333333333333
ERCC5	0.035
GPR98	-0.524625
RXFP3	0.011
APBB2	0.65875
PRO0478	-0.843375
KLHL13	2.0685
PRSSL1	-0.335833333333333
PDCL3	0.570833333333333
DECR1	-0.213125
SALL1	-2.02033333333333
CADM4	0.193
RPS18	0.318928571428571
HNRPD	0.06425
CFHR5	0.124833333333333
SLC10A7	0.360625
OR2K2	-0.72
LMAN1	-0.592375
SUHW1	-3.4185
CHD8	-0.4708
SUMO1	0.1008
GP1BA	0.1987
DDB1	-0.384833333333333
MYO9B	-0.2872
MMP7	7.09075
CRNKL1	0.093125
C9orf45	-0.865833333333333
XAB2	0.129875
RTN1	1.85725
KLHL14	-0.44525
TBX10	-1.098
CENPQ	-1.9435
UTY	-0.897785714285714
ZBTB12	-0.4215
DTNBP1	-0.039
KBTBD8	-1.01933333333333
ZEB1	1.513
ZG16	-1.5645
MIER1	1.0394
ADAM5P	0.589
CHD9	0.611375
STK16	-0.2595
KIAA1486	0.0555
TOB2	0.56
BANK1	2.23775
OR2V2	0.01525
GRM2	-0.164333333333333
PROSC	0.68875
SPIN2B	0.06025
PIR	-1.75111111111111
IPO9	-0.8339
EVC	1.02216666666667
CXCL13	1.7885
KIAA1199	-3.5099
SORL1	1.35325
NAT10	-0.8345
CHD1	0.138
SYN3	0.075
SLC22A2	-0.34125
SERPINF1	1.475
WDR34	-1.06275
OR7A17	0.2035
C9orf11	0.0845
RNF216L	-0.4584
LHB	-0.371
STK25	-0.272
TAOK3	0.899125
LOC152573	0.3135
C3orf39	0.782875
C14orf108	0.7171
CDC25B	-2.34627272727273
BMP3	0.7805
TMEM180	-0.571
MAP1LC3C	3.35075
CRYGC	-1.2075
POU3F1	-1.587
C20orf32	-1.0695
CCDC95	-0.6575
HIGD1B	3.86
USP6NL	0.075125
ABCD4	0.0428333333333333
DIMT1L	-0.152166666666667
TEK	2.0605
SLC25A46	-0.391
LARP7	-1.475
CD160	0.415166666666667
MT1JP	2.26116666666667
PHF20	-0.1035
CPNE4	-1.27125
GTPBP1	-0.127214285714286
RAB33B	1.4655
ALDOC	-1.6815
ZNF212	-0.8295
NUDT1	-1.30483333333333
RFPL2	-0.7285
ZNF83	-0.0626666666666667
GDPD5	-0.301875
PDCD4	2.1076
CEP350	-0.23075
OR10A2	0.1795
CST7	0.083
CIAO1	-1.28525
SELL	0.734875
OR8J3	0.088
LTBP4	1.25983333333333
SIRT6	-0.5685
CCL19	3.719
PPIL1	-1.28783333333333
GBP7	0.289166666666667
STK17A	0.0594
ABR	0.94275
OR9G1	0.1905
FOXE1	-0.19025
CNGA3	1.462
GML	-0.0745
CD38	-2.52575
ZDHHC6	0.1
NEFH	-2.64775
CTDSP2	1.28
PGBD5	-1.146
CCNY	0.451428571428571
RMND5B	0.0875833333333333
ZNF257	-0.993
FLJ22167	0.517625
EXOSC7	-0.00416666666666666
ROR2	1.514375
MAOA	2.516
TNNT3	2.8135
GYPC	-0.05
C7orf33	0.1805
PLIN	3.75366666666667
LOC90826	0.3395
RNF4	-0.1531
F8A1	0.374833333333333
PLEKHG4	-0.77025
GRB2	-0.13855
HIST1H2AD	-1.78775
DUS3L	-0.563166666666667
EIF1	0.272166666666667
RP5-1077B9.4	-1.59566666666667
FPGT	1.27075
GDF10	4.24016666666667
COQ9	-0.34775
GCC2	0.485071428571429
RARRES3	2.43725
PLXNA1	-0.2321
KIAA0100	-0.2185
PMF1	-0.51625
FNDC1	4.51325
HS2ST1	-0.0453333333333333
CRELD2	0.046
C8G	-2.2915
CD82	1.273
LIM2	-0.9275
UNQ6490	0.227
MMP16	0.3555
DRD3	-0.11425
C5orf26	-0.0285
C11orf73	-0.3775
PTP4A2	0.26075
OR4M2	-0.4025
HPCA	-0.756
SEC14L1	0.0491666666666667
CHFR	-0.71925
EMILIN1	0.252875
NDUFS4	-0.1885
COL18A1	0.056125
PDZD3	0.064
C9orf16	-0.522333333333333
ERBB2IP	-0.0603333333333333
EMX2	4.09
FUS	-0.761
TF	-3.1585
CLCN4	0.807666666666667
CXorf56	0.90675
C11orf72	-0.032
ELAC2	-0.5845
NPR1	1.731
ASS1	-1.29016666666667
USP42	0.148125
POLR2J	-1.059
SEC23IP	0.317666666666667
UQCRC1	-0.003
LOC729603	-0.29025
C1orf71	-0.06775
POLG	-3.1875
ADAM23	-2.9455
TFR2	-1.849
RICTOR	-0.63
MGC39606	1.92325
C19orf55	-0.45625
SNAPC1	-1.45266666666667
GNA11	1.14575
CCDC52	-0.288333333333333
FSIP1	1.2565
UPF3A	0.05325
IGSF11	-2.02883333333333
LAGE3	-1.242
CHST6	-2.131
UNC13B	0.53075
TTLL4	-0.8025
ZNF687	0.202875
SDC2	1.1396
COX7A2	-0.83275
LAMB4	1.684
FAM24A	0.0545
LRRTM3	-0.913833333333333
GPHB5	0.052
OR4C13	-0.329
EIF3EIP	0.305714285714286
HABP4	0.6135
TMEM125	3.18525
CNTN2	0.19925
ASNSD1	0.07475
FUT4	0.256
ACF	-3.8165
LOC158381	0.6455
CDH8	1.71
AGPS	-0.577166666666667
C4orf18	3.409625
PECI	0.15125
UNG	-0.668
GSTP1	0.2275
DCUN1D5	-1.25883333333333
DKFZP564J0863	-1.275
SLC9A3R1	0.223375
BCDO2	0.8035
CHMP7	0.21
REM2	0.247
DNHD1	-0.574125
FKBP4	-0.96975
ZNF350	0.5865
MGC11102	-0.600125
BST1	2.604
KISS1R	-0.3605
NCR2	0.0005
DEFB125	-0.5895
UBE2W	0.73125
KRT15	4.32175
C10orf99	0.191
SCN11A	1.18925
GFI1	-2.74175
RDHE2	2.19666666666667
FHL1	2.34133333333333
OSGEP	-0.274333333333333
GATA1	-3.88283333333333
SMC6	-1.482
TTTY14	-1.109
LPIN3	0.0415
RPL4	-0.0606
RBPMS	0.8316
PRPF3	-1.004
EMR1	-2.4465
SPATA19	0.04875
XCR1	-0.066
IRX3	1.8033
RBM6	-0.03025
KLF4	2.6918
UNC5CL	-1.011
SEBOX	-0.264
BTK	-0.8395
KRCC1	1.145
C6orf27	0.6245
SYTL5	-0.405
PRND	1.709125
LOC653319	-1.6795
PIGL	-1.98675
HUS1	-0.765333333333333
SFRS6	0.691916666666667
C17orf77	0.243
UIMC1	-0.190666666666667
FXYD2	-1.9007
LOC283152	0.02625
ZNF667	0.4415
ZCCHC12	-0.016
TFEC	1.9479
ATP7B	-0.580666666666667
POLD2	-1.37883333333333
RG9MTD1	0.1615
ACOT2	0.0803333333333334
HIST1H4I	-1.916375
PPARGC1A	-0.5573
ETFA	-0.8793
POLRMT	-0.867
ZNF146	-0.111625
MIA2	-1.3745
KLHL6	-1.19733333333333
HOXB5	-0.698875
NENF	0.421333333333333
CUGBP1	-0.61
PRSS22	0.718666666666667
CASC4	1.6159
CUL4B	-0.0285
CENPJ	-1.2263
PITX1	-1.84316666666667
FLJ31033	0.927833333333333
CELSR3	-2.93583333333333
ZNF568	1.00925
ITSN1	0.063
EHBP1L1	-0.5585
C19orf2	-0.39125
DCTN1	0.03125
LIN28B	-3.6645
TNKS2	-0.82425
C1QBP	-0.713125
CADPS2	1.851
SRMS	0.18825
GJA9	0.173166666666667
MGC24975	-1.49016666666667
TRIM45	-1.26466666666667
TSP50	0.61175
TCP1	-0.858
TMED7	0.29
CMA1	2.043
CENPL	-2.01316666666667
PTCRA	-0.598
FST	-2.12375
VWCE	-2.93675
PAWR	-0.1825
ABCC12	-0.013
LDLR	1.1532
ASTN2	0.332
LOC441212	-1.0355
GPATCH8	-0.11125
TANC2	-0.85975
KIF4A	-4.191
C18orf18	-0.52275
PGM1	-0.134
KIAA0258	0.82225
CPD	0.449375
SNCAIP	0.71025
DCT	-4.55683333333333
HLA-DOA	2.0045
OR11L1	0.059
UPK1B	-0.408166666666667
DNAJB4	1.595
UGT1A8	-0.27225
HIST1H4L	-1.7885
PECR	-1.37683333333333
HSPA2	1.55075
WFIKKN1	-3.147
SERP1	1.168125
SYDE2	1.496
TACR2	0.493
NUP85	-1.11775
CD177	-0.398333333333333
LGR5	-0.438333333333333
PIGG	-0.619166666666667
PTHR1	-0.436
RAB5A	0.6861
FLJ13224	-0.1225
USP9Y	-1.23816666666667
C7orf53	-0.9955
LRP1B	1.872
XAF1	1.4828
ABCG8	-0.538
ANKDD1A	-0.00083333333333339
DAND5	-1.4545
SPAG6	1.561
LINCR	1.10675
ZDHHC22	-1.710375
CCDC60	0.5095
THOC7	-1.10683333333333
TCTA	0.8961
OR8K3	0.176
NY-REN-7	-0.46575
B2M	1.26483333333333
C6orf141	-2.343875
LPPR4	2.6815
SQLE	-3.11775
SEPHS1	-0.7465
BTBD14B	-0.276142857142857
PLRG1	0.251
SPG7	-0.6629375
ZNF614	0.121166666666667
PARD6G	0.969333333333333
INPP5B	-0.3067
GRPEL2	-0.811125
PPID	-1.1662
TRIM56	-0.05225
UBE2J1	0.64925
IL20RA	5.77375
LOC387856	0.8965
C1orf107	0.289
UTS2R	0.20475
C19orf22	0.07675
SAFB2	0.1835
KIAA0652	0.034125
KLRG1	-0.411166666666667
MS4A8B	1.49583333333333
FRAG1	0.32625
KIAA1546	0.4345
E2F4	-0.6507
CLEC4M	0.191166666666667
BTBD14A	-0.98375
KIAA0999	1.4664
GYPA	-3.7345
TAC1	3.3884
TRAIP	-2.438
KIAA0232	1.1446
ERCC8	-1.269625
GPX4	0.0855
KIAA0368	0.0755
GPR157	-0.867
CTAGE4	-0.026
C9orf30	-1.342
OR52A1	-0.0105
HSP90B3P	0.0305
ALG9	-0.4765
BTBD10	0.45325
SDK2	0.21375
BAIAP3	0.15875
RABGGTB	-1.40025
ANKRD40	-0.0356666666666667
KRT74	0.5425
CALCOCO2	0.912071428571428
SNCA	-0.61675
TMSL8	-3.689
C2orf53	-0.1115
ESRRB	-0.27
ARHGAP26	-0.26725
TDRD9	-2.01475
HRAS	-0.231
KLRC4	-2.7455
JAGN1	-0.0413333333333333
BSDC1	0.3585
RNF43	-0.2112
NDUFAF1	0.05075
PHF12	0.3005
OR1L3	-0.31425
FOLR2	2.76075
LYZL6	-0.4815
tcag7.1260	-1.1775
WSB1	-0.366333333333333
PROS1	1.8378
OSTN	-0.00600000000000001
PSMB8	0.487
SOCS4	0.5965
DDIT4L	2.099
MAS1	0.041
MGC34796	0.57175
CSHL1	0.2575
TBCCD1	0.3915
ZBTB7C	-0.535
AP2S1	-1.383125
P15RS	-0.2463
VAT1	-0.1639
SHANK3	1.233
TUFM	-0.734666666666667
THEG	0.064
KRT34	-1.65075
SGSM3	0.104875
TOMM22	-0.084875
SOCS3	3.54466666666667
CPO	0.0905
POP4	0.19875
BHLHB3	2.4465
MALL	2.476
OR1B1	0.048
PARK2	1.30683333333333
GPR124	2.320625
LCE1E	-0.2535
RUVBL2	-0.9405
CGRRF1	1.3523
ACPL2	0.23525
WNT10B	0.244625
BAIAP2L2	-2.57175
ISCA1	0.853
C1orf125	-0.3245
RPAP1	-0.79025
RAI16	0.1735
RPL27	-0.252
NLRP9	0.0135
EPN1	-0.16
LOC388610	0.727375
SLC35A1	0.9902
GAL	-3.44575
SLC14A2	-0.0685
