Hybridization REF	TCGA-BH-A0BM-11A-12R-A089-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.18625
CREB3L1	-0.8145
RPS11	0.701875
PNMA1	0.2335
MMP2	-1.70566666666667
C10orf90	0.93925
ZHX3	-0.468166666666667
ERCC5	0.5755
GPR98	0.112875
RXFP3	-0.118
APBB2	0.22875
PRO0478	-0.452375
KLHL13	2.532
PRSSL1	-0.603
PDCL3	0.767333333333333
DECR1	-0.374125
SALL1	-3.01783333333333
CADM4	0.565
RPS18	0.554
HNRPD	0.1675
CFHR5	-0.298333333333333
SLC10A7	0.333125
OR2K2	0.227
LMAN1	-1.0435
SUHW1	-2.82875
CHD8	-0.1464
SUMO1	0.023
GP1BA	0.0866
DDB1	-0.679833333333333
MYO9B	-0.4755
MMP7	7.07475
CRNKL1	0.47575
C9orf45	-0.2995
XAB2	0.220375
RTN1	1.735
KLHL14	-0.7815
TBX10	-0.7615
CENPQ	-1.35725
UTY	-0.702083333333333
ZBTB12	-0.91
DTNBP1	0.23575
KBTBD8	-1.31983333333333
ZEB1	0.0943333333333333
ZG16	-1.627
MIER1	1.0966
ADAM5P	0.1085
CHD9	0.8305
STK16	-0.3255
KIAA1486	-0.047
TOB2	0.150166666666667
BANK1	2.2
OR2V2	0.1085
GRM2	-0.181333333333333
PROSC	0.60925
SPIN2B	0.25425
PIR	-1.89566666666667
IPO9	-0.9058
EVC	1.0215
CXCL13	0.0868333333333333
KIAA1199	-3.772
SORL1	1.842
NAT10	-0.8165
CHD1	0.00700000000000001
SYN3	-0.45525
SLC22A2	-0.26225
SERPINF1	-0.013
WDR34	-1.055
OR7A17	0.22525
C9orf11	0.0085
RNF216L	-0.3509
LHB	-0.4385
STK25	-0.644375
TAOK3	1.201875
LOC152573	-2.1115
C3orf39	0.552625
C14orf108	0.616
CDC25B	-2.51981818181818
BMP3	0.093
TMEM180	-0.2455
MAP1LC3C	0.8965
CRYGC	-0.0545
POU3F1	-1.6045
C20orf32	-1.0925
CCDC95	-0.738
HIGD1B	3.479
USP6NL	0.420375
ABCD4	-0.141166666666667
DIMT1L	-0.255
TEK	1.52975
SLC25A46	-0.705
LARP7	-1.2324
CD160	0.740333333333333
MT1JP	0.695833333333333
PHF20	-0.080375
CPNE4	-0.71525
GTPBP1	-0.204285714285714
RAB33B	1.53883333333333
ALDOC	-0.702875
ZNF212	0.0205
NUDT1	-1.239
RFPL2	-1.297
ZNF83	0.630666666666667
GDPD5	-0.685375
PDCD4	2.1732
CEP350	0.13075
OR10A2	0.13975
CST7	0.1865
CIAO1	-1.36875
SELL	0.220625
OR8J3	0.0155
LTBP4	-0.0261666666666667
SIRT6	-0.57825
CCL19	3.55775
PPIL1	-1.24733333333333
GBP7	-0.046
STK17A	0.0743
ABR	1.0285
OR9G1	0.0245
FOXE1	-0.3995
CNGA3	-0.2125
GML	0.319
CD38	-3.4875
ZDHHC6	0.0481666666666667
NEFH	-2.27525
CTDSP2	1.51275
PGBD5	-1.27733333333333
CCNY	0.190785714285714
RMND5B	-0.0266666666666667
ZNF257	-0.70825
FLJ22167	0.229125
EXOSC7	-0.182333333333333
ROR2	0.610625
MAOA	2.4185
TNNT3	0.464666666666667
