Hybridization REF	TCGA-BH-A0B3-11B-21R-A089-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.06325
CREB3L1	-0.7465
RPS11	0.62875
PNMA1	0.44275
MMP2	0.700166666666667
C10orf90	0.10675
ZHX3	-0.376666666666667
ERCC5	0.4775
GPR98	0.1795
RXFP3	-0.344
APBB2	0.93125
PRO0478	-0.1255
KLHL13	1.186
PRSSL1	-0.754833333333333
PDCL3	0.568166666666667
DECR1	0.180125
SALL1	-3.69033333333333
CADM4	0.0923333333333333
RPS18	0.109642857142857
HNRPD	-0.0465833333333333
CFHR5	-0.328166666666667
SLC10A7	0.39725
OR2K2	-0.0925
LMAN1	-0.753375
SUHW1	-3.813
CHD8	-0.1488
SUMO1	0.1488
GP1BA	0.2978
DDB1	-0.3705
MYO9B	-0.4016
MMP7	7.14875
CRNKL1	0.405875
C9orf45	-0.296333333333333
XAB2	0.452625
RTN1	1.863625
KLHL14	-0.385875
TBX10	-1.402
CENPQ	-1.22825
UTY	-1.1585
ZBTB12	-0.611
DTNBP1	0.315875
KBTBD8	-1.32266666666667
ZEB1	0.706666666666667
ZG16	-1.4545
MIER1	0.5883
ADAM5P	-0.2785
CHD9	0.5324375
STK16	-0.2485
KIAA1486	-0.4545
TOB2	0.347166666666667
BANK1	3.4385
OR2V2	0.157
GRM2	-0.0641666666666667
PROSC	0.574125
SPIN2B	0.28175
PIR	-1.85
IPO9	-0.7283
EVC	0.936666666666667
CXCL13	1.727
KIAA1199	-3.7393
SORL1	1.83825
NAT10	-1.061
CHD1	-0.2325
SYN3	-0.10925
SLC22A2	-0.3615
SERPINF1	1.45516666666667
WDR34	-1.1275
OR7A17	0.0555
C9orf11	0.097
RNF216L	-0.1495
LHB	-0.6055
STK25	-0.29425
TAOK3	1.106875
LOC152573	-1.4275
C3orf39	0.521125
C14orf108	0.5315
CDC25B	-1.99181818181818
BMP3	0.2425
TMEM180	-0.4565
MAP1LC3C	1.6695
CRYGC	-0.4495
POU3F1	-1.9089
C20orf32	-1.525
CCDC95	-0.536
HIGD1B	3.888
USP6NL	0.058625
ABCD4	0.247333333333333
DIMT1L	-0.494666666666667
TEK	2.049125
SLC25A46	-0.50625
LARP7	-1.2191
CD160	1.62366666666667
MT1JP	0.471
PHF20	-0.184
CPNE4	-0.01325
GTPBP1	-0.0443571428571429
RAB33B	1.64933333333333
ALDOC	-1.079625
ZNF212	0.083
NUDT1	-1.065
RFPL2	-0.4465
ZNF83	1.05783333333333
GDPD5	0.177
PDCD4	1.76595
CEP350	0.28675
OR10A2	-0.14075
CST7	0.97625
CIAO1	-1.38275
SELL	1.03375
OR8J3	0.081
LTBP4	0.330333333333333
SIRT6	-0.89075
CCL19	4.4775
PPIL1	-1.48816666666667
GBP7	0.0815
STK17A	-0.644
ABR	0.8175
