Hybridization REF	TCGA-A7-A0DC-11A-41R-A089-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.406583333333333
CREB3L1	-0.09175
RPS11	0.107625
PNMA1	0.75375
MMP2	0.9395
C10orf90	0.12725
ZHX3	0.211333333333333
ERCC5	0.324
GPR98	-0.9275
RXFP3	0.033
APBB2	1.426
PRO0478	-0.003375
KLHL13	0.5105
PRSSL1	-0.165833333333333
PDCL3	0.5105
DECR1	0.814875
SALL1	-2.78733333333333
CADM4	0.139166666666667
RPS18	-0.105071428571429
HNRPD	-0.230666666666667
CFHR5	0.391833333333333
SLC10A7	0.06075
OR2K2	0.5105
LMAN1	-0.8335
SUHW1	-3.11225
CHD8	-0.137
SUMO1	-0.038
GP1BA	0.1521
DDB1	-0.0198333333333333
MYO9B	-0.4684
MMP7	6.70675
CRNKL1	0.4825
C9orf45	-0.304333333333333
XAB2	0.21
RTN1	1.740125
KLHL14	-0.849125
TBX10	-1.1595
CENPQ	-2.14125
UTY	-0.908285714285714
ZBTB12	-0.4765
DTNBP1	-0.14825
KBTBD8	-1.677
ZEB1	1.16466666666667
ZG16	-0.52375
MIER1	0.4303
ADAM5P	0.06
CHD9	0.352875
STK16	0.283
KIAA1486	-0.347
TOB2	0.641166666666667
BANK1	4.2915
OR2V2	-0.2205
GRM2	-0.0533333333333333
PROSC	1.166875
SPIN2B	0.11975
PIR	-1.286
IPO9	-0.6942
EVC	0.759166666666667
CXCL13	0.0403333333333333
KIAA1199	-3.4947
SORL1	0.2725
NAT10	-0.839
CHD1	-0.5925
SYN3	0.0405
SLC22A2	-0.135
SERPINF1	2.497
WDR34	-1.26925
OR7A17	0.166
C9orf11	0.3175
RNF216L	-0.4192
LHB	-0.4075
STK25	-0.1615
TAOK3	1.015875
LOC152573	-0.9015
C3orf39	0.538125
C14orf108	0.5005
CDC25B	-2.12772727272727
BMP3	0.9375
TMEM180	0.139
MAP1LC3C	2.7605
CRYGC	-0.517
POU3F1	-1.4778
C20orf32	-1.036
CCDC95	-0.2215
HIGD1B	3.874
USP6NL	-0.436125
ABCD4	0.0291666666666667
DIMT1L	-0.547166666666667
TEK	2.489875
SLC25A46	-0.122
LARP7	-1.4888
CD160	0.626666666666667
MT1JP	1.50466666666667
PHF20	0.020125
CPNE4	-0.88725
GTPBP1	-0.0854285714285714
RAB33B	0.461666666666667
ALDOC	0.246625
ZNF212	-0.3
NUDT1	-1.082
RFPL2	-0.71025
ZNF83	0.299833333333333
GDPD5	1.401
PDCD4	1.4562
CEP350	-0.19875
OR10A2	0.0635
CST7	0.093
CIAO1	-1.05025
SELL	0.50525
OR8J3	0.5145
LTBP4	1.22633333333333
SIRT6	-0.66625
CCL19	3.85075
PPIL1	-1.4695
GBP7	-0.0115
STK17A	-1.2073
ABR	0.5085
OR9G1	0.198
FOXE1	0.31375
CNGA3	0.771
GML	0.018
CD38	-2.1165
ZDHHC6	-0.0311666666666667
NEFH	-2.606
CTDSP2	1.3255
PGBD5	-0.825833333333333
CCNY	0.506857142857143
RMND5B	0.285416666666667
ZNF257	-1.2425
FLJ22167	0.430625
EXOSC7	-0.402333333333333
