Hybridization REF	TCGA-BH-A0BJ-11A-23R-A089-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.429666666666667
CREB3L1	0.143
RPS11	0.924375
PNMA1	0.186
MMP2	1.32116666666667
C10orf90	1.1505
ZHX3	-0.476333333333333
ERCC5	0.39625
GPR98	-0.065125
RXFP3	-0.1295
APBB2	0.60025
PRO0478	-1.0765
KLHL13	2.5535
PRSSL1	-0.702833333333333
PDCL3	0.387333333333333
DECR1	-0.029375
SALL1	-2.21416666666667
CADM4	-0.0936666666666667
RPS18	0.659071428571429
HNRPD	0.07
CFHR5	0.9264
SLC10A7	0.450125
OR2K2	0.548
LMAN1	-0.86025
SUHW1	-3.51725
CHD8	-0.2895
SUMO1	0.0135
GP1BA	0.0504
DDB1	-0.317833333333333
MYO9B	-0.3626
MMP7	6.70225
CRNKL1	0.509375
C9orf45	-0.714833333333333
XAB2	0.572875
RTN1	1.6935
KLHL14	-0.3025
TBX10	-1.2745
CENPQ	-1.38525
UTY	-1.20385714285714
ZBTB12	-0.357
DTNBP1	-0.119
KBTBD8	-0.925333333333333
ZEB1	0.011
ZG16	-1.82875
MIER1	0.1913
ADAM5P	-0.518
CHD9	0.440125
STK16	0.04375
KIAA1486	-0.0055
TOB2	0.464166666666667
BANK1	2.73075
OR2V2	0.23475
GRM2	-0.051
PROSC	0.134875
SPIN2B	0.177
PIR	-2.49022222222222
IPO9	-0.9902
EVC	1.02833333333333
CXCL13	2.47966666666667
KIAA1199	-3.2725
SORL1	1.42275
NAT10	-0.90575
CHD1	-0.22875
SYN3	-0.32125
SLC22A2	-0.40575
SERPINF1	0.7885
WDR34	-1.209
OR7A17	0.2295
C9orf11	0.123
RNF216L	-0.4063
LHB	-0.67
STK25	-0.475375
TAOK3	1.000625
LOC152573	-1.1035
C3orf39	0.552875
C14orf108	0.9107
CDC25B	-2.16663636363636
BMP3	0.063
TMEM180	0.116
MAP1LC3C	2.7355
CRYGC	-0.8235
POU3F1	-1.3734
C20orf32	-1.356
CCDC95	-1.1145
HIGD1B	3.84125
USP6NL	0.298875
ABCD4	0.0673333333333333
DIMT1L	0.0123333333333333
TEK	1.933875
SLC25A46	-0.43175
LARP7	-1.5955
CD160	1.156
MT1JP	0.152833333333333
PHF20	-0.25
CPNE4	-1.0795
GTPBP1	-0.259071428571429
RAB33B	1.69066666666667
ALDOC	-1.441125
ZNF212	0.1235
NUDT1	-0.989166666666667
RFPL2	-0.89825
ZNF83	0.344666666666667
GDPD5	-0.497
PDCD4	2.2117
CEP350	0.09425
OR10A2	0.146
CST7	0.1565
CIAO1	-1.268
SELL	0.35975
OR8J3	0.0155
LTBP4	0.64
SIRT6	-0.6565
CCL19	3.64575
PPIL1	-1.44466666666667
GBP7	0.1404
STK17A	-0.4162
ABR	0.65775
OR9G1	-0.079
FOXE1	-0.785875
CNGA3	-0.941
GML	0.0115
CD38	-2.43425
ZDHHC6	0.0846666666666667
NEFH	-1.218
CTDSP2	1.42525
PGBD5	-0.382833333333333
CCNY	0.0829285714285714
