Hybridization REF	TCGA-BH-A0DP-11A-12R-A089-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.0664166666666667
CREB3L1	-0.55125
RPS11	0.502875
PNMA1	0.23275
MMP2	0.0586666666666667
C10orf90	-0.114
ZHX3	-0.396333333333333
ERCC5	0.34475
GPR98	0.083875
RXFP3	-0.234
APBB2	0.73175
PRO0478	-0.834
KLHL13	2.1655
PRSSL1	-0.557
PDCL3	0.428
DECR1	0.0195
SALL1	-3.53833333333333
CADM4	0.237833333333333
RPS18	0.231571428571429
HNRPD	0.02175
CFHR5	0.2292
SLC10A7	0.696125
OR2K2	-0.2285
LMAN1	-0.594625
SUHW1	-3.52925
CHD8	-0.2721
SUMO1	0.3333
GP1BA	0.1068
DDB1	-0.195
MYO9B	-0.6484
MMP7	6.691
CRNKL1	0.73525
C9orf45	-0.288666666666667
XAB2	0.633125
RTN1	2.1475
KLHL14	-0.54675
TBX10	-1.247
CENPQ	-1.381
UTY	-1.27738461538462
ZBTB12	-0.2415
DTNBP1	0.0965
KBTBD8	-1.76166666666667
ZEB1	-0.129
ZG16	-1.44375
MIER1	0.6022
ADAM5P	-1.0085
CHD9	0.287375
STK16	-0.1025
KIAA1486	-0.014
TOB2	0.308333333333333
BANK1	3.24975
OR2V2	0.45575
GRM2	-0.2555
PROSC	0.41
SPIN2B	0.23775
PIR	-2.21522222222222
IPO9	-0.8258
EVC	1.13233333333333
CXCL13	1.96316666666667
KIAA1199	-3.1562
SORL1	1.74375
NAT10	-1.03975
CHD1	-0.7345
SYN3	-0.135
SLC22A2	-0.0235
SERPINF1	1.20683333333333
WDR34	-0.91075
OR7A17	0.10675
C9orf11	-0.1245
RNF216L	-0.3446
LHB	-0.531
STK25	-0.533375
TAOK3	1.207875
LOC152573	-2.04575
C3orf39	0.507125
C14orf108	0.962
CDC25B	-2.25645454545455
BMP3	0.5385
TMEM180	-0.132
MAP1LC3C	2.228
CRYGC	-0.479
POU3F1	-1.6751
C20orf32	-1.4225
CCDC95	-0.705
HIGD1B	3.69575
USP6NL	0.53025
ABCD4	0.183666666666667
DIMT1L	-0.379166666666667
TEK	1.167125
SLC25A46	-0.41775
LARP7	-1.4468
CD160	0.425666666666667
MT1JP	1.2695
PHF20	-0.0929375
CPNE4	-0.55525
GTPBP1	-0.233285714285714
RAB33B	1.78383333333333
ALDOC	-1.12975
ZNF212	-0.14675
NUDT1	-1.37816666666667
RFPL2	-0.503
ZNF83	0.525
GDPD5	-0.695625
PDCD4	2.27795
CEP350	0.1225
OR10A2	-0.000249999999999993
CST7	0.33775
CIAO1	-1.31525
SELL	0.4115
OR8J3	0.2855
LTBP4	0.382666666666667
SIRT6	-0.58125
CCL19	3.02925
PPIL1	-1.30616666666667
GBP7	0.0445
STK17A	-0.0366
ABR	0.5095
OR9G1	0.2775
FOXE1	-0.583875
CNGA3	1.0175
GML	0.1725
CD38	-1.82275
ZDHHC6	0.2995
NEFH	-1.93775
CTDSP2	1.57883333333333
PGBD5	-1.64933333333333
CCNY	0.1075
RMND5B	0.2865
ZNF257	-0.4265
FLJ22167	0.517125
EXOSC7	0.0438333333333333
ROR2	0.8235
MAOA	2.586375
TNNT3	2.304
GYPC	0.0015
C7orf33	0.472
PLIN	3.9535
LOC90826	0.437
RNF4	-0.0279
F8A1	0.440166666666667
PLEKHG4	-0.51175
GRB2	-0.1888
HIST1H2AD	-1.019
DUS3L	-0.734833333333333
EIF1	-0.11
RP5-1077B9.4	-1.5835
FPGT	1.1095
GDF10	3.2215
COQ9	-0.49775
GCC2	0.553142857142857
RARRES3	2.2175
