Hybridization REF	TCGA-BH-A0DQ-11A-12R-A089-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.256916666666667
CREB3L1	-0.07675
RPS11	0.6325
PNMA1	0.164
MMP2	0.594166666666667
C10orf90	0.14775
ZHX3	-0.160833333333333
ERCC5	0.476
GPR98	0.39925
RXFP3	0.1095
APBB2	1.1225
PRO0478	-0.523
KLHL13	2.00125
PRSSL1	-0.812333333333333
PDCL3	0.486166666666667
DECR1	0.243375
SALL1	-2.91983333333333
CADM4	0.517166666666667
RPS18	0.365214285714286
HNRPD	-0.0705
CFHR5	0.217166666666667
SLC10A7	0.411125
OR2K2	-0.7665
LMAN1	-0.31725
SUHW1	-3.7415
CHD8	-0.2247
SUMO1	0.0798
GP1BA	0.4948
DDB1	-0.115333333333333
MYO9B	-0.6895
MMP7	6.97475
CRNKL1	0.73475
C9orf45	-0.3455
XAB2	0.62475
RTN1	1.512125
KLHL14	-0.286375
TBX10	-1.254
CENPQ	-1.523
UTY	-0.832071428571429
ZBTB12	-0.4485
DTNBP1	0.064875
KBTBD8	-1.51466666666667
ZEB1	0.276333333333333
ZG16	-1.68075
MIER1	0.4318
ADAM5P	0.711
CHD9	0.5109375
STK16	0.192
KIAA1486	-0.5915
TOB2	0.341583333333333
BANK1	2.89275
OR2V2	0.3055
GRM2	-0.0383333333333333
PROSC	0.369625
SPIN2B	0.05875
PIR	-2.24411111111111
IPO9	-0.689
EVC	0.954666666666667
CXCL13	6.46433333333333
KIAA1199	-3.9902
SORL1	1.466
NAT10	-0.95625
CHD1	-0.65075
SYN3	-0.49825
SLC22A2	0.35425
SERPINF1	0.4675
WDR34	-0.96875
OR7A17	0.078
C9orf11	-0.291
RNF216L	-0.2724
LHB	-0.5685
STK25	-0.359875
TAOK3	0.9405
LOC152573	-2.0775
C3orf39	0.596375
C14orf108	1.0164
CDC25B	-2.23054545454545
BMP3	0.1695
TMEM180	-0.334
MAP1LC3C	1.8205
CRYGC	-0.567
POU3F1	-1.6578
C20orf32	-1.4685
CCDC95	-0.803
HIGD1B	4.1465
USP6NL	0.346375
ABCD4	0.338333333333333
DIMT1L	-0.4245
TEK	1.27775
SLC25A46	-0.56175
LARP7	-1.4586
CD160	0.849333333333333
MT1JP	0.524
PHF20	-0.263125
CPNE4	-0.1715
GTPBP1	-0.364071428571429
RAB33B	1.5735
ALDOC	-1.558
ZNF212	0.0575
NUDT1	-1.38033333333333
RFPL2	0.21
ZNF83	0.557333333333333
GDPD5	-1.145125
PDCD4	2.32995
CEP350	0.31125
OR10A2	-0.126
CST7	0.54225
CIAO1	-1.062
SELL	1.200625
OR8J3	0.411
LTBP4	0.682833333333333
SIRT6	-0.7605
CCL19	3.95275
PPIL1	-1.35666666666667
GBP7	-0.106833333333333
STK17A	-0.7925
ABR	0.78575
OR9G1	-0.3485
FOXE1	-0.87325
CNGA3	0.934
GML	0.1435
CD38	-1.04225
ZDHHC6	0.2925
NEFH	-1.03125
CTDSP2	1.36633333333333
PGBD5	-2.09566666666667
CCNY	0.0745714285714286
RMND5B	0.0743333333333333
ZNF257	0.0525
FLJ22167	0.364875
EXOSC7	-0.404833333333333
ROR2	1.33525
MAOA	3.220125
TNNT3	2.225
GYPC	-0.37975
C7orf33	1.224
PLIN	3.60866666666667
LOC90826	0.29075
RNF4	0.083
F8A1	0.307166666666667
PLEKHG4	-0.47075
GRB2	-0.3598
HIST1H2AD	-1.10025
DUS3L	-1.06333333333333
EIF1	-0.0973333333333333
RP5-1077B9.4	-1.53916666666667
FPGT	1.35525
GDF10	3.36233333333333
COQ9	-0.42475
GCC2	0.774571428571429
RARRES3	2.647625
PLXNA1	-0.3941
KIAA0100	-0.1243
PMF1	-0.4005
FNDC1	4.30475
HS2ST1	-0.2195
CRELD2	0.2285
C8G	-2.1995
CD82	0.9995
LIM2	-1.132
UNQ6490	-0.9045
MMP16	0.94675
DRD3	-0.26625
C5orf26	0.30725
C11orf73	-0.5455
PTP4A2	0.876625
OR4M2	0.2695
HPCA	-1.1215
SEC14L1	-0.288833333333333
CHFR	-0.699625
EMILIN1	0.634
NDUFS4	0.10575
COL18A1	-0.189125
PDZD3	-0.092
C9orf16	-0.466833333333333
ERBB2IP	0.191833333333333
EMX2	2.62
FUS	-0.85175
TF	-1.5449
CLCN4	0.514
CXorf56	0.35925
C11orf72	-0.11375
ELAC2	-0.493083333333333
NPR1	0.753
ASS1	-1.39883333333333
USP42	-0.122625
POLR2J	-0.63
SEC23IP	0.444
UQCRC1	-0.343
LOC729603	-0.201
C1orf71	-0.66875
POLG	-2.6885
ADAM23	-3.4305
TFR2	-1.95175
RICTOR	0.0087
MGC39606	1.85825
C19orf55	-0.694875
SNAPC1	-1.13316666666667
GNA11	0.900875
CCDC52	0.0113333333333333
FSIP1	3.193
UPF3A	0.149875
IGSF11	-2.1185
LAGE3	-0.957
CHST6	-3.6425
UNC13B	0.34825
TTLL4	-1.211375
ZNF687	-0.06125
SDC2	0.7668
COX7A2	-0.649
LAMB4	-0.11475
FAM24A	0.218
LRRTM3	-0.585166666666667
GPHB5	-0.157
OR4C13	0.075
EIF3EIP	0.459642857142857
HABP4	-0.08
TMEM125	3.4365
CNTN2	0.60675
ASNSD1	0.28425
FUT4	0.184875
ACF	-2.8515
LOC158381	0.762
CDH8	0.871
AGPS	-1.08016666666667
C4orf18	3.6465
PECI	0.457166666666667
UNG	-0.735875
GSTP1	-0.230125
DCUN1D5	-1.59416666666667
DKFZP564J0863	-1.55875
SLC9A3R1	1.31825
BCDO2	0.08825
CHMP7	-0.02875
REM2	-0.0475
DNHD1	-0.629
FKBP4	-0.215375
ZNF350	1.8975
MGC11102	-0.770125
BST1	2.6745
KISS1R	-0.657
NCR2	0.091
DEFB125	-0.0575
UBE2W	0.69825
KRT15	4.505
C10orf99	-0.1675
SCN11A	0.355125
GFI1	-1.854
RDHE2	1.97516666666667
FHL1	0.915666666666667
OSGEP	-0.181833333333333
GATA1	-3.737
SMC6	-1.486
TTTY14	-1.16625
LPIN3	-0.245
RPL4	0.3902
RBPMS	0.5016
PRPF3	-0.625
EMR1	-2.6515
SPATA19	0.37325
XCR1	-0.1555
IRX3	1.9898
RBM6	0.0735
KLF4	0.4996
UNC5CL	-0.5405
SEBOX	0.058
BTK	-1.36075
KRCC1	1.6825
C6orf27	0.1265
SYTL5	-0.349
PRND	3.05825
LOC653319	-1.013
PIGL	-1.484
HUS1	-0.586833333333333
SFRS6	-0.13425
C17orf77	0.131
UIMC1	-0.258333333333333
FXYD2	-1.968
LOC283152	0.24725
ZNF667	1.129
ZCCHC12	1.56325
TFEC	1.6857
ATP7B	-0.264333333333333
POLD2	-1.2925
RG9MTD1	-0.263
ACOT2	0.499166666666667
HIST1H4I	-1.456125
PPARGC1A	-1.7291
ETFA	-0.8133
POLRMT	-0.75825
ZNF146	0.30125
MIA2	1.173
KLHL6	-1.484
HOXB5	1.322625
NENF	0.5495
CUGBP1	-0.67475
PRSS22	0.425666666666667
CASC4	1.3416
CUL4B	0.1233
CENPJ	-1.3971
PITX1	-1.62716666666667
FLJ31033	0.454666666666667
CELSR3	-2.74533333333333
ZNF568	0.80175
ITSN1	-0.267333333333333
EHBP1L1	-1.11083333333333
C19orf2	-0.11475
DCTN1	0.12575
LIN28B	-3.38516666666667
TNKS2	-0.3915
C1QBP	-1.1025
CADPS2	1.72925
SRMS	0.128
GJA9	0.236333333333333
MGC24975	-1.01383333333333
TRIM45	-0.0503333333333333
TSP50	1.454
TCP1	-0.66475
TMED7	0.3874
CMA1	2.5435
CENPL	-1.98583333333333
PTCRA	-0.81
FST	-3.725
VWCE	-2.611
PAWR	-0.4215
ABCC12	1.37466666666667
LDLR	-1.8169
ASTN2	1.3135
LOC441212	-0.657625
GPATCH8	0.0755
TANC2	-0.350083333333333
KIF4A	-3.9205
C18orf18	-0.00325
PGM1	-0.33
KIAA0258	0.155
CPD	0.978625
SNCAIP	0.3925
DCT	-3.597
HLA-DOA	2.00922727272727
OR11L1	-0.083
UPK1B	-0.544166666666667
DNAJB4	1.115125
UGT1A8	-0.02575
HIST1H4L	-2.4105
PECR	-1.62516666666667
HSPA2	1.86075
WFIKKN1	-1.7295
SERP1	1.709875
SYDE2	1.34325
TACR2	0.598
NUP85	-0.8365
CD177	-0.4345
LGR5	-1.82616666666667
PIGG	-0.09575
PTHR1	-0.170833333333333
RAB5A	0.587
FLJ13224	-0.1385
USP9Y	-1.52783333333333
C7orf53	-0.6425
LRP1B	1.34125
XAF1	1.4202
ABCG8	-0.5355
ANKDD1A	-0.031
DAND5	-1.395
SPAG6	2.91966666666667
LINCR	2.57925
ZDHHC22	-1.821125
CCDC60	-1.841
THOC7	-0.851333333333333
TCTA	0.8029
OR8K3	-0.1055
NY-REN-7	-0.28025
B2M	0.7025
C6orf141	-1.02675
LPPR4	3.31925
SQLE	-2.21125
SEPHS1	-0.62775
BTBD14B	-0.367571428571429
PLRG1	0.26075
SPG7	-0.40325
ZNF614	-0.230833333333333
PARD6G	1.154
INPP5B	-0.5325
GRPEL2	-0.7035
PPID	-0.4037
TRIM56	0.3175
UBE2J1	-0.0305
IL20RA	6.77725
LOC387856	1.17825
C1orf107	0.47575
UTS2R	-0.35075
C19orf22	-0.136
SAFB2	-0.163125
KIAA0652	0.25075
KLRG1	-0.3075
MS4A8B	2.02916666666667
FRAG1	0.70175
KIAA1546	0.908
E2F4	-1.0362
CLEC4M	0.1895
BTBD14A	-2.6075
KIAA0999	1.2426
GYPA	-3.3665
TAC1	3.8537
TRAIP	-2.055
KIAA0232	1.0725
ERCC8	-0.767875
GPX4	0.083375
KIAA0368	0.365625
GPR157	-0.930833333333333
CTAGE4	1.4675
C9orf30	-1.6135
OR52A1	0.066
HSP90B3P	0.1925
ALG9	-0.1465
BTBD10	0.39175
SDK2	0.18725
BAIAP3	0.08925
RABGGTB	-0.8845
ANKRD40	-0.4985
KRT74	0.3315
CALCOCO2	0.741428571428571
SNCA	-2.2135
TMSL8	-3.317375
C2orf53	-0.0285
ESRRB	-0.56575
ARHGAP26	-0.376625
TDRD9	-2.688
HRAS	-0.394666666666667
KLRC4	-1.8975
JAGN1	-0.0981666666666667
BSDC1	0.5045
RNF43	0.1131
NDUFAF1	0.45625
PHF12	0.4595
OR1L3	0.39025
FOLR2	1.79258333333333
LYZL6	-0.268333333333333
tcag7.1260	-1.966
WSB1	-0.607166666666667
PROS1	0.9899
OSTN	-0.1595
PSMB8	0.51675
SOCS4	0.104375
DDIT4L	2.78525
MAS1	-0.6745
MGC34796	0.729
CSHL1	0.119166666666667
TBCCD1	0.0693333333333333
ZBTB7C	-0.223
AP2S1	-0.86825
P15RS	0.1977
VAT1	-0.7318
SHANK3	0.768
TUFM	-0.5505
THEG	0.016
KRT34	-1.8995
SGSM3	0.239875
TOMM22	-0.508875
SOCS3	-0.253666666666667
CPO	1.375
POP4	0.25775
BHLHB3	2.7895
