Hybridization REF	TCGA-BH-A0C0-11A-21R-A089-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.20325
CREB3L1	-0.42425
RPS11	0.913125
PNMA1	0.00275
MMP2	0.0558333333333333
C10orf90	0.7955
ZHX3	-0.435
ERCC5	0.59
GPR98	-0.41875
RXFP3	0.123
APBB2	0.70975
PRO0478	-0.543
KLHL13	2.328
PRSSL1	-0.8065
PDCL3	0.358
DECR1	0.016
SALL1	-2.77733333333333
CADM4	0.308833333333333
RPS18	0.644571428571429
HNRPD	-0.0976666666666667
CFHR5	0.00366666666666667
SLC10A7	0.45275
OR2K2	-0.254
LMAN1	-0.96375
SUHW1	-3.6285
CHD8	-0.1876
SUMO1	-0.1266
GP1BA	0.3771
DDB1	-0.310166666666667
MYO9B	-0.4055
MMP7	6.78575
CRNKL1	0.52275
C9orf45	-0.268833333333333
XAB2	0.79525
RTN1	1.867375
KLHL14	-0.677
TBX10	-1.347
CENPQ	-1.955
UTY	-1.46958333333333
ZBTB12	-0.3675
DTNBP1	0.01475
KBTBD8	-1.395
ZEB1	-0.255166666666667
ZG16	-1.97175
MIER1	0.3925
ADAM5P	0.2795
CHD9	0.374
STK16	-0.00475
KIAA1486	-0.506
TOB2	0.30825
BANK1	3.21825
OR2V2	0.23475
GRM2	-0.0518333333333333
PROSC	0.31975
SPIN2B	0.18625
PIR	-2.17988888888889
IPO9	-0.8357
EVC	1.05266666666667
CXCL13	2.6895
KIAA1199	-4.0009
SORL1	1.80875
NAT10	-0.75325
CHD1	-0.7065
SYN3	-0.5795
SLC22A2	-0.5565
SERPINF1	0.631
WDR34	-0.99075
OR7A17	0.1725
C9orf11	0.0725
RNF216L	-0.2197
LHB	-0.448
STK25	-0.181125
TAOK3	0.93525
LOC152573	-1.56775
C3orf39	0.536125
C14orf108	0.7915
CDC25B	-2.17663636363636
BMP3	0.3745
TMEM180	0.0415
MAP1LC3C	2.324
CRYGC	-0.9375
POU3F1	-1.9097
C20orf32	-1.564
CCDC95	-0.598
HIGD1B	3.97175
USP6NL	0.1495
ABCD4	0.1205
DIMT1L	-0.297083333333333
TEK	1.454125
SLC25A46	-0.68225
LARP7	-1.4957
CD160	0.938
MT1JP	0.460666666666667
PHF20	-0.141375
CPNE4	-1.009
GTPBP1	-0.2055
RAB33B	1.84516666666667
ALDOC	-1.13425
ZNF212	0.141
NUDT1	-1.3525
RFPL2	-0.18725
ZNF83	0.814333333333333
GDPD5	-0.582375
PDCD4	2.2871
CEP350	0.32725
OR10A2	-0.28075
CST7	0.2175
CIAO1	-1.467
SELL	0.956875
OR8J3	0.594
LTBP4	0.701833333333333
SIRT6	-0.7185
CCL19	4.04325
PPIL1	-1.40283333333333
GBP7	0.0648
STK17A	-0.5781
ABR	0.716
OR9G1	-0.4305
FOXE1	-0.879625
CNGA3	-0.0335
GML	0.00299999999999999
CD38	-1.69375
ZDHHC6	0.263833333333333
NEFH	-2.4545
CTDSP2	1.486
PGBD5	-1.13766666666667
CCNY	0.167285714285714
RMND5B	0.170583333333333
ZNF257	-0.63175
FLJ22167	0.592875
EXOSC7	-0.2965
ROR2	1.111
MAOA	2.500625
TNNT3	2.319
GYPC	-0.12975
C7orf33	0.827
PLIN	4.19983333333333
LOC90826	0.20225
RNF4	-0.0301
F8A1	0.3165
PLEKHG4	0.23475
GRB2	-0.42155
HIST1H2AD	-1.169
DUS3L	-0.486666666666667
EIF1	-0.123333333333333
RP5-1077B9.4	-1.23666666666667
FPGT	1.23825
GDF10	2.57983333333333
COQ9	-0.35225
GCC2	0.777214285714286
RARRES3	2.5015
PLXNA1	0.1056
KIAA0100	-0.1405
PMF1	-0.29125
FNDC1	2.22925
HS2ST1	-0.151
CRELD2	-0.03525
C8G	-2.096
CD82	1.4035
LIM2	-0.8475
UNQ6490	-0.408
MMP16	0.1405
DRD3	-0.04475
C5orf26	0.808
C11orf73	-0.717875
PTP4A2	-0.360875
OR4M2	-0.137
HPCA	-1.20483333333333
SEC14L1	-0.473333333333333
CHFR	-0.7885
EMILIN1	0.573375
NDUFS4	0.0675
COL18A1	-0.261375
PDZD3	-0.0067
C9orf16	-0.622833333333333
ERBB2IP	-0.00433333333333333
EMX2	4.031
FUS	-1.051
TF	-1.9451
CLCN4	0.408
CXorf56	0.76125
C11orf72	0.049
ELAC2	-0.543666666666667
NPR1	0.92225
ASS1	-1.49
USP42	-0.162125
POLR2J	-0.6605
SEC23IP	0.437166666666667
UQCRC1	-0.33725
LOC729603	-0.08925
C1orf71	-0.859625
POLG	-2.9805
ADAM23	-3.7315
TFR2	-1.82325
RICTOR	-0.1113
MGC39606	2.5625
C19orf55	-0.648875
SNAPC1	-1.244
GNA11	1.1785
CCDC52	-0.3895
FSIP1	2.7435
UPF3A	0.228
IGSF11	-2.167
LAGE3	-0.884
CHST6	-3.773
UNC13B	0.48125
TTLL4	-1.03425
ZNF687	0.181375
SDC2	0.0574
COX7A2	-0.9785
LAMB4	-0.1405
FAM24A	0.5395
LRRTM3	-1.00116666666667
GPHB5	0.1495
OR4C13	0.2415
EIF3EIP	0.7455
HABP4	0.4215
TMEM125	2.94625
CNTN2	0.533375
ASNSD1	0.261
FUT4	0.26025
ACF	-3.8855
LOC158381	0.563
CDH8	0.308
AGPS	-1.73283333333333
C4orf18	3.948875
PECI	0.249583333333333
UNG	-0.867875
GSTP1	0.482125
DCUN1D5	-1.68783333333333
DKFZP564J0863	-1.8885
SLC9A3R1	0.225125
BCDO2	0.196875
CHMP7	-0.0345
REM2	-0.237
DNHD1	-0.404
FKBP4	-0.656375
ZNF350	2.11975
MGC11102	-0.85925
BST1	1.79825
KISS1R	-0.225
NCR2	-0.077
DEFB125	-0.101
UBE2W	0.30625
KRT15	4.583625
C10orf99	-0.0715
SCN11A	0.616625
GFI1	-2.41325
RDHE2	2.4275
FHL1	1.14883333333333
OSGEP	-0.101833333333333
GATA1	-3.779
SMC6	-1.4925
TTTY14	-1.07875
LPIN3	-0.0465
RPL4	0.4966
RBPMS	0.7192
PRPF3	-0.483666666666667
EMR1	-2.3455
SPATA19	-0.057
XCR1	-0.139
IRX3	2.0128
RBM6	0.2765
KLF4	-0.0971
UNC5CL	-0.502
SEBOX	-0.2175
BTK	-1.26175
KRCC1	1.72
C6orf27	0.535
SYTL5	-0.416
PRND	2.62775
LOC653319	-0.8735
PIGL	-1.688375
HUS1	-0.863
SFRS6	0.1165
C17orf77	0.2535
UIMC1	-0.200833333333333
FXYD2	-2.1369
LOC283152	-0.02975
ZNF667	1.083
ZCCHC12	-0.1515
TFEC	1.9998
ATP7B	-0.0855
POLD2	-0.968666666666667
RG9MTD1	-0.0675
ACOT2	0.176
HIST1H4I	-2.012125
PPARGC1A	-0.7462
ETFA	-0.767
POLRMT	-0.47625
ZNF146	0.082375
MIA2	-1.5705
KLHL6	-1.26666666666667
HOXB5	-1.26675
NENF	0.463
CUGBP1	-0.8865
PRSS22	0.598833333333333
CASC4	0.9273
CUL4B	0.0461
CENPJ	-1.2918
PITX1	-0.903833333333333
FLJ31033	1.086
CELSR3	-2.47116666666667
ZNF568	1.24675
ITSN1	-0.497416666666667
EHBP1L1	-0.6795
C19orf2	-0.348
DCTN1	0.152
LIN28B	-4.1565
TNKS2	-0.6
C1QBP	-1.063375
CADPS2	1.46725
SRMS	0.01075
GJA9	0.0323333333333333
MGC24975	-0.782
TRIM45	-0.395833333333333
TSP50	2.0735
TCP1	-0.85275
TMED7	0.0473
CMA1	1.124
CENPL	-2.16716666666667
PTCRA	-0.7535
FST	-3.20975
VWCE	-2.79175
PAWR	-0.18575
ABCC12	1.07833333333333
LDLR	-1.0971
ASTN2	0.8428
LOC441212	-0.655625
GPATCH8	0.088
