Hybridization REF	TCGA-BH-A0BA-11A-22R-A089-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.569083333333333
CREB3L1	0.5345
RPS11	1.756
PNMA1	0.2555
MMP2	-0.468166666666667
C10orf90	-1.24625
ZHX3	0.145333333333333
ERCC5	-0.39975
GPR98	0.069375
RXFP3	0.7115
APBB2	1.4135
PRO0478	-0.609
KLHL13	1.943
PRSSL1	-0.1595
PDCL3	-0.561833333333333
DECR1	0.274625
SALL1	-2.258
CADM4	-0.1968
RPS18	1.59678571428571
HNRPD	-0.727
CFHR5	0.4785
SLC10A7	0.441375
OR2K2	0.972
LMAN1	-1.40125
SUHW1	-1.908
CHD8	-0.9155
SUMO1	0.4514
GP1BA	0.3246
DDB1	-0.643
MYO9B	-0.2235
MMP7	8.17025
CRNKL1	-0.355625
C9orf45	-1.13083333333333
XAB2	-0.56025
RTN1	2.367875
KLHL14	-0.509714285714286
TBX10	-0.75
CENPQ	-1.50725
UTY	-0.08
ZBTB12	-0.149
DTNBP1	0.519875
KBTBD8	-1.67966666666667
ZEB1	0.5904
ZG16	-0.486666666666667
MIER1	0.116
ADAM5P	1.1455
CHD9	0.133
STK16	0.16625
KIAA1486	-0.1605
TOB2	1.61808333333333
BANK1	2.80675
OR2V2	-0.627
GRM2	-0.897
PROSC	-0.063125
SPIN2B	0.269
PIR	-0.956777777777778
IPO9	-1.0545
EVC	0.442833333333333
CXCL13	1.62683333333333
KIAA1199	-2.93677777777778
SORL1	1.6375
NAT10	-1.478
CHD1	-0.98525
SYN3	-0.775
SLC22A2	0.18775
SERPINF1	2.16283333333333
WDR34	-1.2825
OR7A17	-0.311333333333333
C9orf11	0.0255
RNF216L	0.0752
LHB	0.0175
STK25	-0.440125
TAOK3	-0.151375
LOC152573	-1.20575
C3orf39	0.85875
C14orf108	-0.4204
CDC25B	-1.68572727272727
BMP3	1.788
TMEM180	0.2875
MAP1LC3C	2.14075
CRYGC	1.113
POU3F1	-1.37788888888889
C20orf32	0.173
CCDC95	-0.284
HIGD1B	3.288
USP6NL	-0.45725
ABCD4	0.0721666666666666
DIMT1L	-0.284583333333333
TEK	2.019875
SLC25A46	-0.18925
LARP7	-1.9425
CD160	0.355166666666667
MT1JP	2.30166666666667
PHF20	-0.9746
CPNE4	-1.1975
GTPBP1	-0.321142857142857
RAB33B	1.10116666666667
ALDOC	0.2605
ZNF212	-0.13675
NUDT1	-1.59716666666667
RFPL2	0.266666666666667
ZNF83	-0.519333333333333
GDPD5	1.120875
PDCD4	1.93135
CEP350	-0.72625
OR10A2	-0.3905
CST7	-0.2125
CIAO1	-0.91625
SELL	-0.192125
OR8J3	-0.185
LTBP4	1.2815
SIRT6	0.097
CCL19	6.9035
PPIL1	-0.943833333333333
GBP7	0.5855
STK17A	-0.4601
ABR	0.545
OR9G1	0.498
FOXE1	-0.547333333333333
CNGA3	0.3705
GML	-0.5975
CD38	0.6965
ZDHHC6	-0.428
NEFH	-1.97
CTDSP2	0.60375
PGBD5	-1.74016666666667
CCNY	-0.152615384615385
RMND5B	0.32175
ZNF257	-1.115
FLJ22167	-0.88325
EXOSC7	-0.877833333333333
ROR2	-0.0662857142857142
