Hybridization REF	TCGA-BH-A0BC-11A-22R-A089-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-1.7185
CREB3L1	0.487
RPS11	1.85925
PNMA1	-0.06575
MMP2	0.484333333333333
C10orf90	0.133
ZHX3	-0.395166666666667
ERCC5	0.3815
GPR98	-0.4505
RXFP3	-0.1465
APBB2	1.2415
PRO0478	-1.072875
KLHL13	1.75175
PRSSL1	0.0595
PDCL3	0.382833333333333
DECR1	0.399375
SALL1	-2.64933333333333
CADM4	-0.5954
RPS18	1.71785714285714
HNRPD	-0.6045
CFHR5	0.96
SLC10A7	-0.478857142857143
OR2K2	-0.181
LMAN1	-1.6165
SUHW1	-2.18166666666667
CHD8	-0.8812
SUMO1	0.4726
GP1BA	0.6373
DDB1	-1.38733333333333
MYO9B	-1.0275
MMP7	9.10725
CRNKL1	0.35575
C9orf45	-1.92566666666667
XAB2	-1.228375
RTN1	1.882
KLHL14	-0.692285714285714
TBX10	-1.0565
CENPQ	-1.30175
UTY	-0.391307692307692
ZBTB12	-0.1455
DTNBP1	0.57275
KBTBD8	-0.249666666666667
ZEB1	0.782166666666667
ZG16	-0.201
MIER1	1.174
ADAM5P	1.501
CHD9	0.0917500000000001
STK16	-0.55175
KIAA1486	0.1415
TOB2	0.566416666666667
BANK1	3.11675
OR2V2	-0.00499999999999997
GRM2	0.110333333333333
PROSC	-1.213625
SPIN2B	1.33425
PIR	-0.236777777777778
IPO9	-1.2849
EVC	-0.259166666666667
CXCL13	0.92375
KIAA1199	-3.2907
SORL1	1.32375
NAT10	-1.98125
CHD1	-0.71675
SYN3	-0.23
SLC22A2	-0.027
SERPINF1	0.955166666666667
WDR34	-2.2585
OR7A17	-0.1235
C9orf11	0.3295
RNF216L	-0.5265
LHB	0.2095
STK25	-2.50175
TAOK3	1.17525
LOC152573	0.20775
C3orf39	0.219125
C14orf108	0.155
CDC25B	-2.61527272727273
BMP3	-0.015
TMEM180	0.1035
MAP1LC3C	1.00075
CRYGC	-0.0145
POU3F1	-1.2253
C20orf32	-0.7305
CCDC95	-1.5315
HIGD1B	5.23075
USP6NL	0.39425
ABCD4	0.244166666666667
DIMT1L	0.398333333333333
TEK	2.6835
SLC25A46	0.6545
LARP7	0.0878
CD160	0.996166666666667
MT1JP	1.59933333333333
PHF20	-0.74425
CPNE4	-0.51025
GTPBP1	-0.976428571428571
RAB33B	0.9265
ALDOC	-0.394875
ZNF212	-0.182
NUDT1	-0.5575
RFPL2	-0.64175
ZNF83	0.899
GDPD5	-1.118375
PDCD4	2.2405
CEP350	-0.63375
OR10A2	0.74475
CST7	0.159333333333333
CIAO1	-1.76325
SELL	0.33
OR8J3	0.4255
LTBP4	-0.72
SIRT6	-0.92
CCL19	6.938
PPIL1	0.151166666666667
GBP7	-0.111333333333333
STK17A	-0.0971
ABR	-0.34925
OR9G1	0.562
FOXE1	-0.423125
CNGA3	0.8045
GML	-0.5805
CD38	-0.6795
ZDHHC6	0.196833333333333
NEFH	-1.66175
CTDSP2	-0.772333333333333
PGBD5	-1.8662
CCNY	-1.01728571428571
RMND5B	-0.77475
ZNF257	-0.98375
FLJ22167	-1.576125
EXOSC7	0.2865
ROR2	-0.502875
MAOA	4.002
TNNT3	1.167
GYPC	-0.74125
C7orf33	0.1025
PLIN	6.25483333333333
LOC90826	0.79975
RNF4	-0.3952
F8A1	-0.982
PLEKHG4	-2.27075
GRB2	-1.71385
HIST1H2AD	-1.05975
DUS3L	-2.359
EIF1	-0.4285
RP5-1077B9.4	-2.489
FPGT	1.3695
GDF10	5.875
COQ9	-0.42575
GCC2	0.682642857142857
RARRES3	3.836375
PLXNA1	-1.0024
KIAA0100	-0.6729
PMF1	-1.3175
FNDC1	5.09075
HS2ST1	-0.675
CRELD2	-0.575
C8G	-1.8095
CD82	-0.616
LIM2	-1.196
UNQ6490	-0.428
MMP16	-1.037
DRD3	-0.456666666666667
C5orf26	1.7475
