Hybridization REF	TCGA-A7-A0CH-11A-32R-A089-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.633
CREB3L1	0.09225
RPS11	0.757875
PNMA1	0.8215
MMP2	0.676333333333333
C10orf90	0.84
ZHX3	0.377333333333333
ERCC5	0.69925
GPR98	-0.63275
RXFP3	0.1455
APBB2	1.6015
PRO0478	-0.42975
KLHL13	1.35125
PRSSL1	-0.206666666666667
PDCL3	0.0738333333333333
DECR1	0.557125
SALL1	-2.97116666666667
CADM4	0.1005
RPS18	0.453285714285714
HNRPD	-0.561333333333333
CFHR5	1.49733333333333
SLC10A7	0.08125
OR2K2	-0.1225
LMAN1	-1.492375
SUHW1	-3.8175
CHD8	-0.7411
SUMO1	0.4952
GP1BA	1.8191
DDB1	-0.494166666666667
MYO9B	-0.6162
MMP7	7.479
CRNKL1	-0.01275
C9orf45	-0.790666666666667
XAB2	-0.368
RTN1	2.259625
KLHL14	-0.190375
TBX10	-1.655
CENPQ	-1.9125
UTY	-1.41558333333333
ZBTB12	-0.135
DTNBP1	0.414375
KBTBD8	-0.533166666666667
ZEB1	1.63183333333333
ZG16	-1.0165
MIER1	0.8701
ADAM5P	0.2015
CHD9	0.4425625
STK16	-0.31075
KIAA1486	-0.0105
TOB2	1.29325
BANK1	5.565
OR2V2	0.14175
GRM2	-0.239
PROSC	0.6865
SPIN2B	0.52125
PIR	-0.283777777777778
IPO9	-0.8244
EVC	0.7035
CXCL13	5.54416666666667
KIAA1199	-3.4076
SORL1	1.52125
NAT10	-1.237
CHD1	-0.88375
SYN3	-0.077
SLC22A2	-0.42225
SERPINF1	2.15283333333333
WDR34	-1.249
OR7A17	-0.02025
C9orf11	-0.0435
RNF216L	0.208
LHB	-0.3725
STK25	-0.2945
TAOK3	0.712875
LOC152573	0.22725
C3orf39	0.508875
C14orf108	-0.1078
CDC25B	-2.24590909090909
BMP3	0.265
TMEM180	-0.345
MAP1LC3C	2.5015
CRYGC	-0.401
POU3F1	-1.3962
C20orf32	-1.403
CCDC95	-0.803
HIGD1B	4.4955
USP6NL	-0.218375
ABCD4	0.555
DIMT1L	-0.827416666666667
TEK	2.6845
SLC25A46	-0.36975
LARP7	-1.0677
CD160	1.34033333333333
MT1JP	1.0435
PHF20	-0.3120625
CPNE4	-1.06975
GTPBP1	-0.561785714285714
RAB33B	1.55466666666667
ALDOC	-0.482875
ZNF212	-0.26475
NUDT1	-1.187
RFPL2	-0.65025
ZNF83	-0.1445
GDPD5	1.5565
PDCD4	2.15485
CEP350	-0.04125
OR10A2	0.01025
CST7	1.076
CIAO1	-1.12725
SELL	1.766
OR8J3	-0.1
LTBP4	0.748833333333333
SIRT6	-0.4475
CCL19	5.249
PPIL1	-1.17633333333333
GBP7	0.371166666666667
STK17A	-0.5005
ABR	0.84725
OR9G1	0.9945
FOXE1	0.043875
CNGA3	0.4635
GML	-0.0735
CD38	-0.8135
ZDHHC6	-0.155166666666667
NEFH	-2.20225
CTDSP2	0.828
PGBD5	-1.325
CCNY	0.312857142857143
RMND5B	-0.00733333333333333
ZNF257	-0.8205
FLJ22167	-0.5525
EXOSC7	-0.593833333333333
ROR2	0.367625
MAOA	4.273
TNNT3	3.4005
GYPC	0.9645
C7orf33	0.462
PLIN	4.88083333333333
LOC90826	-0.0175
RNF4	-0.3092
F8A1	0.530833333333333
PLEKHG4	-1.14125
GRB2	-0.16665
HIST1H2AD	-0.1425
DUS3L	-0.866666666666667
EIF1	0.276666666666667
RP5-1077B9.4	-1.05083333333333
FPGT	1.517
GDF10	4.05266666666667
COQ9	-0.34775
GCC2	0.352642857142857
RARRES3	2.648625
PLXNA1	-0.3758
KIAA0100	-0.0905
PMF1	-0.36425
FNDC1	3.641
HS2ST1	-0.217333333333333
CRELD2	-0.0785
C8G	-1.839
CD82	1.18225
LIM2	-1.2595
UNQ6490	-0.255
MMP16	-0.4005
DRD3	-0.493
C5orf26	0.42075
C11orf73	-0.038375
PTP4A2	0.61425
OR4M2	0.23
HPCA	-1.337
SEC14L1	-0.345333333333333
CHFR	-0.650875
EMILIN1	0.82375
NDUFS4	0.4355
COL18A1	0.11175
PDZD3	0.175
C9orf16	-0.0256666666666667
ERBB2IP	0.0903333333333333
EMX2	5.12175
FUS	-1.682
TF	-1.823
CLCN4	0.896
CXorf56	0.03325
C11orf72	-0.35275
ELAC2	-0.285916666666667
NPR1	2.60725
ASS1	-0.518833333333333
USP42	-0.269375
POLR2J	-1.2055
SEC23IP	0.560666666666667
UQCRC1	-0.2975
LOC729603	-0.61025
C1orf71	-0.61225
POLG	-2.7115
ADAM23	-2.94475
TFR2	-1.93825
RICTOR	-0.4927
MGC39606	1.91725
C19orf55	-0.435
SNAPC1	-1.30416666666667
GNA11	1.22325
CCDC52	-0.589166666666667
FSIP1	2.2585
UPF3A	-0.515375
IGSF11	-2.672
LAGE3	-0.97675
CHST6	-3.7975
UNC13B	0.646875
TTLL4	-1.7735
ZNF687	0.130625
SDC2	0.5613
COX7A2	-0.099
LAMB4	0.4125
FAM24A	0.131
LRRTM3	-1.05066666666667
GPHB5	0.42175
OR4C13	0.489
EIF3EIP	0.649642857142857
HABP4	0.532
TMEM125	2.74275
CNTN2	0.33
ASNSD1	0.1455
FUT4	0.13975
ACF	-4.14175
LOC158381	0.1675
CDH8	-0.19075
AGPS	-0.545
C4orf18	3.806625
PECI	1.15766666666667
UNG	-0.811875
GSTP1	0.05825
DCUN1D5	-1.60066666666667
DKFZP564J0863	-1.16875
SLC9A3R1	-0.53075
BCDO2	0.14225
CHMP7	-0.274
REM2	0.243
DNHD1	-0.442875
FKBP4	-1.586625
ZNF350	1.94925
MGC11102	-0.445875
BST1	2.672
KISS1R	-0.0505
NCR2	0.0705
DEFB125	-0.408
UBE2W	0.766
KRT15	4.44475
C10orf99	-0.001
SCN11A	0.61075
GFI1	-2.36025
RDHE2	2.8105
FHL1	3.5675
OSGEP	-0.0425
GATA1	-3.616
SMC6	-1.42575
TTTY14	-0.75425
LPIN3	-0.283
RPL4	-0.3985
RBPMS	0.9461
PRPF3	-0.919166666666667
EMR1	-2.1385
SPATA19	0.2115
XCR1	-0.0795
IRX3	1.8814
RBM6	-0.3455
KLF4	1.6737
UNC5CL	-1.304
SEBOX	0.036
BTK	-0.144
KRCC1	1.52625
C6orf27	0.343
SYTL5	-2.0365
PRND	2.130875
LOC653319	-1.626
PIGL	-1.17775
HUS1	-0.597
SFRS6	-1.57266666666667
C17orf77	0.493
UIMC1	-0.312333333333333
FXYD2	-0.8463
LOC283152	0.72325
ZNF667	0.325
ZCCHC12	-0.32425
TFEC	2.5793
ATP7B	-0.427333333333333
POLD2	-1.65833333333333
RG9MTD1	-0.08075
ACOT2	1.80783333333333
HIST1H4I	-1.344625
PPARGC1A	-0.0938
ETFA	-0.6873
POLRMT	-0.55825
ZNF146	-0.819625
MIA2	-1.0405
KLHL6	-0.384333333333333
HOXB5	-0.027375
NENF	0.434833333333333
CUGBP1	-0.57025
PRSS22	0.445833333333333
CASC4	1.0487
CUL4B	0.2894
CENPJ	-1.8021
PITX1	-2.20483333333333
FLJ31033	0.444333333333333
CELSR3	-2.53866666666667
ZNF568	0.905
ITSN1	1.06466666666667
EHBP1L1	-0.631833333333333
C19orf2	-0.7945
DCTN1	-0.542
LIN28B	-3.04133333333333
TNKS2	-0.75475
C1QBP	-0.713
CADPS2	1.6785
SRMS	0.0735
GJA9	-0.2075
MGC24975	-1.28166666666667
TRIM45	-0.727833333333333
TSP50	0.381
TCP1	-1.2945
TMED7	0.2322
CMA1	2.1385
CENPL	-2.3495
PTCRA	-0.144
FST	-2.88875
VWCE	-1.41825
PAWR	-0.4275
ABCC12	2.21233333333333
LDLR	-1.8108
ASTN2	0.8215
LOC441212	-0.619375
GPATCH8	-0.492
TANC2	-0.969333333333333
KIF4A	-3.65225
C18orf18	0.24925
PGM1	0.44775
KIAA0258	0.18325
CPD	0.636375
SNCAIP	0.8195
DCT	-4.36916666666667
HLA-DOA	2.30290909090909
OR11L1	0.3585
UPK1B	-0.231666666666667
DNAJB4	0.976
UGT1A8	0.2615
HIST1H4L	-0.589
PECR	-0.324833333333333
HSPA2	2.34975
WFIKKN1	-3.111
SERP1	0.404875
SYDE2	1.82125
TACR2	0.704
NUP85	-1.002
CD177	-0.595166666666667
LGR5	-2.01233333333333
PIGG	-0.279416666666667
PTHR1	0.993666666666667
RAB5A	-0.1023
FLJ13224	-0.8015
USP9Y	-2.22
C7orf53	-0.277
LRP1B	2.057
XAF1	1.6808
ABCG8	-0.2475
ANKDD1A	0.936
DAND5	-0.481
SPAG6	1.136
LINCR	1.20525
ZDHHC22	-1.542875
CCDC60	-0.5025
THOC7	-1.06083333333333
TCTA	0.5664
OR8K3	0.14375
NY-REN-7	-0.72325
B2M	1.81566666666667
C6orf141	-1.976125
LPPR4	2.788
SQLE	-2.84375
SEPHS1	-0.889
BTBD14B	0.162785714285714
PLRG1	0.049
SPG7	-0.60425
ZNF614	-0.248
PARD6G	1.311
INPP5B	-0.9005
GRPEL2	-0.695
PPID	-0.7356
TRIM56	-0.02325
UBE2J1	-0.276625
IL20RA	5.43025
LOC387856	-0.089
C1orf107	0.0584166666666667
UTS2R	0.77975
C19orf22	-0.9065
SAFB2	-0.2835
KIAA0652	-0.083875
KLRG1	1.14316666666667
MS4A8B	1.56283333333333
FRAG1	-0.1935
KIAA1546	0.59075
E2F4	-1.1732
CLEC4M	0.557
BTBD14A	-1.10625
KIAA0999	1.1295
GYPA	-4.2974
TAC1	0.9388
TRAIP	-2.277
KIAA0232	0.6879
ERCC8	-1.152875
GPX4	1.461875
KIAA0368	0.354375
GPR157	-0.447666666666667
