Hybridization REF	TCGA-A7-A0CE-11A-21R-A089-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.558
CREB3L1	0.29225
RPS11	0.018375
PNMA1	0.82375
MMP2	0.697166666666667
C10orf90	-0.1165
ZHX3	0.1935
ERCC5	0.213
GPR98	0.295875
RXFP3	-0.182
APBB2	1.14425
PRO0478	-0.504875
KLHL13	2.82175
PRSSL1	-0.988666666666667
PDCL3	0.9245
DECR1	-0.32575
SALL1	-2.013
CADM4	-0.0126666666666666
RPS18	-0.5405
HNRPD	0.466583333333333
CFHR5	0.0916666666666667
SLC10A7	0.645375
OR2K2	0.6035
LMAN1	0.0475
SUHW1	-3.809
CHD8	-0.9806
SUMO1	-0.1265
GP1BA	0.4852
DDB1	-0.970833333333333
MYO9B	-0.8127
MMP7	7.61375
CRNKL1	0.808375
C9orf45	-0.657333333333333
XAB2	-0.931375
RTN1	2.7055
KLHL14	-0.28375
TBX10	-1.761
CENPQ	-1.01625
UTY	-1.46378571428571
ZBTB12	-0.404
DTNBP1	0.265875
KBTBD8	-0.743
ZEB1	0.5765
ZG16	-2.109
MIER1	0.6896
ADAM5P	-2.589
CHD9	0.35375
STK16	-0.3
KIAA1486	0.00950000000000001
TOB2	-0.099
BANK1	3.8085
OR2V2	0.31475
GRM2	-0.262166666666667
PROSC	0.871375
SPIN2B	0.61175
PIR	-1.82944444444444
IPO9	-1.1019
EVC	1.06716666666667
CXCL13	3.181
KIAA1199	-3.0492
SORL1	1.32775
NAT10	-1.2885
CHD1	0.00975000000000001
SYN3	-0.39525
SLC22A2	-0.533
SERPINF1	1.56616666666667
WDR34	-1.86125
OR7A17	0.2585
C9orf11	-1.2925
RNF216L	-0.5376
LHB	-0.6545
STK25	-0.806625
TAOK3	1.470375
LOC152573	0.09525
C3orf39	0.55175
C14orf108	1.1905
CDC25B	-2.34763636363636
BMP3	0.164
TMEM180	-0.569
MAP1LC3C	2.453
CRYGC	-0.829
POU3F1	-2.3384
C20orf32	-1.4145
CCDC95	-1.333
HIGD1B	3.89225
USP6NL	0.407
ABCD4	0.859
DIMT1L	-0.20425
TEK	2.26775
SLC25A46	-0.354
LARP7	-1.344
CD160	1.19883333333333
MT1JP	1.04366666666667
PHF20	-0.1714375
CPNE4	-0.96725
GTPBP1	-0.464
RAB33B	1.76683333333333
ALDOC	-1.8435
ZNF212	-0.2295
NUDT1	-1.44433333333333
RFPL2	-0.412
ZNF83	0.7495
GDPD5	-1.43375
PDCD4	2.51345
CEP350	0.27775
OR10A2	0.07775
CST7	0.1575
CIAO1	-1.567
SELL	1.479875
OR8J3	-0.0435
LTBP4	-0.46
SIRT6	-1.4235
CCL19	5.1105
PPIL1	-1.511
GBP7	0.142166666666667
STK17A	-0.5417
ABR	1.4675
OR9G1	0.5225
FOXE1	-0.979625
CNGA3	1.2285
GML	-0.0795
CD38	-1.021
ZDHHC6	0.2565
NEFH	-1.926
CTDSP2	1.39758333333333
PGBD5	0.263
CCNY	0.168
RMND5B	-0.55775
ZNF257	-0.59875
FLJ22167	0.545625
EXOSC7	-0.412166666666667
ROR2	1.889875
MAOA	3.394
TNNT3	2.08066666666667
GYPC	-0.45175
C7orf33	0.9885
PLIN	4.50933333333333
LOC90826	0.869
RNF4	-0.00290000000000002
F8A1	0.651166666666667
PLEKHG4	-0.20625
GRB2	-0.42165
HIST1H2AD	-1.094
DUS3L	-1.58866666666667
EIF1	0.144
RP5-1077B9.4	-2.488
FPGT	1.7755
GDF10	3.3175
COQ9	-0.53625
GCC2	1.01778571428571
