Hybridization REF	TCGA-A7-A0D9-11A-53R-A089-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.00375
CREB3L1	-0.18875
RPS11	0.183625
PNMA1	1.8005
MMP2	0.702833333333333
C10orf90	1.32775
ZHX3	0.368666666666667
ERCC5	0.82775
GPR98	-2.091375
RXFP3	0.2035
APBB2	2.3555
PRO0478	-0.21025
KLHL13	-1.56
PRSSL1	-0.288833333333333
PDCL3	0.467166666666667
DECR1	1.5305
SALL1	-4.08933333333333
CADM4	-1.0475
RPS18	-0.447428571428571
HNRPD	-0.334416666666667
CFHR5	0.972833333333333
SLC10A7	0.237875
OR2K2	-0.434
LMAN1	-1.126
SUHW1	-4.05
CHD8	-0.9084
SUMO1	0.4466
GP1BA	0.6231
DDB1	-0.775166666666667
MYO9B	-0.3629
MMP7	2.1975
CRNKL1	-0.11325
C9orf45	-1.30683333333333
XAB2	-0.953
RTN1	2.66275
KLHL14	-1.3985
TBX10	-1.018
CENPQ	-1.84875
UTY	-1.48515384615385
ZBTB12	-0.497
DTNBP1	-0.140375
KBTBD8	-1.065
ZEB1	3.208
ZG16	-0.5675
MIER1	1.1845
ADAM5P	0.6765
CHD9	1.242625
STK16	-1.31275
KIAA1486	0.1305
TOB2	2.18558333333333
BANK1	5.97125
OR2V2	0.29825
GRM2	-0.129333333333333
PROSC	1.41975
SPIN2B	0.66225
PIR	0.370333333333333
IPO9	-0.8756
EVC	0.976666666666667
CXCL13	0.037
KIAA1199	-5.4822
SORL1	0.4065
NAT10	-1.2605
CHD1	-0.82575
SYN3	0.14775
SLC22A2	-0.795
SERPINF1	3.1285
WDR34	-2.5705
OR7A17	0.1775
C9orf11	-1.0875
RNF216L	0.2308
LHB	-0.3165
STK25	-0.085125
TAOK3	0.832875
LOC152573	0.316
C3orf39	0.425125
C14orf108	0.3091
CDC25B	-2.35609090909091
BMP3	1.836
TMEM180	0.019
MAP1LC3C	4.05775
CRYGC	-1.242
POU3F1	-1.5254
C20orf32	-1.1175
CCDC95	-0.871
HIGD1B	4.6285
USP6NL	-0.05175
ABCD4	0.511166666666667
DIMT1L	-0.533333333333333
TEK	3.5745
SLC25A46	0.46
LARP7	-0.842
CD160	1.0235
MT1JP	1.31533333333333
PHF20	-0.244375
CPNE4	0.9075
GTPBP1	-0.639
RAB33B	2.18966666666667
ALDOC	0.6885
ZNF212	-0.56625
NUDT1	-1.404
RFPL2	-0.70725
ZNF83	0.143666666666667
GDPD5	2.575125
PDCD4	1.50195
CEP350	0.33225
OR10A2	0.05725
CST7	0.38175
CIAO1	-0.77725
SELL	1.685875
OR8J3	0.156
LTBP4	1.22333333333333
SIRT6	-0.907
CCL19	4.639
PPIL1	-1.836
GBP7	0.086
STK17A	-0.8615
ABR	0.2985
OR9G1	1.874
FOXE1	-0.753875
CNGA3	-1.0875
GML	-0.756
CD38	-2.524
ZDHHC6	-0.340833333333333
NEFH	-2.934
CTDSP2	1.47775
PGBD5	-1.2695
CCNY	0.970642857142857
RMND5B	0.206083333333333
ZNF257	-0.94075
FLJ22167	-0.081625
EXOSC7	-0.9835
ROR2	-1.1775
MAOA	4.797375
TNNT3	4.10266666666667
GYPC	1.63
C7orf33	0.531
PLIN	5.10633333333333
LOC90826	0.202
RNF4	-0.2826
F8A1	1.54033333333333
PLEKHG4	-1.86075
GRB2	0.32525
HIST1H2AD	-1.5475
DUS3L	-1.17483333333333
EIF1	1.28766666666667
RP5-1077B9.4	-1.17733333333333
FPGT	1.65925
GDF10	5.15916666666667
COQ9	-0.162
GCC2	0.705714285714286
RARRES3	0.941625
PLXNA1	-0.3233
KIAA0100	0.1718
PMF1	-0.41425
FNDC1	5.3925
HS2ST1	0.0471666666666667
CRELD2	-0.27925
C8G	-1.971
CD82	0.3455
LIM2	-1.2295
UNQ6490	-0.1945
MMP16	0.268
DRD3	0.18425
C5orf26	-0.522
C11orf73	0.299625
PTP4A2	0.929
OR4M2	0.063
HPCA	-1.28033333333333
SEC14L1	-0.0685
CHFR	-0.22425
EMILIN1	0.969125
NDUFS4	0.44875
COL18A1	-0.135875
PDZD3	0.7633
C9orf16	-0.193333333333333
ERBB2IP	0.139333333333333
EMX2	5.8865
FUS	-2.336
TF	-1.8565
CLCN4	2.42133333333333
CXorf56	0.53575
C11orf72	0.326
ELAC2	-0.446166666666667
NPR1	3.54275
ASS1	0.3625
USP42	-0.1335
POLR2J	-2.335
SEC23IP	0.7355
UQCRC1	-0.5695
LOC729603	0.51625
C1orf71	0.00612499999999998
POLG	-3.247
ADAM23	-3.68875
TFR2	-2.1795
RICTOR	-0.4382
MGC39606	1.9515
C19orf55	-0.322375
SNAPC1	-0.804166666666667
GNA11	1.3535
CCDC52	-0.9295
FSIP1	-0.1625
UPF3A	0.664
IGSF11	-2.10816666666667
LAGE3	-1.194
CHST6	-4.409
UNC13B	1.093875
TTLL4	-2.473125
ZNF687	0.1365
SDC2	1.7931
COX7A2	-0.265
LAMB4	0.35575
FAM24A	-0.5005
LRRTM3	-0.8205
GPHB5	-0.12225
OR4C13	0.553
EIF3EIP	-0.168928571428571
HABP4	1.7615
TMEM125	-3.25575
CNTN2	1.211625
ASNSD1	0.30675
FUT4	1.117875
ACF	-4.2395
LOC158381	0.641
CDH8	0.10725
AGPS	0.105166666666667
C4orf18	3.861125
PECI	0.121083333333333
UNG	-0.51975
GSTP1	-0.33375
DCUN1D5	-1.5
DKFZP564J0863	-1.285
SLC9A3R1	-2.180375
BCDO2	-0.0855
CHMP7	0.54875
REM2	-0.1365
DNHD1	-0.776125
FKBP4	-2.447375
ZNF350	1.3835
MGC11102	-0.64275
BST1	3.11725
KISS1R	-0.4855
NCR2	0.1215
DEFB125	0.751
UBE2W	1.2955
KRT15	-3.94625
C10orf99	0.093
SCN11A	1.5545
GFI1	-3.13125
RDHE2	-0.954166666666667
FHL1	4.70133333333333
OSGEP	-0.672333333333333
GATA1	-3.75783333333333
SMC6	-1.40075
TTTY14	-0.834
LPIN3	0.13525
RPL4	-0.4204
RBPMS	1.5302
PRPF3	-0.982833333333333
EMR1	-2.3455
SPATA19	0.447
XCR1	-0.238
IRX3	-0.5128
RBM6	-0.1725
KLF4	3.4609
UNC5CL	-1.629
SEBOX	0.77
BTK	-0.64225
KRCC1	2.05175
C6orf27	-0.1655
SYTL5	-1.998
PRND	0.741
LOC653319	-2.08
PIGL	-1.353125
HUS1	-0.466166666666667
SFRS6	-1.3505
C17orf77	0.0705
UIMC1	-0.377333333333333
FXYD2	-0.9048
LOC283152	0.6515
ZNF667	0.733
ZCCHC12	1.0455
TFEC	3.5107
ATP7B	-0.141166666666667
POLD2	-1.8575
RG9MTD1	-0.4085
ACOT2	2.57433333333333
HIST1H4I	-1.6395
PPARGC1A	-0.2863
ETFA	0.2277
POLRMT	-0.60925
ZNF146	-0.748375
MIA2	-0.831
KLHL6	-0.702333333333333
HOXB5	0.522875
NENF	0.118833333333333
CUGBP1	-1
PRSS22	-1.471
CASC4	1.4572
CUL4B	0.4664
CENPJ	-1.6154
PITX1	-2.85566666666667
FLJ31033	0.946333333333333
CELSR3	-3.11733333333333
ZNF568	0.70075
ITSN1	2.79766666666667
EHBP1L1	-0.662666666666667
C19orf2	-0.38925
DCTN1	-0.106
LIN28B	-2.87466666666667
TNKS2	-0.7395
C1QBP	-1.302875
CADPS2	0.808
SRMS	0.03
GJA9	0.203
MGC24975	-2.1945
TRIM45	-1.85616666666667
TSP50	-0.08375
TCP1	-0.902
TMED7	0.5156
CMA1	3.297
CENPL	-2.21133333333333
PTCRA	0.1255
FST	-2.65075
VWCE	-2.657
