Hybridization REF	TCGA-BH-A0H7-11A-13R-A089-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.287833333333333
CREB3L1	0.32175
RPS11	0.922375
PNMA1	0.233
MMP2	0.0171666666666667
C10orf90	1.15
ZHX3	-0.2095
ERCC5	0.268
GPR98	-0.0135
RXFP3	0.1735
APBB2	0.8035
PRO0478	-0.959
KLHL13	1.60725
PRSSL1	-0.6895
PDCL3	0.799333333333333
DECR1	0.676125
SALL1	-3.11933333333333
CADM4	-0.0113333333333333
RPS18	0.971642857142857
HNRPD	-0.125583333333333
CFHR5	-0.2135
SLC10A7	0.284375
OR2K2	0.924
LMAN1	-1.096625
SUHW1	-4.13275
CHD8	-0.2266
SUMO1	0.5607
GP1BA	0.6964
DDB1	-0.510833333333333
MYO9B	-0.983
MMP7	7.14375
CRNKL1	0.604875
C9orf45	-0.695333333333333
XAB2	0.175375
RTN1	2.094125
KLHL14	-1.22625
TBX10	-1.279
CENPQ	-0.614
UTY	-1.24007142857143
ZBTB12	0.037
DTNBP1	0.198
KBTBD8	-1.78883333333333
ZEB1	0.515
ZG16	-0.80225
MIER1	0.533
ADAM5P	-0.014
CHD9	0.4258125
STK16	-0.1135
KIAA1486	-0.383
TOB2	0.12125
BANK1	3.4045
OR2V2	-0.163
GRM2	-0.0751666666666667
PROSC	0.59975
SPIN2B	0.08525
PIR	-1.86322222222222
IPO9	-0.7105
EVC	0.042
CXCL13	3.9855
KIAA1199	-2.9397
SORL1	1.648
NAT10	-0.69
CHD1	-0.92025
SYN3	-0.152
SLC22A2	-0.51125
SERPINF1	0.893833333333333
WDR34	-0.821
OR7A17	0.19325
C9orf11	0.0795
RNF216L	-0.0584
LHB	-0.41
STK25	-0.434375
TAOK3	0.616375
LOC152573	-1.69675
C3orf39	0.6395
C14orf108	0.2005
CDC25B	-1.39627272727273
BMP3	0.8485
TMEM180	-0.5455
MAP1LC3C	3.158
CRYGC	-0.041
POU3F1	-1.2767
C20orf32	-3.064
CCDC95	-0.809
HIGD1B	4.3235
USP6NL	0.062
ABCD4	-0.298333333333333
DIMT1L	-0.0831666666666667
TEK	2.1485
SLC25A46	-0.221
LARP7	-1.4114
CD160	0.935166666666667
MT1JP	0.9815
PHF20	-0.21675
CPNE4	-1.3095
GTPBP1	-0.483142857142857
RAB33B	1.7975
ALDOC	-1.251125
ZNF212	0.0365
NUDT1	-1.10183333333333
RFPL2	-1.225
ZNF83	-0.0438333333333333
GDPD5	0.207375
PDCD4	2.842
CEP350	-0.2515
OR10A2	-0.03225
CST7	0.01925
CIAO1	-1.16075
SELL	0.55725
OR8J3	0.3155
LTBP4	0.0921666666666667
SIRT6	-0.68175
CCL19	4.68375
PPIL1	-0.819833333333333
GBP7	0.201166666666667
STK17A	-0.5907
ABR	0.0905
OR9G1	-0.1425
FOXE1	-0.848
CNGA3	-0.334
GML	-0.1085
CD38	-2.321
ZDHHC6	-0.255833333333333
NEFH	-3.0285
CTDSP2	0.989
PGBD5	-0.5585
CCNY	0.284214285714286
RMND5B	0.144
ZNF257	-0.82125
FLJ22167	-0.03225
EXOSC7	-0.344666666666667
ROR2	0.847
MAOA	2.20125
TNNT3	2.8395
GYPC	0.146
C7orf33	0.716
PLIN	4.45566666666667
LOC90826	-0.3255
RNF4	-0.2727
F8A1	0.179666666666667
PLEKHG4	-0.4125
GRB2	-0.355
HIST1H2AD	-0.489
DUS3L	-0.720666666666667
EIF1	-0.283333333333333
RP5-1077B9.4	-1.6095
FPGT	1.38175
GDF10	3.69833333333333
COQ9	-0.223
GCC2	0.238285714285714
RARRES3	2.37525
PLXNA1	-0.5401
KIAA0100	-0.4143
PMF1	-0.13325
FNDC1	3.98375
HS2ST1	-0.0809999999999999
CRELD2	0.07875
C8G	-1.885
CD82	1.8165
LIM2	-1.3125
UNQ6490	0.265
MMP16	-0.15025
DRD3	0.0525
C5orf26	1.12725
C11orf73	-0.51725
PTP4A2	-0.065125
OR4M2	0.2055
HPCA	-1.11683333333333
SEC14L1	-0.6315
CHFR	-0.682125
EMILIN1	0.56
NDUFS4	0.18125
COL18A1	-0.3635
PDZD3	-0.0728
C9orf16	-0.324
ERBB2IP	0.0443333333333333
EMX2	4.281
FUS	-0.9725
TF	-2.8597
CLCN4	0.4415
CXorf56	0.2555
C11orf72	0.221
ELAC2	-0.824166666666667
NPR1	1.00925
ASS1	-0.761666666666667
USP42	-0.017
POLR2J	-1.005
SEC23IP	0.221
UQCRC1	-0.12175
LOC729603	-0.5005
C1orf71	-0.410875
POLG	-2.869
ADAM23	-3.857
TFR2	-2.0925
RICTOR	-0.5545
MGC39606	2.54875
C19orf55	-0.644125
SNAPC1	-1.181
GNA11	1.00475
CCDC52	-0.315833333333333
FSIP1	1.658
