Hybridization REF	TCGA-BH-A0E0-11A-13R-A089-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.559333333333333
CREB3L1	0.039
RPS11	0.99625
PNMA1	0.3435
MMP2	-1.1505
C10orf90	-0.816
ZHX3	-0.366666666666667
ERCC5	0.177
GPR98	-0.05825
RXFP3	-0.0265
APBB2	1.339
PRO0478	-0.394625
KLHL13	2.533
PRSSL1	-1.01383333333333
PDCL3	0.787666666666667
DECR1	0.088375
SALL1	-3.32283333333333
CADM4	0.852833333333333
RPS18	0.933642857142857
HNRPD	-0.344083333333333
CFHR5	0.4385
SLC10A7	0.456125
OR2K2	-0.2565
LMAN1	-0.5625
SUHW1	-4.3415
CHD8	-0.6374
SUMO1	0.3657
GP1BA	-0.2
DDB1	-0.488333333333333
MYO9B	-0.8725
MMP7	6.662
CRNKL1	0.472375
C9orf45	-0.940833333333333
XAB2	-0.2745
RTN1	1.9875
KLHL14	-1.449
TBX10	-1.1775
CENPQ	-1.22675
UTY	-1.29307142857143
ZBTB12	-0.316
DTNBP1	0.24325
KBTBD8	-1.36033333333333
ZEB1	0.676
ZG16	-1.8785
MIER1	1.1357
ADAM5P	0.122
CHD9	0.633
STK16	-0.086
KIAA1486	-1.138
TOB2	0.426833333333333
BANK1	3.91625
OR2V2	0.09925
GRM2	-0.259333333333333
PROSC	0.610125
SPIN2B	0.207
PIR	-2.04422222222222
IPO9	-1.1508
EVC	0.594833333333333
CXCL13	8.17916666666667
KIAA1199	-4.5053
SORL1	1.899
NAT10	-1.0625
CHD1	-0.5145
SYN3	-0.78525
SLC22A2	-0.3715
SERPINF1	0.443166666666667
WDR34	-1.241
OR7A17	0.59425
C9orf11	1.143
RNF216L	0.0642
LHB	-0.3685
STK25	-0.66275
TAOK3	0.51025
LOC152573	-2.34175
C3orf39	0.03425
C14orf108	0.8388
CDC25B	-2.93427272727273
BMP3	0.641
TMEM180	-0.171
MAP1LC3C	1.92425
CRYGC	0.434
POU3F1	-1.6045
C20orf32	-1.3505
CCDC95	-0.817
HIGD1B	4.8355
USP6NL	0.072125
ABCD4	0.149166666666667
DIMT1L	-0.411
TEK	1.252
SLC25A46	-0.5115
LARP7	-1.1554
