Hybridization REF	TCGA-B6-A0X1-01A-11R-A109-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.540916666666667
CREB3L1	1.53975
RPS11	-0.0985
PNMA1	-0.88
MMP2	-1.53166666666667
C10orf90	-2.113
ZHX3	-0.174166666666667
ERCC5	-0.43975
GPR98	-1.923625
RXFP3	0.31
APBB2	0.26075
PRO0478	-0.73425
KLHL13	-2.15575
PRSSL1	-0.305666666666667
PDCL3	0.5615
DECR1	0.17175
SALL1	-5.14333333333333
CADM4	0.421
RPS18	0.955142857142857
HNRPD	-1.51383333333333
CFHR5	0.457166666666667
SLC10A7	-0.5805
OR2K2	0.592
LMAN1	0.537875
SUHW1	-1.1355
CHD8	-0.6494
SUMO1	0.892
GP1BA	-0.0173
DDB1	0.146666666666667
MYO9B	0.0769
MMP7	7.3515
CRNKL1	-0.760375
C9orf45	-2.196
XAB2	0.003875
RTN1	0.912125
KLHL14	-1.98125
TBX10	-0.59
CENPQ	-1.16375
UTY	-1.28392857142857
ZBTB12	0.0495
DTNBP1	0.208375
KBTBD8	0.117166666666667
ZEB1	-0.00916666666666666
ZG16	-1.462
MIER1	1.2882
ADAM5P	0.2895
CHD9	-0.6515625
STK16	0.66625
KIAA1486	-0.2505
TOB2	0.927333333333333
BANK1	2.36675
OR2V2	0.00824999999999999
GRM2	0.182833333333333
PROSC	0.863375
SPIN2B	-0.15375
PIR	0.945666666666667
IPO9	0.0535
EVC	-1.7875
CXCL13	7.909
KIAA1199	-1.4151
SORL1	-0.8705
NAT10	0.893
CHD1	-1.029
SYN3	-0.7295
SLC22A2	-0.10825
SERPINF1	-0.808833333333333
WDR34	0.053
OR7A17	0.17575
C9orf11	0.066
RNF216L	-0.2973
LHB	0.0675
STK25	-0.25075
TAOK3	0.6005
LOC152573	0.76
C3orf39	0.632375
C14orf108	0.137
CDC25B	-0.100272727272727
BMP3	0.399
TMEM180	-0.083
MAP1LC3C	-0.43425
CRYGC	0.1085
POU3F1	-1.1958
C20orf32	-1.3585
CCDC95	0.485
HIGD1B	1.16725
USP6NL	0.718625
ABCD4	-1.19283333333333
DIMT1L	-0.139166666666667
TEK	-0.476625
SLC25A46	-0.07975
LARP7	-1.3487
CD160	0.025
MT1JP	3.24516666666667
PHF20	-1.4409375
CPNE4	-1.00575
GTPBP1	-0.0674285714285714
RAB33B	-0.259666666666667
ALDOC	-2.291625
ZNF212	0.16375
NUDT1	-0.7315
RFPL2	2.6995
ZNF83	-1.17466666666667
GDPD5	-0.959875
PDCD4	-0.21725
CEP350	-0.73525
OR10A2	0.34225
CST7	1.633
CIAO1	0.088
SELL	1.198625
OR8J3	0.067
LTBP4	0.266
SIRT6	-0.25525
CCL19	3.01725
PPIL1	-0.1075
GBP7	1.726
STK17A	-0.6731
ABR	0.7645
OR9G1	0.218
FOXE1	-0.297
CNGA3	-0.081
GML	0.473
CD38	1.41925
ZDHHC6	-0.422166666666667
NEFH	-2.1855
CTDSP2	-1.08425
PGBD5	0.901
CCNY	0.603071428571429
RMND5B	0.993583333333333
ZNF257	1.079
FLJ22167	0.60875
EXOSC7	-0.405833333333333
ROR2	2.128125
MAOA	-1.580625
TNNT3	-0.197666666666667
GYPC	0.369
C7orf33	1.047
PLIN	0.393166666666667
LOC90826	-0.581
RNF4	0.0692
F8A1	0.604833333333333
PLEKHG4	-0.175
GRB2	0.1834
HIST1H2AD	1.0675
DUS3L	-1.0835
EIF1	-0.6265
RP5-1077B9.4	-0.4715
FPGT	1.6795
GDF10	-1.28983333333333
COQ9	0.0975
GCC2	0.0221428571428571
RARRES3	2.244
PLXNA1	0.2207
KIAA0100	-0.7508
PMF1	-0.40575
FNDC1	4.15425
HS2ST1	0.332
CRELD2	1.0955
C8G	0.192
CD82	2.48325
LIM2	-1.2315
UNQ6490	0.29
MMP16	-0.65025
DRD3	-0.02675
C5orf26	-2.25625
C11orf73	-0.497875
PTP4A2	0.537625
OR4M2	0.6285
HPCA	-0.914
SEC14L1	-0.267666666666667
CHFR	-0.133375
EMILIN1	0.0735
