Hybridization REF	TCGA-AN-A0XT-01A-11R-A109-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.0611666666666666
CREB3L1	-0.23625
RPS11	1.632125
PNMA1	0.111
MMP2	-0.505
C10orf90	-2.07825
ZHX3	-0.319166666666667
ERCC5	0.8375
GPR98	0.339875
RXFP3	0.29
APBB2	1.83775
PRO0478	-0.082375
KLHL13	-1.31625
PRSSL1	-0.3245
PDCL3	0.337333333333333
DECR1	-0.561375
SALL1	-4.64133333333333
CADM4	0.592333333333333
RPS18	1.04307142857143
HNRPD	-1.19408333333333
CFHR5	-0.0595
SLC10A7	-0.2985
OR2K2	0.033
LMAN1	-0.72525
SUHW1	-2.994
CHD8	0.0603
SUMO1	0.3874
GP1BA	0.6366
DDB1	-0.183
MYO9B	-0.479
MMP7	6.441
CRNKL1	0.769125
C9orf45	0.68
XAB2	-0.364375
RTN1	0.606625
KLHL14	-0.515375
TBX10	-0.621
CENPQ	-1.4905
UTY	-1.13042857142857
ZBTB12	0.289
DTNBP1	0.551625
KBTBD8	-2.25316666666667
ZEB1	0.591833333333333
ZG16	0.693
MIER1	0.7831
ADAM5P	-0.255
CHD9	-0.1670625
STK16	-0.22925
KIAA1486	-0.219
TOB2	0.83925
BANK1	2.302
OR2V2	0.47475
GRM2	-0.0166666666666667
PROSC	0.63775
SPIN2B	0.0335
PIR	-2.34155555555556
IPO9	-0.4775
EVC	-0.1065
CXCL13	1.91766666666667
KIAA1199	-3.1761
SORL1	1.029
NAT10	0.426
CHD1	0.267
SYN3	-0.27325
SLC22A2	-0.2955
SERPINF1	-0.731
WDR34	-0.30325
OR7A17	0.0745
C9orf11	-0.4675
RNF216L	-0.543
LHB	-0.079
STK25	-0.333625
TAOK3	1.9585
LOC152573	-2.11975
C3orf39	0.2725
C14orf108	0.424
CDC25B	-2.55363636363636
BMP3	0.127
TMEM180	-0.0665
MAP1LC3C	0.1165
CRYGC	-0.4555
POU3F1	-1.4004
C20orf32	-1.081
CCDC95	-0.078
HIGD1B	4.9305
USP6NL	-0.050625
ABCD4	-0.508333333333333
DIMT1L	-0.68125
TEK	2.266375
SLC25A46	-0.53975
LARP7	-1.6841
CD160	0.0736666666666667
MT1JP	-0.0768333333333333
PHF20	0.128625
CPNE4	-0.95525
GTPBP1	-0.557714285714286
RAB33B	0.1385
ALDOC	-1.7755
ZNF212	0.16125
NUDT1	-0.688166666666667
RFPL2	-1.07425
ZNF83	0.773333333333333
GDPD5	-1.198875
PDCD4	1.41795
CEP350	0.26375
OR10A2	0.2665
CST7	-0.00525
CIAO1	-1.17425
SELL	0.61525
OR8J3	0.4795
LTBP4	0.109
SIRT6	-0.7605
