Hybridization REF	TCGA-A2-A0YG-01A-21R-A109-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.684916666666667
CREB3L1	1.553
RPS11	0.02825
PNMA1	-0.21
MMP2	0.177666666666667
C10orf90	-2.37975
ZHX3	0.407666666666667
ERCC5	-0.425
GPR98	-0.233375
RXFP3	0.5675
APBB2	3.19825
PRO0478	-1.277625
KLHL13	-1.74925
PRSSL1	-0.807666666666667
PDCL3	0.845
DECR1	0.8825
SALL1	-3.54216666666667
CADM4	1.3285
RPS18	-0.242357142857143
HNRPD	-0.977083333333333
CFHR5	0.645333333333333
SLC10A7	0.277875
OR2K2	0.3025
LMAN1	-0.1875
SUHW1	-2.5265
CHD8	-0.3623
SUMO1	0.4934
GP1BA	-0.0661
DDB1	-0.2195
MYO9B	-0.0055
MMP7	6.074
CRNKL1	1.426125
C9orf45	-1.042
XAB2	-0.0635
RTN1	1.62925
KLHL14	-1.096
TBX10	-0.594
CENPQ	-0.39225
UTY	-1.03661538461538
ZBTB12	-0.051
DTNBP1	-0.0858749999999999
KBTBD8	-1.85
ZEB1	-0.377
ZG16	-0.9135
MIER1	0.0672
ADAM5P	0.787
CHD9	-0.3429375
STK16	1.323
KIAA1486	-0.0335
TOB2	0.958333333333333
BANK1	1.686
OR2V2	0.297
GRM2	0.220333333333333
PROSC	0.360375
SPIN2B	0.07275
PIR	-2.21144444444444
IPO9	0.2653
EVC	0.398833333333333
CXCL13	4.25266666666667
KIAA1199	-0.9424
SORL1	0.342
NAT10	-1.003
CHD1	-0.37225
SYN3	0.01725
SLC22A2	-0.4905
SERPINF1	0.0236666666666667
WDR34	0.14
OR7A17	0.38875
C9orf11	-0.153
RNF216L	-0.5859
LHB	-0.027
STK25	-0.004
TAOK3	0.365125
LOC152573	-2.66425
C3orf39	-0.028625
C14orf108	0.7187
CDC25B	-0.136545454545455
BMP3	0.4165
TMEM180	-0.02
MAP1LC3C	-0.108
CRYGC	-0.1085
POU3F1	-1.3902
C20orf32	-0.791
CCDC95	0.117
HIGD1B	3.8895
USP6NL	0.75125
ABCD4	-0.870666666666667
DIMT1L	-0.4085
TEK	1.023875
SLC25A46	-0.009
LARP7	-1.3949
CD160	0.0588333333333333
MT1JP	-0.927666666666667
PHF20	0.8050625
CPNE4	1.11325
GTPBP1	-0.263071428571429
RAB33B	0.624
ALDOC	-2.793375
ZNF212	0.209
NUDT1	-0.606666666666667
RFPL2	0.75875
ZNF83	0.273833333333333
GDPD5	0.09475
PDCD4	0.3412
CEP350	0.18225
OR10A2	0.18675
CST7	-0.10825
CIAO1	-0.58975
SELL	1.11
OR8J3	0.1725
LTBP4	-0.829666666666667
SIRT6	-0.13
CCL19	3.8035
PPIL1	-0.5135
GBP7	0.217166666666667
STK17A	-0.8732
ABR	-0.4155
OR9G1	-0.589
FOXE1	-0.4355
CNGA3	0.0455
GML	0.214
CD38	-1.31075
ZDHHC6	0.289333333333333
NEFH	-2.96925
CTDSP2	0.00541666666666666
PGBD5	-1.79383333333333
CCNY	0.0597857142857143
RMND5B	1.13466666666667
ZNF257	0.11525
FLJ22167	-1.160875
EXOSC7	-0.431
ROR2	0.5505
MAOA	-1.493625
TNNT3	-0.0325
GYPC	-1.7385
C7orf33	1.048
PLIN	1.14783333333333
LOC90826	-0.321
RNF4	0.4219
F8A1	0.542833333333333
