Hybridization REF	TCGA-AR-A0TU-01A-31R-A109-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.0416666666666667
CREB3L1	-0.71675
RPS11	-0.016
PNMA1	-0.55575
MMP2	-1.34816666666667
C10orf90	-1.8725
ZHX3	-0.657
ERCC5	-0.0555
GPR98	-1.17125
RXFP3	0.1835
APBB2	1.52825
PRO0478	-0.966375
KLHL13	1.21925
PRSSL1	-0.545333333333333
PDCL3	-0.0493333333333333
DECR1	0.2635
SALL1	-3.45466666666667
CADM4	1.19016666666667
RPS18	-0.443214285714286
HNRPD	0.34125
CFHR5	-0.1525
SLC10A7	-0.09575
OR2K2	0.048
LMAN1	-0.5605
SUHW1	-1.8185
CHD8	-0.4749
SUMO1	0.3062
GP1BA	1.0561
DDB1	0.2115
MYO9B	0.2074
MMP7	7.23925
CRNKL1	0.929375
C9orf45	-1.73533333333333
XAB2	0.252875
RTN1	0.51475
KLHL14	-1.320125
TBX10	-0.305
CENPQ	-1.84125
UTY	-0.679071428571429
ZBTB12	-0.185
DTNBP1	0.593
KBTBD8	-0.533166666666667
ZEB1	-2.02083333333333
ZG16	-1.3505
MIER1	0.542
ADAM5P	0.77
CHD9	-0.5994375
STK16	0.4085
KIAA1486	0.011
TOB2	0.0178333333333333
BANK1	2.4485
OR2V2	0.193
GRM2	0.0953333333333333
PROSC	1.0345
SPIN2B	0.7375
PIR	0.259666666666667
IPO9	-0.0146
EVC	0.255166666666667
CXCL13	5.43466666666667
KIAA1199	-3.5053
SORL1	-0.82625
NAT10	0.38375
CHD1	0.099
SYN3	-0.4155
SLC22A2	0.00200000000000001
SERPINF1	-1.4165
WDR34	0.056
OR7A17	0.25925
C9orf11	-0.0455
RNF216L	-0.7461
LHB	-0.1355
STK25	-0.041875
TAOK3	1.154
LOC152573	-1.73875
C3orf39	0.998625
C14orf108	0.9692
CDC25B	-1.05863636363636
BMP3	0.207
TMEM180	0.232
MAP1LC3C	0.12775
CRYGC	-0.147
POU3F1	-1.1941
C20orf32	-0.885
CCDC95	0.559
HIGD1B	2.4905
USP6NL	2.37925
ABCD4	-0.456666666666667
DIMT1L	-0.480916666666667
TEK	0.0635
SLC25A46	-0.943
LARP7	-1.2267
CD160	0.4505
MT1JP	-1.92933333333333
PHF20	-1.0831875
CPNE4	-1.01725
GTPBP1	-0.191142857142857
RAB33B	0.811
ALDOC	-2.485875
ZNF212	0.30375
NUDT1	0.0448333333333333
RFPL2	-0.97425
ZNF83	-0.891166666666667
GDPD5	-1.85075
PDCD4	0.38915
CEP350	0.737
OR10A2	0.75575
CST7	1.08175
CIAO1	-0.024
SELL	0.846625
OR8J3	0.5195
LTBP4	-0.652
SIRT6	0.8945
CCL19	4.54475
PPIL1	-0.817833333333333
GBP7	0.532833333333333
STK17A	-1.5593
ABR	1.5485
OR9G1	-0.1955
FOXE1	-0.085375
CNGA3	0.174
GML	0.208
CD38	-0.68775
ZDHHC6	0.425666666666667
NEFH	-2.8515
CTDSP2	0.346833333333333
PGBD5	-0.876333333333333
CCNY	0.406357142857143
RMND5B	-0.143583333333333
ZNF257	-3.416
FLJ22167	1.665
EXOSC7	0.363666666666667
ROR2	0.805875
MAOA	-1.46625
TNNT3	0.0415
GYPC	0.30225
C7orf33	0.2145
PLIN	0.9025
LOC90826	0.27075
RNF4	0.3316
F8A1	1.49783333333333
PLEKHG4	-3.114
GRB2	0.26425
HIST1H2AD	-0.70775
DUS3L	-0.416166666666667
EIF1	-0.543833333333333
RP5-1077B9.4	-0.330666666666667
FPGT	1.02575
GDF10	0.147166666666667
COQ9	0.1845
GCC2	-0.875714285714286
RARRES3	2.793
PLXNA1	-0.1078
KIAA0100	-0.6988
PMF1	-0.157
FNDC1	4.8835
HS2ST1	0.27525
CRELD2	0.47375
C8G	-1.3655
CD82	-0.03275
LIM2	-0.5005
UNQ6490	-0.3355
MMP16	0.32675
DRD3	-0.03125
C5orf26	-0.88125
C11orf73	-0.3355
PTP4A2	0.430375
OR4M2	0.00499999999999999
HPCA	0.0263333333333333
SEC14L1	-0.420666666666667
CHFR	-1.6945
EMILIN1	0.04125
NDUFS4	-1.001
COL18A1	0.02
PDZD3	0.1481
C9orf16	-0.157666666666667
ERBB2IP	-0.545333333333333
EMX2	1.262
FUS	-0.4365
TF	-3.109
CLCN4	0.422166666666667
CXorf56	0.94625
C11orf72	0.43475
ELAC2	-0.165333333333333
NPR1	-0.5485
ASS1	-1.5525
USP42	-0.1
POLR2J	-0.5615
SEC23IP	-0.277
UQCRC1	0.3655
LOC729603	-0.283
C1orf71	0.288125
POLG	-0.9095
ADAM23	-3.62075
TFR2	-0.1845
RICTOR	-0.9781
MGC39606	1.0695
C19orf55	-0.417375
SNAPC1	-1.15816666666667
GNA11	0.462375
CCDC52	-0.0386666666666667
FSIP1	-0.7805
UPF3A	0.0825
IGSF11	-2.27183333333333
LAGE3	0.491
CHST6	1.7545
UNC13B	0.291625
TTLL4	-0.298875
ZNF687	0.360375
SDC2	-0.0764
COX7A2	0.16575
LAMB4	-0.147
FAM24A	0.099
LRRTM3	-0.472333333333333
GPHB5	0.568
OR4C13	0.2105
EIF3EIP	-0.163357142857143
HABP4	0.946
TMEM125	2.655
CNTN2	0.1835
ASNSD1	-0.21425
FUT4	-0.54475
ACF	-3.2795
LOC158381	0.772
CDH8	-0.45025
AGPS	-1.08916666666667
C4orf18	0.4475
PECI	-0.988916666666667
UNG	0.55775
GSTP1	1.080375
DCUN1D5	0.7685
DKFZP564J0863	0.5615
SLC9A3R1	0.483875
BCDO2	-0.431625
CHMP7	0.12025
REM2	0.3125
DNHD1	-0.632375
FKBP4	0.415375
ZNF350	-2.101
MGC11102	0.776
BST1	0.8265
KISS1R	-0.184
NCR2	0.0595
DEFB125	-0.00700000000000001
UBE2W	0.608875
KRT15	1.453
C10orf99	0.364
SCN11A	0.191875
GFI1	-1.066
RDHE2	-0.168666666666667
FHL1	-2.11433333333333
OSGEP	0.621833333333333
GATA1	-3.423
SMC6	-0.439
TTTY14	-0.661
LPIN3	-0.481
RPL4	-0.3977
RBPMS	-2.5597
PRPF3	-0.0728333333333333
EMR1	-0.674
SPATA19	0.58125
XCR1	0.284
IRX3	2.0712
RBM6	-0.49325
KLF4	-0.4849
UNC5CL	-1.3405
SEBOX	0.105
BTK	-0.58475
KRCC1	0.34525
C6orf27	-0.1945
SYTL5	0.051
PRND	1.729875
LOC653319	-1.237
PIGL	-0.76875
HUS1	-0.0181666666666667
SFRS6	0.640083333333333
C17orf77	0.3675
UIMC1	1.0355
FXYD2	-1.5834
LOC283152	-1.3795
ZNF667	0.72475
ZCCHC12	-0.54575
TFEC	2.4725
ATP7B	-0.344166666666667
POLD2	-1.05033333333333
RG9MTD1	0.02825
ACOT2	-1.11133333333333
HIST1H4I	-0.9315
PPARGC1A	-3.1334
ETFA	-1.389
POLRMT	0.01725
ZNF146	0.899
MIA2	-0.8285
KLHL6	-0.379833333333333
HOXB5	-1.703875
NENF	0.8135
CUGBP1	1.1155
PRSS22	-0.191
CASC4	0.2014
CUL4B	-0.1835
CENPJ	-0.5645
PITX1	0.198666666666667
FLJ31033	0.7125
CELSR3	-0.758333333333333
ZNF568	0.35825
ITSN1	-0.00250000000000001
EHBP1L1	-1.54583333333333
C19orf2	-0.34975
DCTN1	-0.86425
LIN28B	-3.2235
TNKS2	0.7755
C1QBP	0.000874999999999987
CADPS2	-0.975
SRMS	-0.011
GJA9	0.2865
MGC24975	0.408666666666667
TRIM45	-0.8445
TSP50	0.13375
TCP1	0.267
TMED7	-0.9336
CMA1	0.5165
CENPL	1.64066666666667
PTCRA	-0.0415
FST	-4.52025
VWCE	-3.9665
PAWR	-0.1155
ABCC12	0.1815
LDLR	-0.6848
ASTN2	0.3125
LOC441212	-1.075625
GPATCH8	-0.06425
TANC2	-1.11866666666667
KIF4A	0.27175
C18orf18	0.5635
PGM1	-0.07225
KIAA0258	1.09125
CPD	-0.678875
SNCAIP	-1.35925
DCT	-3.822
HLA-DOA	2.56
OR11L1	0.388
UPK1B	-0.0963333333333334
DNAJB4	0.1225
UGT1A8	-0.20875
HIST1H4L	-2.088
PECR	-2.802
HSPA2	-0.189
WFIKKN1	-2.3425
SERP1	0.25025
SYDE2	1.24625
TACR2	0.1185
NUP85	0.31775
CD177	-0.408
LGR5	1.552
PIGG	-0.75825
PTHR1	-2.4095
RAB5A	0.864
FLJ13224	-0.0915
USP9Y	-0.633
C7orf53	-0.482
LRP1B	-0.71225
XAF1	3.5706
ABCG8	-0.219
ANKDD1A	-0.459
DAND5	0.0515
SPAG6	0.3785
LINCR	0.8765
ZDHHC22	-1.50425
CCDC60	0.625
THOC7	-0.906833333333333
TCTA	-0.1929
OR8K3	0.557
NY-REN-7	-0.32975
B2M	1.21466666666667
C6orf141	-0.69
LPPR4	0.5235
SQLE	0.126625
SEPHS1	1.83025
BTBD14B	0.0465
PLRG1	-0.3005
SPG7	-0.10125
ZNF614	-0.116666666666667
PARD6G	2.12383333333333
INPP5B	0.6155
GRPEL2	0.546
PPID	-0.1538
TRIM56	-0.002
UBE2J1	-0.127
IL20RA	1.82325
LOC387856	-0.08075
C1orf107	1.03008333333333
UTS2R	-0.533
C19orf22	0.61125
SAFB2	0.16925
KIAA0652	-0.560125
KLRG1	0.768166666666667
MS4A8B	0.128166666666667
FRAG1	1.0325
KIAA1546	0.752
E2F4	-0.3432
CLEC4M	-0.00250000000000001
BTBD14A	-0.04125
KIAA0999	0.6309
GYPA	-3.33866666666667
TAC1	-0.2993
TRAIP	-0.561
KIAA0232	-0.0869
ERCC8	-0.671375
GPX4	0.0305
KIAA0368	-0.128375
GPR157	-0.765666666666667
CTAGE4	2.1865
C9orf30	0.57
OR52A1	0.4725
HSP90B3P	0.1395
ALG9	-0.1896
BTBD10	1.12625
SDK2	-0.108
BAIAP3	-1.881
RABGGTB	-0.24475
ANKRD40	-0.526833333333333
KRT74	0.3275
CALCOCO2	-0.2585
SNCA	-3.672
TMSL8	1.486875
C2orf53	-0.133
ESRRB	-0.02575
ARHGAP26	0.202125
TDRD9	-2.6415
HRAS	-0.3715
KLRC4	-1.316
JAGN1	0.4625
BSDC1	0.622
RNF43	-2.7838
NDUFAF1	0.29
PHF12	0.4035
OR1L3	0.0175
FOLR2	1.41283333333333
LYZL6	0.0695
tcag7.1260	-1
WSB1	-0.908666666666667
PROS1	-0.8639
OSTN	0.343
PSMB8	1.53775
SOCS4	0.215625
DDIT4L	-0.0825
MAS1	-0.3745
MGC34796	0.63875
CSHL1	0.303
TBCCD1	1.17166666666667
ZBTB7C	0.441
AP2S1	-1.148
P15RS	1.1748
VAT1	-0.7213
SHANK3	0.518666666666667
TUFM	0.417833333333333
THEG	0.05475
KRT34	-0.44625
SGSM3	-0.445375
TOMM22	0.129875
SOCS3	1.18166666666667
CPO	0.4605
POP4	-0.1295
BHLHB3	1.95725
MALL	1.006
OR1B1	0.2185
PARK2	0.368333333333333
GPR124	-0.37625
LCE1E	-0.115
RUVBL2	-0.42225
CGRRF1	0.1797
ACPL2	1.2225
WNT10B	-1.43675
BAIAP2L2	-0.910625
ISCA1	0.911
C1orf125	0.144375
RPAP1	-0.34375
RAI16	-0.867833333333333
RPL27	-0.66425
NLRP9	0.002
EPN1	-0.329
LOC388610	0.8605
SLC35A1	0.5978
GAL	-3.55
SLC14A2	0.47625
RDH11	-0.513333333333333
FAM138F	-0.2695
AUH	0.328
FLJ40243	0.21475
C14orf129	-0.469166666666667
MBD2	0.3615
ABHD14B	-0.794375
PIGT	-1.422875
ALS2CR4	0.025125
ALAS1	-0.16
FOXO1	-0.709333333333333
CRLF3	0.554
C20orf107	-0.2255
FARS2	0.1
CCDC28A	0.331
NPHP3	-1.2635
OR13F1	0.318
TSEN54	0.622
DEFB106B	0.1273
OR8B4	0.457
STH	-0.67875
ZC3H14	-0.1675
CBX2	0.1605
TMEM49	-0.7875
C6orf21	0.4195
FLJ20920	-0.014625
CRTAP	-1.17357142857143
DDX50	0.11425
STYXL1	0.081
BLVRB	-1.874
LOC147650	-0.527333333333333
MMP24	-0.40725
GRID1	0.356833333333333
BANF1	0.0856666666666667
CTAGEP	0.8465
HMBS	-1.24775
SLC25A24	-1.02233333333333
C14orf50	-0.2285
MRO	0.685
SLC25A15	0.51875
FAM84B	0.8626
TDP1	0.4095
C16orf78	0.2735
C11orf57	-0.266875
RFK	0.636625
ZFYVE9	-0.797875
STCH	-0.722
WIBG	-0.000750000000000002
LOC283871	-0.468333333333333
GBA2	-1.0279
NDUFB3	-0.548
HSD17B13	-0.29575
GRIN3A	1.52133333333333
FMNL1	-0.206333333333333
SEPT7	-0.9029
GNLY	4.156
GRAMD1C	-0.698166666666667
ZNF165	2.37
USP38	0.66525
FAM83A	-2.9095
C14orf24	0.0368333333333333
ARMCX3	0.81625
ARHGDIB	-0.779833333333333
AK1	-0.67525
KIAA1045	0.974
DNAJB13	0.0423333333333333
NEU2	0.1025
HIST1H4B	-1.47366666666667
FAM20B	0.3024
HES2	-0.580071428571429
FAM73B	-0.5449
LOC388381	-0.02925
INTS7	0.281363636363636
AMPH	2.51525
ZNF775	-0.048375
UCKL1	-1.302
C10orf97	0.279
C1orf161	0.009
ALDH1L1	-1.40075
FLJ39378	0.390375
SLC23A1	-1.773
RBM4B	0.47375
THAP4	0.3795
OGFRL1	2.81125
KIAA0831	0.376375
PPP1R15A	-0.329666666666667
C1orf96	0.940857142857143
C12orf11	1.71575
BMF	1.432
MAN1A1	-0.73475
KIAA1600	-0.112
NLGN4X	0.0175
ALOX12	-0.749
RB1CC1	0.1683
NEIL2	1.6176
EIF4E	0.786545454545455
ABHD5	0.7185
EXOC4	-1.35033333333333
CIP29	0.646
BATF2	2.95475
SLC29A4	0.278375
HTR4	0.13
EMB	-0.20975
TRAF6	1.20875
LMNB1	0.2895
FAM19A5	1.427
SHE	0.7805
PIK3C2B	1.85425
C15orf15	-0.3978
USP15	-0.4465
TCEAL2	3.1655
C5orf39	0.840666666666667
PTGER2	-1.261
SLC31A1	0.1599375
IFT172	-0.33075
