Hybridization REF	TCGA-AN-A0XU-01A-11R-A109-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.230666666666667
CREB3L1	-0.232
RPS11	0.44975
PNMA1	0.6825
MMP2	0.227166666666667
C10orf90	-2.00275
ZHX3	-0.574833333333333
ERCC5	-0.0495
GPR98	-1.002375
RXFP3	0.29
APBB2	-0.287
PRO0478	-0.866875
KLHL13	-0.8195
PRSSL1	-0.481333333333333
PDCL3	0.570666666666667
DECR1	0.073625
SALL1	-3.245
CADM4	0.885333333333333
RPS18	-0.0455714285714286
HNRPD	-1.00608333333333
CFHR5	0.189333333333333
SLC10A7	0.11275
OR2K2	-0.428
LMAN1	0.456125
SUHW1	-0.1575
CHD8	-0.0865
SUMO1	1.0293
GP1BA	0.0861
DDB1	-0.625
MYO9B	-0.0171
MMP7	8.2005
CRNKL1	0.0105
C9orf45	-2.015
XAB2	0.178625
RTN1	1.062
KLHL14	-1.675125
TBX10	-0.662
CENPQ	-0.729
UTY	-0.951714285714286
ZBTB12	0.3
DTNBP1	-0.498625
KBTBD8	-0.985
ZEB1	-0.980333333333333
ZG16	-1.202
MIER1	0.4387
ADAM5P	-0.2255
CHD9	0.212625
STK16	0.631
KIAA1486	-0.3045
TOB2	1.17575
BANK1	1.18725
OR2V2	-0.015
GRM2	0.0248333333333333
PROSC	-0.2825
SPIN2B	0.19325
PIR	-0.865
IPO9	-0.7675
EVC	-0.0346666666666667
CXCL13	5.6295
KIAA1199	-0.7704
SORL1	0.029
NAT10	0.4715
CHD1	-1.165
SYN3	0.36775
SLC22A2	-0.50725
SERPINF1	-0.595333333333333
WDR34	-0.8795
OR7A17	0.23375
C9orf11	-0.3365
RNF216L	-0.6465
LHB	0.0175
STK25	-0.2585
TAOK3	0.11325
LOC152573	-2.19075
C3orf39	0.012875
C14orf108	0.6911
CDC25B	-0.746636363636364
BMP3	0.2345
TMEM180	-0.108
MAP1LC3C	0.05375
CRYGC	-0.633
POU3F1	-1.2759
C20orf32	-1.239
CCDC95	-0.2035
HIGD1B	2.19025
USP6NL	0.5195
ABCD4	-0.614166666666667
DIMT1L	-0.831916666666667
TEK	-0.024
SLC25A46	-0.30325
LARP7	-1.7127
CD160	0.223
MT1JP	1.3035
PHF20	-0.4624375
CPNE4	-1.8345
GTPBP1	-0.4215
RAB33B	1.09166666666667
ALDOC	-1.399125
ZNF212	0.1065
NUDT1	-0.317333333333333
RFPL2	-0.21775
ZNF83	-0.588666666666667
GDPD5	-0.04625
PDCD4	0.58065
CEP350	0.28325
OR10A2	0.05625
CST7	1.253
CIAO1	0.21125
SELL	0.306625
OR8J3	0.111
LTBP4	-0.206833333333333
SIRT6	-0.43925
CCL19	3.9145
PPIL1	-0.996
GBP7	0.0266666666666667
STK17A	-0.6516
ABR	-0.034
OR9G1	0.331
FOXE1	-0.418875
CNGA3	-0.2755
GML	0.284
CD38	-0.06325
ZDHHC6	0.723833333333333
NEFH	1.67175
CTDSP2	0.474083333333333
PGBD5	-1.3315
CCNY	-0.0377142857142857
RMND5B	-0.161
ZNF257	-3.31925
FLJ22167	-0.043375
EXOSC7	-0.656666666666667
ROR2	0.442625
MAOA	-0.581625
TNNT3	0.476666666666667
GYPC	-0.5345
C7orf33	0.4565
PLIN	0.440833333333333
LOC90826	-0.0445
RNF4	-0.6928
F8A1	0.680666666666667
PLEKHG4	-0.017
GRB2	0.19905
HIST1H2AD	-0.70425
DUS3L	-0.869666666666667
EIF1	0.111333333333333
RP5-1077B9.4	-0.818
FPGT	0.70925
GDF10	-1.00783333333333
COQ9	0.133
GCC2	-0.0797142857142857
RARRES3	2.548125
PLXNA1	-0.4593
KIAA0100	-0.2524
PMF1	0.286
FNDC1	5.61175
HS2ST1	-0.203166666666667
CRELD2	1.67475
C8G	-0.3585
CD82	0.78475
LIM2	-0.755
UNQ6490	0.05
MMP16	-0.6815
DRD3	0.07425
C5orf26	-1.39975
C11orf73	0.43
