Hybridization REF	TCGA-AO-A12G-01A-11R-A10J-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.156416666666667
CREB3L1	0.39325
RPS11	2.340125
PNMA1	0.48475
MMP2	0.4
C10orf90	-1.90425
ZHX3	0.508833333333333
ERCC5	-0.24075
GPR98	-1.58075
RXFP3	0.2435
APBB2	0.58825
PRO0478	-1.55075
KLHL13	-1.402
PRSSL1	-0.657
PDCL3	1.28833333333333
DECR1	0.312375
SALL1	-2.91583333333333
CADM4	1.28666666666667
RPS18	0.758642857142857
HNRPD	-1.55383333333333
CFHR5	0.383833333333333
SLC10A7	-0.546875
OR2K2	0.7075
LMAN1	0.18225
SUHW1	-3.194
CHD8	-1.0148
SUMO1	0.9846
GP1BA	0.4828
DDB1	-0.335666666666667
MYO9B	-0.2537
MMP7	5.70675
CRNKL1	0.8505
C9orf45	-0.6095
XAB2	-0.233125
RTN1	0.86175
KLHL14	-0.135875
TBX10	-0.795
CENPQ	-1.15275
UTY	-0.646
ZBTB12	0.1515
DTNBP1	-0.280375
KBTBD8	-1.544
ZEB1	0.107333333333333
ZG16	-0.52775
MIER1	0.2848
ADAM5P	0.0225
CHD9	-0.916625
STK16	-0.07225
KIAA1486	-0.27
TOB2	0.759166666666667
BANK1	1.644
OR2V2	0.315
GRM2	0.3825
PROSC	0.304125
SPIN2B	-0.2925
PIR	-1.651
IPO9	-0.5149
EVC	0.629666666666667
CXCL13	1.83316666666667
KIAA1199	-1.1316
SORL1	0.5565
NAT10	-1.09325
CHD1	-0.94275
SYN3	0.8055
SLC22A2	-0.251
SERPINF1	0.161833333333333
WDR34	-1.469
OR7A17	0.25625
C9orf11	0.1025
RNF216L	-0.9189
LHB	-0.0125
STK25	0.154625
TAOK3	0.30925
LOC152573	-1.669
C3orf39	0.620375
C14orf108	0.5478
CDC25B	-2.66427272727273
BMP3	-0.246
TMEM180	0.044
MAP1LC3C	0.7745
CRYGC	-0.5145
POU3F1	-0.9984
C20orf32	-1.2965
CCDC95	-0.4015
HIGD1B	4.67025
USP6NL	-0.495375
ABCD4	0.221166666666667
DIMT1L	-0.653166666666667
TEK	1.986625
SLC25A46	-0.286
LARP7	-2.3326
CD160	0.573166666666667
MT1JP	-0.749
PHF20	-0.2305
CPNE4	-1.2755
GTPBP1	-0.171357142857143
RAB33B	1.08083333333333
ALDOC	-2.921
ZNF212	-0.0845
NUDT1	-1.051
RFPL2	0.2945
ZNF83	-0.0455
GDPD5	-0.314375
PDCD4	2.0366
CEP350	-0.52175
OR10A2	0.5115
CST7	0.4025
CIAO1	-0.9405
SELL	1.196125
OR8J3	0.0805
LTBP4	-0.146166666666667
SIRT6	-0.57125
CCL19	5.896
PPIL1	-0.822333333333333
GBP7	0.992666666666667
STK17A	-1.0672
ABR	0.10875
OR9G1	0.0385
FOXE1	-0.2265
CNGA3	2.3215
GML	0.3375
CD38	-3.01325
ZDHHC6	-0.5065
NEFH	-2.06775
CTDSP2	0.870333333333333
PGBD5	-1.59466666666667
CCNY	0.916714285714286
RMND5B	0.702333333333333
ZNF257	-2.34025
FLJ22167	-0.264
EXOSC7	-1.32283333333333
ROR2	0.823125
MAOA	-0.48375
TNNT3	1.0185
GYPC	-0.8565
C7orf33	0.3845
PLIN	0.174833333333333
LOC90826	-0.286
RNF4	-0.3838
F8A1	0.578833333333333
PLEKHG4	-2.35525
GRB2	1.80185
HIST1H2AD	-1.70775
DUS3L	-0.779
EIF1	0.374333333333333
RP5-1077B9.4	-1.3535
FPGT	1.14675
GDF10	2.00316666666667
COQ9	-0.28975
GCC2	-0.0998571428571429
RARRES3	2.601625
PLXNA1	-0.6394
KIAA0100	0.1114
PMF1	0.01525
FNDC1	5.4215
HS2ST1	0.12275
CRELD2	1.5685
C8G	-1.707
CD82	0.3985
LIM2	-0.7855
UNQ6490	-0.163
MMP16	0.24925
DRD3	0.21425
C5orf26	-1.23
C11orf73	-0.739625
PTP4A2	0.77225
OR4M2	0.348
HPCA	-1.13616666666667
SEC14L1	-0.803166666666666
CHFR	-0.336375
EMILIN1	1.080875
NDUFS4	-0.94025
COL18A1	0.72275
PDZD3	0.0184
C9orf16	-0.382333333333333
ERBB2IP	0.379166666666667
EMX2	2.301
FUS	-1.9035
TF	-3.7024
CLCN4	0.0025
CXorf56	0.7015
C11orf72	0.4085
ELAC2	-0.592416666666667
NPR1	-0.53
ASS1	-1.75233333333333
USP42	-0.85075
POLR2J	-0.518
SEC23IP	1.96833333333333
UQCRC1	-0.97
LOC729603	-0.59325
C1orf71	0.361875
POLG	-2.5345
ADAM23	-3.02575
TFR2	-1.19475
RICTOR	-1.5206
MGC39606	0.10325
C19orf55	-0.353125
SNAPC1	-1.141
GNA11	0.79075
CCDC52	-0.0176666666666667
FSIP1	1.984
UPF3A	0.32225
IGSF11	-2.3895
LAGE3	1.10125
CHST6	-2.047
UNC13B	0.83075
TTLL4	-1.2625
ZNF687	0.65675
SDC2	-0.7937
COX7A2	-0.24275
LAMB4	0.07325
FAM24A	0.418
LRRTM3	-0.412333333333333
GPHB5	0.499
OR4C13	0.711
EIF3EIP	1.3985
HABP4	-0.444
TMEM125	4.27825
CNTN2	0.1455
ASNSD1	-0.45025
FUT4	-0.69225
ACF	-3.86975
LOC158381	1.2175
CDH8	-0.126
AGPS	-2.63733333333333
C4orf18	2.430625
PECI	0.0321666666666667
UNG	0.224
GSTP1	1.17375
DCUN1D5	-1.40466666666667
DKFZP564J0863	-0.299
SLC9A3R1	1.34825
BCDO2	-0.963625
CHMP7	-0.413
REM2	-0.1165
DNHD1	-0.34
FKBP4	-0.08
ZNF350	2.8305
MGC11102	1.009625
BST1	1.75775
KISS1R	-0.0735
NCR2	-0.0215
DEFB125	0.322
UBE2W	1.10075
KRT15	1.091
C10orf99	0.229
SCN11A	-0.084625
GFI1	-2.35925
RDHE2	4.17966666666667
FHL1	-1.22383333333333
OSGEP	-0.272166666666667
GATA1	-3.25216666666667
SMC6	-1.10075
TTTY14	-1.3305
LPIN3	0.3955
RPL4	0.3407
RBPMS	-0.7412
PRPF3	-1.00866666666667
EMR1	-2.0705
SPATA19	0.15625
XCR1	0.771
IRX3	1.7403
RBM6	-1.03825
KLF4	-0.8931
UNC5CL	2.5505
SEBOX	0.4355
BTK	-0.51325
KRCC1	1.54275
C6orf27	0.33
SYTL5	-0.248
PRND	2.57725
LOC653319	-2.004
PIGL	-2.120875
HUS1	-0.503666666666667
SFRS6	1.0335
C17orf77	0.5325
UIMC1	-0.505833333333333
FXYD2	-1.6656
LOC283152	1.66425
ZNF667	-1.16525
ZCCHC12	-0.15725
TFEC	1.6194
ATP7B	-0.452
POLD2	-1.11583333333333
RG9MTD1	0.43225
ACOT2	0.7255
HIST1H4I	-1.031875
PPARGC1A	-1.4919
ETFA	-1.3239
POLRMT	-0.52725
ZNF146	0.367875
MIA2	-0.905
KLHL6	-0.833666666666667
HOXB5	-0.952875
NENF	1.257
CUGBP1	0.76425
PRSS22	0.107833333333333
CASC4	0.8629
CUL4B	0.3303
CENPJ	-1.6548
PITX1	-0.84
FLJ31033	-0.01
CELSR3	-1.93516666666667
ZNF568	0.966
ITSN1	-0.22275
EHBP1L1	-0.736666666666667
C19orf2	0.76
DCTN1	-0.23375
LIN28B	-2.71483333333333
TNKS2	-1.25325
C1QBP	-0.0327499999999999
CADPS2	1.146
SRMS	0.227
GJA9	0.0245
MGC24975	-1.12383333333333
TRIM45	0.438833333333333
TSP50	0.2075
TCP1	-0.8085
TMED7	0.7749
CMA1	0.449
CENPL	-0.275666666666667
PTCRA	0.354
FST	-3.92325
VWCE	-3.71025
PAWR	-1.03
ABCC12	1.272
LDLR	-1.0716
ASTN2	1.7321
LOC441212	-0.450625
GPATCH8	-0.57175
TANC2	-1.00008333333333
KIF4A	-2.3805
C18orf18	-0.371
PGM1	-0.25725
KIAA0258	0.6925
CPD	0.347875
SNCAIP	-0.3605
DCT	-4.22466666666667
HLA-DOA	2.25754545454545
OR11L1	0.683
UPK1B	-0.0255
DNAJB4	0.302375
UGT1A8	-0.36375
HIST1H4L	-1.444
PECR	-0.9445
