Hybridization REF	TCGA-AQ-A04H-01B-11R-A10J-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	1.67266666666667
CREB3L1	-0.43675
RPS11	-0.67475
PNMA1	0.98975
MMP2	-0.5395
C10orf90	-2.54125
ZHX3	0.0276666666666667
ERCC5	-0.82075
GPR98	-0.563625
RXFP3	0.231
APBB2	1.63675
PRO0478	-0.483875
KLHL13	-0.7505
PRSSL1	0.459166666666667
PDCL3	0.934666666666667
DECR1	-0.499375
SALL1	-4.9165
CADM4	0.209666666666667
RPS18	-0.271642857142857
HNRPD	0.0741666666666667
CFHR5	0.419166666666667
SLC10A7	0.294375
OR2K2	-0.3385
LMAN1	-0.976875
SUHW1	-4.04825
CHD8	-0.5911
SUMO1	0.5251
GP1BA	0.0737
DDB1	0.224
MYO9B	0.1308
MMP7	5.33575
CRNKL1	0.747125
C9orf45	-0.4365
XAB2	0.59575
RTN1	0.664
KLHL14	-0.39475
TBX10	-1.129
CENPQ	-0.6325
UTY	-1.10707692307692
ZBTB12	-0.1805
DTNBP1	-0.069625
KBTBD8	-2.091
ZEB1	0.642333333333333
ZG16	4.6675
MIER1	0.184
ADAM5P	0.428
CHD9	-0.1790625
STK16	1.61275
KIAA1486	-0.4775
TOB2	0.550583333333333
BANK1	2.37125
OR2V2	0.32
GRM2	0.146166666666667
PROSC	0.2645
SPIN2B	1.80625
PIR	-1.97333333333333
IPO9	-0.00600000000000001
EVC	-0.664333333333333
CXCL13	2.76266666666667
KIAA1199	-1.4507
SORL1	-0.948
NAT10	-0.49425
CHD1	0.42275
SYN3	-0.696
SLC22A2	-0.45675
SERPINF1	-0.909833333333333
WDR34	0.6305
OR7A17	0.43025
C9orf11	0.036
RNF216L	-0.6471
LHB	-0.0035
STK25	0.175625
TAOK3	0.658375
LOC152573	-3.18325
C3orf39	0.340875
C14orf108	0.696
CDC25B	-1.32936363636364
BMP3	0.1575
TMEM180	-0.011
MAP1LC3C	0.634
CRYGC	-0.2245
POU3F1	-1.5508
C20orf32	-1.857
CCDC95	-0.015
HIGD1B	4.64525
USP6NL	-0.396875
ABCD4	-0.889
DIMT1L	-0.485666666666667
TEK	1.926875
SLC25A46	-0.2705
LARP7	-1.2915
CD160	0.249166666666667
MT1JP	0.332833333333333
PHF20	1.0209375
CPNE4	-1.5965
GTPBP1	-0.0659285714285714
RAB33B	1.26466666666667
ALDOC	-2.19425
ZNF212	-0.50125
NUDT1	-0.784666666666667
RFPL2	-1.143
ZNF83	0.0473333333333333
GDPD5	-0.66325
PDCD4	-0.53025
CEP350	-0.2495
OR10A2	-0.03375
CST7	0.34025
CIAO1	-0.516
SELL	0.88575
OR8J3	0.1515
LTBP4	-0.521333333333333
SIRT6	-0.33425
CCL19	4.24775
PPIL1	-0.608666666666667
GBP7	0.2125
STK17A	-1.5173
ABR	0.7425
OR9G1	0.2255
FOXE1	-0.76775
CNGA3	0.8125
GML	0.5385
CD38	-3.43475
ZDHHC6	-0.479333333333333
NEFH	-2.83275
CTDSP2	0.832
PGBD5	-2.56766666666667
CCNY	0.495785714285714
RMND5B	1.38108333333333
ZNF257	0.663
FLJ22167	-0.05425
EXOSC7	0.129333333333333
ROR2	-0.103375
MAOA	-1.461
TNNT3	0.282166666666667
GYPC	-1.35175
C7orf33	0.403
PLIN	2.9105
LOC90826	-0.1755
RNF4	0.5919
F8A1	1.27783333333333
PLEKHG4	0.88475
GRB2	0.64555
HIST1H2AD	1.4445
DUS3L	-0.672
EIF1	0.2005
RP5-1077B9.4	-1.10916666666667
FPGT	1.6085
GDF10	0.0535
COQ9	-0.0265
GCC2	0.3495
RARRES3	2.475875
PLXNA1	-0.0557
KIAA0100	0.452
PMF1	-0.829
FNDC1	4.89125
HS2ST1	-0.434
CRELD2	0.063
C8G	-1.898
CD82	-0.775
LIM2	-1.205
UNQ6490	0.196
MMP16	0.6495
DRD3	0.01125
C5orf26	-1.53625
C11orf73	-0.0985
PTP4A2	0.82225
OR4M2	0.245
HPCA	-0.677
SEC14L1	-0.6545
CHFR	0.4455
EMILIN1	0.829875
NDUFS4	-0.353
COL18A1	0.531
PDZD3	0.018
C9orf16	-0.249
ERBB2IP	0.257666666666667
EMX2	1.9335
FUS	-1.3555
TF	-3.9424
CLCN4	-0.784833333333333
CXorf56	1.1885
C11orf72	0.3405
ELAC2	-0.481916666666667
NPR1	-0.015
ASS1	-3.4275
USP42	0.13
POLR2J	-0.2495
SEC23IP	0.1215
UQCRC1	0.34975
LOC729603	0.0265
C1orf71	0.297125
POLG	-1.6285
ADAM23	-3.5495
TFR2	-1.47125
RICTOR	-0.3492
MGC39606	0.05525
C19orf55	-0.205625
SNAPC1	-1.58616666666667
GNA11	1.3225
CCDC52	0.226166666666667
FSIP1	6.6565
UPF3A	-0.314375
IGSF11	-3.073
LAGE3	0.511
CHST6	-2.338
UNC13B	0.03775
TTLL4	-1.196875
ZNF687	0.334
SDC2	-0.3726
COX7A2	0.2725
LAMB4	-0.1235
FAM24A	-0.3215
LRRTM3	-0.775666666666667
GPHB5	-0.05525
OR4C13	0.297
EIF3EIP	-0.349071428571429
HABP4	-0.4145
TMEM125	3.905
CNTN2	-0.209125
ASNSD1	0.153
FUT4	-0.69375
ACF	-4.2565
LOC158381	0.5625
CDH8	0.28875
AGPS	-0.435166666666667
C4orf18	6.6905
PECI	0.0918333333333333
UNG	0.109125
GSTP1	-2.574125
DCUN1D5	-1.17166666666667
DKFZP564J0863	-0.91825
SLC9A3R1	3.208375
BCDO2	-1.174125
CHMP7	-0.612125
REM2	3.309
DNHD1	-0.7255
FKBP4	0.68825
ZNF350	1.039
MGC11102	-0.52325
BST1	0.51425
KISS1R	0.2265
NCR2	-0.16
DEFB125	0.4615
UBE2W	1.611875
KRT15	-0.77975
C10orf99	0.201
SCN11A	0.05625
GFI1	-3.06275
RDHE2	3.73166666666667
FHL1	-1.43766666666667
OSGEP	-0.791
GATA1	-3.5135
SMC6	-0.8605
TTTY14	-1.31725
LPIN3	0.5305
RPL4	-1.2547
RBPMS	0.1824
PRPF3	-0.465
EMR1	-2.5925
SPATA19	0.232
XCR1	0.199
IRX3	0.8799
RBM6	-0.2555
KLF4	-0.9341
UNC5CL	-2.2265
SEBOX	0.2355
BTK	-1.38375
KRCC1	0.9375
C6orf27	0.378
SYTL5	-0.543
PRND	2.771875
LOC653319	-0.303
PIGL	-0.935125
HUS1	-0.511
SFRS6	-0.08525
C17orf77	0.5245
UIMC1	-0.458333333333333
FXYD2	-1.855
LOC283152	-0.0985
ZNF667	-1.53875
ZCCHC12	-0.23525
TFEC	2.2976
ATP7B	-0.284166666666667
POLD2	-0.588166666666667
RG9MTD1	0.102
ACOT2	0.00116666666666666
HIST1H4I	0.72
PPARGC1A	-2.8569
ETFA	-1.449
POLRMT	-0.5635
ZNF146	0.48325
MIA2	-1.289
KLHL6	-1.38816666666667
HOXB5	2.58575
NENF	0.129
CUGBP1	0.015
PRSS22	0.880666666666667
CASC4	0.7746
CUL4B	-0.6153
CENPJ	-1.081
PITX1	-0.608833333333333
FLJ31033	0.793
CELSR3	0.972833333333333
ZNF568	0.3785
ITSN1	0.345916666666667
EHBP1L1	-0.643166666666667
C19orf2	-0.8945
DCTN1	0.86075
LIN28B	-3.66383333333333
TNKS2	0.62125
C1QBP	-1.1375
CADPS2	0.8425
SRMS	0.72025
GJA9	0.075
MGC24975	-0.527666666666667
TRIM45	-0.951666666666667
TSP50	-0.22725
TCP1	-0.66175
TMED7	0.3845
CMA1	1.376
CENPL	-0.331333333333333
PTCRA	-0.3785
FST	-4.62675
VWCE	-4.07525
PAWR	-0.13375
ABCC12	1.17783333333333
LDLR	1.3087
ASTN2	-0.346
LOC441212	-2.004875
GPATCH8	-0.03525
TANC2	-0.16475
KIF4A	-1.2735
C18orf18	-0.233
PGM1	-1.118
KIAA0258	1.52925
CPD	1.0505
SNCAIP	-1.76675
DCT	-4.3945
HLA-DOA	2.44177272727273
OR11L1	0.393
UPK1B	-0.288833333333333
DNAJB4	-0.4545
UGT1A8	-0.4515
HIST1H4L	-1.183
PECR	-0.926166666666667
HSPA2	-0.22675
WFIKKN1	-2.2875
SERP1	0.95175
SYDE2	4.84825
TACR2	1.0155
NUP85	-0.46
CD177	-0.830666666666667
LGR5	-1.8295
PIGG	0.335416666666667
PTHR1	-1.50366666666667
RAB5A	1.1085
FLJ13224	-0.111
USP9Y	-1.48016666666667
C7orf53	-0.7575
LRP1B	-1.147
XAF1	0.7016
ABCG8	-0.6165
ANKDD1A	-0.4655
DAND5	-1.4105
SPAG6	0.0598333333333333
LINCR	-0.3445
ZDHHC22	-1.684375
CCDC60	-0.509
THOC7	-1.154
TCTA	1.3734
OR8K3	0.0165
NY-REN-7	-0.33175
B2M	0.543
C6orf141	0.089
LPPR4	3.39725
SQLE	-0.190875
SEPHS1	-0.14475
BTBD14B	0.696142857142857
PLRG1	-0.46075
SPG7	0.17925
ZNF614	0.1455
PARD6G	0.357
INPP5B	-0.518
GRPEL2	-0.2605
PPID	-0.6031
TRIM56	-0.579
UBE2J1	-0.2075
IL20RA	3.413
LOC387856	0.3505
C1orf107	0.915916666666667
UTS2R	0.042
C19orf22	0.437
SAFB2	0.40775
KIAA0652	0.65675
KLRG1	-1.13
MS4A8B	3.33383333333333
FRAG1	0.13475
KIAA1546	-0.113
E2F4	-0.5146
CLEC4M	-0.0915
BTBD14A	-1.0465
KIAA0999	0.5792
GYPA	-3.44366666666667
TAC1	-0.1461
TRAIP	-0.524833333333333
KIAA0232	0.6464
ERCC8	-0.89875
GPX4	1.299875
KIAA0368	0.4305
GPR157	-0.676333333333333
CTAGE4	1.3845
C9orf30	-1.29316666666667
OR52A1	0.1985
HSP90B3P	-0.727
ALG9	-0.8265
BTBD10	0.98475
SDK2	-0.28775
BAIAP3	0.417
RABGGTB	-0.88875
ANKRD40	0.263333333333333
KRT74	0.635
CALCOCO2	0.9135
SNCA	-3.49
TMSL8	-1.822
C2orf53	0.084
ESRRB	-0.53225
ARHGAP26	-1.751875
TDRD9	-2.97075
HRAS	0.513666666666667
KLRC4	-2.174
JAGN1	0.3855
BSDC1	0.81575
RNF43	0.2682
NDUFAF1	0.04275
PHF12	0.71775
OR1L3	0.14925
FOLR2	2.132
LYZL6	0.0596666666666667
tcag7.1260	-2.35
WSB1	-1.4115
PROS1	-0.8618
OSTN	0.338
PSMB8	-0.46325
SOCS4	0.4035
DDIT4L	-0.079
MAS1	-0.003
MGC34796	1.377
CSHL1	0.284833333333333
TBCCD1	0.021
ZBTB7C	0.1935
AP2S1	-0.82825
P15RS	0.0657
VAT1	0.8469
SHANK3	1.2375
TUFM	-0.354
THEG	-0.4315
KRT34	-1.84075
SGSM3	0.36425
TOMM22	-0.234
SOCS3	1.28233333333333
CPO	0.348
POP4	0.01175
BHLHB3	0.03775
MALL	1.43275
OR1B1	0.14
PARK2	1.01883333333333
GPR124	0.895875
LCE1E	0.102
RUVBL2	-0.76775
CGRRF1	0.3333
ACPL2	1.853
WNT10B	-1.44275
BAIAP2L2	-2.146875
ISCA1	0.9935
C1orf125	-0.096375
RPAP1	-0.8155
RAI16	0.2225
RPL27	-0.746875
NLRP9	0.089
EPN1	0.2105
LOC388610	1.391875
SLC35A1	0.4705
GAL	-4.15025
SLC14A2	0.3565
RDH11	-1.201
FAM138F	-0.528
AUH	0.41075
FLJ40243	0.22825
C14orf129	0.459333333333333
MBD2	1.352
ABHD14B	0.5485
PIGT	1.57525
ALS2CR4	-0.24325
ALAS1	0.1939
FOXO1	0.67
CRLF3	-0.268125
C20orf107	-0.255
FARS2	0.63475
CCDC28A	-0.09925
NPHP3	-1.42325
OR13F1	0.249
TSEN54	-0.395
DEFB106B	0.3592
OR8B4	0.481
STH	0.371
ZC3H14	-0.662
CBX2	0.119
TMEM49	0.9945
C6orf21	0.2605
FLJ20920	-0.106
CRTAP	0.142928571428571
DDX50	-0.3545
STYXL1	0.1125
BLVRB	0.977166666666667
LOC147650	-0.314
MMP24	0.52725
GRID1	1.94866666666667
BANF1	-0.2865
CTAGEP	0.3115
HMBS	-1.86725
SLC25A24	1.74716666666667
C14orf50	2.576
MRO	1.25383333333333
SLC25A15	-0.17475
FAM84B	1.4446
TDP1	-0.826
C16orf78	-0.0798333333333333
C11orf57	-0.316375
RFK	0.727
ZFYVE9	-0.100625
STCH	-0.8834
WIBG	0.09175
LOC283871	0.0775
GBA2	0.2782
NDUFB3	-0.45625
HSD17B13	-0.78625
GRIN3A	0.670166666666667
FMNL1	-0.853166666666667
SEPT7	0.0137
GNLY	2.663
GRAMD1C	1.7235
ZNF165	1.2495
USP38	1.7125
FAM83A	-2.589
C14orf24	1.19216666666667
ARMCX3	0.93725
ARHGDIB	-0.26
AK1	0.70975
KIAA1045	-0.00375
DNAJB13	-0.298666666666667
NEU2	0.9075
HIST1H4B	-0.867333333333333
FAM20B	0.2812
HES2	-0.0331428571428571
FAM73B	0.0419
LOC388381	-0.22375
INTS7	-0.026
AMPH	0.69325
ZNF775	-0.178625
UCKL1	0.8855
C10orf97	0.54425
C1orf161	-0.339
ALDH1L1	-0.657
FLJ39378	0.364
SLC23A1	-0.5605
RBM4B	0.13975
THAP4	0.367166666666667
OGFRL1	-0.37175
KIAA0831	0.207875
PPP1R15A	-0.0893333333333333
C1orf96	-0.133928571428571
C12orf11	-2.3375
BMF	0.7155
MAN1A1	-0.36025
KIAA1600	-0.102333333333333
NLGN4X	-1.719
ALOX12	-1.10233333333333
RB1CC1	0.704
NEIL2	0.5223
EIF4E	0.0188636363636364
ABHD5	0.60275
EXOC4	-0.3505
CIP29	-0.193166666666667
BATF2	-0.87125
SLC29A4	-0.93475
HTR4	0.31025
EMB	-1.73425
TRAF6	0.31475
LMNB1	-1.0665
FAM19A5	-1.061875
SHE	2.377
PIK3C2B	0.9935
C15orf15	-0.8076
USP15	-0.1577
TCEAL2	-0.03075
C5orf39	-1.5855
PTGER2	-1.9035
SLC31A1	-0.5673125
IFT172	1.049
ADAM29	0.53825
GFOD1	1.2055
ST7L	0.475166666666667
C15orf26	-2.8925
PKN3	-1.467
CNTD1	4.13616666666667
COMMD1	0.1025
NTRK2	1.74275
FOXN3	-0.615625
MFGE8	-0.4226
PFKFB2	-0.167666666666667
TAS2R4	-0.1985
ENTHD1	0.00749999999999999
PRMT5	-0.558625
MGC16384	-0.586375
LOC442229	-0.0445
TSKU	2.9455
KRTCAP3	2.632625
PDLIM1	-0.0115
KCNS2	0.14375
RNF126	0.291666666666667
CEP63	-0.1485
CLIC4	0.331625
hCG_1990170	-0.473
ACR	1.0377
KLK7	0.3235
ALOX5AP	1.831
RIPK3	3.27775
TAS2R9	0.043
C19orf18	2.371
BIRC6	-0.0576428571428571
ZNF16	0.79
RFT1	-0.06825
SLC8A2	-0.6355
TACC1	-0.831125
ITGAD	0.7665
SAMHD1	0.81175
SH3PXD2B	0.8266
EPC2	0.953
C20orf85	0.203625
ATP13A2	0.5775
KRT4	0.3925
CAPNS1	0.5135
MDM2	-0.966083333333333
PCDH20	1.53025
KCNK9	0.5855
OR2C1	0.4025
KLHDC3	-0.6545
IPPK	0.981
EFHD2	0.401875
GALR3	0.03
NBEA	0.387666666666667
ABCA6	1.7682
CLDN3	2.98383333333333
AKT2	-1.30514285714286
EGFR	-3.0275
RBM16	0.4515
ZDHHC3	0.9093
SLC25A4	0.698833333333333
CYB5B	0.1485
CPXM1	-0.94425
NDRG1	-0.0128461538461538
FLJ43826	0.41125
OR5L2	0.0168333333333333
FARP2	0.7438
MRPL46	-0.723
LDHAL6B	0.0813333333333333
MAPKAPK3	0.211166666666667
NCAM2	-2.487
PRKD2	0.0563333333333333
ZFP36L1	0.217
CYSLTR1	0.68525
OR4C3	-0.0545
HIST1H2AJ	3.058
CCNB2	-2.01266666666667
ZNF10	-0.120125
TMEM175	0.302
FAM134A	1.36933333333333
TIGD4	-0.107
PCNP	0.344
MGC39715	0.1535
LQK1	0.13825
CREB1	0.8254
TMPRSS3	-3.2945
C4orf32	0.688375
LAT	-1.83383333333333
KCNA3	0.042
SKIV2L2	-1.11
ROPN1B	-2.92175
tcag7.23	-1.3665
CDT1	-1.872375
ZHX2	0.732875
CD28	-3.33975
ZNF624	0.51225
SEPT2	0.480583333333333
SOHLH2	-1.131
MCOLN3	2.20771428571429
UNQ1945	0.0095
MASP2	-0.9325
ZNRF3	1.2417
GPATCH3	0.173
AGL	0.348
QRICH2	-0.413
PSD4	1.59816666666667
CCNB1IP1	-2.03775
ENPP7	0.18925
OBFC1	0.11775
KCNG3	-1.9975
C14orf79	1.62491666666667
ENPEP	3.34383333333333
SCT	0.66
SKI	0.6465
SEC61G	-2.0565
CAPN11	0.749
ATXN7L3	0.00925
DBNDD1	1.35683333333333
FAIM	0.68425
ANKRD36	-0.1915
GABRP	1.826
TACSTD2	2.8935
EIF3J	-0.746
PPP2R2A	-0.69625
TEKT4	-0.2785
PVALB	-1.72166666666667
F10	-2.98883333333333
FAM134C	1.0352
COMP	3.597
EFCBP1	-2.79875
SCLT1	0.068625
TAL1	-1.0029
ACSL1	-0.1855
ABCC5	3.14058333333333
ABL1	-0.121611111111111
RBBP7	-0.0190833333333333
PTPRG	-1.0755
NCOR1	-0.0666
SPINK4	0.219666666666667
TXNRD1	-0.7689
TNRC15	0.688875
C9orf138	0.98825
UBE2H	1.53783333333333
BRDT	0.2175
C8orf31	-0.3845
CCNE2	-0.414181818181818
SLC6A8	-1.65475
CALCR	-4.533
PPP1CB	0.747083333333333
ABHD8	0.23525
ARF5	0.5563
SLC24A4	0.63725
CCT3	-1.11825
ZNF121	0.387375
SLC3A2	-0.5936
OR13A1	0.251
SLC5A10	1.1465
RAD50	0.2745
IER5	0.254625
MTHFD1L	-2.2935
MBTPS2	0.01825
