Hybridization REF	TCGA-E2-A107-01A-11R-A10J-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.47275
CREB3L1	0.3975
RPS11	-0.178625
PNMA1	-0.513
MMP2	-0.512833333333333
C10orf90	-2.03225
ZHX3	-1.01283333333333
ERCC5	-0.11725
GPR98	-1.322875
RXFP3	0.337
APBB2	2.1135
PRO0478	-0.85575
KLHL13	-1.6345
PRSSL1	-1.04566666666667
PDCL3	0.587166666666667
DECR1	0.14925
SALL1	-4.32566666666667
CADM4	1.50483333333333
RPS18	-0.653214285714286
HNRPD	-0.573416666666667
CFHR5	0.669166666666667
SLC10A7	0.172875
OR2K2	-0.157
LMAN1	-1.824
SUHW1	-4.1925
CHD8	0.322
SUMO1	0.5467
GP1BA	0.4594
DDB1	-0.0293333333333333
MYO9B	-0.2108
MMP7	6.3685
CRNKL1	1.046
C9orf45	-1.312
XAB2	0.347875
RTN1	0.904
KLHL14	-1.21425
TBX10	-0.97
CENPQ	-1.77475
UTY	-1.12978571428571
ZBTB12	0.0755
DTNBP1	-0.66125
KBTBD8	-1.722
ZEB1	1.06516666666667
ZG16	-1.365
MIER1	0.6624
ADAM5P	0.18
CHD9	-0.2619375
STK16	1.49
KIAA1486	-0.795
TOB2	0.348583333333333
BANK1	1.641
OR2V2	0.3155
GRM2	0.0761666666666667
PROSC	0.241375
SPIN2B	0.657
PIR	-2.53288888888889
IPO9	0.549
EVC	0.296333333333333
CXCL13	0.6015
KIAA1199	-3.8459
SORL1	0.9705
NAT10	0.047
CHD1	1.73975
SYN3	-0.4945
SLC22A2	-0.29225
SERPINF1	-1.29466666666667
WDR34	0.728
OR7A17	0.5585
C9orf11	0.0635
RNF216L	-0.5681
LHB	-0.2755
STK25	-0.194875
TAOK3	1.167
LOC152573	-2.122
C3orf39	0.4325
C14orf108	0.2187
CDC25B	-1.55527272727273
BMP3	0.182
TMEM180	0.1805
MAP1LC3C	0.11975
CRYGC	-0.2425
POU3F1	-1.5294
C20orf32	-1.285
CCDC95	0.202
HIGD1B	3.97975
USP6NL	0.748625
ABCD4	-0.821833333333333
DIMT1L	-0.594583333333333
TEK	1.506875
SLC25A46	-0.93025
LARP7	-0.9384
CD160	0.166
MT1JP	-0.434666666666667
PHF20	-0.0320625
CPNE4	-1.274
GTPBP1	-0.793285714285714
RAB33B	1.15783333333333
ALDOC	-3.25175
ZNF212	-0.0715
NUDT1	-0.251833333333333
RFPL2	-0.38575
ZNF83	0.116666666666667
GDPD5	-1.391625
PDCD4	2.60405
CEP350	1.15525
OR10A2	0.332
CST7	0.3685
CIAO1	-1.127
SELL	1.0835
OR8J3	-0.0965
LTBP4	-0.624666666666667
SIRT6	-0.02075
CCL19	5.11475
PPIL1	-1.205
GBP7	1.10383333333333
STK17A	-1.6352
ABR	1.334
OR9G1	0.5235
FOXE1	-1.0115
CNGA3	1.3655
GML	0.501
CD38	-4.149
ZDHHC6	0.629333333333333
NEFH	-2.00975
CTDSP2	0.29875
PGBD5	-1.55033333333333
CCNY	0.460928571428571
RMND5B	1.01758333333333
ZNF257	0.96825
FLJ22167	-0.177375
EXOSC7	-0.546833333333333
ROR2	2.566625
MAOA	-0.582625
TNNT3	1.0775
GYPC	-1.46675
C7orf33	0.754
PLIN	3.38983333333333
LOC90826	0.017
RNF4	0.2708
F8A1	0.753333333333333
PLEKHG4	-2.6285
GRB2	0.03545
HIST1H2AD	-0.3385
DUS3L	-0.733666666666667
EIF1	0.282833333333333
RP5-1077B9.4	-1.24483333333333
FPGT	1.6655
GDF10	-0.47
COQ9	-0.50125
GCC2	0.417142857142857
RARRES3	3.073375
PLXNA1	-1.145
KIAA0100	-0.165
PMF1	1.17475
FNDC1	4.70975
HS2ST1	-0.633166666666667
CRELD2	-0.1555
C8G	-1.438
CD82	1.729
LIM2	-1.4005
UNQ6490	-0.4515
MMP16	-0.09325
DRD3	-0.285
C5orf26	-0.77775
C11orf73	-1.211125
PTP4A2	1.05525
OR4M2	0.1575
HPCA	-1.3065
SEC14L1	-0.728
CHFR	0.2475
EMILIN1	0.19025
NDUFS4	-0.1725
COL18A1	-0.84225
PDZD3	-0.0818
C9orf16	-0.290666666666667
ERBB2IP	1.00716666666667
EMX2	1.89125
FUS	-0.26175
TF	-3.7745
CLCN4	-0.459333333333333
CXorf56	0.41525
C11orf72	0.45575
ELAC2	0.0458333333333333
NPR1	-0.67175
ASS1	-1.71583333333333
USP42	0.599625
POLR2J	-0.382
SEC23IP	1.6665
UQCRC1	0.08825
LOC729603	-0.586
C1orf71	0.29675
POLG	-0.6115
ADAM23	-3.61725
TFR2	-1.3555
RICTOR	-1.3624
MGC39606	-0.007
C19orf55	0.1495
SNAPC1	-1.39916666666667
GNA11	1.153375
CCDC52	0.77
FSIP1	1.035
UPF3A	-0.136125
IGSF11	-2.76233333333333
LAGE3	1.07875
CHST6	-2.4145
UNC13B	0.156375
TTLL4	-0.36075
ZNF687	0.88775
SDC2	-2.4042
COX7A2	0.223
LAMB4	-0.436
FAM24A	-0.1925
LRRTM3	-1.24316666666667
GPHB5	-0.20525
OR4C13	0.277
EIF3EIP	-0.746
HABP4	-1.6915
TMEM125	3.531
CNTN2	1.72475
ASNSD1	-0.35825
FUT4	-0.928125
ACF	-3.8885
LOC158381	0.151
CDH8	0.70125
AGPS	-0.899666666666667
C4orf18	4.801625
PECI	0.129416666666667
UNG	0.65675
GSTP1	-1.024625
DCUN1D5	-2.2335
DKFZP564J0863	-1.1105
SLC9A3R1	2.193
BCDO2	-1.044375
CHMP7	0.54275
REM2	2.8385
DNHD1	-0.644875
FKBP4	0.49725
ZNF350	1.17825
MGC11102	-0.182625
BST1	1.506
KISS1R	0.2595
NCR2	0.454
DEFB125	0.015
UBE2W	1.436125
KRT15	0.928375
C10orf99	0.128
SCN11A	0.307875
GFI1	-2.42125
RDHE2	-0.695
FHL1	-1.72033333333333
OSGEP	-0.396666666666667
GATA1	-3.607
SMC6	-0.68225
TTTY14	-1.37975
LPIN3	-0.44625
RPL4	-1.1735
RBPMS	1.2678
PRPF3	0.0603333333333333
EMR1	-2.5645
SPATA19	-0.09
XCR1	0.119
IRX3	1.8103
RBM6	-0.4245
KLF4	-0.3098
UNC5CL	-0.6515
SEBOX	-0.018
BTK	-0.55925
KRCC1	1.646
C6orf27	0.5875
SYTL5	-0.98
PRND	1.854
LOC653319	-1.5385
PIGL	-0.70975
HUS1	-0.258666666666667
SFRS6	0.0649166666666667
C17orf77	0.002
UIMC1	-0.454
FXYD2	-1.9819
LOC283152	0.956
ZNF667	-0.667
ZCCHC12	-0.974
TFEC	1.9249
ATP7B	1.42116666666667
POLD2	-0.7265
RG9MTD1	-0.29825
ACOT2	1.20016666666667
HIST1H4I	-1.0015
PPARGC1A	-3.0691
ETFA	-0.9965
POLRMT	-0.1945
ZNF146	0.185125
MIA2	-0.688
KLHL6	-1.6465
HOXB5	-1.36
NENF	1.0905
