Hybridization REF	TCGA-AO-A03M-01B-11R-A10J-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	1.42133333333333
CREB3L1	0.405
RPS11	0.448375
PNMA1	0.758
MMP2	0.243166666666667
C10orf90	-1.80325
ZHX3	-0.494333333333333
ERCC5	-0.246
GPR98	0.37475
RXFP3	0.7505
APBB2	1.51275
PRO0478	-0.906
KLHL13	-1.304
PRSSL1	-0.501333333333333
PDCL3	0.700833333333333
DECR1	-1.102375
SALL1	-3.22283333333333
CADM4	0.622333333333333
RPS18	-0.436571428571429
HNRPD	-0.4555
CFHR5	0.435333333333333
SLC10A7	-0.036375
OR2K2	-0.244
LMAN1	-0.57575
SUHW1	-3.397
CHD8	-0.2503
SUMO1	0.1648
GP1BA	1.1758
DDB1	-0.0858333333333333
MYO9B	-0.0942
MMP7	5.54775
CRNKL1	-0.069625
C9orf45	-1.33633333333333
XAB2	-0.00574999999999999
RTN1	1.7385
KLHL14	-0.990125
TBX10	-0.6285
CENPQ	-2.528
UTY	-0.470571428571429
ZBTB12	-0.137
DTNBP1	0.773375
KBTBD8	-0.961
ZEB1	0.5735
ZG16	-0.8655
MIER1	0.4322
ADAM5P	0.23
CHD9	-0.302875
STK16	0.08025
KIAA1486	-0.173
TOB2	1.04866666666667
BANK1	3.1985
OR2V2	0.2225
GRM2	0.0398333333333333
PROSC	0.494625
SPIN2B	0.62425
PIR	-1.05188888888889
IPO9	-0.1289
EVC	0.823666666666667
CXCL13	5.47016666666667
KIAA1199	-2.5971
SORL1	-0.02875
NAT10	-0.59925
CHD1	-0.657
SYN3	-0.42725
SLC22A2	-0.23375
SERPINF1	-0.294166666666667
WDR34	0.864
OR7A17	0.457
C9orf11	-0.229
RNF216L	-0.4493
LHB	0.0315
STK25	0.283125
TAOK3	0.945625
LOC152573	-2.07425
C3orf39	-0.016125
C14orf108	-0.0093
CDC25B	-0.296272727272727
BMP3	0.3235
TMEM180	0.122
MAP1LC3C	0.56725
CRYGC	-0.1655
POU3F1	-0.6949
C20orf32	-0.703
CCDC95	-0.071
HIGD1B	2.23075
USP6NL	-0.695125
ABCD4	0.0833333333333333
DIMT1L	-0.989833333333333
TEK	0.67325
SLC25A46	-1.17875
LARP7	-1.3984
CD160	1.08783333333333
MT1JP	-0.215666666666667
PHF20	-0.15925
CPNE4	-1.02875
GTPBP1	0.0539285714285714
RAB33B	0.489833333333333
ALDOC	-1.425125
ZNF212	0.54
NUDT1	-0.531666666666667
RFPL2	-0.83625
ZNF83	0.046
GDPD5	-0.79875
PDCD4	1.2672
CEP350	-0.5365
OR10A2	0.28
CST7	1.378
CIAO1	-0.42175
SELL	1.630625
OR8J3	-0.0205
LTBP4	-0.459833333333333
SIRT6	-0.2355
CCL19	4.694
PPIL1	-0.5965
GBP7	0.926166666666667
STK17A	-0.6176
ABR	-0.08725
OR9G1	0.433
FOXE1	-0.382625
CNGA3	0.779
GML	0.627
CD38	0.73325
ZDHHC6	-0.613833333333333
NEFH	-2.122
CTDSP2	0.388666666666667
PGBD5	-0.9615
CCNY	0.232214285714286
RMND5B	0.692583333333333
ZNF257	-0.754
FLJ22167	-0.90575
EXOSC7	-1.10666666666667
ROR2	0.352625
MAOA	-1.499375
TNNT3	0.0783333333333333
GYPC	-0.69825
C7orf33	0.3325
PLIN	1.52083333333333
LOC90826	-0.177
RNF4	0.4216
F8A1	0.803666666666667
PLEKHG4	-3.024
GRB2	0.9664
HIST1H2AD	2.0315
DUS3L	-0.988166666666667
EIF1	-0.699333333333333
RP5-1077B9.4	-0.662333333333333
FPGT	0.426
GDF10	0.904666666666667
COQ9	0.42525
GCC2	-0.274785714285714
RARRES3	2.8775
PLXNA1	-0.395
KIAA0100	0.0872
PMF1	0.035
FNDC1	2.9895
HS2ST1	0.089
CRELD2	1.12425
C8G	-1.1975
CD82	1.36225
LIM2	-1.2325
UNQ6490	0.0585
MMP16	0.47725
DRD3	0.10775
C5orf26	-1.4125
C11orf73	-0.487875
PTP4A2	1.176625
OR4M2	0.248
HPCA	-0.690666666666667
SEC14L1	-0.242166666666667
CHFR	0.3485
EMILIN1	0.682625
NDUFS4	-0.8875
COL18A1	0.43025
PDZD3	-0.0016
C9orf16	0.215833333333333
ERBB2IP	-0.111166666666667
EMX2	0.8825
FUS	-0.85425
TF	-3.777
CLCN4	-0.276166666666667
CXorf56	0.626
C11orf72	0.7365
ELAC2	-0.231166666666667
NPR1	-0.78125
ASS1	0.574833333333333
USP42	0.392
POLR2J	-0.942
SEC23IP	0.339833333333333
UQCRC1	-0.43875
LOC729603	-0.21725
C1orf71	-0.458375
POLG	-2.3175
ADAM23	-3.482
TFR2	-1.33625
RICTOR	-1.128
MGC39606	1.1175
C19orf55	-0.05425
SNAPC1	-1.003
GNA11	1.102625
CCDC52	-0.2105
FSIP1	4.5655
UPF3A	0.295
IGSF11	-2.03383333333333
LAGE3	2.15475
CHST6	-3.7205
UNC13B	0.39975
TTLL4	-1.308875
ZNF687	0.444625
SDC2	-1.8784
COX7A2	-0.0845
LAMB4	-0.047
FAM24A	0.092
LRRTM3	-0.384166666666667
GPHB5	-0.1915
OR4C13	0.042
EIF3EIP	-0.162642857142857
HABP4	-1.044
TMEM125	3.492
CNTN2	-0.031875
ASNSD1	-0.44025
FUT4	-0.093375
ACF	-3.44425
LOC158381	-0.166
CDH8	0.22275
AGPS	-1.23866666666667
C4orf18	1.7575
PECI	-0.357083333333333
UNG	0.3515
GSTP1	-2.077375
DCUN1D5	-1.38866666666667
DKFZP564J0863	-0.745
SLC9A3R1	2.659875
BCDO2	-1.18775
CHMP7	0.612375
REM2	-0.156
DNHD1	-0.547375
FKBP4	1.003375
ZNF350	2.31425
MGC11102	0.072625
BST1	0.81625
KISS1R	0.6055
NCR2	0.063
DEFB125	0.708
UBE2W	0.624625
KRT15	3.958
C10orf99	0.2705
SCN11A	0.171375
GFI1	-1.0655
RDHE2	-0.0241666666666667
FHL1	-1.9095
OSGEP	0.183166666666667
GATA1	-3.33833333333333
SMC6	-1.333
TTTY14	-0.85275
LPIN3	-0.06625
RPL4	-1.0097
RBPMS	0.5039
PRPF3	-0.993333333333333
EMR1	-1.7885
SPATA19	-0.00125000000000001
XCR1	0.468
IRX3	2.1371
RBM6	-1.17475
KLF4	-0.5466
UNC5CL	-0.95725
SEBOX	-0.0575
BTK	-0.11625
KRCC1	-0.82875
C6orf27	0.57
SYTL5	-0.1485
PRND	0.749
LOC653319	-0.861
PIGL	-1.89275
HUS1	-0.513
SFRS6	0.5825
C17orf77	0.336
UIMC1	-0.405833333333333
FXYD2	-1.7803
LOC283152	0.1215
ZNF667	-0.718
ZCCHC12	-0.429
TFEC	2.7477
ATP7B	1.62683333333333
POLD2	-0.537833333333333
RG9MTD1	-0.40625
ACOT2	0.0845
HIST1H4I	0.088375
PPARGC1A	-2.3273
ETFA	-1.672
POLRMT	-0.3225
ZNF146	0.263125
MIA2	-0.219
KLHL6	0.0436666666666667
HOXB5	1.677375
NENF	0.135666666666667
CUGBP1	-0.317
PRSS22	1.2745
CASC4	0.0834
CUL4B	-0.2765
CENPJ	-1.3469
PITX1	1.15916666666667
FLJ31033	1.39883333333333
CELSR3	-2.4785
ZNF568	0.36475
ITSN1	-0.110666666666667
EHBP1L1	-0.899833333333333
C19orf2	0.33925
DCTN1	0.236
LIN28B	-2.1605
TNKS2	-1.32325
C1QBP	-0.55875
CADPS2	0.36425
SRMS	0.172
GJA9	0.3415
MGC24975	-1.09116666666667
TRIM45	0.103166666666667
TSP50	-0.267
TCP1	-0.71875
TMED7	-0.3315
CMA1	1.0515
CENPL	-0.9385
PTCRA	0.6925
FST	-4.404
VWCE	-4.2695
PAWR	-0.11725
ABCC12	0.156666666666667
LDLR	-0.6177
ASTN2	1.5758
LOC441212	-1.4095
GPATCH8	-0.53875
TANC2	0.380333333333333
KIF4A	-1.295
C18orf18	-1.5025
PGM1	-2.1995
KIAA0258	0.372
CPD	-0.416375
SNCAIP	-0.95175
DCT	-4.17133333333333
HLA-DOA	2.56154545454545
OR11L1	0.6505
UPK1B	0.1695
DNAJB4	-0.336
UGT1A8	0.00975000000000001
HIST1H4L	-0.4745
PECR	-1.24716666666667
HSPA2	0.43075
WFIKKN1	-1.118
SERP1	0.637375
SYDE2	0.8525
TACR2	0.5925
NUP85	-0.16525
CD177	0.103666666666667
LGR5	-1.1525
PIGG	-0.542916666666667
PTHR1	-2.136
RAB5A	-0.6521
FLJ13224	0.329
USP9Y	-0.509
C7orf53	-1.2085
LRP1B	0.12
XAF1	3.0164
ABCG8	-0.2825
ANKDD1A	-0.685
DAND5	-1.8205
SPAG6	0.718833333333333
LINCR	1.4665
ZDHHC22	-0.774
CCDC60	0.6595
THOC7	-1.958
TCTA	1.3445
OR8K3	0.33075
NY-REN-7	-0.10425
B2M	1.53833333333333
C6orf141	-0.55325
LPPR4	1.3085
SQLE	-1.1395
SEPHS1	0.2205
BTBD14B	0.398428571428571
PLRG1	-0.37675
SPG7	0.0570625
ZNF614	0.974333333333333
PARD6G	1.272
INPP5B	-0.2096
GRPEL2	-0.545
PPID	-0.7049
TRIM56	-0.6655
UBE2J1	0.098375
IL20RA	2.54425
LOC387856	0.16325
C1orf107	-0.0571666666666667
UTS2R	0.82725
C19orf22	-0.000499999999999997
SAFB2	0.29475
KIAA0652	0.16575
KLRG1	-0.139166666666667
MS4A8B	0.6285
FRAG1	0.33775
KIAA1546	-0.13325
E2F4	-0.4699
CLEC4M	0.2755
BTBD14A	-0.46525
