Hybridization REF	TCGA-A2-A0YI-01A-31R-A10J-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.571916666666667
CREB3L1	1.78475
RPS11	0.62475
PNMA1	0.18075
MMP2	0.7935
C10orf90	-2.066
ZHX3	-0.626666666666667
ERCC5	-0.05325
GPR98	-1.44875
RXFP3	0.4495
APBB2	1.958
PRO0478	-0.179375
KLHL13	-1.044
PRSSL1	-0.906
PDCL3	0.625166666666667
DECR1	-0.048875
SALL1	-2.374
CADM4	0.523666666666667
RPS18	0.0763571428571429
HNRPD	-0.46875
CFHR5	-0.174666666666667
SLC10A7	0.516625
OR2K2	-0.5255
LMAN1	-0.2365
SUHW1	-3.3695
CHD8	-0.4506
SUMO1	0.4633
GP1BA	0.8663
DDB1	-0.108333333333333
MYO9B	0.0772
MMP7	5.69625
CRNKL1	0.186125
C9orf45	-0.5615
XAB2	-0.01325
RTN1	2.2005
KLHL14	-0.85175
TBX10	-1.0765
CENPQ	-2.15775
UTY	-0.533642857142857
ZBTB12	-0.4885
DTNBP1	0.245125
KBTBD8	-0.302833333333333
ZEB1	1.3585
ZG16	-1.461
MIER1	1.0627
ADAM5P	-0.014
CHD9	0.4561875
STK16	0.637
KIAA1486	0.15
TOB2	0.994916666666667
BANK1	2.8085
OR2V2	0.2375
GRM2	0.4165
PROSC	0.33925
SPIN2B	0.27725
PIR	-2.88466666666667
IPO9	-0.1147
EVC	1.21266666666667
CXCL13	3.90216666666667
KIAA1199	-2.8042
SORL1	1.96475
NAT10	-0.635
CHD1	-0.24425
SYN3	-0.60225
SLC22A2	-0.29825
SERPINF1	0.771166666666667
WDR34	-0.599
OR7A17	0.313
C9orf11	0.4755
RNF216L	-0.3521
LHB	0.4905
STK25	-0.285625
TAOK3	0.76825
LOC152573	-1.9955
C3orf39	0.7725
C14orf108	0.0164
CDC25B	-2.17390909090909
BMP3	0.0945
TMEM180	0.0165
MAP1LC3C	0.25425
CRYGC	-0.6255
POU3F1	-1.1848
C20orf32	-0.6985
CCDC95	-0.6735
HIGD1B	3.15825
USP6NL	-0.182
ABCD4	-0.0513333333333333
DIMT1L	-0.6965
TEK	1.541125
SLC25A46	-0.1455
LARP7	-1.6655
CD160	0.280833333333333
MT1JP	-1.05116666666667
PHF20	-0.3158125
CPNE4	0.91625
GTPBP1	0.163928571428571
RAB33B	0.8825
ALDOC	-2.850375
ZNF212	-0.34575
NUDT1	-1.46733333333333
RFPL2	-0.082
ZNF83	-0.332
GDPD5	-0.951375
PDCD4	2.21535
CEP350	0.18425
OR10A2	0.05375
CST7	1.73325
CIAO1	-1.29825
SELL	1.743875
OR8J3	0.282
LTBP4	0.0338333333333333
SIRT6	-0.2795
CCL19	4.96175
PPIL1	-1.0485
GBP7	0.195333333333333
STK17A	-0.2667
ABR	0.834
OR9G1	0.068
FOXE1	-0.6235
CNGA3	-0.3735
GML	0.132
CD38	-0.31925
ZDHHC6	-0.227833333333333
NEFH	0.54675
CTDSP2	0.959333333333333
PGBD5	-0.363166666666667
CCNY	0.444428571428571
RMND5B	0.336333333333333
ZNF257	-0.6625
FLJ22167	-1.14175
EXOSC7	-0.562
ROR2	2.1885
MAOA	0.223875
TNNT3	1.098
GYPC	-0.35125
C7orf33	1.3465
PLIN	3.346
LOC90826	-0.48925
RNF4	0.0421
F8A1	0.306833333333333
PLEKHG4	-1.94775
GRB2	0.1175
HIST1H2AD	0.679
DUS3L	-0.599166666666667
EIF1	-0.0566666666666666
RP5-1077B9.4	-1.4165
FPGT	1.579
GDF10	1.84383333333333
COQ9	0.1295
GCC2	0.711785714285714
RARRES3	2.922125
PLXNA1	-0.5154
KIAA0100	-0.2778
PMF1	-0.197
FNDC1	4.9855
HS2ST1	0.0290833333333333
CRELD2	0.60125
C8G	-2.028
CD82	0.698
LIM2	-1.1235
UNQ6490	-0.1225
MMP16	0.33175
DRD3	-0.096
C5orf26	-0.513
C11orf73	-0.919375
PTP4A2	0.087
OR4M2	0.0015
HPCA	-1.233
SEC14L1	-0.5995
CHFR	-0.152
EMILIN1	0.838875
NDUFS4	-0.751
COL18A1	0.102375
PDZD3	-0.0964
C9orf16	-0.3465
ERBB2IP	0.4195
EMX2	2.476
FUS	-1.0345
TF	-3.475
CLCN4	0.0693333333333333
CXorf56	0.5655
C11orf72	0.45075
ELAC2	-0.33725
NPR1	-0.3845
ASS1	-1.428
USP42	0.073625
POLR2J	-0.8395
SEC23IP	0.876166666666667
UQCRC1	-0.079
LOC729603	-0.2925
C1orf71	-0.151125
POLG	-2.882
ADAM23	-3.8435
TFR2	-1.83275
RICTOR	-0.8754
MGC39606	0.12525
C19orf55	-0.328
SNAPC1	-1.53883333333333
GNA11	1.008125
CCDC52	0.490166666666667
FSIP1	3.6815
UPF3A	-0.437125
IGSF11	-2.393
LAGE3	-1.04175
CHST6	-2.6115
UNC13B	0.878875
TTLL4	-1.025375
ZNF687	0.256625
SDC2	-0.7381
COX7A2	-0.433
LAMB4	-0.11575
FAM24A	0.1035
LRRTM3	-0.813166666666667
GPHB5	-0.06475
OR4C13	-0.0285
EIF3EIP	0.107571428571429
HABP4	-0.5165
TMEM125	4.3865
CNTN2	0.055875
ASNSD1	-0.13125
FUT4	0.17325
ACF	-4.06475
LOC158381	0.42
CDH8	0.026
AGPS	-0.588666666666667
C4orf18	4.60225
PECI	0.0884166666666667
UNG	-0.510625
GSTP1	-1.78675
DCUN1D5	-2.07
DKFZP564J0863	-0.8915
SLC9A3R1	1.8265
BCDO2	0.674
CHMP7	0.064875
REM2	0.0735
DNHD1	-0.465
FKBP4	-0.477125
ZNF350	1.43725
MGC11102	-0.128625
BST1	1.372
KISS1R	0.842
NCR2	0.19
DEFB125	0.067
UBE2W	1.242
KRT15	4.824625
C10orf99	0.1155
SCN11A	0.02025
GFI1	-1.3965
RDHE2	2.50883333333333
FHL1	-0.417166666666667
OSGEP	0.0333333333333333
GATA1	-3.90233333333333
SMC6	-1.19025
TTTY14	-0.683
LPIN3	0.05925
RPL4	-0.4209
RBPMS	0.4614
PRPF3	-0.9995
EMR1	-0.789
SPATA19	-0.24725
XCR1	0.5935
IRX3	2.2849
RBM6	-0.4395
KLF4	0.538
UNC5CL	-0.47625
SEBOX	0.1215
BTK	0.65125
KRCC1	1.27725
C6orf27	0.9465
SYTL5	0.59
PRND	1.767625
LOC653319	-1.768
PIGL	-1.38375
HUS1	-0.803833333333333
SFRS6	0.467666666666667
C17orf77	0.559
UIMC1	-0.504833333333333
FXYD2	-1.7667
LOC283152	0.87625
ZNF667	0.2075
ZCCHC12	-0.45225
TFEC	3.1504
ATP7B	1.43233333333333
POLD2	-0.974
RG9MTD1	0.21925
ACOT2	0.655166666666667
HIST1H4I	-1.26225
PPARGC1A	-1.8755
ETFA	-1.0615
POLRMT	-0.48625
ZNF146	-0.231375
MIA2	-0.592
KLHL6	0.270833333333333
HOXB5	0.468875
NENF	0.6745
CUGBP1	0.18425
PRSS22	0.743333333333333
CASC4	1.5272
CUL4B	-0.17
CENPJ	-2.1869
PITX1	1.662
FLJ31033	0.6705
CELSR3	-2.985
ZNF568	0.42775
ITSN1	-0.207833333333333
EHBP1L1	-0.372666666666667
C19orf2	-0.8505
DCTN1	0.222
LIN28B	-3.21683333333333
TNKS2	-1.667
C1QBP	-0.58025
CADPS2	1.35
SRMS	0.1305
GJA9	0.234
