Hybridization REF	TCGA-E2-A10E-01A-21R-A10J-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.64725
CREB3L1	1.89225
RPS11	0.357625
PNMA1	-0.65525
MMP2	0.105166666666667
C10orf90	-2.045
ZHX3	0.3265
ERCC5	-0.164
GPR98	-1.76025
RXFP3	0.473
APBB2	1.663
PRO0478	-0.288875
KLHL13	-2.167
PRSSL1	-0.928333333333333
PDCL3	0.6725
DECR1	-0.357
SALL1	-3.24266666666667
CADM4	0.866666666666667
RPS18	-0.248571428571429
HNRPD	-0.472583333333333
CFHR5	0.130833333333333
SLC10A7	0.00225000000000003
OR2K2	-0.31
LMAN1	-0.918375
SUHW1	-2.94175
CHD8	-0.0866
SUMO1	0.4266
GP1BA	0.2783
DDB1	-0.138833333333333
MYO9B	-0.0873
MMP7	6.96975
CRNKL1	0.604375
C9orf45	-1.3
XAB2	0.235625
RTN1	2.732875
KLHL14	-1.60525
TBX10	-0.846
CENPQ	-1.7825
UTY	-0.683142857142857
ZBTB12	-0.27
DTNBP1	0.241625
KBTBD8	-2.121
ZEB1	0.668166666666667
ZG16	-1.545
MIER1	-0.0641
ADAM5P	0.2705
CHD9	0.7648125
STK16	1.018
KIAA1486	-0.28
TOB2	0.694
BANK1	1.7275
OR2V2	0.475
GRM2	0.195333333333333
PROSC	0.567625
SPIN2B	0.38675
PIR	-2.81644444444444
IPO9	0.1284
EVC	1.0545
CXCL13	3.29866666666667
KIAA1199	-1.535
SORL1	0.614
NAT10	-0.439
CHD1	-0.15275
SYN3	-0.4645
SLC22A2	-0.381
SERPINF1	0.119666666666667
WDR34	-0.2615
OR7A17	0.4675
C9orf11	-0.4215
RNF216L	-0.5104
LHB	-0.0855
STK25	0.20925
TAOK3	0.687875
LOC152573	-2.63275
C3orf39	0.86025
C14orf108	0.2739
CDC25B	-2.42054545454545
BMP3	0.6525
TMEM180	0.002
MAP1LC3C	-0.0615
CRYGC	-0.556
POU3F1	-1.3126
C20orf32	-1.2905
CCDC95	-0.907
HIGD1B	3.00525
USP6NL	-0.022625
ABCD4	-0.301
DIMT1L	-0.574416666666667
TEK	0.544625
SLC25A46	-0.4395
LARP7	-1.7556
CD160	0.0251666666666667
MT1JP	-1.0395
PHF20	0.1755
CPNE4	2.04125
GTPBP1	0.0297857142857143
RAB33B	1.31783333333333
ALDOC	-3.188625
ZNF212	-0.25175
NUDT1	-0.984833333333333
RFPL2	0.94275
ZNF83	0.0706666666666667
GDPD5	0.145
PDCD4	2.33335
CEP350	0.156
OR10A2	0.217
CST7	0.51125
CIAO1	-0.861
SELL	0.916625
OR8J3	0.016
LTBP4	-0.389666666666667
SIRT6	0.14525
CCL19	4.607
PPIL1	-0.782166666666667
GBP7	0.585333333333333
STK17A	-1.2729
ABR	0.6775
OR9G1	0.5555
FOXE1	-0.694
CNGA3	1.2755
GML	0.3185
CD38	-2.3485
ZDHHC6	-0.0216666666666667
NEFH	-2.322
CTDSP2	0.540166666666667
PGBD5	-1.56533333333333
CCNY	0.235571428571429
RMND5B	0.758
ZNF257	-1.52575
FLJ22167	-1.533625
EXOSC7	-0.449666666666667
ROR2	2.30825
MAOA	0.94125
TNNT3	0.706833333333333
GYPC	-1.05225
C7orf33	0.4215
PLIN	4.041
LOC90826	-0.17725
RNF4	-0.0964
F8A1	0.538833333333333
PLEKHG4	-0.75925
GRB2	0.98745
