Hybridization REF	TCGA-AO-A12C-01A-11R-A10J-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.158666666666667
CREB3L1	1.18925
RPS11	1.728875
PNMA1	0.06725
MMP2	1.38866666666667
C10orf90	-1.86375
ZHX3	-0.4245
ERCC5	0.37825
GPR98	1.21975
RXFP3	0.3625
APBB2	1.8165
PRO0478	-0.756
KLHL13	-0.5295
PRSSL1	1.07916666666667
PDCL3	0.4335
DECR1	-1.708625
SALL1	-1.972
CADM4	-0.0255
RPS18	0.461142857142857
HNRPD	-0.977
CFHR5	0.1954
SLC10A7	-0.164125
OR2K2	-0.012
LMAN1	-0.846125
SUHW1	-3.303
CHD8	-0.2704
SUMO1	-0.047
GP1BA	-0.2592
DDB1	-0.341333333333333
MYO9B	-0.0885
MMP7	5.879
CRNKL1	0.66175
C9orf45	-1.88483333333333
XAB2	0.593
RTN1	1.05325
KLHL14	-1.0025
TBX10	-1.235
CENPQ	-1.84775
UTY	-0.634357142857143
ZBTB12	0.459
DTNBP1	-0.674875
KBTBD8	-1.47533333333333
ZEB1	1.47983333333333
ZG16	-1.3745
MIER1	0.6399
ADAM5P	0.3465
CHD9	0.4248125
STK16	1.47175
KIAA1486	0.0975
TOB2	0.45925
BANK1	1.468
OR2V2	0.37125
GRM2	0.4125
PROSC	0.394375
SPIN2B	-0.0845
PIR	-2.47122222222222
IPO9	-0.3804
EVC	1.3155
CXCL13	1.42833333333333
KIAA1199	-0.4153
SORL1	1.24875
NAT10	-0.16
CHD1	-0.68175
SYN3	0.0085
SLC22A2	-0.466
SERPINF1	1.58566666666667
WDR34	-0.578
OR7A17	0.41575
C9orf11	-0.1295
RNF216L	-0.602
LHB	0.08
STK25	0.325
TAOK3	0.4605
LOC152573	-2.92875
C3orf39	-0.14025
C14orf108	0.2708
CDC25B	-2.38345454545455
BMP3	0.3175
TMEM180	-0.0325
MAP1LC3C	0.5185
CRYGC	0.048
POU3F1	-0.912
C20orf32	-1.4115
CCDC95	-0.204
HIGD1B	4.2075
USP6NL	-0.36725
ABCD4	-0.786333333333333
DIMT1L	-0.5595
TEK	1.532875
SLC25A46	-0.83775
LARP7	-1.6992
CD160	0.278166666666667
MT1JP	-0.423333333333333
PHF20	-0.155
CPNE4	0.04925
GTPBP1	-0.452071428571429
RAB33B	1.243
ALDOC	-2.703
ZNF212	-0.311
NUDT1	-1.58816666666667
RFPL2	-0.37175
ZNF83	-1.1675
GDPD5	-1.327125
PDCD4	0.7869
CEP350	0.20475
OR10A2	0.20925
CST7	0.60325
CIAO1	-0.95825
SELL	0.569625
OR8J3	0.4165
LTBP4	0.611833333333333
SIRT6	-0.067
CCL19	3.2595
PPIL1	-1.36883333333333
GBP7	-0.098
STK17A	-0.9408
ABR	1.86275
OR9G1	0.435
FOXE1	-0.041625
CNGA3	0.902
GML	0.542
CD38	-2.2605
ZDHHC6	-0.130666666666667
NEFH	-1.0965
CTDSP2	1.06758333333333
PGBD5	-0.969666666666667
CCNY	0.425857142857143
RMND5B	0.392916666666667
ZNF257	-2.154
FLJ22167	-0.213
EXOSC7	-0.517833333333333
ROR2	1.868125
MAOA	1.73275
TNNT3	0.778333333333333
GYPC	-0.8415
C7orf33	0.33
PLIN	1.452
LOC90826	-0.38125
RNF4	0.0254
F8A1	0.15
PLEKHG4	-2.01
GRB2	-0.01265
HIST1H2AD	2.8385
DUS3L	0.0986666666666667
EIF1	-0.254166666666667
RP5-1077B9.4	-0.9735
FPGT	0.96925
GDF10	1.08383333333333
COQ9	-0.42975
GCC2	0.452714285714286
RARRES3	2.650625
PLXNA1	-0.4039
KIAA0100	-1.3783
PMF1	0.02975
FNDC1	5.476
HS2ST1	-0.0956666666666667
CRELD2	-0.04275
C8G	-1.8305
CD82	1.15825
LIM2	-1.222
UNQ6490	-0.3855
MMP16	0.66
DRD3	-0.07525
C5orf26	0.433
C11orf73	-0.197
PTP4A2	-0.010375
OR4M2	0.4665
HPCA	-1.296
SEC14L1	-0.932833333333333
CHFR	-0.1645
EMILIN1	1.18675
NDUFS4	-0.4795
COL18A1	1.2695
PDZD3	0.0853
C9orf16	0.0345
ERBB2IP	0.1895
EMX2	2.80375
FUS	-0.7355
TF	-3.7667
CLCN4	0.401333333333333
CXorf56	0.56175
C11orf72	0.38825
ELAC2	-1.297
NPR1	-0.29625
ASS1	-2.88383333333333
USP42	-0.203125
POLR2J	-0.006
SEC23IP	0.656833333333333
UQCRC1	-0.4895
LOC729603	-0.20075
C1orf71	0.111375
POLG	-2.7275
ADAM23	-3.2825
TFR2	-1.45
RICTOR	-0.4913
MGC39606	0.5055
C19orf55	0.22975
SNAPC1	-1.86233333333333
GNA11	1.11875
CCDC52	0.787333333333333
FSIP1	6.146
UPF3A	0.328
IGSF11	-2.11466666666667
LAGE3	-0.57025
CHST6	-0.7905
UNC13B	0.083875
TTLL4	-1.493875
ZNF687	-0.159
SDC2	0.1907
COX7A2	-1.06275
LAMB4	-0.16275
FAM24A	0.1205
LRRTM3	-0.631666666666667
GPHB5	0.56925
OR4C13	0.2455
EIF3EIP	0.2475
HABP4	-0.6435
TMEM125	3.6045
CNTN2	0.399125
ASNSD1	-0.009
FUT4	-0.18275
ACF	-4.09825
LOC158381	0.0965
CDH8	0.29375
AGPS	-1.64933333333333
C4orf18	3.087875
PECI	-0.774833333333333
UNG	-0.7665
GSTP1	-2.286125
DCUN1D5	-2.15066666666667
DKFZP564J0863	-1.17475
SLC9A3R1	1.51275
BCDO2	-0.378
CHMP7	0.29975
REM2	1.622
DNHD1	-0.51125
FKBP4	0.266875
ZNF350	0.8775
MGC11102	0.01025
BST1	1.17325
KISS1R	1.217
NCR2	0.4375
DEFB125	-1.369
UBE2W	0.7205
KRT15	2.17975
C10orf99	0.2845
SCN11A	0.217375
GFI1	-3.00025
RDHE2	2.7535
FHL1	-0.725333333333333
OSGEP	-0.8315
GATA1	-3.67416666666667
SMC6	-1.18075
TTTY14	-0.97925
LPIN3	0.0385
RPL4	0.3194
RBPMS	1.306
PRPF3	-0.384833333333333
EMR1	-2.382
SPATA19	-0.2425
XCR1	0.677
IRX3	1.8679
RBM6	-0.23975
KLF4	0.4301
UNC5CL	-1.039
SEBOX	0.207
BTK	-0.80925
KRCC1	1.183
C6orf27	0.6445
SYTL5	-0.05
PRND	2.00875
LOC653319	-1.522
PIGL	-1.3235
HUS1	-0.384166666666667
SFRS6	1.00316666666667
C17orf77	1.0195
UIMC1	-0.393333333333333
FXYD2	-1.8438
LOC283152	0.91275
ZNF667	0.77
ZCCHC12	-0.089
TFEC	1.2202
ATP7B	0.193833333333333
POLD2	-0.57
RG9MTD1	-0.27925
ACOT2	0.1905
HIST1H4I	0.591375
PPARGC1A	-1.6826
ETFA	-2.5
POLRMT	-0.229
ZNF146	0.6505
MIA2	-0.399
KLHL6	-1.21083333333333
HOXB5	-0.9225
NENF	0.3525
CUGBP1	0.57075
PRSS22	2.23133333333333
CASC4	0.6919
CUL4B	0.0203
CENPJ	-1.4911
PITX1	-2.60033333333333
FLJ31033	0.642333333333333
CELSR3	-1.83683333333333
ZNF568	0.22975
ITSN1	-0.476916666666667
EHBP1L1	-0.427166666666667
C19orf2	-0.514
DCTN1	0.3925
LIN28B	-2.89683333333333
TNKS2	0.07575
C1QBP	-1.219
CADPS2	1.70975
SRMS	0.33925
GJA9	0.314166666666667
MGC24975	-0.161
TRIM45	0.2725
TSP50	0.01375
TCP1	-1.05425
TMED7	0.1386
CMA1	0.8775
CENPL	-1.17966666666667
PTCRA	0.1145
FST	-1.93325
VWCE	-4.384
PAWR	0.189
ABCC12	0.370333333333333
LDLR	0.7012
ASTN2	0.8086
LOC441212	-1.030125
GPATCH8	-0.282
TANC2	1.6645
KIF4A	-2.5115
C18orf18	-1.47525
PGM1	-1.71775
KIAA0258	0.29925
CPD	-0.24975
SNCAIP	-0.2675
DCT	-4.6275
HLA-DOA	2.10118181818182
OR11L1	0.619
UPK1B	-0.116
DNAJB4	-0.271625
UGT1A8	-0.0255
HIST1H4L	-1.867
PECR	-1.27416666666667
HSPA2	1.68875
WFIKKN1	-2.0345
SERP1	0.4125
SYDE2	1.934
TACR2	1.184
NUP85	-0.72825
CD177	-0.2525
LGR5	-1.4225
PIGG	0.153416666666667
PTHR1	-0.359833333333333
RAB5A	0.1608
FLJ13224	0.362
USP9Y	-1.0015
C7orf53	-0.6125
LRP1B	1.9895
XAF1	1.4247
ABCG8	-0.486
ANKDD1A	-0.436166666666667
DAND5	-1.7515
SPAG6	0.591
LINCR	0.444
ZDHHC22	-1.37275
CCDC60	0.297
THOC7	-1.37416666666667
TCTA	0.8877
OR8K3	0.8565
NY-REN-7	-0.30775
B2M	0.8475
C6orf141	0.500625
LPPR4	1.1995
SQLE	-2.1685
SEPHS1	-0.6005
BTBD14B	0.354785714285714
PLRG1	-0.7035
SPG7	-0.515625
ZNF614	-1.0005
PARD6G	0.877333333333333
INPP5B	0.2117
GRPEL2	-0.214875
PPID	-0.5207
TRIM56	-0.2205
UBE2J1	-0.387
IL20RA	4.63875
LOC387856	0.1455
C1orf107	0.883666666666667
UTS2R	1.0515
C19orf22	0.075
SAFB2	0.38075
KIAA0652	0.31775
KLRG1	-1.26816666666667
MS4A8B	1.40983333333333
FRAG1	-0.061
KIAA1546	0.1195
E2F4	-1.2464
CLEC4M	-0.076
BTBD14A	-0.8585
KIAA0999	1.1553
GYPA	-3.045
TAC1	2.098
TRAIP	-2.156
KIAA0232	0.5917
ERCC8	-1.47375
GPX4	1.04975
KIAA0368	-0.127875
GPR157	-0.305
CTAGE4	0.285
C9orf30	-1.354
OR52A1	0.2645
HSP90B3P	-0.382
ALG9	-1.0417
BTBD10	0.45525
SDK2	0.08425
BAIAP3	-0.84525
