Hybridization REF	TCGA-AO-A03N-01B-11R-A10J-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.1435
CREB3L1	3.22025
RPS11	-0.01125
PNMA1	-0.75875
MMP2	0.676666666666667
C10orf90	-1.04025
ZHX3	0.520333333333333
ERCC5	0.12425
GPR98	-0.054125
RXFP3	1.128
APBB2	0.74325
PRO0478	-0.5685
KLHL13	-2.8985
PRSSL1	-0.3725
PDCL3	-0.120833333333333
DECR1	-0.731875
SALL1	-2.05566666666667
CADM4	0.659333333333333
RPS18	-0.0418571428571428
HNRPD	-0.653666666666667
CFHR5	0.7114
SLC10A7	0.209375
OR2K2	-0.3345
LMAN1	-1.029
SUHW1	-2.44075
CHD8	0.1254
SUMO1	1.3468
GP1BA	0.2018
DDB1	-0.803
MYO9B	-0.1501
MMP7	4.82125
CRNKL1	0.736125
C9orf45	-1.93183333333333
XAB2	-0.246875
RTN1	1.245375
KLHL14	-1.01157142857143
TBX10	1.685
CENPQ	-0.32475
UTY	-0.266666666666667
ZBTB12	-0.46
DTNBP1	0.186875
KBTBD8	-1.506
ZEB1	1.44933333333333
ZG16	0.88675
MIER1	0.3796
ADAM5P	-0.024
CHD9	0.08575
STK16	-0.37725
KIAA1486	-0.0095
TOB2	1.0835
BANK1	1.7825
OR2V2	0.153
GRM2	-0.0608333333333333
PROSC	0.125125
SPIN2B	0.33475
PIR	-1.93455555555556
IPO9	-0.2117
EVC	0.9645
CXCL13	1.68816666666667
KIAA1199	-0.0827
SORL1	2.27625
NAT10	-0.55425
CHD1	-0.21475
SYN3	-0.222
SLC22A2	0.154
SERPINF1	0.973
WDR34	-0.02125
OR7A17	0.30975
C9orf11	0.23
RNF216L	0.117
LHB	0.389
STK25	-1.0235
TAOK3	1.35675
LOC152573	-2.32225
C3orf39	-0.006
C14orf108	0.5473
CDC25B	-2.13072727272727
BMP3	0.215
TMEM180	-0.6425
MAP1LC3C	-0.04425
CRYGC	0.062
POU3F1	-0.6153
C20orf32	-1.168
CCDC95	0.618
HIGD1B	3.526
USP6NL	-0.1915
ABCD4	-0.0625
DIMT1L	-0.779833333333333
TEK	0.702625
SLC25A46	-0.65775
LARP7	-1.5437
CD160	0.0514
MT1JP	-1.18133333333333
PHF20	0.092375
CPNE4	0.5745
GTPBP1	-0.648
RAB33B	0.850333333333333
ALDOC	-2.078375
ZNF212	-0.20775
NUDT1	-0.248166666666667
RFPL2	0.166
ZNF83	-1.186
GDPD5	-0.497875
PDCD4	1.7438
CEP350	0.05
OR10A2	0.18025
CST7	-0.133
CIAO1	-0.9575
SELL	0.22875
OR8J3	0.378
LTBP4	0.0656666666666667
SIRT6	0.2555
CCL19	1.0595
PPIL1	-0.504166666666667
GBP7	-0.1494
STK17A	-1.1273
ABR	0.32575
OR9G1	0.6045
FOXE1	-0.01825
CNGA3	0.936
GML	0.695
CD38	-3.585
ZDHHC6	0.07
NEFH	-1.51475
CTDSP2	0.284916666666667
PGBD5	-1.62166666666667
CCNY	0.698857142857143
RMND5B	-0.0205833333333333
ZNF257	0.1915
FLJ22167	0.0986249999999999
EXOSC7	-1.06483333333333
ROR2	0.856
MAOA	-1.091375
TNNT3	0.0941666666666667
GYPC	-1.1665
C7orf33	-0.374
PLIN	0.772166666666667
LOC90826	-0.88125
RNF4	-1.3098
F8A1	0.294166666666667
PLEKHG4	-3.365
GRB2	-0.2915
HIST1H2AD	0.50775
DUS3L	-1.4235
EIF1	-0.614
RP5-1077B9.4	-1.16816666666667
FPGT	1.10725
GDF10	-0.142333333333333
COQ9	-0.79075
GCC2	-0.138357142857143
RARRES3	3.05175
PLXNA1	-0.3079
KIAA0100	-0.5355
PMF1	-0.40875
FNDC1	4.84175
HS2ST1	0.44475
CRELD2	0.57125
C8G	-0.844
CD82	0.7405
LIM2	-0.484
UNQ6490	-0.2685
MMP16	0.164
DRD3	-0.074
C5orf26	-1.54625
C11orf73	-0.45325
PTP4A2	0.572125
OR4M2	-0.245
HPCA	-1.39066666666667
SEC14L1	-0.013
CHFR	0.367375
EMILIN1	1.740375
NDUFS4	-1.56075
COL18A1	1.483375
PDZD3	-0.1263
C9orf16	-0.00766666666666666
ERBB2IP	1.1385
EMX2	2.361
FUS	-1.1005
TF	-3.6792
CLCN4	-0.078
CXorf56	-0.16275
C11orf72	0.5145
ELAC2	-0.0385
NPR1	-0.429
ASS1	-2.69766666666667
USP42	1.019875
POLR2J	0.127
SEC23IP	1.271
UQCRC1	-0.56475
LOC729603	-0.252
C1orf71	-0.197375
POLG	-1.7785
ADAM23	-3.01625
TFR2	-0.74825
RICTOR	-0.979
MGC39606	0.282
C19orf55	-0.0885
SNAPC1	1.062
GNA11	0.993875
CCDC52	0.911333333333333
FSIP1	1.5525
UPF3A	-0.4935
IGSF11	-1.402
LAGE3	0.45575
CHST6	1.043
UNC13B	-0.61975
TTLL4	-1.3865
ZNF687	0.803875
SDC2	-0.1015
COX7A2	0.173
LAMB4	-0.1215
FAM24A	0.116
LRRTM3	-0.107666666666667
GPHB5	0.44075
OR4C13	-0.347
EIF3EIP	0.147357142857143
HABP4	-1.102
TMEM125	3.71125
CNTN2	0.343375
ASNSD1	-0.35625
FUT4	-0.477625
ACF	-3.2055
LOC158381	-0.103
CDH8	0.27525
AGPS	0.401
C4orf18	3.2475
PECI	-0.467416666666667
UNG	0.122125
GSTP1	0.541125
DCUN1D5	-1.278
DKFZP564J0863	-0.16225
SLC9A3R1	0.7795
BCDO2	0.336125
CHMP7	-0.757875
REM2	-0.1115
DNHD1	-0.671875
FKBP4	-0.157
ZNF350	2.4315
MGC11102	0.047625
BST1	0.4695
KISS1R	2.4205
NCR2	0.3725
DEFB125	0.139
UBE2W	0.3025
KRT15	-0.386875
C10orf99	0.624
SCN11A	-0.029875
GFI1	-2.395
RDHE2	2.168
FHL1	-1.22066666666667
OSGEP	0.724833333333333
GATA1	-2.8555
SMC6	-1.12375
TTTY14	-0.62875
LPIN3	0.1115
RPL4	-1.1889
RBPMS	0.0403
PRPF3	-1.05266666666667
EMR1	-2.9975
SPATA19	0.1825
XCR1	0.5475
IRX3	2.7685
RBM6	-0.84025
KLF4	-0.5973
UNC5CL	1.245
SEBOX	0.1815
BTK	-1.80925
KRCC1	1.57675
C6orf27	0.624
SYTL5	-0.418
PRND	2.392625
LOC653319	-0.967
PIGL	-0.588625
HUS1	-0.414166666666667
SFRS6	1.44766666666667
C17orf77	0.2585
UIMC1	-0.490166666666667
FXYD2	-1.5017
LOC283152	2.599
ZNF667	-0.13675
ZCCHC12	-0.30475
TFEC	0.3965
ATP7B	1.7125
POLD2	-1.94983333333333
RG9MTD1	-0.10975
