Hybridization REF	TCGA-E2-A10F-01A-11R-A10J-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.63325
CREB3L1	0.875
RPS11	0.573625
PNMA1	0.15425
MMP2	1.34416666666667
C10orf90	-2.18575
ZHX3	0.0523333333333333
ERCC5	0.095
GPR98	-0.555625
RXFP3	0.3355
APBB2	1.52175
PRO0478	-0.66525
KLHL13	-2.34625
PRSSL1	-0.936166666666667
PDCL3	0.225666666666667
DECR1	-0.2285
SALL1	-2.40216666666667
CADM4	1.08366666666667
RPS18	0.119071428571429
HNRPD	-0.610083333333333
CFHR5	-0.235166666666667
SLC10A7	0.234
OR2K2	-0.351
LMAN1	-1.658
SUHW1	-3.54675
CHD8	-0.2175
SUMO1	0.3802
GP1BA	0.1938
DDB1	-0.2765
MYO9B	0.3075
MMP7	5.61075
CRNKL1	0.63175
C9orf45	-1.48833333333333
XAB2	0.343375
RTN1	1.95475
KLHL14	-0.743375
TBX10	-1.377
CENPQ	-1.60775
UTY	-0.836538461538462
ZBTB12	-0.176
DTNBP1	-0.28775
KBTBD8	-0.678166666666667
ZEB1	1.24166666666667
ZG16	-1.638
MIER1	0.729
ADAM5P	0.0945
CHD9	-0.05075
STK16	0.881
KIAA1486	-0.112
TOB2	0.15325
BANK1	1.774
OR2V2	0.40075
GRM2	0.00516666666666666
PROSC	0.27175
SPIN2B	0.0195
PIR	-2.54322222222222
IPO9	0.085
EVC	1.80866666666667
CXCL13	1.90466666666667
KIAA1199	-0.2792
SORL1	1.272
NAT10	-0.36925
CHD1	0.08625
SYN3	0.082
SLC22A2	0.3215
SERPINF1	1.967
WDR34	-1.1555
OR7A17	0.17325
C9orf11	-0.0755
RNF216L	-0.4808
LHB	-0.0665
STK25	-0.02575
TAOK3	0.940625
LOC152573	-2.56875
C3orf39	0.701125
C14orf108	0.214
CDC25B	-2.04281818181818
BMP3	0.337
TMEM180	0.25
MAP1LC3C	0.027
CRYGC	-0.1085
POU3F1	-1.3561
C20orf32	-0.7935
CCDC95	0.1595
HIGD1B	2.95925
USP6NL	-0.679
ABCD4	-0.722333333333333
DIMT1L	-0.575583333333333
TEK	1.283
SLC25A46	-0.4535
LARP7	-2.3532
CD160	0.397166666666667
MT1JP	-0.4925
PHF20	0.1298125
CPNE4	-1.31125
GTPBP1	-0.457571428571429
RAB33B	0.602166666666667
ALDOC	-3.118
ZNF212	-0.32025
NUDT1	-0.9405
RFPL2	-0.35525
ZNF83	0.155666666666667
GDPD5	-1.0405
PDCD4	2.3837
