Hybridization REF	TCGA-AO-A12E-01A-11R-A10J-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.453166666666667
CREB3L1	0.78125
RPS11	0.41225
PNMA1	0.5055
MMP2	-0.366833333333333
C10orf90	-0.74225
ZHX3	-0.245333333333333
ERCC5	-0.446
GPR98	0.47425
RXFP3	0.141
APBB2	0.87325
PRO0478	-0.629375
KLHL13	-0.28525
PRSSL1	1.63183333333333
PDCL3	0.662
DECR1	0.198125
SALL1	-3.2615
CADM4	0.0603333333333333
RPS18	0.0457857142857143
HNRPD	-0.210333333333333
CFHR5	0.776166666666667
SLC10A7	0.259125
OR2K2	-0.054
LMAN1	-0.727
SUHW1	-3.4125
CHD8	-0.519
SUMO1	0.2603
GP1BA	0.259
DDB1	-1.22983333333333
MYO9B	-0.116
MMP7	5.97525
CRNKL1	1.223875
C9orf45	-1.63683333333333
XAB2	0.025875
RTN1	2.630375
KLHL14	-1.06175
TBX10	0.4655
CENPQ	-0.6155
UTY	-0.868
ZBTB12	-0.731
DTNBP1	-0.079875
KBTBD8	-0.584666666666667
ZEB1	0.306
ZG16	-0.69175
MIER1	0.4936
ADAM5P	0.051
CHD9	-0.0365625
STK16	0.29
KIAA1486	-0.007
TOB2	-0.0379166666666667
BANK1	2.25775
OR2V2	0.31825
GRM2	-0.0831666666666667
PROSC	0.812125
SPIN2B	-0.155
PIR	-1.664
IPO9	-0.1847
EVC	0.482
CXCL13	1.4525
KIAA1199	-1.5024
SORL1	1.223
NAT10	-0.82825
CHD1	0.74025
SYN3	-0.26875
SLC22A2	-0.0225
SERPINF1	0.6495
WDR34	-0.186
OR7A17	0.316
C9orf11	0.135
RNF216L	-0.1813
LHB	-0.188
STK25	-0.2265
TAOK3	0.95225
LOC152573	-1.915
C3orf39	0.58
C14orf108	0.3415
CDC25B	-1.48545454545455
BMP3	0.5995
TMEM180	-0.29
MAP1LC3C	0.684
CRYGC	-0.546
POU3F1	-1.3203
C20orf32	-0.6555
CCDC95	0.2625
HIGD1B	3.15725
USP6NL	-0.2385
ABCD4	-0.129833333333333
DIMT1L	-0.491583333333333
TEK	1.401875
SLC25A46	-0.74925
LARP7	-1.6024
CD160	0.286333333333333
MT1JP	1.41933333333333
PHF20	0.161125
CPNE4	-1.103
GTPBP1	-0.609642857142857
RAB33B	0.13
ALDOC	-0.832125
ZNF212	-0.22825
NUDT1	-0.0625
RFPL2	-0.99325
ZNF83	-0.1575
GDPD5	-0.691
PDCD4	2.1843
CEP350	-0.5275
OR10A2	0.35675
CST7	0.0915
CIAO1	-0.73925
SELL	0.966125
OR8J3	0.319
LTBP4	0.0163333333333333
SIRT6	-0.2125
CCL19	3.60875
PPIL1	-0.936833333333333
GBP7	0.459166666666667
STK17A	-0.105
ABR	0.861
OR9G1	0.328
FOXE1	-0.666375
CNGA3	0.094
GML	0.2795
CD38	-2.2385
ZDHHC6	-0.208
NEFH	-2.08
CTDSP2	0.574083333333333
PGBD5	-1.046
CCNY	0.0452142857142857
RMND5B	0.6425
ZNF257	-1.79825
FLJ22167	-0.649375
EXOSC7	-0.454166666666667
ROR2	0.558625
MAOA	2.269875
TNNT3	1.69483333333333
GYPC	0.10475
C7orf33	0.3785
PLIN	4.35683333333333
LOC90826	-0.19225
RNF4	-0.2033
F8A1	0.401833333333333
PLEKHG4	-1.38475
GRB2	0.55425
HIST1H2AD	-0.09225
DUS3L	-0.964333333333333
EIF1	-0.095
RP5-1077B9.4	-0.828166666666667
FPGT	1.45875
GDF10	2.064
COQ9	-0.391
GCC2	0.358928571428572
RARRES3	3.2155
PLXNA1	-1.0421
KIAA0100	-0.5636
PMF1	-0.703
FNDC1	3.842
HS2ST1	-0.374833333333333
CRELD2	0.11325
C8G	-1.433
CD82	0.59075
LIM2	-1.076
UNQ6490	-0.243
MMP16	-0.385
DRD3	-0.05625
C5orf26	-0.09325
C11orf73	-0.67975
PTP4A2	1.558125
OR4M2	0.0935
HPCA	-1.15883333333333
SEC14L1	-0.538833333333333
CHFR	0.157875
EMILIN1	0.426375
NDUFS4	-0.24925
COL18A1	-0.3385
PDZD3	0.0937
C9orf16	-0.151
ERBB2IP	0.661
EMX2	1.721
FUS	-0.6805
TF	-1.993
CLCN4	-0.480333333333333
CXorf56	0.63
C11orf72	0.23175
ELAC2	0.3275
NPR1	1.12275
ASS1	-1.66666666666667
USP42	0.389625
POLR2J	-0.8145
SEC23IP	0.500166666666667
UQCRC1	0.0845
LOC729603	-0.2715
C1orf71	-0.00725
POLG	-1.896
ADAM23	-3.819
TFR2	-1.81075
RICTOR	-0.6614
MGC39606	0.6945
C19orf55	-0.251
SNAPC1	-1.34233333333333
GNA11	0.9145
CCDC52	0.2155
FSIP1	3.0765
UPF3A	-0.394125
IGSF11	-2.331
LAGE3	0.35825
CHST6	-3.536
UNC13B	-0.124875
TTLL4	-1.10475
ZNF687	-0.130625
SDC2	-0.8288
COX7A2	0.151
LAMB4	-0.02825
FAM24A	0.152
LRRTM3	-0.501833333333333
GPHB5	0.04225
OR4C13	0.3965
EIF3EIP	-0.4725
HABP4	-0.635
TMEM125	3.81475
CNTN2	0.56075
ASNSD1	-0.40225
FUT4	-0.212
ACF	-4.38725
LOC158381	0.472
CDH8	0.097
AGPS	0.695166666666667
C4orf18	2.84875
PECI	0.428666666666667
UNG	0.32125
GSTP1	-1.685
DCUN1D5	-1.65683333333333
DKFZP564J0863	-1.412
SLC9A3R1	2.971125
BCDO2	-0.57475
CHMP7	0.645875
REM2	0.12
DNHD1	-0.3085
FKBP4	0.45425
ZNF350	0.3405
MGC11102	-0.513625
BST1	1.037
KISS1R	0.134
NCR2	0.3675
DEFB125	-0.405
UBE2W	1.152
KRT15	3.619
C10orf99	0.0625
SCN11A	0.308
GFI1	-2.5095
RDHE2	1.55183333333333
FHL1	0.614833333333333
OSGEP	-0.125166666666667
GATA1	-3.8905
SMC6	-1.61975
TTTY14	-0.96275
LPIN3	0.00175000000000001
RPL4	-0.5825
RBPMS	0.8391
PRPF3	-1.12716666666667
EMR1	-1.3945
SPATA19	-0.406
XCR1	0.567
IRX3	1.5017
RBM6	-0.32625
KLF4	0.7405
UNC5CL	-0.86725
SEBOX	-0.0595
BTK	0.1135
KRCC1	0.96625
C6orf27	0.414
SYTL5	-0.1825
PRND	1.292125
LOC653319	-1.5275
PIGL	-0.303
HUS1	-0.799333333333333
SFRS6	-0.0965833333333333
C17orf77	0.529
UIMC1	-0.282666666666667
FXYD2	-2.1115
LOC283152	1.61575
ZNF667	-0.5715
ZCCHC12	-0.2365
TFEC	2.4734
ATP7B	0.586833333333333
POLD2	-0.663
RG9MTD1	-0.42075
ACOT2	1.3485
HIST1H4I	-0.91075
PPARGC1A	-0.8769
ETFA	-0.9837
POLRMT	-0.183
ZNF146	-0.178625
MIA2	-0.272
KLHL6	-0.881333333333333
HOXB5	-1.59325
NENF	0.413
CUGBP1	-0.87025
PRSS22	1.9165
CASC4	1.1988
CUL4B	-0.3564
CENPJ	-1.5451
PITX1	-0.642666666666667
FLJ31033	1.41966666666667
CELSR3	-2.6235
ZNF568	0.49525
ITSN1	0.213166666666667
EHBP1L1	-1.0005
C19orf2	-0.85975
DCTN1	0.08
LIN28B	-3.25266666666667
TNKS2	-1.07575
C1QBP	0.28675
CADPS2	1.12425
SRMS	0.00325
GJA9	0.370833333333333
MGC24975	-0.0951666666666667
TRIM45	-0.413833333333333
TSP50	1.15875
TCP1	-1.1235
TMED7	0.6042
CMA1	2.422
CENPL	-1.04883333333333
PTCRA	-0.285
FST	-4.217
VWCE	-3.6675
PAWR	0.15725
ABCC12	0.516166666666667
LDLR	-0.8496
ASTN2	0.407
LOC441212	-0.85225
GPATCH8	-0.472
TANC2	-0.370916666666667
KIF4A	-1.73425
C18orf18	-2.04725
PGM1	-0.5815
KIAA0258	0.77175
CPD	1.377625
SNCAIP	-0.62875
DCT	-4.9675
HLA-DOA	2.18281818181818
OR11L1	0.2875
UPK1B	-0.267
DNAJB4	0.3825
UGT1A8	-0.36575
HIST1H4L	-1.0285
PECR	-0.1805
HSPA2	2.1405
WFIKKN1	-0.3855
SERP1	1.760625
SYDE2	1.05
TACR2	0.975
NUP85	-0.51975
CD177	-0.398333333333333
LGR5	-1.4605
PIGG	0.0758333333333333
PTHR1	-0.685166666666667
RAB5A	0.2834
FLJ13224	-0.172
USP9Y	-1.03216666666667
C7orf53	-0.404
LRP1B	3.0425
XAF1	4.2491
ABCG8	-0.46
ANKDD1A	-0.184833333333333
DAND5	-1.3275
SPAG6	-0.0461666666666667
LINCR	1.63875
ZDHHC22	-1.92025
CCDC60	-0.22
THOC7	-1.35033333333333
TCTA	1.0865
OR8K3	0.60625
NY-REN-7	-0.42425
B2M	1.54066666666667
C6orf141	0.379375
LPPR4	2.38275
SQLE	-1.678125
SEPHS1	-0.86175
BTBD14B	0.185071428571429
PLRG1	-0.411
SPG7	-0.45375
ZNF614	-0.981
PARD6G	0.269333333333333
INPP5B	-0.4314
GRPEL2	-0.022125
PPID	-0.6887
TRIM56	-0.10875
UBE2J1	-0.57325
IL20RA	3.53025
LOC387856	-0.06225
C1orf107	0.0714166666666667
UTS2R	0.568
C19orf22	-0.24175
SAFB2	0.459375
KIAA0652	-0.4695
KLRG1	0.152
MS4A8B	1.95683333333333
FRAG1	0.71275
KIAA1546	-0.092
E2F4	-1.1905
CLEC4M	-0.269166666666667
BTBD14A	-0.54325
KIAA0999	0.4465
GYPA	-2.78666666666667
TAC1	3.9468
TRAIP	-0.878333333333333
KIAA0232	0.5946
ERCC8	-0.6755
GPX4	0.842
KIAA0368	-0.38775
GPR157	-0.868833333333333
CTAGE4	0.5715
C9orf30	-2.55933333333333
OR52A1	0.157
HSP90B3P	0.1375
ALG9	-0.783
BTBD10	0.5205
SDK2	0.055
BAIAP3	2.1425
RABGGTB	-0.4365
ANKRD40	0.754166666666667
KRT74	-0.098
CALCOCO2	1.70828571428571
SNCA	-1.849
TMSL8	-5.466875
C2orf53	-0.562
ESRRB	-0.36775
ARHGAP26	-0.618875
TDRD9	-3.27725
HRAS	0.217666666666667
KLRC4	-2.186
JAGN1	0.223
BSDC1	0.529
RNF43	0.2681
NDUFAF1	1.05475
PHF12	0.14225
OR1L3	0.50075
FOLR2	1.78158333333333
LYZL6	0.808166666666667
tcag7.1260	-1.923
WSB1	-1.28516666666667
PROS1	-0.1861
OSTN	0.776
PSMB8	1.60825
SOCS4	-0.380375
DDIT4L	0.0755
MAS1	0.106
MGC34796	1.7655
CSHL1	0.1285
TBCCD1	0.153166666666667
ZBTB7C	0.0195
AP2S1	-0.166375
P15RS	-0.7306
VAT1	-0.358
SHANK3	1.13183333333333
TUFM	0.249333333333333
THEG	-0.733
KRT34	-1.46225
SGSM3	0.142875
TOMM22	-0.57775
SOCS3	2.56783333333333
CPO	0.5995
POP4	0.40325
BHLHB3	1.794
MALL	1.48275
OR1B1	0.3335
PARK2	0.389
GPR124	0.483
LCE1E	-0.041
RUVBL2	-0.56275
CGRRF1	0.4299
ACPL2	-0.6235
WNT10B	-2.496875
BAIAP2L2	-2.786625
ISCA1	0.6145
C1orf125	0.393
RPAP1	-0.222
RAI16	0.361666666666667
RPL27	-0.01875
NLRP9	-0.136
EPN1	-0.024
LOC388610	-1.184375
SLC35A1	0.9782
GAL	-4.61125
SLC14A2	0.691
RDH11	-0.259833333333333
FAM138F	-0.0425
AUH	0.80975
FLJ40243	0.245
C14orf129	0.354666666666667
MBD2	-0.440833333333333
ABHD14B	0.17
PIGT	0.565375
ALS2CR4	0.017875
ALAS1	0.3637
FOXO1	1.30316666666667
CRLF3	-0.009
C20orf107	0.251
FARS2	0.94175
CCDC28A	0.52475
NPHP3	-0.818
OR13F1	0.1855
TSEN54	0.07575
DEFB106B	0.1961
OR8B4	0.6025
STH	1.1475
ZC3H14	-0.536
CBX2	-0.241
TMEM49	-0.162
C6orf21	0.445
FLJ20920	1.177625
CRTAP	-0.113857142857143
DDX50	-0.303
STYXL1	1.00225
BLVRB	1.4315
LOC147650	-0.395666666666667
MMP24	0.63775
GRID1	1.10233333333333
BANF1	-1.22033333333333
CTAGEP	0.07575
HMBS	-2.38075
SLC25A24	0.696666666666667
C14orf50	2.36625
MRO	1.994
SLC25A15	-1.5715
FAM84B	1.1148
TDP1	-0.6545
C16orf78	0.252
C11orf57	-0.8495
RFK	-0.620625
ZFYVE9	-0.376625
STCH	-0.9631
WIBG	0.95475
LOC283871	0.320833333333333
GBA2	-0.6868
NDUFB3	-0.12375
HSD17B13	0.64775
GRIN3A	0.467833333333333
FMNL1	-0.477
SEPT7	-0.1454
GNLY	1.8525
GRAMD1C	1.41883333333333
ZNF165	-0.03275
USP38	0.57125
FAM83A	-3.08416666666667
C14orf24	0.515416666666667
ARMCX3	0.90075
ARHGDIB	1.63383333333333
AK1	0.49125
KIAA1045	0.50025
DNAJB13	-0.154166666666667
NEU2	0.074
HIST1H4B	-0.619666666666667
FAM20B	-0.7064
HES2	0.815714285714286
FAM73B	-0.2633
LOC388381	0.37275
INTS7	-0.399727272727273
AMPH	0.18125
ZNF775	-0.21075
UCKL1	-0.395166666666667
C10orf97	0.39125
C1orf161	-0.12425
ALDH1L1	1.7175
FLJ39378	-0.074125
SLC23A1	-0.9085
RBM4B	-0.178
THAP4	0.7415
OGFRL1	0.8085
KIAA0831	0.05425
PPP1R15A	0.129833333333333
C1orf96	0.0275714285714286
C12orf11	-1.2865
BMF	0.128125
MAN1A1	0.192375
KIAA1600	0.302666666666667
NLGN4X	0.22475
ALOX12	-0.804
RB1CC1	0.0648
NEIL2	0.7135
EIF4E	0.3535
ABHD5	0.235
EXOC4	-0.321666666666667
CIP29	0.681
BATF2	1.34
SLC29A4	0.296875
HTR4	0.21575
EMB	-1.11875
TRAF6	-0.167
LMNB1	-1.50125
FAM19A5	-2.054
SHE	1.67525
PIK3C2B	1.306
C15orf15	-0.524
USP15	0.2203
TCEAL2	2.02325
C5orf39	-1.41516666666667
PTGER2	-0.54625
SLC31A1	0.038375
IFT172	0.545
ADAM29	0.283
GFOD1	0.0645
ST7L	1.17883333333333
C15orf26	-2.09825
PKN3	-0.82875
CNTD1	3.162
COMMD1	-0.035875
NTRK2	3.18983333333333
FOXN3	0.309875
MFGE8	-0.5391
PFKFB2	0.331
TAS2R4	0.15575
ENTHD1	0.4985
PRMT5	-0.559375
MGC16384	-1.09625
LOC442229	0.056
TSKU	1.283375
KRTCAP3	2.66125
PDLIM1	0.3731
KCNS2	0.29375
RNF126	-0.7545
CEP63	0.152125
CLIC4	-0.23225
hCG_1990170	2.211
ACR	0.8689
KLK7	2.3335
ALOX5AP	4.07575
RIPK3	3.48825
TAS2R9	0.4575
C19orf18	1.657
BIRC6	0.0835714285714286
ZNF16	0.705
RFT1	-0.07775
SLC8A2	-0.217
TACC1	0.51125
ITGAD	0.09525
SAMHD1	1.647
SH3PXD2B	0.5823
EPC2	0.32575
C20orf85	0.289875
ATP13A2	-0.240666666666667
KRT4	0.730625
CAPNS1	0.021
MDM2	-0.0945833333333333
PCDH20	0.456
KCNK9	0.5435
OR2C1	-0.062
KLHDC3	-1.26916666666667
IPPK	0.7055
EFHD2	-0.1305
GALR3	0.39375
NBEA	0.813833333333334
ABCA6	2.8741
CLDN3	2.26433333333333
AKT2	-0.612857142857143
EGFR	-0.2393
RBM16	0.417375
ZDHHC3	0.334
SLC25A4	0.4435
CYB5B	-0.593333333333333
CPXM1	0.03275
NDRG1	-1.02
FLJ43826	1.59175
OR5L2	0.0111666666666667
FARP2	1.0079
MRPL46	-0.222916666666667
LDHAL6B	-0.209833333333333
MAPKAPK3	-0.0555
NCAM2	-0.535
PRKD2	0.286333333333333
ZFP36L1	0.7336
CYSLTR1	0.05325
OR4C3	0.14675
HIST1H2AJ	2.671
CCNB2	-2.13511111111111
ZNF10	-0.5615
TMEM175	0.3385
FAM134A	1.0125
TIGD4	-0.0265
PCNP	-0.188
MGC39715	0.522
LQK1	-1.13
CREB1	0.5037
TMPRSS3	3.63475
C4orf32	2.564
LAT	-1.62141666666667
KCNA3	-0.67
SKIV2L2	-1.08725
ROPN1B	1.60325
tcag7.23	-0.4555
CDT1	-3.14875
ZHX2	0.684375
CD28	-2.17125
ZNF624	0.56925
SEPT2	0.445583333333333
SOHLH2	-1.71225
MCOLN3	-0.49125
UNQ1945	0.0995
MASP2	-1.032
ZNRF3	0.3407
GPATCH3	-0.2295
AGL	-0.234
QRICH2	0.1225
PSD4	0.879333333333333
CCNB1IP1	-1.71525
ENPP7	0.36
OBFC1	0.29425
KCNG3	-1.322
C14orf79	0.228416666666667
ENPEP	1.68583333333333
SCT	0.448
SKI	0.5985
SEC61G	-0.78125
CAPN11	0.33
ATXN7L3	-0.16325
DBNDD1	-0.620666666666667
FAIM	-0.001
ANKRD36	-0.124
GABRP	3.83933333333333
TACSTD2	2.061
EIF3J	-0.5905
PPP2R2A	-0.48125
TEKT4	-0.392166666666667
PVALB	-4.32183333333333
F10	-2.3855
FAM134C	1.2648
COMP	4.675125
EFCBP1	-1.7308125
SCLT1	0.735625
TAL1	-0.9299
ACSL1	2.782
ABCC5	1.29675
ABL1	-0.372722222222222
RBBP7	0.339166666666667
PTPRG	-1.072
NCOR1	0.5703
SPINK4	0.591166666666667
TXNRD1	-0.7432
TNRC15	0.8285
C9orf138	0.516375
UBE2H	1.535
BRDT	0.501166666666667
C8orf31	0.30725
CCNE2	-0.670454545454545
SLC6A8	-2.231
CALCR	-2.32525
PPP1CB	0.70525
ABHD8	0.272
ARF5	0.5549
SLC24A4	0.494
CCT3	-0.76825
ZNF121	-0.130125
SLC3A2	-0.8124
OR13A1	0.257
SLC5A10	0.63125
RAD50	0.648
IER5	-0.25225
MTHFD1L	-2.347125
MBTPS2	0.15
MVK	-0.15825
NCL	-0.2528
PSMD10	-0.146
MOBP	0.110375
FLJ32894	-0.2175
HRH1	-1.03016666666667
C5orf30	1.27375
NUDT16L1	1.1604
RASGRP3	2.55183333333333
PRKRIP1	0.1327
CCDC75	0.4245
LOC253970	0.269
KIAA1239	-0.12075
MED21	-0.03075
SYT11	0.408083333333333
NTSR2	-0.1565
EGFL11	0.2465
CXorf59	0.097
OR2A25	0.00450000000000001
SPTBN2	-0.15625
LRMP	-0.757666666666667
RNF111	-0.232
PTH	-0.149
LOC619208	0.6545
KIAA0895	0.35325
RANBP5	-1.654375
P2RY10	-0.061
NME5	4.07816666666667
DDX21	-0.6625
LRSAM1	0.755
HDAC11	1.8755
VMO1	2.58325
NOLA2	-0.0935
ADAR	0.535
MTO1	-1.39933333333333
SF4	0.0981666666666667
P2RX1	-0.0223333333333333
HBM	-0.055
EN2	0.38
C14orf172	-0.41275
TM9SF2	-0.1299
INHBE	-1.12416666666667
TCTE3	-0.10775
TOX2	-2.2905
CTAGE3	0.294125
HBB	3.7962
MED15	-1.25816666666667
CASR	0.032
C6orf66	-0.904666666666667
MTPN	-0.142875
UNC50	0.4455
C21orf33	0.405125
IRF2	1.190875
PGR	1.25866666666667
GPR84	2.39575
CROCCL1	-1.68275
SRPX	-0.165
BRE	0.143833333333333
FGF10	1.21525
SDC3	-0.493833333333333
ZRSR1	0.345666666666667
