Hybridization REF	TCGA-AO-A03U-01B-21R-A10J-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.415666666666667
CREB3L1	2.30925
RPS11	0.917875
PNMA1	-0.45125
MMP2	0.4215
C10orf90	-2.20975
ZHX3	-0.200333333333333
ERCC5	0.22925
GPR98	-1.16457142857143
RXFP3	0.595
APBB2	0.7815
PRO0478	-1.225625
KLHL13	-2.682
PRSSL1	-0.7755
PDCL3	-0.280166666666667
DECR1	-0.163625
SALL1	-3.1235
CADM4	0.484833333333333
RPS18	0.146071428571429
HNRPD	-0.7635
CFHR5	0.13
SLC10A7	0.74625
OR2K2	0.417
LMAN1	0.79775
SUHW1	-4.16275
CHD8	-0.852
SUMO1	0.3529
GP1BA	-0.00929999999999999
DDB1	-0.577666666666667
MYO9B	0.3042
MMP7	8.1185
CRNKL1	-0.179625
C9orf45	-2.6455
XAB2	0.208625
RTN1	1.651625
KLHL14	-1.110125
TBX10	-1.1845
CENPQ	-1.511
UTY	-0.610307692307692
ZBTB12	-0.345
DTNBP1	-0.409
KBTBD8	-0.460166666666667
ZEB1	-0.113833333333333
ZG16	-1.81525
MIER1	0.5757
ADAM5P	-0.263
CHD9	0.1896875
STK16	1.24625
KIAA1486	0.254
TOB2	0.16075
BANK1	2.58125
OR2V2	0.095
GRM2	0.227833333333333
PROSC	0.75775
SPIN2B	-0.12025
PIR	-2.42911111111111
IPO9	-0.8034
EVC	0.426166666666667
CXCL13	2.93683333333333
KIAA1199	-0.5153
SORL1	1.976
NAT10	-0.8115
CHD1	-0.7555
SYN3	-0.542
SLC22A2	-0.2705
SERPINF1	0.497666666666667
WDR34	-1.0535
OR7A17	0.3995
C9orf11	-0.401
RNF216L	-0.6118
LHB	0.161
STK25	-0.177625
TAOK3	0.785375
LOC152573	-2.73225
C3orf39	0.308375
C14orf108	0.4789
CDC25B	-0.216545454545455
BMP3	0.519
TMEM180	-0.0765
MAP1LC3C	2.3805
