Hybridization REF	TCGA-AO-A128-01A-11R-A10J-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.62075
CREB3L1	0.64275
RPS11	0.722375
PNMA1	-0.9175
MMP2	-1.07183333333333
C10orf90	-1.9255
ZHX3	-0.4125
ERCC5	-0.0795
GPR98	-1.39675
RXFP3	0.6235
APBB2	-0.33525
PRO0478	-0.73725
KLHL13	-3.562
PRSSL1	-0.00466666666666667
PDCL3	-0.1435
DECR1	0.569875
SALL1	-3.916
CADM4	0.451833333333333
RPS18	-0.453857142857143
HNRPD	-1.38491666666667
CFHR5	-0.39
SLC10A7	0.508375
OR2K2	0.2655
LMAN1	0.114875
SUHW1	-3.0855
CHD8	-0.3815
SUMO1	0.00230000000000001
GP1BA	1.6576
DDB1	-1.08516666666667
MYO9B	0.8003
MMP7	8.11925
CRNKL1	0.121875
C9orf45	-1.978
XAB2	0.299
RTN1	1.781625
KLHL14	0.034
TBX10	-0.674
CENPQ	-1.8175
UTY	-0.895214285714286
ZBTB12	-0.2715
DTNBP1	0.023875
KBTBD8	-0.0273333333333333
ZEB1	-0.0241666666666667
ZG16	-1.19525
MIER1	0.5175
ADAM5P	0.0955
CHD9	-0.182625
STK16	1.56425
KIAA1486	-0.727
TOB2	0.209583333333333
BANK1	3.62025
OR2V2	0.08275
GRM2	0.0546666666666667
PROSC	1.0995
SPIN2B	-0.265
PIR	-0.0655555555555555
IPO9	-0.1807
EVC	0.176
CXCL13	8.1815
KIAA1199	-1.0598
SORL1	0.244
NAT10	-0.76725
CHD1	-0.50325
SYN3	-0.4235
SLC22A2	-0.371
SERPINF1	0.0581666666666667
WDR34	-0.20075
OR7A17	0.245
C9orf11	0.2385
RNF216L	0.0488
LHB	0.0375
STK25	-0.421625
TAOK3	0.829625
LOC152573	0.895
C3orf39	0.14075
C14orf108	0.5964
CDC25B	0.665272727272727
BMP3	0.0345
TMEM180	0.3965
MAP1LC3C	0.22125
CRYGC	-0.379
POU3F1	-1.0127
C20orf32	-0.5515
CCDC95	-0.2585
HIGD1B	1.62475
