Hybridization REF	TCGA-B6-A0X7-01A-11R-A10J-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.301583333333333
CREB3L1	1.2315
RPS11	0.54275
PNMA1	0.30425
MMP2	1.15366666666667
C10orf90	-1.54475
ZHX3	-0.246166666666667
ERCC5	0.60375
GPR98	0.26325
RXFP3	0.0115
APBB2	1.30925
PRO0478	-0.023375
KLHL13	-1.628
PRSSL1	-0.671666666666667
PDCL3	0.0255
DECR1	0.12975
SALL1	-2.8235
CADM4	0.361833333333333
RPS18	0.537714285714286
HNRPD	-0.327583333333333
CFHR5	0.233
SLC10A7	0.33575
OR2K2	0.04
LMAN1	-1.835875
SUHW1	-3.18475
CHD8	0.3038
SUMO1	0.4644
GP1BA	0.2759
DDB1	-0.0893333333333333
MYO9B	-0.3042
MMP7	5.5975
CRNKL1	0.56925
C9orf45	0.636833333333333
XAB2	-0.08225
RTN1	0.642875
KLHL14	-0.694625
TBX10	-0.8475
CENPQ	-1.473
UTY	-0.709714285714286
ZBTB12	0.0755
DTNBP1	0.267875
KBTBD8	-1.78033333333333
ZEB1	1.7395
ZG16	-1.40325
MIER1	0.5535
ADAM5P	0.2405
CHD9	-0.1814375
STK16	0.416
KIAA1486	-0.048
TOB2	0.82825
BANK1	1.4125
OR2V2	0.15075
GRM2	-0.0253333333333333
PROSC	0.372375
SPIN2B	0.0955
PIR	-2.60422222222222
IPO9	0.000499999999999995
EVC	0.9605
CXCL13	1.43166666666667
KIAA1199	-2.7684
SORL1	1.58325
NAT10	-0.36225
CHD1	-0.7835
SYN3	-0.5325
SLC22A2	-0.1135
SERPINF1	0.995833333333334
WDR34	-0.5545
OR7A17	0.0985
C9orf11	0.0755
RNF216L	-0.2831
LHB	-0.192
STK25	-0.199375
TAOK3	1.071
LOC152573	-1.752
C3orf39	0.632
C14orf108	0.0166
CDC25B	-2.29018181818182
BMP3	0.2425
TMEM180	-0.364
MAP1LC3C	1.507
CRYGC	0.014
POU3F1	-1.143
C20orf32	-1.0905
CCDC95	-0.2675
HIGD1B	3.97525
USP6NL	-0.676375
ABCD4	0.0323333333333333
DIMT1L	-0.751333333333333
TEK	1.537375
SLC25A46	-0.83975
LARP7	-0.9085
CD160	0.210166666666667
MT1JP	-0.857666666666667
PHF20	0.136
CPNE4	-1.14925
GTPBP1	-0.189214285714286
RAB33B	0.881833333333333
ALDOC	-2.006125
ZNF212	0.3135
NUDT1	-1.54316666666667
RFPL2	1.042
ZNF83	0.773166666666667
GDPD5	-1.158625
PDCD4	1.9229
CEP350	0.61325
OR10A2	0.13825
CST7	-0.25975
CIAO1	-1.41225
SELL	0.470125
OR8J3	0.053
LTBP4	-0.00783333333333333
SIRT6	-0.1965
CCL19	4.33775
PPIL1	-1.15483333333333
GBP7	0.200666666666667
STK17A	-1.6396
ABR	-0.13425
OR9G1	-0.0305
FOXE1	-0.528125
CNGA3	1.9465
GML	0.0135
CD38	-2.857
ZDHHC6	0.388333333333333
NEFH	0.48825
CTDSP2	0.810583333333333
PGBD5	-0.913333333333333
CCNY	0.599428571428571
RMND5B	0.441083333333333
ZNF257	0.12975
FLJ22167	-0.38975
EXOSC7	-0.290333333333333
ROR2	1.16125
MAOA	0.20925
TNNT3	2.06733333333333
GYPC	-0.6985
C7orf33	0.26
PLIN	4.05366666666667
LOC90826	-0.1505
RNF4	-0.2075
F8A1	0.264333333333333
