Hybridization REF	TCGA-E2-A10B-01A-11R-A10J-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	1.49458333333333
CREB3L1	0.92225
RPS11	0.531875
PNMA1	0.62425
MMP2	0.653166666666667
C10orf90	-1.43075
ZHX3	0.4915
ERCC5	-0.16475
GPR98	-1.677125
RXFP3	0.21
APBB2	2.48775
PRO0478	-0.824
KLHL13	-2.22575
PRSSL1	-0.676666666666667
PDCL3	-0.0361666666666667
DECR1	-0.684875
SALL1	-2.344
CADM4	1.09
RPS18	-0.546785714285714
HNRPD	-0.699333333333333
CFHR5	0.220333333333333
SLC10A7	0.117625
OR2K2	-0.045
LMAN1	-0.430375
SUHW1	-3.133
CHD8	-0.5113
SUMO1	0.213
GP1BA	-0.0752
DDB1	-0.25
MYO9B	0.0799
MMP7	5.7915
CRNKL1	1.236875
C9orf45	-0.616833333333333
XAB2	0.03375
RTN1	1.070875
KLHL14	-1.102125
TBX10	-0.8615
CENPQ	-1.21075
UTY	-0.457571428571429
ZBTB12	-0.1965
DTNBP1	-0.126125
KBTBD8	-1.04216666666667
ZEB1	0.623333333333333
ZG16	-1.38975
MIER1	0.6256
ADAM5P	-0.1125
CHD9	-0.17725
STK16	-0.01275
KIAA1486	-0.1955
TOB2	0.820333333333333
BANK1	1.52275
OR2V2	0.2695
GRM2	0.108833333333333
PROSC	0.021125
SPIN2B	0.27175
PIR	-2.85588888888889
IPO9	-0.0888
EVC	0.6795
CXCL13	2.69116666666667
KIAA1199	0.1865
SORL1	0.893
NAT10	-0.5565
CHD1	0.72675
SYN3	-0.105
SLC22A2	-1.9455
SERPINF1	1.2215
WDR34	-0.27525
OR7A17	-0.00499999999999999
C9orf11	-0.0185
RNF216L	-0.5574
LHB	-0.124
STK25	-0.296625
TAOK3	0.925875
LOC152573	-1.87275
C3orf39	0.734125
C14orf108	0.0919
CDC25B	-1.60209090909091
BMP3	0.2065
TMEM180	0.003
MAP1LC3C	0.12
CRYGC	-0.0175
POU3F1	-1.0111
C20orf32	-0.9315
CCDC95	-0.142
HIGD1B	3.2385
USP6NL	-0.49
ABCD4	-0.566166666666667
DIMT1L	-0.15425
TEK	1.047625
SLC25A46	-0.091
LARP7	-1.413
CD160	0.191666666666667
MT1JP	-0.783666666666667
PHF20	0.2603125
CPNE4	1.536
GTPBP1	-0.172714285714286
RAB33B	0.689333333333333
ALDOC	-3.04
ZNF212	-0.12325
NUDT1	-0.598833333333333
RFPL2	0.187
ZNF83	-0.331666666666667
GDPD5	-0.77425
PDCD4	1.34155
CEP350	-0.08775
OR10A2	-0.0855
CST7	0.66475
CIAO1	-1.1435
SELL	0.705
OR8J3	0.173
LTBP4	-0.396333333333333
SIRT6	0.2175
CCL19	4.0615
PPIL1	-1.068
GBP7	0.083
STK17A	-1.0056
ABR	0.54625
OR9G1	-0.139
FOXE1	-0.51325
CNGA3	1.29
GML	0.1685
CD38	-3.23225
ZDHHC6	-0.8165
NEFH	-1.90825
CTDSP2	0.617916666666667
PGBD5	0.498333333333333
CCNY	0.07
RMND5B	1.04058333333333
ZNF257	-0.436
FLJ22167	0.331
EXOSC7	-0.647333333333333
ROR2	2.343125
MAOA	-0.27175
TNNT3	0.982166666666667
GYPC	-0.973
