Hybridization REF	TCGA-AO-A12B-01A-11R-A10J-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.234666666666667
CREB3L1	1.70725
RPS11	1.22575
PNMA1	0.912
MMP2	-1.4945
C10orf90	-2.40575
ZHX3	-0.62
ERCC5	0.000499999999999994
GPR98	0.343
RXFP3	0.6215
APBB2	2.05575
PRO0478	-1.261125
KLHL13	-3.2175
PRSSL1	-0.751666666666667
PDCL3	0.598833333333333
DECR1	-0.2285
SALL1	-4.20016666666667
CADM4	1.59166666666667
RPS18	0.979785714285714
HNRPD	-0.450916666666667
CFHR5	0.274833333333333
SLC10A7	0.19325
OR2K2	-0.092
LMAN1	0.894375
SUHW1	-3.831
CHD8	-0.9295
SUMO1	0.5431
GP1BA	0.3638
DDB1	-0.1675
MYO9B	-0.6412
MMP7	1.86875
CRNKL1	0.851875
C9orf45	-1.921
XAB2	0.1965
RTN1	0.728142857142857
KLHL14	-1.06325
TBX10	-0.852
CENPQ	-0.32875
UTY	-0.854071428571429
ZBTB12	0.073
DTNBP1	-0.34725
KBTBD8	-2.35166666666667
ZEB1	-0.339166666666667
ZG16	-1.34325
MIER1	0.5354
ADAM5P	-0.1845
CHD9	-0.4499375
STK16	-0.55075
KIAA1486	-0.2015
TOB2	0.590916666666667
BANK1	1.512
OR2V2	0.5665
GRM2	0.194166666666667
PROSC	0.975
SPIN2B	-0.57175
PIR	-2.51344444444444
IPO9	-0.2645
EVC	0.216166666666667
CXCL13	1.12716666666667
KIAA1199	-0.633
SORL1	2.996
NAT10	-0.74
CHD1	-0.24625
SYN3	-0.2935
SLC22A2	-0.65
SERPINF1	-2.21733333333333
WDR34	-0.63225
OR7A17	0.70525
C9orf11	-0.05
RNF216L	-0.5169
LHB	-0.011
STK25	-0.398625
TAOK3	-0.143625
LOC152573	-2.95675
C3orf39	0.96575
C14orf108	0.1729
CDC25B	-1.90772727272727
BMP3	0.2165
TMEM180	0.1245
MAP1LC3C	-0.2785
CRYGC	-0.0925
POU3F1	-0.511
C20orf32	-1.2015
CCDC95	0.022
HIGD1B	4.91375
USP6NL	-0.550625
ABCD4	-0.354833333333333
DIMT1L	-0.386
TEK	0.718
SLC25A46	-0.5
LARP7	-1.3734
CD160	0.748333333333333
MT1JP	-1.043
PHF20	-0.0998125
CPNE4	0.1445
GTPBP1	0.370714285714286
RAB33B	1.56716666666667
ALDOC	-2.20725
ZNF212	-0.158
NUDT1	-0.9765
RFPL2	-1.2915
ZNF83	-0.599833333333333
GDPD5	-2.377875
PDCD4	0.90245
CEP350	-0.27375
OR10A2	0.22075
CST7	-0.4325
CIAO1	-1.361
SELL	0.585625
OR8J3	0.388
LTBP4	0.127666666666667
