Hybridization REF	TCGA-BH-A0B2-11A-11R-A10J-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.0104166666666667
CREB3L1	0.9195
RPS11	1.307
PNMA1	0.62825
MMP2	1.72566666666667
C10orf90	-0.031
ZHX3	0.2845
ERCC5	0.042
GPR98	0.069
RXFP3	0.4175
APBB2	1.10275
PRO0478	-0.78
KLHL13	2.02275
PRSSL1	-0.741833333333333
PDCL3	0.192
DECR1	0.033875
SALL1	-2.26883333333333
CADM4	0.313333333333333
RPS18	0.853285714285714
HNRPD	-0.52075
CFHR5	-0.1654
SLC10A7	0.110375
OR2K2	0.077
LMAN1	-0.700125
SUHW1	-2.81
CHD8	-0.5054
SUMO1	0.2272
GP1BA	0.8895
DDB1	-0.232666666666667
MYO9B	-0.153
MMP7	6.9395
CRNKL1	-0.069375
C9orf45	-0.699
XAB2	-0.106625
RTN1	1.664
KLHL14	-0.699
TBX10	-1.1475
CENPQ	-1.97975
UTY	-0.844384615384615
ZBTB12	-0.379
DTNBP1	-0.059125
KBTBD8	-1.00616666666667
ZEB1	1.90383333333333
ZG16	-1.28975
MIER1	0.7589
ADAM5P	-0.1905
CHD9	0.5025625
STK16	0.479
KIAA1486	-0.377
TOB2	0.949083333333333
BANK1	3.12325
OR2V2	0.20925
GRM2	0.0408333333333333
PROSC	0.377875
SPIN2B	0.04175
PIR	-2.31144444444444
IPO9	-0.5837
EVC	0.8005
CXCL13	5.79083333333333
KIAA1199	-3.2628
SORL1	1.00675
NAT10	-0.52275
CHD1	-0.50725
SYN3	-0.35425
SLC22A2	-0.02025
SERPINF1	1.44666666666667
WDR34	-1.2155
OR7A17	0.1245
C9orf11	0.179
RNF216L	-0.6222
LHB	-0.143
STK25	0.08
TAOK3	0.6755
LOC152573	-1.0345
C3orf39	0.91525
C14orf108	0.1157
CDC25B	-1.88572727272727
BMP3	1.1945
TMEM180	-0.285
MAP1LC3C	2.657
CRYGC	-0.482
POU3F1	-1.269
C20orf32	-1.0545
CCDC95	-0.69
HIGD1B	3.59425
USP6NL	-0.298125
ABCD4	-0.0421666666666667
DIMT1L	-0.261416666666667
TEK	1.666375
SLC25A46	-0.591
LARP7	-1.5101
CD160	0.715166666666667
MT1JP	0.765166666666667
PHF20	-0.239875
CPNE4	-1.284
GTPBP1	-0.230571428571429
RAB33B	1.0245
ALDOC	-1.170375
ZNF212	-0.0425
NUDT1	-1.26533333333333
RFPL2	-0.03925
ZNF83	-0.405
GDPD5	0.054625
PDCD4	2.00215
CEP350	-0.50975
OR10A2	0.06325
CST7	0.51425
CIAO1	-1.178
SELL	1.165
OR8J3	0.4195
LTBP4	0.787166666666666
SIRT6	-0.44725
CCL19	4.25525
PPIL1	-0.991833333333333
GBP7	-0.281
STK17A	-0.8132
ABR	0.5485
OR9G1	0.046
FOXE1	-0.338875
CNGA3	0.3045
GML	0.198
CD38	-1.29225
ZDHHC6	-0.349833333333333
NEFH	-1.86425
CTDSP2	1.06983333333333
PGBD5	-0.775
CCNY	0.651928571428572
RMND5B	-0.0471666666666667
ZNF257	-1.01825
FLJ22167	0.0155
EXOSC7	-0.342333333333333
ROR2	1.932125
MAOA	2.6815
TNNT3	2.3875
GYPC	0.8735
C7orf33	0.0425
PLIN	4.51533333333333
LOC90826	-0.30275
RNF4	-0.2047
F8A1	0.0563333333333333
PLEKHG4	-0.27975
GRB2	-0.22685
HIST1H2AD	-0.9005
DUS3L	-0.7245
EIF1	0.038
RP5-1077B9.4	-0.922333333333333
FPGT	0.688
GDF10	4.06983333333333
COQ9	-0.005
GCC2	0.321785714285714
RARRES3	2.3315
PLXNA1	-0.0157
KIAA0100	-0.3224
PMF1	-0.37775
FNDC1	4.2535
HS2ST1	0.281666666666667
CRELD2	0.30725
C8G	-1.972
CD82	1.48525
LIM2	-1.044
UNQ6490	0.1095
MMP16	1.19825
DRD3	0.113
C5orf26	0.4635
C11orf73	-0.2695
PTP4A2	0.3015
OR4M2	0.1745
HPCA	-1.043
SEC14L1	-0.208833333333333
CHFR	-0.506
EMILIN1	1.580375
NDUFS4	-0.23825
COL18A1	0.6645
PDZD3	-0.0867
C9orf16	0.209166666666667
ERBB2IP	0.230333333333333
EMX2	3.79675
FUS	-1.22425
TF	-1.2564
CLCN4	0.406833333333333
CXorf56	0.35075
C11orf72	-0.0295
ELAC2	-0.439083333333333
NPR1	2.231
ASS1	-0.703166666666667
USP42	-0.07225
POLR2J	-1.0635
SEC23IP	0.314333333333333
UQCRC1	-0.35575
LOC729603	-0.177
C1orf71	-0.591125
POLG	-2.876
ADAM23	-3.5905
TFR2	-1.71925
RICTOR	-0.8537
MGC39606	1.93875
C19orf55	-0.3985
SNAPC1	-1.18433333333333
GNA11	1.19375
CCDC52	-0.92
FSIP1	1.566
UPF3A	-0.21
IGSF11	-1.97183333333333
LAGE3	-0.89825
CHST6	-3.19
UNC13B	0.922375
TTLL4	-0.6615
ZNF687	-0.4065
SDC2	0.7125
COX7A2	-0.94625
LAMB4	-0.18125
FAM24A	-0.314
LRRTM3	-0.9855
GPHB5	0.315
OR4C13	0.164
EIF3EIP	0.650428571428571
HABP4	0.512
TMEM125	2.9045
CNTN2	0.56425
ASNSD1	-0.054
FUT4	0.730625
ACF	-1.93225
LOC158381	-0.0805
CDH8	0.40125
AGPS	-0.756333333333333
C4orf18	3.11975
PECI	0.0546666666666666
UNG	-0.6765
GSTP1	-0.368125
DCUN1D5	-1.32216666666667
DKFZP564J0863	-1.38125
SLC9A3R1	0.247
BCDO2	-0.0265
CHMP7	-0.1595
REM2	0.002
DNHD1	-0.374875
FKBP4	-0.656625
ZNF350	1.36475
MGC11102	-0.43325
BST1	1.701
KISS1R	1.2035
NCR2	0.447
DEFB125	-0.525
UBE2W	0.639875
KRT15	4.03225
C10orf99	0.012
SCN11A	0.254125
GFI1	-2.32675
RDHE2	1.58983333333333
FHL1	1.69483333333333
OSGEP	-0.0908333333333333
GATA1	-3.804
SMC6	-1.5515
TTTY14	-0.91675
LPIN3	0.06775
RPL4	0.5065
RBPMS	0.905
PRPF3	-1.2115
EMR1	-2.345
SPATA19	-0.13975
XCR1	-0.046
IRX3	1.9542
RBM6	-0.40225
KLF4	0.4616
UNC5CL	0.40275
SEBOX	0.051
BTK	-0.7085
KRCC1	1.2025
C6orf27	0.408
SYTL5	-0.52
PRND	1.693125
LOC653319	-1.593
PIGL	-1.90525
HUS1	-0.686166666666667
SFRS6	0.161333333333333
C17orf77	0.0325
UIMC1	-0.515333333333333
FXYD2	-1.7557
LOC283152	0.30975
ZNF667	1.179
ZCCHC12	0.348
TFEC	1.5852
ATP7B	-0.320166666666667
POLD2	-0.9715
RG9MTD1	-0.25525
ACOT2	0.740333333333333
HIST1H4I	-1.272375
PPARGC1A	-0.0454
ETFA	-0.9587
POLRMT	-0.3055
ZNF146	-0.0215
MIA2	1.986
KLHL6	-0.884333333333333
HOXB5	-1.06775
NENF	0.503833333333333
CUGBP1	-0.27875
PRSS22	0.2475
CASC4	1.2134
CUL4B	-0.0106
CENPJ	-1.7513
PITX1	-2.23233333333333
FLJ31033	0.838666666666667
CELSR3	-2.65166666666667
ZNF568	0.303
ITSN1	0.4375
EHBP1L1	-0.536
C19orf2	-0.6685
DCTN1	0.31525
LIN28B	-3.3035
TNKS2	-0.64175
C1QBP	-0.438
CADPS2	1.534
SRMS	0.03525
GJA9	0.218
MGC24975	-1.21116666666667
TRIM45	-0.381666666666667
TSP50	0.223
TCP1	-0.91375
TMED7	0.0928
CMA1	1.472
CENPL	-1.949
PTCRA	0.00649999999999999
FST	-2.503
VWCE	-0.72875
PAWR	-0.15075
ABCC12	0.1895
LDLR	-0.9583
ASTN2	1.3673
LOC441212	-0.56425
GPATCH8	-0.40775
TANC2	-0.94075
KIF4A	-3.44425
C18orf18	-0.711
PGM1	-0.10775
KIAA0258	0.048
CPD	0.031
SNCAIP	0.73575
DCT	-4.26133333333333
HLA-DOA	1.90109090909091
OR11L1	0.1485
UPK1B	-0.0888333333333333
DNAJB4	0.1355
UGT1A8	-0.09075
HIST1H4L	-0.691
PECR	-0.589
HSPA2	1.32375
WFIKKN1	-1.8685
SERP1	0.6385
SYDE2	0.92775
TACR2	0.9275
NUP85	-1.03725
CD177	-0.226333333333333
LGR5	-1.27033333333333
PIGG	-0.288
PTHR1	1.41283333333333
RAB5A	0.1291
FLJ13224	-0.2245
USP9Y	-1.31316666666667
C7orf53	-0.787
LRP1B	0.34275
XAF1	1.7012
ABCG8	-0.3745
ANKDD1A	0.127333333333333
DAND5	-1.5575
SPAG6	0.818166666666667
LINCR	2.7335
ZDHHC22	-1.52775
CCDC60	0.1325
THOC7	-1.3705
TCTA	0.8615
OR8K3	0.28675
NY-REN-7	-0.234
B2M	1.0175
C6orf141	-2.11175
LPPR4	2.70325
SQLE	-2.435875
SEPHS1	-0.503
BTBD14B	0.391714285714286
PLRG1	-0.20075
SPG7	-0.3823125
ZNF614	-0.418833333333333
PARD6G	1.62683333333333
INPP5B	-0.595
GRPEL2	-0.9225
PPID	-0.6627
TRIM56	0.12425
UBE2J1	0.020625
IL20RA	5.18325
LOC387856	0.65425
C1orf107	0.1305
UTS2R	1.3245
C19orf22	-0.18075
SAFB2	0.333875
KIAA0652	0.075625
KLRG1	-0.425333333333333
MS4A8B	0.815166666666667
FRAG1	0.10125
KIAA1546	0.18675
E2F4	-0.9141
CLEC4M	1.74833333333333
BTBD14A	-1.185
KIAA0999	1.5535
GYPA	-3.2005
TAC1	4.9303
TRAIP	-2.22816666666667
KIAA0232	0.3107
ERCC8	-1.187625
GPX4	0.37175
KIAA0368	0.135
GPR157	-0.201
CTAGE4	0.4865
C9orf30	-1.1985
OR52A1	0.1135
HSP90B3P	-0.2375
ALG9	-0.6365
BTBD10	0.14425
SDK2	0.2525
BAIAP3	-0.9355
RABGGTB	-1.122
ANKRD40	-0.222333333333333
KRT74	0.214
CALCOCO2	0.630928571428571
SNCA	-1.55
TMSL8	-2.663125
C2orf53	0.204
ESRRB	-0.35525
ARHGAP26	-0.0705
TDRD9	-0.9685
HRAS	-0.0518333333333333
KLRC4	-2.514
JAGN1	-0.148166666666667
BSDC1	0.26075
RNF43	-0.048
NDUFAF1	0.4535
PHF12	0.11625
OR1L3	0.00300000000000001
FOLR2	2.51108333333333
LYZL6	0.109
tcag7.1260	-1.4025
WSB1	-1.3925
PROS1	1.2174
OSTN	0.0655
PSMB8	0.717
SOCS4	-0.198125
DDIT4L	2.94875
MAS1	0.269
MGC34796	0.34825
CSHL1	0.216333333333333
TBCCD1	0.367
ZBTB7C	-0.0145
AP2S1	-0.659375
P15RS	-0.5179
VAT1	-0.2518
SHANK3	0.971833333333333
TUFM	-0.310833333333333
THEG	-0.1565
KRT34	-1.29925
SGSM3	0.24875
TOMM22	0.032875
SOCS3	1.87283333333333
CPO	0.325
POP4	0.0545
BHLHB3	2.454
MALL	2.08
OR1B1	-0.00700000000000001
