Hybridization REF	TCGA-BH-A0BG-01A-11R-A115-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.0950833333333333
CREB3L1	0.57775
RPS11	1.045625
PNMA1	-0.3715
MMP2	-0.0466666666666666
C10orf90	-0.98875
ZHX3	-1.1825
ERCC5	0.087
GPR98	-1.8775
RXFP3	0.4925
APBB2	0.49625
PRO0478	-0.6525
KLHL13	0.3165
PRSSL1	-0.9195
PDCL3	0.979166666666667
DECR1	-0.1895
SALL1	-4.59783333333333
CADM4	1.14833333333333
RPS18	0.500714285714286
HNRPD	-0.222333333333333
CFHR5	0.337333333333333
SLC10A7	0.319875
OR2K2	0.1285
LMAN1	-0.836875
SUHW1	-1.58225
CHD8	-0.6276
SUMO1	0.7851
GP1BA	1.5842
DDB1	-0.00216666666666667
MYO9B	0.1729
MMP7	6.9125
CRNKL1	0.379
C9orf45	-1.6285
XAB2	-0.23225
RTN1	1.53
KLHL14	-1.2965
TBX10	-1.7195
CENPQ	-1.28975
UTY	-1.69230769230769
ZBTB12	-0.122
DTNBP1	-0.181625
KBTBD8	-0.786666666666667
ZEB1	0.734833333333333
ZG16	-1.75425
MIER1	1.1323
ADAM5P	-1.007
CHD9	0.7383125
STK16	-0.8085
KIAA1486	-0.231
TOB2	1.117
BANK1	4.5135
OR2V2	0.06675
GRM2	0.108
PROSC	0.19775
SPIN2B	-0.05
PIR	0.127222222222222
IPO9	0.1462
EVC	-0.297
CXCL13	6.422
KIAA1199	-1.1963
SORL1	0.796
NAT10	0.091
CHD1	-0.78175
SYN3	-1.023
SLC22A2	-0.8725
SERPINF1	0.193166666666667
WDR34	-0.40975
OR7A17	0.334
C9orf11	-0.2545
RNF216L	-0.6394
LHB	-0.0345
STK25	0.31475
TAOK3	0.372875
LOC152573	-2.4205
C3orf39	-0.32725
C14orf108	-0.2347
CDC25B	-1.47281818181818
BMP3	0.5755
TMEM180	0.101
MAP1LC3C	0.2405
CRYGC	-0.9255
POU3F1	-1.1843
C20orf32	-1.566
CCDC95	-0.145
HIGD1B	3.02025
USP6NL	1.307875
ABCD4	-1.05583333333333
DIMT1L	-0.97075
TEK	0.52775
SLC25A46	-1.05675
LARP7	-0.6582
CD160	0.6685
MT1JP	-0.392833333333333
PHF20	-0.1635625
CPNE4	-1.56775
GTPBP1	-0.0257142857142857
RAB33B	1.36766666666667
