Hybridization REF	TCGA-BH-A0C7-01B-11R-A115-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.4645
CREB3L1	0.7615
RPS11	0.130125
PNMA1	-1.6445
MMP2	0.566666666666667
C10orf90	-2.6765
ZHX3	0.056
ERCC5	1.33825
GPR98	1.3245
RXFP3	0.129
APBB2	1.078
PRO0478	-0.68375
KLHL13	-1.06125
PRSSL1	-0.453666666666667
PDCL3	0.163666666666667
DECR1	-1.028375
SALL1	-2.60033333333333
CADM4	0.779833333333333
RPS18	0.141142857142857
HNRPD	-0.024
CFHR5	0.64
SLC10A7	0.652625
OR2K2	-0.283
LMAN1	-0.797875
SUHW1	-4.12125
CHD8	-0.2688
SUMO1	0.0236
GP1BA	0.962
DDB1	0.0691666666666667
MYO9B	0.1789
MMP7	6.37
CRNKL1	0.552375
C9orf45	-1.19016666666667
XAB2	0.542875
RTN1	1.007625
KLHL14	-1.767125
TBX10	-1.7155
CENPQ	-0.08825
UTY	-1.42385714285714
ZBTB12	-0.071
DTNBP1	0.175875
KBTBD8	-1.92216666666667
ZEB1	1.11616666666667
ZG16	3.5225
MIER1	0.2494
ADAM5P	null
CHD9	0.0759375
STK16	-0.6065
KIAA1486	-0.231
TOB2	-0.0755
BANK1	2.356
OR2V2	0.19725
GRM2	0.0416666666666667
PROSC	0.38425
SPIN2B	0.81725
PIR	-0.912555555555556
IPO9	0.4295
EVC	1.16916666666667
CXCL13	3.72883333333333
KIAA1199	-3.5492
SORL1	0.37
NAT10	-0.4735
CHD1	0.9815
SYN3	-0.1805
SLC22A2	-0.66425
SERPINF1	0.324833333333333
WDR34	0.59675
OR7A17	0.66925
C9orf11	-0.118
RNF216L	-0.9697
LHB	-0.19
STK25	-0.489375
TAOK3	0.520125
LOC152573	-4.18975
C3orf39	0.320625
C14orf108	0.3696
CDC25B	-1.55063636363636
BMP3	0.194
TMEM180	0.5595
MAP1LC3C	1.119
CRYGC	-0.8035
POU3F1	-1.5977
C20orf32	-1.7305
CCDC95	0.036
HIGD1B	3.9975
USP6NL	-1.098625
ABCD4	-1.01166666666667
DIMT1L	-0.520666666666667
TEK	0.99025
SLC25A46	-0.2675
LARP7	-0.8315
CD160	0.254833333333333
MT1JP	0.220666666666667
PHF20	0.00081249999999999
CPNE4	-2.4855
GTPBP1	-0.529071428571429
RAB33B	1.35433333333333
ALDOC	-1.422
ZNF212	0.16025
NUDT1	-0.728333333333333
RFPL2	0.78025
ZNF83	-0.0928333333333333
GDPD5	0.492625
PDCD4	0.99865
CEP350	0.2835
OR10A2	0.28175
CST7	0.726333333333333
CIAO1	-1.18975
SELL	2.248
OR8J3	0.8155
LTBP4	-0.570333333333333
SIRT6	0.215
CCL19	3.94875
PPIL1	-0.290333333333333
GBP7	1.62416666666667
STK17A	-1.5463
ABR	1.0245
OR9G1	0.4295
FOXE1	-0.970625
CNGA3	1.0455
GML	0.0985
CD38	-2.729
ZDHHC6	0.404166666666667
NEFH	0.59175
CTDSP2	0.334666666666667
PGBD5	-1.9465
CCNY	-0.145571428571429
RMND5B	0.642916666666667
ZNF257	-0.01775
FLJ22167	-0.45025
EXOSC7	-1.10716666666667
ROR2	1.304375
MAOA	0.414
TNNT3	0.941666666666667
GYPC	-1.271
C7orf33	0.2285
PLIN	3.50683333333333
LOC90826	0.25075
RNF4	-0.5736
F8A1	0.543333333333333
PLEKHG4	0.16075
GRB2	0.36505
HIST1H2AD	-0.08325
DUS3L	-0.332166666666667
EIF1	0.226666666666667
RP5-1077B9.4	-1.19933333333333
FPGT	1.41375
GDF10	0.0306666666666667
COQ9	-0.2375
GCC2	0.0257142857142857
RARRES3	3.02475
PLXNA1	-0.8084
KIAA0100	-0.2949
PMF1	0.3335
FNDC1	4.85825
HS2ST1	0.0123333333333333
CRELD2	0.17075
C8G	-0.9745
CD82	-0.163
LIM2	-1.5155
UNQ6490	0.3925
MMP16	1.37925
DRD3	0.00125000000000001
C5orf26	-0.52225
C11orf73	-1.160125
PTP4A2	1.7315
OR4M2	0.4665
HPCA	-0.567166666666667
SEC14L1	-0.579666666666667
CHFR	-0.13
EMILIN1	1.236375
NDUFS4	-0.18975
COL18A1	0.950625
PDZD3	-0.2326
C9orf16	0.116833333333333
ERBB2IP	0.2845
EMX2	3.215
FUS	0.09075
TF	-3.4338
CLCN4	0.097
CXorf56	0.88225
C11orf72	0.55725
ELAC2	-0.514416666666667
NPR1	-0.40125
ASS1	-2.71566666666667
USP42	-0.137625
POLR2J	-1.0505
SEC23IP	0.710833333333333
UQCRC1	-0.58425
LOC729603	-0.564
C1orf71	0.11325
POLG	-0.9795
ADAM23	-3.789
TFR2	-1.0225
RICTOR	-0.5995
MGC39606	0.188
C19orf55	-0.275
SNAPC1	-1.42316666666667
GNA11	1.37725
CCDC52	0.9245
FSIP1	5.952
UPF3A	1.413875
IGSF11	-2.41616666666667
LAGE3	0.325
CHST6	-2.322
UNC13B	-0.868625
TTLL4	-1.42875
ZNF687	0.560375
SDC2	-0.4956
COX7A2	0.4145
LAMB4	-0.1875
FAM24A	0.512
LRRTM3	-1.48216666666667
GPHB5	-0.23625
OR4C13	0.17
EIF3EIP	-0.984214285714286
HABP4	-0.667
TMEM125	3.05975
CNTN2	0.174875
ASNSD1	-0.5535
FUT4	-0.084125
ACF	-4.13025
LOC158381	0.3155
CDH8	-0.299666666666667
AGPS	-1.52066666666667
C4orf18	6.4845
PECI	-1.25841666666667
UNG	0.186875
GSTP1	-2.031875
DCUN1D5	-1.03716666666667
DKFZP564J0863	-0.84425
SLC9A3R1	2.707
BCDO2	-0.963125
CHMP7	-0.25
REM2	0.751
DNHD1	-0.986
FKBP4	-0.093875
ZNF350	1.197
MGC11102	0.142125
BST1	2.153
KISS1R	0.657
NCR2	-0.4885
DEFB125	1.0135
UBE2W	1.190375
KRT15	1.474625
C10orf99	-0.0355
SCN11A	-0.236833333333333
GFI1	-1.81875
RDHE2	5.0035
FHL1	-1.13233333333333
OSGEP	-1.20066666666667
GATA1	-3.38816666666667
SMC6	-0.103
TTTY14	-1.352
LPIN3	0.31475
RPL4	-0.911
RBPMS	0.0553
PRPF3	0.151166666666667
EMR1	-2.149
SPATA19	0.072
XCR1	0.0785
IRX3	1.9152
RBM6	-0.99575
KLF4	-0.919
UNC5CL	-0.39025
SEBOX	0.1165
BTK	-0.82325
KRCC1	-0.0805
C6orf27	0.3
SYTL5	1.6805
PRND	3.27775
LOC653319	-1.1115
PIGL	-1.283125
HUS1	-0.599833333333333
SFRS6	0.957
C17orf77	0.675
UIMC1	-0.456666666666667
FXYD2	-2.0649
LOC283152	1.73975
ZNF667	0.0045
ZCCHC12	-0.69175
TFEC	2.9218
ATP7B	0.730333333333333
POLD2	-0.466166666666667
RG9MTD1	-0.0935
ACOT2	-1.794
HIST1H4I	-1.290875
PPARGC1A	-2.336
ETFA	-0.9108
POLRMT	0.1605
ZNF146	0.035875
MIA2	-2.0035
KLHL6	-0.7135
HOXB5	-0.54575
NENF	0.444
CUGBP1	0.07025
PRSS22	1.641
CASC4	1.3166
CUL4B	-0.2472
CENPJ	-1.1901
PITX1	-1.05283333333333
FLJ31033	2.39883333333333
CELSR3	-0.268166666666667
ZNF568	0.518
ITSN1	0.0463333333333333
EHBP1L1	-0.6565
C19orf2	-0.52825
DCTN1	1.014
LIN28B	-3.85383333333333
TNKS2	0.69125
C1QBP	-0.868
CADPS2	1.8375
SRMS	0.051
GJA9	0.383333333333333
MGC24975	-0.5185
TRIM45	0.0311666666666667
TSP50	-0.096
TCP1	-0.5225
TMED7	0.2337
CMA1	1.256
CENPL	0.7775
PTCRA	0.0535
FST	-3.73725
VWCE	-3.85075
PAWR	-0.69675
ABCC12	-0.1476
LDLR	-0.1993
ASTN2	0.4067
LOC441212	-1.028625
GPATCH8	0.16675
TANC2	-0.5405
KIF4A	-0.6725
C18orf18	-2.6865
PGM1	-1.795
KIAA0258	-0.215
CPD	1.95575
SNCAIP	-0.82625
DCT	-4.43883333333333
HLA-DOA	2.55845454545454
OR11L1	0.491
UPK1B	-0.6835
DNAJB4	-0.0455
UGT1A8	-0.438
HIST1H4L	-1.0445
PECR	-1.62033333333333
HSPA2	1.47525
WFIKKN1	-2.6725
SERP1	0.767
SYDE2	4.29975
TACR2	0.4835
NUP85	0.2135
CD177	-0.737666666666667
LGR5	-2.388
PIGG	-0.30975
PTHR1	-0.920333333333333
RAB5A	0.767
FLJ13224	-0.7145
USP9Y	-1.816
C7orf53	-0.94
LRP1B	-0.18825
XAF1	2.8934
ABCG8	-0.338
ANKDD1A	-0.622666666666667
DAND5	0.7945
SPAG6	0.4558
LINCR	0.6615
ZDHHC22	-1.834625
CCDC60	0.109
THOC7	-1.68633333333333
TCTA	1.3654
OR8K3	0.70975
NY-REN-7	-0.7745
B2M	1.67
C6orf141	-1.287125
LPPR4	2.247
SQLE	-0.6775
SEPHS1	-0.64825
BTBD14B	0.283714285714286
PLRG1	-0.13825
SPG7	-0.269625
ZNF614	-0.4575
PARD6G	0.579166666666667
INPP5B	-0.798
GRPEL2	0.335875
PPID	-0.3292
TRIM56	-0.61975
UBE2J1	-0.362
IL20RA	5.61525
LOC387856	0.68275
C1orf107	0.567583333333333
UTS2R	0.09675
C19orf22	0.97025
SAFB2	0.649625
KIAA0652	0.460625
KLRG1	-0.855666666666667
MS4A8B	2.88533333333333
FRAG1	1.1505
KIAA1546	0.04925
E2F4	-0.8415
CLEC4M	0.349833333333333
BTBD14A	-0.4965
KIAA0999	1.0852
GYPA	-4.12933333333333
TAC1	1.1967
TRAIP	-1.44516666666667
KIAA0232	0.3739
ERCC8	-0.92075
GPX4	0.637375
KIAA0368	-0.155125
GPR157	-0.321666666666667
CTAGE4	1.3445
C9orf30	-0.8725
OR52A1	0.147
HSP90B3P	-0.672
ALG9	-0.2229
BTBD10	1.081
SDK2	-0.02725
BAIAP3	1.57225
RABGGTB	-0.674
ANKRD40	0.845166666666667
KRT74	1.144
CALCOCO2	1.49978571428571
SNCA	-3.54125
TMSL8	-3.9665
C2orf53	-0.198
ESRRB	-0.4175
ARHGAP26	-1.99775
TDRD9	-3.4465
HRAS	0.586666666666667
KLRC4	-2.2665
JAGN1	-0.234166666666667
BSDC1	0.589
RNF43	1.1429
NDUFAF1	0.75825
PHF12	0.51525
OR1L3	0.2605
FOLR2	1.66316666666667
LYZL6	0.388833333333333
tcag7.1260	-1.8875
WSB1	-0.365666666666667
PROS1	-0.7949
OSTN	-0.0105
PSMB8	1.31975
SOCS4	-0.083625
DDIT4L	-0.55325
MAS1	-0.498
MGC34796	1.3485
CSHL1	0.0761666666666667
TBCCD1	0.4815
ZBTB7C	0.0895
AP2S1	-0.479875
P15RS	-0.0432
VAT1	-0.012
SHANK3	0.491
TUFM	-0.156
THEG	-0.53175
KRT34	-2.45725
SGSM3	-0.076
TOMM22	-0.480375
SOCS3	1.37166666666667
CPO	-0.1605
POP4	0.301
BHLHB3	0.86
MALL	1.2715
OR1B1	0.3555
PARK2	0.455166666666667
GPR124	0.669375
LCE1E	0.221
RUVBL2	-0.52675
CGRRF1	0.4978
ACPL2	0.1195
WNT10B	-2.1255
BAIAP2L2	-2.37225
ISCA1	0.3335
C1orf125	0.059
RPAP1	-0.59125
RAI16	-0.223666666666667
RPL27	0.037375
NLRP9	0.173
EPN1	0.5235
LOC388610	-2.056875
SLC35A1	0.8744
GAL	-4.345
SLC14A2	0.4205
RDH11	-1.06933333333333
FAM138F	-0.317
AUH	0.783
FLJ40243	0.2325
C14orf129	-0.0288333333333333
MBD2	-0.655666666666667
ABHD14B	0.243375
PIGT	0.56125
ALS2CR4	-0.533
ALAS1	0.1177
FOXO1	1.34
CRLF3	0.508125
C20orf107	0.364
FARS2	0.63725
CCDC28A	1.4845
NPHP3	-1.0455
OR13F1	0.194
TSEN54	0.497
DEFB106B	0.504222222222222
OR8B4	0.591
STH	2.08
ZC3H14	-0.51225
CBX2	-0.0925
TMEM49	0.918
C6orf21	0.419
FLJ20920	1.399
CRTAP	-0.277071428571429
DDX50	0.136
STYXL1	-0.3505
BLVRB	0.659333333333333
LOC147650	-0.578166666666667
MMP24	0.293
GRID1	2.5765
BANF1	-0.4165
CTAGEP	0.373
HMBS	-2.44575
SLC25A24	1.3505
C14orf50	1.50925
MRO	0.931666666666667
SLC25A15	-0.663
FAM84B	0.7055
TDP1	-0.9105
C16orf78	-0.0701666666666667
C11orf57	-0.358125
RFK	0.10825
ZFYVE9	-1.360375
STCH	-0.391
WIBG	0.1475
LOC283871	0.228
GBA2	-0.8325
NDUFB3	-0.785
HSD17B13	-0.6535
GRIN3A	1.32216666666667
FMNL1	-0.421
SEPT7	-0.3376
GNLY	2.9445
GRAMD1C	2.04366666666667
ZNF165	0.99275
USP38	1.6445
FAM83A	-1.11033333333333
C14orf24	1.13591666666667
ARMCX3	0.504875
ARHGDIB	0.117333333333333
AK1	0.582875
KIAA1045	0.15675
DNAJB13	-0.375833333333333
NEU2	0.7285
HIST1H4B	-1.48816666666667
FAM20B	0.2986
HES2	0.489285714285714
FAM73B	-0.3653
LOC388381	-0.28225
INTS7	0.322454545454545
AMPH	2.089
ZNF775	-0.193125
UCKL1	-0.4145
C10orf97	-0.069
C1orf161	0.34375
ALDH1L1	-0.51925
FLJ39378	-0.180375
SLC23A1	-0.995
RBM4B	0.6205
THAP4	0.111166666666667
OGFRL1	0.12075
KIAA0831	0.1585
PPP1R15A	0.416
C1orf96	0.271285714285714
C12orf11	-1.48125
BMF	0.737125
MAN1A1	-0.494125
KIAA1600	1.16616666666667
NLGN4X	-0.81325
ALOX12	-1.63333333333333
RB1CC1	-0.0125
NEIL2	0.2233
EIF4E	0.303045454545455
ABHD5	-0.05775
EXOC4	-0.0831666666666667
CIP29	0.255166666666667
BATF2	1.272
SLC29A4	-0.773125
HTR4	0.18225
EMB	-1.437
TRAF6	0.13075
LMNB1	-0.7635
FAM19A5	-0.683625
SHE	1.66225
PIK3C2B	0.72725
C15orf15	-0.8158
USP15	-0.1611
TCEAL2	1.737
C5orf39	-0.459
PTGER2	-0.75975
SLC31A1	0.1505
IFT172	1.00925
ADAM29	0.262
GFOD1	-0.43625
ST7L	0.5685
C15orf26	-3.541
PKN3	-0.60525
CNTD1	2.8575
COMMD1	-0.12525
NTRK2	2.90416666666667
FOXN3	0.21
MFGE8	-0.1988
PFKFB2	0.407833333333333
TAS2R4	-0.1995
ENTHD1	1.55766666666667
PRMT5	-0.505875
MGC16384	-1.383375
LOC442229	-1.32475
TSKU	2.03275
KRTCAP3	3.333375
PDLIM1	0.547
KCNS2	0.11
RNF126	0.0831666666666667
CEP63	-0.108875
CLIC4	-0.69225
hCG_1990170	-0.26225
ACR	0.2499
KLK7	1.6675
ALOX5AP	2.804875
RIPK3	3.75
TAS2R9	0.1425
C19orf18	1.35
BIRC6	0.270642857142857
ZNF16	0.7735
RFT1	-1.122
SLC8A2	-0.76075
TACC1	-0.14
ITGAD	0.7845
SAMHD1	1.62275
SH3PXD2B	1.5873
EPC2	1.24325
C20orf85	-0.147875
ATP13A2	-0.2505
KRT4	0.09975
CAPNS1	0.08
MDM2	-0.635083333333333
PCDH20	2.70425
KCNK9	0.7505
OR2C1	-0.2955
KLHDC3	-0.573166666666667
IPPK	1.2375
EFHD2	0.359375
GALR3	0.02275
NBEA	1.35083333333333
ABCA6	3.7347
CLDN3	2.365
AKT2	-0.572785714285714
EGFR	-1.659
RBM16	0.559625
ZDHHC3	-0.4448
SLC25A4	0.910833333333333
CYB5B	0.0948333333333333
CPXM1	1.0865
NDRG1	-0.396307692307692
FLJ43826	0.9325
OR5L2	0.0806666666666667
FARP2	0.2618
MRPL46	-0.344666666666667
LDHAL6B	0.0121666666666667
MAPKAPK3	-1.0505
NCAM2	-3.09875
PRKD2	-0.00616666666666667
ZFP36L1	0.7716
CYSLTR1	-0.6915
OR4C3	0.085
HIST1H2AJ	1.862
CCNB2	-1.08666666666667
ZNF10	0.03
TMEM175	0.19
FAM134A	0.595333333333333
TIGD4	-0.4275
PCNP	0.01375
MGC39715	0.2215
LQK1	-0.90225
CREB1	0.5829
TMPRSS3	-1.37275
C4orf32	2.810375
LAT	-1.58391666666667
KCNA3	-0.094
SKIV2L2	-0.5085
ROPN1B	-1.96425
tcag7.23	-0.505
CDT1	-1.192
ZHX2	1.02025
CD28	-3.29775
ZNF624	0.43275
SEPT2	0.1445
SOHLH2	-2.25225
MCOLN3	2.286625
UNQ1945	0.0785
MASP2	-1.7365
ZNRF3	-0.1801
GPATCH3	-0.19675
AGL	1.0785
QRICH2	0.222
PSD4	0.704833333333333
CCNB1IP1	-2.21725
ENPP7	-0.12975
OBFC1	0.2755
KCNG3	-0.6285
C14orf79	0.461333333333333
ENPEP	2.60033333333333
SCT	1.4845
SKI	0.307875
SEC61G	-1.507
CAPN11	1.15575
ATXN7L3	0.596
DBNDD1	0.221833333333333
FAIM	0.39575
ANKRD36	-0.5495
GABRP	2.70483333333333
TACSTD2	1.95233333333333
EIF3J	-0.28925
PPP2R2A	-0.62075
TEKT4	-0.6315
PVALB	-3.855
F10	-2.22416666666667
FAM134C	1.457
COMP	3.55725
EFCBP1	-2.035875
SCLT1	1.081875
TAL1	-1.4073
ACSL1	0.37425
ABCC5	0.786833333333333
ABL1	-0.4505
RBBP7	0.558333333333333
PTPRG	-1.175875
NCOR1	-0.1223
SPINK4	1.08183333333333
TXNRD1	-1.746
TNRC15	0.329
C9orf138	0.66025
UBE2H	0.925666666666667
BRDT	0.526
C8orf31	-0.29675
CCNE2	1.33245454545455
SLC6A8	-1.706625
CALCR	-4.6465
PPP1CB	1.19425
ABHD8	0.832
ARF5	0.0795
SLC24A4	0.382
CCT3	0.198
ZNF121	0.622
SLC3A2	-0.7933
OR13A1	0.38
SLC5A10	0.89225
RAD50	0.355625
IER5	0.7095
MTHFD1L	-2.723125
MBTPS2	0.64225
MVK	-0.486125
NCL	-0.0435
PSMD10	-0.73675
MOBP	0.216125
FLJ32894	-0.0215
HRH1	-0.380833333333333
C5orf30	1.21825
NUDT16L1	0.5737
RASGRP3	3.20133333333333
PRKRIP1	-1.0823
CCDC75	1.22025
LOC253970	0.80175
KIAA1239	1.88925
MED21	-0.81525
SYT11	0.0831666666666666
NTSR2	1.082
EGFL11	-0.089
CXorf59	0.5865
OR2A25	0.10575
SPTBN2	-0.5035
LRMP	-1.69233333333333
RNF111	0.1815
PTH	0.1165
LOC619208	0.722333333333333
KIAA0895	0.94575
RANBP5	-0.521125
P2RY10	0.914166666666667
NME5	2.5785
DDX21	-0.379
LRSAM1	0.803
HDAC11	1.3615
VMO1	1.1245
NOLA2	-0.0961666666666667
ADAR	1.2265
MTO1	-0.645833333333333
SF4	0.685666666666667
P2RX1	0.126166666666667
HBM	-0.10025
EN2	0.0775
C14orf172	-0.2685
TM9SF2	1.4703
INHBE	-1.67383333333333
TCTE3	-0.140166666666667
TOX2	-3.417
CTAGE3	0.73725
HBB	3.408
MED15	-1.08183333333333
CASR	0.510333333333333
C6orf66	-1.11133333333333
MTPN	-0.6035
UNC50	-0.13325
C21orf33	0.121625
IRF2	1.139875
PGR	-2.01833333333333
GPR84	1.2135
CROCCL1	-1.26975
SRPX	-1.15325
BRE	0.209666666666667
FGF10	1.15925
SDC3	0.258333333333333
ZRSR1	0.398666666666667
DKFZP434P211	0.233
SOX6	-0.5005
RPUSD2	-0.60825
C14orf173	-0.186416666666667
MAPK11	-0.7155
TBC1D22A	0.081
FAM123A	-0.9595
COL4A6	-1.15366666666667
TOMM70A	0.54175
NAB1	-1.365125
MGC16385	0.1355
TSPAN18	-0.184333333333333
MED31	-0.842
PLG	-0.6295
CAPSL	0.255
ZNF532	0.9927
ASB14	-0.19925
CA8	0.86675
NUDT16P	2.23933333333333
SLFN11	-1.566
LRRIQ2	0.905375
NOL7	-0.126166666666667
BRMS1L	-0.131125
JARID1A	-0.0523333333333333
PANK2	-0.8255
ICAM3	-0.52225
MDS1	0.99075
TAF8	-0.39625
RNF139	0.9945
ZNF594	0.377166666666667
ADAM8	2.61325
SFTPC	-0.293625
MAN2B2	1.006
RGS12	0.2336875
EIF1AY	-4.8095
LRRIQ1	-1.57783333333333
GPR150	0.1275
CCDC21	-0.262833333333333
PRRG3	0.3445
SAA4	-1.54575
RAPGEF5	0.262625
ZCCHC2	0.129583333333333
MGC39372	2.5365
PPP4R2	0.409833333333333
CDCA2	-1.11516666666667
OR4D5	0.1495
PTGFRN	0.7329
SIGLEC5	0.827666666666667
C19orf61	-0.518166666666667
NMUR2	0.3505
KIAA1586	0.184833333333333
DAGLA	1.286
CHCHD6	-0.6175
GPR32	1.1945
NEUROD6	-0.134666666666667
SLC2A4RG	-0.04825
CA5B	-0.10675
FBXL3	0.53975
MPHOSPH9	-0.732
HMG2L1	0.49825
HCN4	-0.0501666666666667
CEACAM19	0.60825
SH2D4B	0.757333333333333
HFE2	-0.8885
TGM4	0.2928
LYPD2	-0.3515
TBC1D15	-0.265
MRPS21	-1.4744
NONO	-0.8234
CLEC5A	1.522375
ITCH	0.052
MGAT3	-1.19633333333333
MBP	-0.62
RPP25	0.5505
SOSTDC1	-0.278
HRC	-2.0005
TRIM48	-0.00750000000000001
TMEM133	-0.665
ECEL1P2	-2.14125
HOXC11	1.755
DOK5	-1.916
HELZ	0.817833333333333
LOC348180	-0.672
MGC33894	0.1185
ADRB3	-0.392
DMD	-0.0855454545454546
PTRH2	0.22225
MPEG1	2.93916666666667
NDUFA12	-0.321833333333333
KRTAP2-4	-0.33125
STAMBPL1	-0.759
ADCY2	-1.05066666666667
UNQ6125	0.415
KLHL20	1.427
SRM	-1.51775
OTC	-0.2785
TMIE	-0.359166666666667
SNX8	-0.33375
LIPK	0.0945
CHURC1	0.0990833333333333
KLC2	0.480833333333333
HDAC1	-0.0471666666666667
FAM128A	0.789833333333333
FNDC3B	-0.7979
MTCP1	-0.258666666666667
WFDC10B	2.1016
PCDHGB3	0.771
ATRNL1	-2.0059
CAV2	-0.641875
MED26	0.639166666666667
DUS1L	0.57725
CHRM3	-1.850625
NEK9	0.85225
WARS2	-0.40775
TBX22	0.177
TOMM40	-0.79925
RP6-213H19.1	-0.659
TUBGCP5	0.194
IGSF6	4.3925
TPPP	2.40416666666667
UNQ6190	-0.086
GSTM5	0.685875
BTD	0.687833333333333
PDCD1LG2	0.248166666666667
SNRPB2	-0.479333333333333
ERICH1	-0.2975
APOA4	-1.849125
HOXA11	-1.67775
NARG1	0.0925
MKX	-1.71025
RAB28	-0.117214285714286
PKP3	1.438
SH3GL2	-3.48675
CTSO	4.43975
RPN2	-0.3169375
IL28RA	0.358166666666667
SFMBT1	-0.2515
WDR57	0.13625
FER1L3	0.111416666666667
HSF5	-0.0591666666666667
TTC9B	0.7305
C4BPA	-3.33933333333333
ALB	-4.84369230769231
SORBS3	0.271875
UPF2	0.4005
JPH1	-0.1075
AGBL2	1.98625
DOPEY1	1.228
TERF1	-0.184166666666667
KIF22	0.567166666666667
NINJ1	0.12525
