Hybridization REF	TCGA-AO-A12F-01A-11R-A115-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.545916666666667
CREB3L1	0.29875
RPS11	1.049875
PNMA1	-0.24725
MMP2	-0.0553333333333333
C10orf90	-1.78875
ZHX3	-0.142166666666667
ERCC5	-0.96275
GPR98	-1.985
RXFP3	0.947
APBB2	-0.3675
PRO0478	-0.480875
KLHL13	1.096
PRSSL1	-0.9395
PDCL3	0.588166666666667
DECR1	-0.487125
SALL1	-4.58583333333333
CADM4	1.81333333333333
RPS18	0.700142857142857
HNRPD	-1.04058333333333
CFHR5	0.0171666666666667
SLC10A7	-0.2375
OR2K2	-0.337
LMAN1	0.141875
SUHW1	-3.66525
CHD8	-0.0128
SUMO1	1.6232
GP1BA	0.2656
DDB1	0.345666666666667
MYO9B	0.048
MMP7	6.68225
CRNKL1	-0.83525
C9orf45	-1.42533333333333
XAB2	0.137625
RTN1	0.338125
KLHL14	-1.577
TBX10	-1.198
CENPQ	-0.28475
UTY	-1.49435714285714
ZBTB12	0.4165
DTNBP1	-0.164125
KBTBD8	-0.00933333333333333
ZEB1	0.599666666666667
ZG16	-1.02225
MIER1	0.5952
ADAM5P	0.475
CHD9	0.105375
STK16	-0.673
KIAA1486	-0.4705
TOB2	1.09558333333333
BANK1	1.655
OR2V2	0.2555
GRM2	0.0835
PROSC	0.480625
SPIN2B	0.325
PIR	-2.12344444444444
IPO9	0.7663
EVC	0.0651666666666667
CXCL13	2.26516666666667
KIAA1199	1.5548
SORL1	0.24
NAT10	-0.7145
CHD1	-0.72875
SYN3	2.548
SLC22A2	-0.629
SERPINF1	0.621333333333333
WDR34	-1.045
OR7A17	-0.11075
C9orf11	0.0005
RNF216L	-0.2668
LHB	0.414
STK25	-0.191625
TAOK3	0.36
LOC152573	-2.539
C3orf39	0.88475
C14orf108	-0.639
CDC25B	-1.95727272727273
BMP3	-0.454
TMEM180	-0.355
MAP1LC3C	-0.16675
CRYGC	-0.6995
POU3F1	-1.2528
C20orf32	-1.294
CCDC95	-0.0235
HIGD1B	3.8195
USP6NL	1.164
ABCD4	-0.387
DIMT1L	-1.22108333333333
TEK	1.699
SLC25A46	-1.44525
LARP7	-0.6512
CD160	0.1725
MT1JP	0.2435
PHF20	-0.35575
CPNE4	-2.432
GTPBP1	-0.0160714285714286
RAB33B	0.576333333333333
ALDOC	-2.507625
ZNF212	0.7665
NUDT1	-0.0241666666666667
RFPL2	-1.50725
ZNF83	-0.683666666666667
GDPD5	-1.530625
PDCD4	1.4705
CEP350	-0.00725
OR10A2	0.43025
CST7	-1.04
CIAO1	0.0285
SELL	0.438875
OR8J3	0.415
LTBP4	-0.658166666666667
SIRT6	0.191
CCL19	2.75125
PPIL1	-0.821333333333333
GBP7	-0.274833333333333
STK17A	-1.4995
ABR	-0.71475
OR9G1	0.3215
FOXE1	-0.511375
CNGA3	-0.5355
GML	0.158
CD38	-3.08675
ZDHHC6	-0.634833333333333
NEFH	-2.788
CTDSP2	-0.0745833333333333
PGBD5	-1.989
CCNY	0.975785714285714
RMND5B	0.30925
ZNF257	1.384
FLJ22167	0.182625
EXOSC7	0.0461666666666667
ROR2	0.211
MAOA	0.293375
TNNT3	0.497166666666667
GYPC	-0.0325
C7orf33	0.2715
PLIN	3.82316666666667
LOC90826	-0.20625
RNF4	-0.7487
F8A1	0.738
PLEKHG4	-3.5155
GRB2	-0.12305
HIST1H2AD	0.96975
DUS3L	-1.15166666666667
EIF1	-1.15
RP5-1077B9.4	-0.336833333333333
FPGT	0.301
GDF10	-0.494666666666667
COQ9	-0.23375
GCC2	0.474928571428571
RARRES3	-0.51425
PLXNA1	-0.4427
KIAA0100	0.0899
PMF1	0.21825
FNDC1	5.9275
HS2ST1	0.621166666666667
CRELD2	0.861
C8G	-0.9225
CD82	0.1615
LIM2	-1.0855
UNQ6490	0.2045
MMP16	2.7365
DRD3	-0.1095
C5orf26	-1.463
C11orf73	-0.850125
PTP4A2	-0.3195
OR4M2	0.7115
HPCA	-1.22166666666667
SEC14L1	-0.369333333333333
CHFR	0.376875
EMILIN1	0.96275
NDUFS4	-1.7035
COL18A1	0.358875
PDZD3	-0.2236
C9orf16	0.604
ERBB2IP	-0.267333333333333
EMX2	2.37575
FUS	-1.0525
TF	-3.2755
CLCN4	-0.473333333333333
CXorf56	0.7445
C11orf72	0.38475
ELAC2	-0.1065
NPR1	0.2025
ASS1	-1.623
USP42	0.5845
POLR2J	0.516
SEC23IP	-0.5885
UQCRC1	-0.30325
LOC729603	-0.67975
C1orf71	0.6645
POLG	-1.651
ADAM23	-3.4005
TFR2	-0.7495
RICTOR	-1.1773
MGC39606	1.133
C19orf55	0.415
SNAPC1	0.0316666666666667
GNA11	0.755
CCDC52	-0.0876666666666667
FSIP1	-0.872
UPF3A	-1.078625
IGSF11	-2.48966666666667
LAGE3	-0.07025
CHST6	-0.1985
UNC13B	-0.00312500000000001
TTLL4	0.75425
ZNF687	0.826625
SDC2	-0.7856
COX7A2	0.19275
LAMB4	-0.10725
FAM24A	-0.388
LRRTM3	-1.28083333333333
GPHB5	0.6295
OR4C13	-0.06
EIF3EIP	0.557714285714285
HABP4	-0.543
TMEM125	2.09225
CNTN2	0.086625
ASNSD1	0.17025
FUT4	0.093625
ACF	-3.30325
LOC158381	-0.3605
CDH8	-0.0215
AGPS	0.119
C4orf18	1.68125
PECI	-0.237333333333333
UNG	0.07575
GSTP1	2.52
DCUN1D5	-1.26216666666667
DKFZP564J0863	-0.3005
SLC9A3R1	-0.216125
BCDO2	-1.52825
CHMP7	-0.41675
REM2	0.5935
DNHD1	-0.637875
FKBP4	-0.241875
ZNF350	1.25175
MGC11102	-0.1495
BST1	3.05275
KISS1R	1.8385
NCR2	0.524
DEFB125	0.0205
UBE2W	1.147625
KRT15	2.40975
C10orf99	0.6845
SCN11A	-0.230625
GFI1	-3.379
RDHE2	-0.9
FHL1	-0.2455
OSGEP	0.189333333333333
GATA1	-2.66233333333333
SMC6	-0.6125
TTTY14	-0.8165
LPIN3	-0.0255
RPL4	-0.7802
RBPMS	0.529
PRPF3	-0.201333333333333
EMR1	-2.8065
SPATA19	-0.27075
XCR1	0.3075
IRX3	1.8786
RBM6	-0.006
KLF4	-1.412
UNC5CL	-2.53575
SEBOX	0.2785
BTK	-1.81725
KRCC1	0.5
C6orf27	0.7245
SYTL5	-1.5525
PRND	2.346375
LOC653319	-0.5755
PIGL	-0.98425
HUS1	-0.572333333333333
SFRS6	1.61575
C17orf77	0.3305
UIMC1	-0.745333333333333
FXYD2	-1.5796
LOC283152	-0.8345
ZNF667	1.45225
ZCCHC12	-0.37925
TFEC	1.3591
ATP7B	-1.90183333333333
POLD2	-0.777
RG9MTD1	0.06925
ACOT2	-0.549
HIST1H4I	0.21325
PPARGC1A	-1.8082
ETFA	-1.8167
POLRMT	-0.6345
ZNF146	0.769
MIA2	-1.663
KLHL6	-1.5445
HOXB5	-1.5735
NENF	1.85933333333333
CUGBP1	1.1895
PRSS22	2.29
CASC4	1.3102
CUL4B	-0.1939
CENPJ	-0.0617
PITX1	-2.0435
FLJ31033	-0.498
CELSR3	-1.70566666666667
ZNF568	0.715
ITSN1	-0.528583333333333
EHBP1L1	-0.4845
C19orf2	0.41125
DCTN1	0.104
LIN28B	-3.8685
TNKS2	-0.523
C1QBP	0.266625
CADPS2	-0.77925
SRMS	0.3805
GJA9	0.419
MGC24975	0.958166666666667
TRIM45	-1.33066666666667
TSP50	-0.2245
TCP1	0.124
TMED7	-0.7033
CMA1	0.657
CENPL	-0.290333333333333
PTCRA	-0.213
FST	-2.48
VWCE	-3.5995
PAWR	1.0755
ABCC12	-0.1235
LDLR	-0.4745
ASTN2	2.276
LOC441212	-0.475375
GPATCH8	0.37525
TANC2	-0.243416666666667
KIF4A	-1.147
C18orf18	-1.59125
PGM1	-0.6975
KIAA0258	1.34525
CPD	0.4025
SNCAIP	-1.15175
DCT	-3.75916666666667
HLA-DOA	1.61472727272727
OR11L1	0.5495
UPK1B	-0.604
