Hybridization REF	TCGA-C8-A131-01A-11R-A115-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.288083333333333
CREB3L1	1.1395
RPS11	0.892
PNMA1	-0.5755
MMP2	1.1945
C10orf90	-1.8345
ZHX3	0.1135
ERCC5	0.207
GPR98	-0.932625
RXFP3	0.62
APBB2	1.82175
PRO0478	-0.603375
KLHL13	-3.66925
PRSSL1	-0.7025
PDCL3	0.958
DECR1	0.153625
SALL1	-3.24966666666667
CADM4	1.83433333333333
RPS18	0.112357142857143
HNRPD	-0.684583333333333
CFHR5	0.615
SLC10A7	0.385875
OR2K2	0.148
LMAN1	-0.587
SUHW1	-3.225
CHD8	0.5379
SUMO1	1.4309
GP1BA	0.3135
DDB1	0.111666666666667
MYO9B	0.1879
MMP7	5.15825
CRNKL1	0.018875
C9orf45	-1.81133333333333
XAB2	0.260125
RTN1	0.305625
KLHL14	-1.619625
TBX10	-1.141
CENPQ	-1.723
UTY	-1.30528571428571
ZBTB12	0.2155
DTNBP1	-0.36725
KBTBD8	-2.00133333333333
ZEB1	1.07716666666667
ZG16	1.403
MIER1	0.9944
ADAM5P	-0.6915
CHD9	0.9003125
STK16	0.65525
KIAA1486	-0.6515
TOB2	0.649666666666667
BANK1	2.22825
OR2V2	0.4
GRM2	0.229666666666667
PROSC	-0.56375
SPIN2B	0.21075
PIR	-2.275
IPO9	0.3784
EVC	1.19166666666667
CXCL13	3.39083333333333
KIAA1199	0.2456
SORL1	1.0005
NAT10	-0.591
CHD1	-1.17525
SYN3	-0.41325
SLC22A2	-0.1995
SERPINF1	0.875166666666667
WDR34	0.04
OR7A17	0.488
C9orf11	-0.374
RNF216L	-0.2549
LHB	0.4685
STK25	0.004625
TAOK3	0.288
LOC152573	5.2495
C3orf39	0.11425
C14orf108	-0.4531
CDC25B	0.673
BMP3	3.144
TMEM180	0.2545
MAP1LC3C	-0.27
CRYGC	-0.752
POU3F1	-0.9743
C20orf32	-1.239
CCDC95	0.0745
HIGD1B	3.4205
USP6NL	1.80475
ABCD4	-0.412166666666667
DIMT1L	-1.887
TEK	0.77525
SLC25A46	-1.6215
LARP7	-0.2953
CD160	0.0655
MT1JP	1.43083333333333
PHF20	0.2639375
CPNE4	2.83275
GTPBP1	-0.0540714285714286
RAB33B	0.414666666666667
ALDOC	-1.92875
ZNF212	-0.20275
NUDT1	0.034
RFPL2	-1.1215
ZNF83	-0.919833333333333
GDPD5	-0.83425
PDCD4	1.1449
CEP350	0.06975
OR10A2	0.22325
CST7	1.00675
CIAO1	-0.0875
SELL	0.68525
OR8J3	0.084
LTBP4	-0.436166666666667
SIRT6	0.4655
CCL19	3.04825
PPIL1	-0.831833333333333
GBP7	-0.231166666666667
STK17A	-0.3046
ABR	0.199
OR9G1	-0.278
FOXE1	-0.924375
CNGA3	0.326
GML	0.431
CD38	0.12025
ZDHHC6	-0.0568333333333333
NEFH	-2.4645
CTDSP2	0.05475
PGBD5	1.70133333333333
CCNY	1.12521428571429
RMND5B	-0.42675
ZNF257	-1.54125
FLJ22167	-0.472625
EXOSC7	-0.349
ROR2	0.610375
MAOA	-0.032
TNNT3	0.000166666666666667
GYPC	-0.819
C7orf33	1.109
PLIN	0.227333333333333
LOC90826	-0.55925
RNF4	0.0316
F8A1	0.2095
PLEKHG4	-2.7005
GRB2	-0.3512
HIST1H2AD	1.1295
DUS3L	-1.30416666666667
EIF1	-0.348
RP5-1077B9.4	-0.8245
FPGT	0.227
GDF10	-2.17916666666667
COQ9	0.50575
GCC2	-0.0287142857142857
RARRES3	1.44625
PLXNA1	-0.0236
KIAA0100	-0.4558
PMF1	0.68225
FNDC1	4.60875
HS2ST1	-0.0676666666666666
CRELD2	1.12925
C8G	-0.836
CD82	1.64075
LIM2	-0.986
UNQ6490	-0.4475
MMP16	0.07675
DRD3	0.01925
C5orf26	-1.84475
C11orf73	-0.32675
PTP4A2	0.72725
OR4M2	0.561
HPCA	-0.53
SEC14L1	-0.348833333333333
CHFR	0.089625
EMILIN1	1.155
NDUFS4	-1.05575
COL18A1	0.199375
PDZD3	0.0597
C9orf16	0.812666666666667
ERBB2IP	-0.286666666666667
EMX2	3.96925
FUS	-0.8465
TF	-2.092
CLCN4	0.547833333333333
CXorf56	-0.14975
C11orf72	0.52625
ELAC2	-0.6825
NPR1	-0.50325
ASS1	-0.818333333333333
USP42	0.384
POLR2J	-0.145
SEC23IP	0.593166666666667
UQCRC1	-0.0905
LOC729603	-0.2975
C1orf71	-0.078375
POLG	-1.704
ADAM23	-2.51875
TFR2	-1.07625
RICTOR	-0.0428
MGC39606	0.34125
C19orf55	-0.038375
SNAPC1	0.116666666666667
GNA11	0.91775
CCDC52	-0.118833333333333
FSIP1	0.68
UPF3A	-0.25075
IGSF11	-1.94333333333333
LAGE3	0.44575
CHST6	1.9625
UNC13B	-0.321875
TTLL4	0.6875
ZNF687	0.173625
SDC2	0.5444
COX7A2	-0.59475
LAMB4	-0.3575
FAM24A	0.135
