Hybridization REF	TCGA-E2-A14R-01A-11R-A115-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-1.07466666666667
CREB3L1	-0.318
RPS11	0.477375
PNMA1	-1.40525
MMP2	-1.02233333333333
C10orf90	0.919
ZHX3	-0.750166666666667
ERCC5	1.03675
GPR98	-2.036375
RXFP3	0.587
APBB2	-0.222
PRO0478	-0.704125
KLHL13	-0.5365
PRSSL1	-0.751833333333333
PDCL3	1.087
DECR1	-0.181375
SALL1	-5.65433333333333
CADM4	0.949166666666667
RPS18	0.755285714285714
HNRPD	-0.196083333333333
CFHR5	0.909
SLC10A7	-0.062
OR2K2	-0.731
LMAN1	-0.357625
SUHW1	-3.19225
CHD8	0.6304
SUMO1	-0.0248
GP1BA	1.6442
DDB1	-0.4755
MYO9B	0.242
MMP7	5.52575
CRNKL1	0.446875
C9orf45	-1.564
XAB2	0.52875
RTN1	0.979125
KLHL14	-1.571
TBX10	-1.1795
CENPQ	-1.68725
UTY	-2.0405
ZBTB12	-0.306
DTNBP1	0.034375
KBTBD8	-1.5315
ZEB1	-0.0315
ZG16	-1.016
MIER1	1.5706
ADAM5P	0.311
CHD9	-0.091125
STK16	-0.05525
KIAA1486	-0.174
TOB2	0.628166666666667
BANK1	3.32925
OR2V2	-0.01075
GRM2	0.221666666666667
PROSC	0.025625
SPIN2B	-0.71975
PIR	-1.60833333333333
IPO9	0.5165
EVC	-0.1725
CXCL13	6.73
KIAA1199	-1.92411111111111
SORL1	1.60525
NAT10	-1.03275
CHD1	-0.444
SYN3	-0.05525
SLC22A2	-0.15925
SERPINF1	-0.3115
WDR34	-0.141
OR7A17	0.165
C9orf11	0.8215
RNF216L	-0.075
LHB	0.062
STK25	-0.950375
TAOK3	0.480625
LOC152573	-3.919
C3orf39	-0.154875
C14orf108	0.0339
CDC25B	-0.957363636363636
BMP3	-0.471
TMEM180	-0.188
MAP1LC3C	-0.257
CRYGC	-0.754
POU3F1	-0.9678
C20orf32	-0.6825
CCDC95	-0.265
HIGD1B	2.408
USP6NL	1.058875
ABCD4	-1.4305
DIMT1L	-0.732333333333333
TEK	0.283375
SLC25A46	-0.8845
LARP7	-0.0228000000000001
CD160	0.329
MT1JP	1.49816666666667
PHF20	0.3278125
CPNE4	1.50675
GTPBP1	0.1795
RAB33B	0.962833333333333
ALDOC	-1.08825
ZNF212	0.1345
NUDT1	-0.025
RFPL2	-1.45425
ZNF83	-0.0478333333333333
GDPD5	-0.079875
PDCD4	0.3798
CEP350	0.21625
OR10A2	0.28275
CST7	1.6735
CIAO1	0.01225
SELL	1.529625
OR8J3	0.498
LTBP4	-0.254666666666667
SIRT6	-0.2055
CCL19	3.80425
PPIL1	-0.5175
GBP7	1.82
STK17A	-1.3194
ABR	-0.4765
OR9G1	0.352
FOXE1	-0.915
CNGA3	0.1315
GML	0.566
CD38	1.723
ZDHHC6	-0.111666666666667
NEFH	-2.41525
CTDSP2	-0.587666666666667
PGBD5	0.4955
CCNY	0.487357142857143
RMND5B	-0.611666666666667
ZNF257	-0.9185
FLJ22167	-0.046125
EXOSC7	-0.641166666666667
ROR2	-0.4215
MAOA	-1.139875
TNNT3	0.306333333333333
GYPC	-1.14675
C7orf33	2.6535
PLIN	-0.389
LOC90826	-0.28125
RNF4	-1.1268
F8A1	0.762833333333333
PLEKHG4	-0.40375
GRB2	-0.16365
HIST1H2AD	0.8895
DUS3L	-0.572
EIF1	-0.486166666666667
RP5-1077B9.4	-0.776
FPGT	1.41625
GDF10	1.08266666666667
COQ9	0.1315
GCC2	0.0209999999999999
RARRES3	2.56375
PLXNA1	-0.7747
KIAA0100	-0.6186
PMF1	0.0625
FNDC1	4.65975
HS2ST1	0.118166666666667
CRELD2	0.46525
C8G	-0.3195
CD82	1.62275
LIM2	-0.9175
UNQ6490	0.16
MMP16	-0.67475
DRD3	-0.00599999999999998
C5orf26	-0.8775
C11orf73	0.6275
PTP4A2	-0.011875
OR4M2	0.4585
HPCA	-0.615166666666667
SEC14L1	0.0851666666666667
CHFR	-0.154625
EMILIN1	0.921375
NDUFS4	-0.0775
COL18A1	-0.734375
PDZD3	-0.2945
C9orf16	0.243166666666667
ERBB2IP	-0.236166666666667
EMX2	2.29825
FUS	-0.968
TF	-2.1876
CLCN4	-0.00383333333333332
CXorf56	0.7665
C11orf72	1.0865
ELAC2	-0.471583333333333
NPR1	-1.276
ASS1	-0.228
USP42	0.625125
POLR2J	0.0775
SEC23IP	0.0651666666666667
UQCRC1	-0.4675
LOC729603	-0.82725
C1orf71	0.0235
POLG	-1.087
ADAM23	-2.89525
TFR2	-1.0445
RICTOR	-1.0274
MGC39606	1.448
C19orf55	-0.07675
SNAPC1	-0.405
GNA11	0.316375
CCDC52	0.363
FSIP1	-1.4175
UPF3A	0.34775
IGSF11	-1.74816666666667
LAGE3	0.32825
CHST6	-0.7345
UNC13B	0.24525
TTLL4	-0.076125
ZNF687	0.518875
SDC2	-0.7631
COX7A2	0.286
LAMB4	1.74775
FAM24A	-0.17
LRRTM3	-1.00566666666667
GPHB5	1.3905
OR4C13	0.2165
EIF3EIP	1.05364285714286
HABP4	-0.3185
TMEM125	3.4815
CNTN2	-0.36925
ASNSD1	-0.085
FUT4	-0.122875
ACF	-2.51925
LOC158381	-0.0575
CDH8	0.07175
AGPS	-0.514166666666667
C4orf18	0.42475
PECI	-1.44283333333333
UNG	-0.00162500000000002
GSTP1	0.372375
DCUN1D5	-1.55266666666667
DKFZP564J0863	-0.09775
SLC9A3R1	0.0475
BCDO2	0.729375
CHMP7	-0.437375
REM2	-0.1335
DNHD1	-1.09975
FKBP4	-0.461125
ZNF350	1.498
MGC11102	-0.292375
BST1	1.60475
KISS1R	-0.261
NCR2	0.5995
DEFB125	0.322
UBE2W	0.818
KRT15	2.65875
C10orf99	0.3615
SCN11A	0.2085
GFI1	-0.77225
RDHE2	-0.768333333333333
FHL1	-2.32216666666667
OSGEP	0.257666666666667
GATA1	-2.25666666666667
SMC6	0.18275
TTTY14	-0.8915
LPIN3	0.101
RPL4	-0.2043
RBPMS	0.3842
PRPF3	1.13133333333333
EMR1	-2.4275
SPATA19	-0.0875
XCR1	0.668
IRX3	0.6983
RBM6	-1.13125
KLF4	-1.3246
UNC5CL	-0.972
SEBOX	0.028
BTK	-0.5465
KRCC1	0.88275
C6orf27	0.309
SYTL5	-1.8735
PRND	0.949142857142857
LOC653319	-0.885
PIGL	-0.5925
HUS1	0.606166666666667
SFRS6	-1.16083333333333
C17orf77	-0.119
UIMC1	-1.19633333333333
FXYD2	-0.9698
LOC283152	1.3865
ZNF667	1.41925
ZCCHC12	-0.943
TFEC	4.3295
ATP7B	-0.9875
POLD2	-0.612333333333333
RG9MTD1	-0.18375
ACOT2	-1.01566666666667
HIST1H4I	-0.244375
PPARGC1A	-2.6695
ETFA	-1.8864
POLRMT	-0.33525
ZNF146	0.794625
MIA2	-1.947
KLHL6	0.532
HOXB5	-1.50175
NENF	0.376833333333333
CUGBP1	-0.46475
PRSS22	2.13816666666667
CASC4	1.3952
CUL4B	0.8262
CENPJ	-0.8867
PITX1	1.09333333333333
FLJ31033	0.0655
CELSR3	-1.14283333333333
ZNF568	1.37625
ITSN1	-0.996583333333333
EHBP1L1	-1.07316666666667
C19orf2	0.45275
DCTN1	-0.17025
LIN28B	-3.78616666666667
TNKS2	-0.43975
C1QBP	-0.1605
CADPS2	-1.129
SRMS	0.06425
GJA9	0.362833333333333
MGC24975	-0.2025
TRIM45	-0.281833333333333
TSP50	0.41325
TCP1	-0.2235
TMED7	-0.3983
CMA1	0.391
CENPL	-0.405666666666667
PTCRA	0.5855
FST	-3.22875
VWCE	-3.16725
PAWR	0.483
ABCC12	0.133833333333333
LDLR	-0.7974
ASTN2	-0.6893
LOC441212	-0.1965
GPATCH8	0.36325
TANC2	-1.70983333333333
KIF4A	-1.32175
C18orf18	0.06775
PGM1	-0.469
KIAA0258	0.34975
CPD	-0.77925
SNCAIP	-2.692
DCT	-3.332
HLA-DOA	3.11040909090909
OR11L1	1.0145
UPK1B	-0.239666666666667
DNAJB4	-0.1975
UGT1A8	-0.0955
HIST1H4L	0.1755
PECR	-1.20833333333333
HSPA2	1.54325
WFIKKN1	-1.9655
SERP1	0.3855
SYDE2	2.2525
TACR2	1.2675
NUP85	-0.24225
CD177	-0.0095
LGR5	-2.0505
PIGG	-1.48391666666667
PTHR1	-2.193
RAB5A	1.3259
FLJ13224	0.3985
USP9Y	-2.2785
C7orf53	1.423
LRP1B	-1.8975
XAF1	3.1169
ABCG8	-0.9365
ANKDD1A	0.7595
DAND5	0.066
SPAG6	0.208333333333333
LINCR	1.48875
ZDHHC22	-1.13525
CCDC60	-0.0895
THOC7	-0.904666666666667
TCTA	0.3454
OR8K3	0.01325
NY-REN-7	-0.35625
B2M	1.67866666666667
C6orf141	-0.323875
LPPR4	2.641
SQLE	0.829375
SEPHS1	0.2885
BTBD14B	0.181214285714286
PLRG1	-0.85475
SPG7	-0.7696875
ZNF614	-0.00449999999999999
PARD6G	-0.565833333333333
INPP5B	-0.2866
GRPEL2	0.539875
PPID	-0.8146
TRIM56	-0.40925
UBE2J1	0.785125
IL20RA	3.06
LOC387856	-0.5885
C1orf107	0.172416666666667
UTS2R	-0.48475
C19orf22	0.34075
SAFB2	-0.097125
KIAA0652	-1.217125
KLRG1	-0.760833333333333
MS4A8B	-0.279
FRAG1	0.839
KIAA1546	1.24175
E2F4	-1.0355
CLEC4M	0.1765
BTBD14A	-1.2335
KIAA0999	0.726
GYPA	-3.51733333333333
TAC1	-0.4973
TRAIP	-0.780333333333333
KIAA0232	-0.8816
