Hybridization REF	TCGA-BH-A0BL-01A-11R-A115-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.4615
CREB3L1	0.64925
RPS11	0.410125
PNMA1	0.19
MMP2	1.1205
C10orf90	-0.37
ZHX3	-0.5225
ERCC5	0.06825
GPR98	-1.9085
RXFP3	0.2475
APBB2	0.8
PRO0478	-0.50775
KLHL13	0.14825
PRSSL1	-0.7945
PDCL3	0.827666666666667
DECR1	0.80025
SALL1	-3.41083333333333
CADM4	1.173
RPS18	0.0482142857142857
HNRPD	-0.707666666666666
CFHR5	0.490333333333333
SLC10A7	0.077375
OR2K2	-0.8615
LMAN1	0.103375
SUHW1	-2.61175
CHD8	0.1471
SUMO1	1.0039
GP1BA	1.5746
DDB1	-0.470166666666667
MYO9B	-0.0397
MMP7	5.3335
CRNKL1	0.347
C9orf45	-1.30316666666667
XAB2	-0.351875
RTN1	1.53675
KLHL14	-1.3465
TBX10	-1.5045
CENPQ	-1.275
UTY	-1.22971428571429
ZBTB12	-0.463
DTNBP1	0.533875
KBTBD8	0.110833333333333
ZEB1	1.90683333333333
ZG16	-1.0895
MIER1	0.7249
ADAM5P	0.057
CHD9	0.775125
STK16	-0.45
KIAA1486	-0.6845
TOB2	0.60325
BANK1	3.8405
OR2V2	0.07425
GRM2	0.0396666666666667
PROSC	-0.050375
SPIN2B	0.11625
PIR	-1.26088888888889
IPO9	-0.3233
EVC	1.2305
CXCL13	6.40966666666667
KIAA1199	0.3655
SORL1	0.48625
NAT10	-0.65325
CHD1	-0.5105
SYN3	-0.467
SLC22A2	-0.06775
SERPINF1	1.6975
WDR34	-0.57375
OR7A17	-0.063
C9orf11	0.1115
RNF216L	-0.335
LHB	-0.065
STK25	-0.3425
TAOK3	0.4315
LOC152573	-2.441
C3orf39	0.771125
C14orf108	0.5281
CDC25B	-0.591818181818182
BMP3	0.2815
TMEM180	-0.0385
MAP1LC3C	1.2405
CRYGC	-1.247
POU3F1	-1.1577
C20orf32	-1.501
CCDC95	-0.199
HIGD1B	3.443
USP6NL	1.3285
ABCD4	-0.387333333333333
DIMT1L	-0.803416666666667
TEK	1.1825
SLC25A46	-0.4965
LARP7	-0.7831
CD160	1.10083333333333
MT1JP	0.299166666666667
PHF20	-0.589625
CPNE4	-1.77875
GTPBP1	-0.302642857142857
RAB33B	1.03183333333333
ALDOC	-1.89025
ZNF212	0.153
NUDT1	-0.600166666666667
RFPL2	-1.17775
ZNF83	-0.415833333333333
GDPD5	-0.1845
PDCD4	0.3343
CEP350	0.294
OR10A2	0.2455
CST7	2.00175
CIAO1	-0.393
SELL	2.152375
OR8J3	0.082
LTBP4	-0.559
SIRT6	-0.4855
CCL19	3.29575
PPIL1	-0.0768333333333333
GBP7	-0.337166666666667
STK17A	-0.1977
ABR	0.35675
OR9G1	0.0135
FOXE1	-0.98975
CNGA3	0.868
GML	0.194
CD38	0.067
ZDHHC6	-0.545333333333333
NEFH	-1.09475
CTDSP2	0.34025
PGBD5	1.482
CCNY	0.844071428571428
RMND5B	-0.256666666666667
ZNF257	-1.19375
FLJ22167	0.18725
EXOSC7	-0.449
ROR2	0.83925
MAOA	1.013625
TNNT3	1.87333333333333
GYPC	0.2215
C7orf33	0.1555
PLIN	3.0855
LOC90826	0.50375
RNF4	-0.2324
F8A1	0.733333333333333
PLEKHG4	-1.493
GRB2	-0.03605
HIST1H2AD	-0.78775
DUS3L	-0.948666666666667
EIF1	0.008
RP5-1077B9.4	-0.876666666666667
FPGT	0.57075
GDF10	1.16066666666667
COQ9	0.05125
GCC2	0.660785714285714
RARRES3	2.08875
PLXNA1	0.5409
KIAA0100	-0.3187
PMF1	0.38325
FNDC1	4.06575
HS2ST1	-0.28725
CRELD2	0.43975
C8G	-1.4305
CD82	1.36275
LIM2	-1.1635
UNQ6490	-0.369
MMP16	-0.352
DRD3	-0.1655
C5orf26	-1.2805
C11orf73	0.04125
PTP4A2	0.360375
OR4M2	0.1295
HPCA	-0.8925
SEC14L1	0.069
CHFR	0.069875
EMILIN1	1.3575
NDUFS4	-0.101
COL18A1	0.762625
PDZD3	-0.2595
C9orf16	-0.130333333333333
ERBB2IP	0.0468333333333333
EMX2	4.09875
FUS	-0.4085
TF	-1.709
CLCN4	1.419
CXorf56	0.672
C11orf72	0.34025
ELAC2	-0.355333333333333
NPR1	0.4935
ASS1	-0.395666666666667
USP42	0.097625
POLR2J	0.0415
SEC23IP	0.6685
UQCRC1	-0.384
LOC729603	-0.626
C1orf71	-0.368125
POLG	-1.7525
ADAM23	-2.66925
TFR2	-1.51375
RICTOR	-0.7534
MGC39606	2.00875
C19orf55	-0.24925
SNAPC1	-0.5195
GNA11	0.47825
CCDC52	-0.273666666666667
FSIP1	-0.8795
UPF3A	-0.706875
IGSF11	-1.6695
LAGE3	-0.036
CHST6	-0.163
UNC13B	-0.436875
TTLL4	0.30475
ZNF687	0.589375
SDC2	0.3352
COX7A2	-0.05725
LAMB4	0.0995
FAM24A	-0.0185
LRRTM3	-1.33016666666667
GPHB5	-0.04875
OR4C13	0.113
EIF3EIP	-0.256714285714286
HABP4	-0.109
TMEM125	2.1175
