Hybridization REF	TCGA-A2-A0CL-01A-11R-A115-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.7035
CREB3L1	0.48275
RPS11	0.155625
PNMA1	-0.13275
MMP2	0.695166666666667
C10orf90	-1.96775
ZHX3	-0.0393333333333333
ERCC5	0.2145
GPR98	-1.936375
RXFP3	0.331
APBB2	0.7035
PRO0478	-0.232375
KLHL13	-2.276
PRSSL1	-0.740666666666667
PDCL3	1.034
DECR1	0.340375
SALL1	0.389666666666667
CADM4	-0.0971666666666667
RPS18	-0.332642857142857
HNRPD	-0.518083333333333
CFHR5	0.637666666666667
SLC10A7	0.532375
OR2K2	-0.2355
LMAN1	-0.1175
SUHW1	-3.96075
CHD8	0.3672
SUMO1	0.2141
GP1BA	2.939
DDB1	0.545
MYO9B	0.521
MMP7	5.09425
CRNKL1	0.97275
C9orf45	-1.55433333333333
XAB2	0.19425
RTN1	1.46725
KLHL14	-0.365625
TBX10	-1.701
CENPQ	-1.48425
UTY	-1.36314285714286
ZBTB12	-0.505
DTNBP1	0.22425
KBTBD8	0.648666666666667
ZEB1	1.8365
ZG16	-1.83075
MIER1	0.6132
ADAM5P	0.001
CHD9	0.6939375
STK16	0.65175
KIAA1486	-0.5135
TOB2	0.531416666666667
BANK1	4.37525
OR2V2	0.14175
GRM2	-0.0208333333333333
PROSC	-0.098375
SPIN2B	0.2895
PIR	-0.851666666666667
IPO9	-0.1444
EVC	0.767166666666667
CXCL13	6.64433333333333
KIAA1199	-1.5414
SORL1	1.10275
NAT10	-0.70275
CHD1	-0.23125
SYN3	-0.04325
SLC22A2	-0.38525
SERPINF1	1.52833333333333
WDR34	0.03475
OR7A17	0.29625
C9orf11	0.6715
RNF216L	0.0837
LHB	-0.31
STK25	-0.371375
TAOK3	0.976875
LOC152573	-1.811
C3orf39	-0.1035
C14orf108	0.4224
CDC25B	-0.0351818181818182
BMP3	0.0765
TMEM180	-0.05
MAP1LC3C	1.773
CRYGC	-1.155
POU3F1	-1.0698
C20orf32	-0.6965
CCDC95	-0.341
HIGD1B	3.15025
USP6NL	0.4505
ABCD4	-0.100166666666667
DIMT1L	-0.405
TEK	1.6915
SLC25A46	-1.15675
LARP7	-0.6705
CD160	1.58933333333333
MT1JP	0.919
PHF20	0.3533125
CPNE4	-2.99
GTPBP1	0.236928571428571
RAB33B	0.924
ALDOC	-1.99575
ZNF212	-0.48275
NUDT1	-0.8475
RFPL2	0.05725
ZNF83	0.289166666666667
GDPD5	-0.339875
PDCD4	1.5497
CEP350	0.4885
OR10A2	0.31175
CST7	2.84725
CIAO1	-0.37675
SELL	3.023375
OR8J3	-0.2435
LTBP4	-0.577
SIRT6	-0.2055
CCL19	3.14275
PPIL1	-0.9695
GBP7	1.452
STK17A	0.2521
ABR	0.561
OR9G1	-0.0865
FOXE1	-1.405625
CNGA3	0.5555
GML	0.2565
CD38	2.27475
ZDHHC6	0.0568333333333333
NEFH	-1.74125
CTDSP2	0.70425
PGBD5	-2.311
CCNY	0.148785714285714
RMND5B	0.333166666666667
ZNF257	-0.73475
FLJ22167	0.0215
EXOSC7	-0.657
ROR2	1.701375
MAOA	0.851875
TNNT3	2.0245
GYPC	0.086
C7orf33	0.762
PLIN	2.81016666666667
LOC90826	-0.07475
RNF4	-0.0081
F8A1	0.4485
PLEKHG4	-2.189
GRB2	0.41715
HIST1H2AD	-1.037
DUS3L	-0.829333333333333
EIF1	-0.3565
RP5-1077B9.4	-0.6005
FPGT	1.195
GDF10	1.20366666666667
COQ9	0.1685
GCC2	0.629928571428572
RARRES3	2.37725
PLXNA1	0.2863
KIAA0100	0.315
PMF1	-0.15775
FNDC1	3.907
HS2ST1	-0.561083333333333
CRELD2	0.1875
C8G	-1.6225
CD82	0.84025
LIM2	-1.515
UNQ6490	-0.075
MMP16	1.142
DRD3	0.07925
C5orf26	-1.336
C11orf73	0.27575
PTP4A2	0.207
OR4M2	0.304
HPCA	-0.434666666666667
SEC14L1	0.186666666666667
CHFR	0.527
EMILIN1	1.090875
NDUFS4	-0.3545
COL18A1	-0.057125
PDZD3	-0.1549
C9orf16	-0.167833333333333
ERBB2IP	-0.5165
EMX2	3.27075
FUS	-0.51375
TF	-2.6413
CLCN4	-0.317166666666667
CXorf56	0.75475
C11orf72	0.106
ELAC2	-0.381
NPR1	0.20125
ASS1	-1.59366666666667
USP42	0.428625
POLR2J	-0.6125
SEC23IP	0.673
UQCRC1	-0.592
LOC729603	-0.21525
C1orf71	-0.000124999999999993
POLG	-1.1555
ADAM23	-2.975
TFR2	-1.91425
RICTOR	-0.0215
MGC39606	0.61875
C19orf55	-0.342625
SNAPC1	-1.2245
GNA11	0.13
CCDC52	-0.261
FSIP1	2.636
UPF3A	-0.16025
IGSF11	-2.46166666666667
LAGE3	0.29575
CHST6	-2.667
UNC13B	1.2105
TTLL4	-0.901375
ZNF687	-0.283875
SDC2	0.9856
COX7A2	0.04975
LAMB4	0.77675
FAM24A	0.418
LRRTM3	-1.2165
GPHB5	-0.4405
OR4C13	0.3875
EIF3EIP	-0.198285714285714
HABP4	-0.2345
TMEM125	2.33125
CNTN2	0.033
ASNSD1	0.2885
FUT4	0.2685
ACF	-3.547
LOC158381	0.34
CDH8	1.4425
AGPS	-0.918166666666667
C4orf18	2.64925
PECI	-0.379333333333333
UNG	-0.374375
GSTP1	1.3445
DCUN1D5	-1.30583333333333
DKFZP564J0863	-0.871
SLC9A3R1	1.47175
BCDO2	0.15025
CHMP7	0.0765
REM2	1.4985
DNHD1	-0.1895
FKBP4	-0.63525
ZNF350	1.8905
MGC11102	0.819375
BST1	1.9715
KISS1R	-0.499
NCR2	0.2345
DEFB125	-0.01
UBE2W	1.271625
KRT15	-0.710125
C10orf99	0.2095
SCN11A	0.969125
GFI1	-0.00975
RDHE2	-0.7935
FHL1	-0.1925
OSGEP	0.108166666666667
GATA1	-3.10616666666667
SMC6	-0.36525
TTTY14	-1.063
LPIN3	-0.1075
RPL4	-0.6721
RBPMS	-0.2117
PRPF3	-0.323166666666667
EMR1	-0.419
SPATA19	0.02275
XCR1	-0.0855
IRX3	2.0469
RBM6	-0.62275
KLF4	-0.3437
UNC5CL	-0.7355
SEBOX	-0.0195
BTK	1.14175
KRCC1	0.21425
C6orf27	0.1215
SYTL5	-1.712
PRND	2.600125
LOC653319	-1.068
PIGL	-0.4755
HUS1	-0.411333333333333
SFRS6	1.04808333333333
C17orf77	0.4535
UIMC1	-0.316833333333333
FXYD2	-1.3791
LOC283152	0.01
ZNF667	-0.77
ZCCHC12	-0.514
TFEC	5.3777
ATP7B	0.0431666666666667
POLD2	-0.968166666666667
RG9MTD1	-0.64425
ACOT2	-0.201333333333333
HIST1H4I	-1.070625
PPARGC1A	-2.6525
ETFA	-1.2402
POLRMT	-0.65475
ZNF146	0.611875
MIA2	-1.652
KLHL6	1.42366666666667
HOXB5	0.136625
NENF	0.594166666666667
CUGBP1	-1.50225
PRSS22	0.386166666666667
CASC4	1.106
CUL4B	-0.0307
CENPJ	-0.9352
PITX1	-1.569
FLJ31033	3.18233333333333
CELSR3	-1.97583333333333
ZNF568	0.6705
ITSN1	0.574583333333333
EHBP1L1	-0.0873333333333333
C19orf2	0.02225
DCTN1	-0.29925
LIN28B	-4.07933333333333
TNKS2	1.5135
C1QBP	0.0385
CADPS2	0.959
SRMS	-0.11725
GJA9	0.00633333333333333
MGC24975	-0.644333333333333
TRIM45	-0.0305
TSP50	0.67875
TCP1	-0.517
TMED7	-0.2057
CMA1	2.0645
CENPL	-0.511833333333333
PTCRA	1.489
FST	-3.095
VWCE	-1.6425
PAWR	-0.13875
ABCC12	1.33133333333333
LDLR	-1.4214
ASTN2	0.4794
LOC441212	-0.757875
GPATCH8	0.09775
TANC2	-0.909166666666667
KIF4A	-0.958
C18orf18	-1.42425
PGM1	-0.58625
KIAA0258	0.783
CPD	0.266875
SNCAIP	-0.4505
DCT	-3.946
HLA-DOA	3.03527272727273
OR11L1	0.3635
UPK1B	-0.781666666666667
DNAJB4	-0.138625
UGT1A8	-0.67325
HIST1H4L	0.044
PECR	-0.805333333333333
HSPA2	-0.30125
WFIKKN1	-2.6075
SERP1	2.06375
SYDE2	0.7835
TACR2	0.465
NUP85	-0.17975
CD177	-0.5195
LGR5	-2.54766666666667
PIGG	-0.804666666666667
PTHR1	-1.01083333333333
RAB5A	0.2753
FLJ13224	-0.0135
USP9Y	-2.53983333333333
C7orf53	-0.7545
LRP1B	-1.59475
XAF1	4.0819
ABCG8	-0.281
ANKDD1A	0.2575
DAND5	-1.3085
SPAG6	1.11983333333333
LINCR	1.0525
ZDHHC22	-1.279125
CCDC60	-0.0315
THOC7	-1.376
TCTA	0.834
OR8K3	-0.23075
NY-REN-7	0.2375
B2M	2.04366666666667
C6orf141	-2.7225
LPPR4	2.8565
SQLE	-0.649125
SEPHS1	0.11575
BTBD14B	0.101214285714286
PLRG1	-0.26775
SPG7	-0.3110625
ZNF614	0.389833333333333
PARD6G	0.0718333333333333
INPP5B	-0.2811
GRPEL2	-0.13375
PPID	-0.4586
TRIM56	0.009
UBE2J1	0.678
IL20RA	1.4265
LOC387856	-0.01425
C1orf107	0.258833333333333
UTS2R	-0.54625
C19orf22	0.18675
SAFB2	-0.0945
KIAA0652	0.901875
KLRG1	1.487
MS4A8B	0.803666666666667
FRAG1	0.06925
KIAA1546	0.44825
E2F4	-0.627
CLEC4M	0.1605
BTBD14A	-0.77175
KIAA0999	0.635
GYPA	-3.95433333333333
TAC1	2.5011
TRAIP	-1.49066666666667
KIAA0232	-0.0509
ERCC8	-0.894625
GPX4	0.5965
KIAA0368	-0.613875
GPR157	-0.0636666666666667
CTAGE4	1.2185
C9orf30	-0.9195
OR52A1	-0.1305
HSP90B3P	-0.166
ALG9	-0.4853
BTBD10	0.29625
SDK2	-0.136
BAIAP3	-0.21875
RABGGTB	-0.831
ANKRD40	-0.343
KRT74	0.317
CALCOCO2	0.518285714285714
SNCA	-2.6885
TMSL8	-5.5385
C2orf53	-0.448
ESRRB	-0.5825
ARHGAP26	-0.17725
TDRD9	-2.19025
HRAS	-0.407333333333333
KLRC4	-1.1425
JAGN1	-0.540833333333333
BSDC1	0.2265
RNF43	0.328
NDUFAF1	-0.30925
PHF12	0.2625
OR1L3	0.4725
FOLR2	2.32775
LYZL6	0.184666666666667
tcag7.1260	-1.4425
WSB1	-0.367333333333333
PROS1	0.0024
OSTN	0.106
PSMB8	1.7185
SOCS4	-0.294875
DDIT4L	0.44175
MAS1	0.6985
MGC34796	0.5435
CSHL1	0.3365
TBCCD1	-0.319833333333333
ZBTB7C	-0.145
AP2S1	-0.161125
P15RS	-1.3029
VAT1	-0.4062
SHANK3	0.6675
TUFM	-0.771666666666667
THEG	-0.29525
KRT34	-2.46175
SGSM3	0.61575
TOMM22	-0.115875
SOCS3	1.65083333333333
CPO	-0.078
POP4	0.449
BHLHB3	1.3675
MALL	1.44075
OR1B1	0.2325
PARK2	0.522166666666667
GPR124	1.220875
LCE1E	0.117
RUVBL2	-0.6695
CGRRF1	0.3994
ACPL2	0.2485
WNT10B	-1.538
BAIAP2L2	-1.904875
ISCA1	0.2355
C1orf125	0.160625
RPAP1	-1.09125
RAI16	-0.723166666666667
RPL27	-0.498625
NLRP9	0.182
EPN1	0.2275
LOC388610	-0.55575
SLC35A1	1.17
GAL	-3.498
SLC14A2	0.098
RDH11	-0.683333333333333
FAM138F	-0.494
AUH	-0.05825
FLJ40243	0.53075
C14orf129	0.331666666666667
MBD2	0.247666666666667
ABHD14B	-0.259125
PIGT	0.747125
ALS2CR4	-0.126125
ALAS1	-0.2176
FOXO1	2.44116666666667
CRLF3	0.55275
C20orf107	1.353
FARS2	0.4225
CCDC28A	0.39175
NPHP3	0.004
OR13F1	0.344
TSEN54	-0.02575
DEFB106B	0.0598
OR8B4	0.557
STH	2.2355
ZC3H14	-0.637375
CBX2	-0.549
TMEM49	-0.621
C6orf21	0.0085
FLJ20920	-0.354375
CRTAP	-0.3735
DDX50	-0.24775
STYXL1	-0.6045
BLVRB	0.131
LOC147650	-0.512833333333333
MMP24	-0.09875
GRID1	2.221
BANF1	0.884666666666667
CTAGEP	0.26125
HMBS	-1.56575
SLC25A24	-1.01033333333333
C14orf50	-0.1085
MRO	0.915
SLC25A15	-0.22475
FAM84B	1.2115
TDP1	-0.508
C16orf78	-0.569
C11orf57	-0.456625
RFK	-0.80925
ZFYVE9	-0.023375
STCH	-0.441
WIBG	-0.309
LOC283871	-0.747666666666667
GBA2	-0.4898
NDUFB3	-0.3905
HSD17B13	-0.21975
GRIN3A	2.9875
FMNL1	1.10983333333333
SEPT7	0.2677
GNLY	3.4855
GRAMD1C	0.745666666666667
ZNF165	-0.042
USP38	1.134
FAM83A	-3.57883333333333
C14orf24	0.5855
ARMCX3	1.35625
ARHGDIB	1.47516666666667
AK1	-0.34875
KIAA1045	0.49575
DNAJB13	-0.5965
NEU2	0.2135
HIST1H4B	-1.2195
FAM20B	-0.3734
HES2	-0.346928571428571
FAM73B	-0.6615
LOC388381	-0.00924999999999999
INTS7	-0.307909090909091
AMPH	0.75025
ZNF775	-0.701375
UCKL1	-0.638166666666667
C10orf97	0.09925
C1orf161	-0.4455
ALDH1L1	0.30425
FLJ39378	-0.173625
