Hybridization REF	TCGA-AO-A12H-01A-11R-A115-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.610333333333333
CREB3L1	1.755
RPS11	0.403875
PNMA1	0.50325
MMP2	-0.142166666666667
C10orf90	-2.1695
ZHX3	0.136833333333333
ERCC5	0.92325
GPR98	-1.794625
RXFP3	0.243
APBB2	2.3575
PRO0478	-0.90225
KLHL13	-3.54375
PRSSL1	-1.01
PDCL3	0.756833333333333
DECR1	-0.688375
SALL1	-4.729
CADM4	0.696833333333333
RPS18	-0.0844285714285714
HNRPD	-0.259916666666667
CFHR5	1.2626
SLC10A7	0.429428571428571
OR2K2	0.3895
LMAN1	-1.3025
SUHW1	-3.39275
CHD8	0.6467
SUMO1	0.3382
GP1BA	-0.0249
DDB1	0.371666666666667
MYO9B	-0.5044
MMP7	3.5615
CRNKL1	0.646125
C9orf45	-1.16066666666667
XAB2	0.226125
RTN1	2.62685714285714
KLHL14	-1.151
TBX10	-1.3675
CENPQ	-1.87
UTY	-1.419
ZBTB12	-0.015
DTNBP1	-0.08925
KBTBD8	-1.1085
ZEB1	0.0835
ZG16	-1.219
MIER1	0.8284
ADAM5P	1.442
CHD9	0.3195625
STK16	-0.48675
KIAA1486	0.048
TOB2	0.880666666666667
BANK1	0.908
OR2V2	-0.11275
GRM2	0.23
PROSC	0.244375
SPIN2B	0.4385
PIR	-2.96766666666667
IPO9	-0.3818
EVC	1.70633333333333
CXCL13	2.88683333333333
KIAA1199	-2.4376
SORL1	1.717
NAT10	-0.21275
CHD1	-0.1575
SYN3	-0.3375
SLC22A2	-1.64233333333333
SERPINF1	-0.577
WDR34	-0.5565
OR7A17	0.471
C9orf11	0.27
RNF216L	0.0334
LHB	1.179
STK25	-0.36525
TAOK3	0.575375
LOC152573	-3.16775
C3orf39	0.931625
C14orf108	0.1654
CDC25B	-0.387
BMP3	0.2115
TMEM180	0.181
MAP1LC3C	-0.4245
CRYGC	3.5975
POU3F1	-1.5268
C20orf32	-1.4445
CCDC95	-0.1865
HIGD1B	4.3315
USP6NL	-0.48525
ABCD4	-0.7045
DIMT1L	-0.6045
TEK	1.743375
SLC25A46	-1.08675
LARP7	-0.8552
CD160	0.0771666666666667
MT1JP	-0.778833333333333
PHF20	0.0216875
CPNE4	-2.43825
GTPBP1	-0.0100714285714286
RAB33B	1.72533333333333
ALDOC	-2.276125
ZNF212	-0.4915
NUDT1	-1.3415
RFPL2	1.1705
ZNF83	0.298333333333333
GDPD5	-0.18125
PDCD4	1.6086
CEP350	0.41175
OR10A2	-0.00825
CST7	-0.6595
CIAO1	-1.19675
SELL	-0.038125
OR8J3	2.8455
LTBP4	-0.8685
SIRT6	0.27975
CCL19	0.7755
PPIL1	-1.24416666666667
GBP7	0.989
STK17A	-1.5972
ABR	1.383
OR9G1	0.057
FOXE1	-0.727125
CNGA3	2.482
GML	0.422
CD38	-4.0055
ZDHHC6	0.0218333333333333
NEFH	-3.407
CTDSP2	0.933083333333333
PGBD5	1.081
CCNY	0.262142857142857
RMND5B	0.534
ZNF257	-0.97225
FLJ22167	0.679
EXOSC7	-0.293833333333333
ROR2	1.7755
MAOA	0.636375
TNNT3	0.0368333333333333
GYPC	-1.344
C7orf33	1.638
PLIN	0.664666666666667
LOC90826	0.3145
RNF4	0.4108
F8A1	0.584666666666667
PLEKHG4	-1.83775
GRB2	1.0012
HIST1H2AD	0.8675
DUS3L	-1.50916666666667
EIF1	-0.113166666666667
RP5-1077B9.4	-1.06483333333333
FPGT	1.825
GDF10	-2.23066666666667
COQ9	0.0245
GCC2	0.712928571428572
RARRES3	1.5605
PLXNA1	-0.714
KIAA0100	0.0999
PMF1	-0.44375
FNDC1	5.05125
HS2ST1	-1.09916666666667
CRELD2	0.9315
C8G	-1.373
CD82	-0.97075
LIM2	-0.7665
UNQ6490	0.2175
MMP16	0.63975
DRD3	-0.43675
C5orf26	0.05325
C11orf73	-0.82125
PTP4A2	0.991125
OR4M2	0.4045
HPCA	-0.445333333333333
SEC14L1	-0.584333333333333
CHFR	-0.91725
EMILIN1	-0.354125
NDUFS4	-0.15325
COL18A1	-0.56675
PDZD3	0.0412
C9orf16	-0.689166666666667
ERBB2IP	0.0115
EMX2	2.076
FUS	-1.32125
TF	-3.5052
CLCN4	-1.514
CXorf56	-0.17225
C11orf72	0.79575
ELAC2	-0.381833333333333
NPR1	-0.8785
ASS1	-0.399333333333333
USP42	0.159875
POLR2J	-1.1415
SEC23IP	0.9455
UQCRC1	-0.14075
LOC729603	-0.7295
C1orf71	-0.3335
POLG	-1.818
ADAM23	-3.1075
TFR2	-1.5535
RICTOR	-0.9491
MGC39606	1.199
C19orf55	0.04375
SNAPC1	-0.977666666666667
GNA11	1.406875
CCDC52	0.0411666666666667
FSIP1	6.136
UPF3A	0.678625
IGSF11	-2.52566666666667
LAGE3	-1.20875
CHST6	-3.0415
UNC13B	0.963875
TTLL4	-1.483
ZNF687	0.14575
SDC2	-1.3212
COX7A2	0.564
LAMB4	-0.1
FAM24A	-0.283
LRRTM3	-1.5135
GPHB5	0.13975
OR4C13	0.4095
EIF3EIP	-0.0035
HABP4	-0.191
TMEM125	4.01625
CNTN2	0.80125
ASNSD1	-0.02225
FUT4	-0.2265
ACF	-3.72925
LOC158381	-0.2495
CDH8	0.53225
AGPS	-0.418666666666667
C4orf18	5.666625
PECI	0.387666666666667
UNG	-0.0945
GSTP1	-2.864625
DCUN1D5	-1.55983333333333
DKFZP564J0863	-1.458
SLC9A3R1	1.56225
BCDO2	-0.824
CHMP7	0.284875
REM2	0.3175
DNHD1	-0.733125
FKBP4	-0.142
ZNF350	2.3195
MGC11102	-0.182625
BST1	0.83575
KISS1R	-0.5845
NCR2	0.34
DEFB125	-0.4355
UBE2W	0.988
KRT15	1.880875
C10orf99	0.477
SCN11A	0.223625
GFI1	-3.2855
RDHE2	-1.4052
FHL1	-2.19116666666667
OSGEP	-0.0363333333333333
GATA1	-3.17566666666667
SMC6	-1.2335
TTTY14	-1.25775
LPIN3	0.25825
RPL4	-0.2646
RBPMS	-1.7962
PRPF3	-0.433333333333333
EMR1	-1.572
SPATA19	0.124
XCR1	0.149
IRX3	1.4638
RBM6	-0.167
KLF4	-1.065
UNC5CL	-2.4205
SEBOX	0.2145
BTK	-0.9375
KRCC1	1.83725
C6orf27	0.266
SYTL5	-0.7665
PRND	4.92375
LOC653319	-0.748
PIGL	-0.776875
HUS1	-0.593166666666667
SFRS6	0.00258333333333334
C17orf77	0.6845
UIMC1	-0.486833333333333
FXYD2	-2.1709
LOC283152	1.9225
ZNF667	0.834
ZCCHC12	-0.74625
TFEC	2.9923
ATP7B	0.626666666666667
POLD2	-0.726333333333333
RG9MTD1	-0.09375
ACOT2	0.753166666666667
HIST1H4I	-1.007125
PPARGC1A	-3.1875
ETFA	-1.3538
POLRMT	-0.44125
ZNF146	0.25525
MIA2	-1.8655
KLHL6	-1.532
HOXB5	-1.457375
NENF	0.364666666666667
CUGBP1	0.0315
PRSS22	0.791666666666667
CASC4	1.5712
CUL4B	-0.1634
CENPJ	-1.4102
PITX1	-1.53483333333333
FLJ31033	1.62666666666667
CELSR3	-1.9445
ZNF568	1.27875
ITSN1	-0.592916666666667
EHBP1L1	-1.09083333333333
C19orf2	0.11925
DCTN1	0.353
LIN28B	-4.60733333333333
TNKS2	0.8575
C1QBP	-0.225875
CADPS2	2.21275
SRMS	0.53725
GJA9	-0.0446666666666667
MGC24975	-1.0335
TRIM45	0.0673333333333333
TSP50	2.108
TCP1	-0.63675
TMED7	-0.2299
CMA1	0.9575
CENPL	-0.528833333333333
PTCRA	-0.2605
FST	-3.72525
VWCE	-3.49725
PAWR	2.02075
ABCC12	4.312
LDLR	-1.496
ASTN2	2.0554
LOC441212	-0.32225
GPATCH8	0.58075
TANC2	-1.26891666666667
KIF4A	-2.56925
C18orf18	-0.83775
PGM1	-0.3335
KIAA0258	0.66625
CPD	0.710875
SNCAIP	-2.3945
DCT	-4.3895
HLA-DOA	2.69713636363636
OR11L1	0.17
UPK1B	-0.361833333333333
DNAJB4	-0.687625
UGT1A8	-0.49225
HIST1H4L	-1.3615
PECR	-0.9365
HSPA2	2.095
WFIKKN1	-1.336
SERP1	1.026625
SYDE2	0.9485
TACR2	0.752
NUP85	-1.2425
CD177	1.445
LGR5	-2.687
PIGG	-0.00316666666666664
PTHR1	-2.19383333333333
RAB5A	0.279
FLJ13224	-0.6455
