Hybridization REF	TCGA-E2-A14T-01A-11R-A115-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.87375
CREB3L1	0.26525
RPS11	-0.28425
PNMA1	-0.54425
MMP2	-0.566
C10orf90	-1.5725
ZHX3	0.00866666666666667
ERCC5	0.536
GPR98	1.138125
RXFP3	0.2365
APBB2	1.211
PRO0478	-0.386375
KLHL13	-2.6535
PRSSL1	-0.419666666666667
PDCL3	0.214333333333333
DECR1	-1.696125
SALL1	-4.1115
CADM4	1.116
RPS18	-0.125785714285714
HNRPD	-0.486333333333333
CFHR5	1.297
SLC10A7	-0.0573750000000001
OR2K2	0.137
LMAN1	-0.245375
SUHW1	-3.61975
CHD8	0.1381
SUMO1	-0.0165
GP1BA	0.7978
DDB1	0.476166666666667
MYO9B	0.1163
MMP7	5.38775
CRNKL1	1.026
C9orf45	-0.1445
XAB2	-0.278625
RTN1	1.54657142857143
KLHL14	-1.9785
TBX10	-1.2575
CENPQ	-1.88275
UTY	-1.47161538461538
ZBTB12	-0.1915
DTNBP1	-0.680375
KBTBD8	-1.59966666666667
ZEB1	1.19066666666667
ZG16	3.5165
MIER1	0.1332
ADAM5P	0.168
CHD9	0.2950625
STK16	-0.626
KIAA1486	0.2685
TOB2	0.0944166666666666
BANK1	3.046
OR2V2	0.09975
GRM2	0.153833333333333
PROSC	0.44025
SPIN2B	-0.01875
PIR	0.0452222222222222
IPO9	-0.1527
EVC	-0.133333333333333
CXCL13	3.54283333333333
KIAA1199	-1.9603
SORL1	1.99575
NAT10	-0.68825
CHD1	0.461
SYN3	-0.7025
SLC22A2	-0.21725
SERPINF1	0.245
WDR34	0.079
OR7A17	0.2145
C9orf11	-0.042
RNF216L	-0.3456
LHB	0.2915
STK25	-0.402125
TAOK3	0.098875
LOC152573	-3.12825
C3orf39	0.084875
C14orf108	-0.1647
CDC25B	-0.995181818181818
BMP3	-0.492
TMEM180	0.262
MAP1LC3C	-0.1745
CRYGC	-1.0155
POU3F1	-1.3889
C20orf32	-1.7165
CCDC95	0.036
HIGD1B	3.453
USP6NL	-1.184625
ABCD4	-0.519333333333333
DIMT1L	-0.459083333333333
TEK	0.867625
SLC25A46	-0.52775
LARP7	-1.1308
CD160	0.705666666666667
MT1JP	-1.40333333333333
PHF20	0.548125
CPNE4	-1.53325
GTPBP1	-0.0364285714285714
RAB33B	0.876333333333333
ALDOC	0.02925
ZNF212	-0.27775
NUDT1	-0.819166666666667
RFPL2	-0.2765
ZNF83	0.354
GDPD5	-1.239375
PDCD4	0.55105
CEP350	0.36875
OR10A2	0.37175
CST7	-0.08375
CIAO1	-0.87
SELL	0.383375
OR8J3	0.1875
LTBP4	-0.0613333333333333
SIRT6	0.051
CCL19	3.671
PPIL1	-0.905833333333333
GBP7	-0.597
STK17A	-1.5577
ABR	1.15225
OR9G1	-0.332
FOXE1	-0.69325
CNGA3	-0.233
GML	0.318
CD38	-2.93825
ZDHHC6	-0.258
NEFH	2.06375
CTDSP2	0.263666666666667
PGBD5	2.20183333333333
CCNY	0.0639285714285714
RMND5B	0.443916666666667
ZNF257	-1.76675
FLJ22167	0.772375
EXOSC7	-0.872333333333333
ROR2	0.454625
MAOA	0.431625
TNNT3	1.74316666666667
GYPC	-1.20225
C7orf33	0.787
PLIN	3.30716666666667
LOC90826	-0.63625
RNF4	0.0668
F8A1	0.4075
PLEKHG4	-2.089
GRB2	0.3861
HIST1H2AD	1.5805
DUS3L	-0.542
EIF1	-0.387666666666667
RP5-1077B9.4	-0.810166666666667
FPGT	1.714
GDF10	0.983666666666667
COQ9	-0.10325
GCC2	0.651857142857143
RARRES3	1.470875
PLXNA1	-0.5344
KIAA0100	1.0577
PMF1	-0.17925
FNDC1	4.29525
HS2ST1	-0.278416666666667
CRELD2	-0.046
C8G	-1.9625
CD82	0.25875
LIM2	-1.519
UNQ6490	-0.646
MMP16	1.4835
DRD3	0.27375
C5orf26	0.1795
C11orf73	-1.1115
PTP4A2	1.038875
OR4M2	-1.239
HPCA	-0.2555
SEC14L1	-0.414666666666667
CHFR	0.0665
EMILIN1	0.836
NDUFS4	-0.2145
COL18A1	0.156125
PDZD3	0.1159
C9orf16	0.0655
ERBB2IP	0.287
EMX2	2.9415
FUS	-0.87
TF	-3.0445
CLCN4	-0.00883333333333335
CXorf56	-0.4475
C11orf72	0.4675
ELAC2	-0.31775
NPR1	-0.273
ASS1	-2.1145
USP42	0.20975
POLR2J	-0.358
SEC23IP	0.586333333333333
UQCRC1	-0.21675
LOC729603	-0.3195
C1orf71	0.19675
POLG	-0.768
ADAM23	-3.24875
TFR2	-0.462
RICTOR	0.0616
MGC39606	1.008
C19orf55	-0.251375
SNAPC1	-1.65533333333333
GNA11	1.325875
CCDC52	-0.3875
FSIP1	5.364
UPF3A	0.182375
IGSF11	-2.15733333333333
LAGE3	0.16125
CHST6	-1.73
UNC13B	-1.065625
TTLL4	-1.02125
ZNF687	1.015125
SDC2	-0.384
COX7A2	0.192
LAMB4	-0.856
FAM24A	0.431
LRRTM3	-1.3492
GPHB5	-0.2185
OR4C13	0.1455
EIF3EIP	-0.571785714285714
HABP4	-0.917
TMEM125	3.5165
CNTN2	0.062375
ASNSD1	-0.38375
FUT4	-0.214125
ACF	-3.264
LOC158381	-0.114
CDH8	0.08975
AGPS	-0.7195
C4orf18	5.19625
PECI	-0.866166666666667
UNG	-1.272375
GSTP1	-2.11575
DCUN1D5	-2.709
DKFZP564J0863	-1.56825
SLC9A3R1	3.034875
BCDO2	0.189875
CHMP7	-0.83325
REM2	0.9385
DNHD1	-0.941875
FKBP4	1.2155
ZNF350	1.254
MGC11102	-0.24875
BST1	1.073
KISS1R	0.3515
NCR2	-0.221
DEFB125	-1.8275
UBE2W	1.147
KRT15	0.3535
C10orf99	-0.1695
SCN11A	0.267
GFI1	-2.7065
RDHE2	3.05183333333333
FHL1	-0.181833333333333
OSGEP	-0.837333333333333
GATA1	-2.83916666666667
SMC6	-1.5705
TTTY14	-1.193
LPIN3	0.2805
RPL4	-0.949
RBPMS	-0.2568
PRPF3	-0.448666666666667
EMR1	-2.632
SPATA19	0.043
XCR1	0.4965
IRX3	0.9502
RBM6	-0.2155
KLF4	-1.4286
UNC5CL	-1.42475
SEBOX	0.197
BTK	-0.57725
KRCC1	0.78375
C6orf27	0.259
SYTL5	-0.174
PRND	3.537375
LOC653319	-0.5685
PIGL	-1.28
HUS1	-0.593
SFRS6	-1.35533333333333
C17orf77	0.132
UIMC1	-0.167166666666667
FXYD2	-1.8536
LOC283152	1.47625
ZNF667	-1.06825
ZCCHC12	-0.46375
TFEC	3.475
ATP7B	-0.709
POLD2	-0.519166666666667
RG9MTD1	-0.902
ACOT2	-0.199166666666667
HIST1H4I	-0.937375
PPARGC1A	-2.8305
ETFA	-1.6044
POLRMT	-0.141
ZNF146	0.087125
MIA2	-2.0285
KLHL6	-0.662166666666667
HOXB5	0.965125
NENF	0.262
CUGBP1	-0.887
PRSS22	1.83833333333333
CASC4	2.2868
CUL4B	0.0734
CENPJ	-0.5387
PITX1	0.275
FLJ31033	1.22666666666667
