Hybridization REF	TCGA-E2-A15P-01A-11R-A115-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.672833333333333
CREB3L1	1.13775
RPS11	0.06375
PNMA1	-0.08375
MMP2	0.243666666666667
C10orf90	-2.0575
ZHX3	-0.272666666666667
ERCC5	-0.02725
GPR98	-0.27225
RXFP3	-0.1995
APBB2	1.95025
PRO0478	-0.389375
KLHL13	-0.516
PRSSL1	0.350833333333333
PDCL3	0.6725
DECR1	-0.062625
SALL1	-3.868
CADM4	1.02216666666667
RPS18	-0.470214285714286
HNRPD	0.100916666666667
CFHR5	0.921833333333333
SLC10A7	1.255125
OR2K2	0.572
LMAN1	0.422
SUHW1	-3.943
CHD8	-0.0654
SUMO1	0.8499
GP1BA	0.2978
DDB1	-0.112333333333333
MYO9B	-0.4791
MMP7	5.4575
CRNKL1	0.579
C9orf45	-0.5735
XAB2	-0.736875
RTN1	0.751375
KLHL14	-0.937375
TBX10	-1.643
CENPQ	-0.81175
UTY	-1.56869230769231
ZBTB12	-0.2485
DTNBP1	0.348125
KBTBD8	-1.82866666666667
ZEB1	1.58383333333333
ZG16	-1.87225
MIER1	0.8113
ADAM5P	0.471
CHD9	0.3118125
STK16	-0.2155
KIAA1486	-0.7235
TOB2	0.194666666666667
BANK1	1.82475
OR2V2	0.346
GRM2	-0.1865
PROSC	0.687125
SPIN2B	0.67975
PIR	-1.627
IPO9	-0.5494
EVC	0.490333333333333
CXCL13	1.40483333333333
KIAA1199	-2.6513
SORL1	0.8715
NAT10	-0.277
CHD1	0.273
SYN3	-1.1905
SLC22A2	-1.278
SERPINF1	0.1175
WDR34	-0.782
OR7A17	0.268
C9orf11	-0.1455
RNF216L	-0.3552
LHB	0.369
STK25	-0.36725
TAOK3	1.212625
LOC152573	-2.85525
C3orf39	0.853125
C14orf108	0.2236
CDC25B	-1.89572727272727
BMP3	-0.696
TMEM180	-0.253
MAP1LC3C	1.1115
CRYGC	-0.7715
POU3F1	-1.7345
C20orf32	-1.8585
CCDC95	-0.6385
HIGD1B	3.577
USP6NL	-0.02175
ABCD4	-0.703
DIMT1L	-0.62825
TEK	2.46125
SLC25A46	0.323
LARP7	-0.5483
CD160	0.53
MT1JP	-1.00816666666667
PHF20	0.04075
CPNE4	-2.0195
GTPBP1	-0.440428571428571
RAB33B	1.925
ALDOC	-2.228125
ZNF212	0.15375
NUDT1	-0.750666666666667
RFPL2	0.000500000000000009
ZNF83	0.752
GDPD5	-1.42675
PDCD4	1.3188
CEP350	-0.04825
OR10A2	0.22575
CST7	0.193
CIAO1	-0.8665
SELL	2.123375
OR8J3	-0.3925
LTBP4	-0.478666666666667
SIRT6	-0.394
CCL19	3.61575
PPIL1	-1.014
GBP7	0.6466
STK17A	-1.6089
ABR	0.89625
OR9G1	0.0395
FOXE1	-0.939
CNGA3	0.836
GML	0.321
CD38	-2.472
ZDHHC6	-0.375
NEFH	0.393
CTDSP2	0.705
PGBD5	-1.838
CCNY	0.2555
RMND5B	0.401416666666667
ZNF257	0.57925
FLJ22167	-0.022125
EXOSC7	-0.251
ROR2	1.04275
MAOA	1.61525
TNNT3	1.26933333333333
GYPC	-1.1365
C7orf33	0.6425
PLIN	2.94883333333333
LOC90826	0.4595
RNF4	0.0472
F8A1	0.435166666666667
PLEKHG4	-0.71375
GRB2	0.35005
HIST1H2AD	1.2215
DUS3L	-1.20333333333333
EIF1	0.1365
RP5-1077B9.4	-1.04666666666667
FPGT	1.697
GDF10	1.56566666666667
COQ9	-0.70025
GCC2	1.2215
RARRES3	2.915125
PLXNA1	-0.5329
KIAA0100	0.0426
