Hybridization REF	TCGA-BH-A0BP-01A-11R-A115-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.045
CREB3L1	0.6875
RPS11	0.008625
PNMA1	0.29375
MMP2	0.4855
C10orf90	-0.9305
ZHX3	-0.294666666666667
ERCC5	-0.3095
GPR98	0.9055
RXFP3	0.368
APBB2	1.454
PRO0478	-0.67175
KLHL13	-0.41025
PRSSL1	-0.157166666666667
PDCL3	0.625166666666667
DECR1	0.9335
SALL1	-2.82616666666667
CADM4	0.497666666666667
RPS18	-0.366142857142857
HNRPD	-1.83625
CFHR5	0.635666666666667
SLC10A7	0.275375
OR2K2	-0.253
LMAN1	-0.357125
SUHW1	-3.57
CHD8	-0.3169
SUMO1	0.4912
GP1BA	0.563
DDB1	-0.4235
MYO9B	-0.4648
MMP7	5.6205
CRNKL1	0.425
C9orf45	-0.472666666666667
XAB2	-0.036375
RTN1	1.792
KLHL14	-1.12625
TBX10	-0.895
CENPQ	-2.44825
UTY	-1.28221428571429
ZBTB12	0.018
DTNBP1	0.414375
KBTBD8	-0.934
ZEB1	2.18383333333333
ZG16	-1.06275
MIER1	0.8183
ADAM5P	0.312
CHD9	0.5040625
STK16	-1.2055
KIAA1486	-0.0815
TOB2	0.958416666666667
BANK1	4.04425
OR2V2	0.4955
GRM2	-0.00966666666666664
PROSC	0.235375
SPIN2B	0.18025
PIR	-0.218333333333333
IPO9	-0.8313
EVC	1.347
CXCL13	3.02366666666667
KIAA1199	-1.0565
SORL1	0.9765
NAT10	0.3125
CHD1	-0.61275
SYN3	0.18475
SLC22A2	-0.015
SERPINF1	1.97583333333333
WDR34	0.0505
OR7A17	0.4685
C9orf11	0.2425
RNF216L	0.1748
LHB	-0.3375
STK25	-0.711125
TAOK3	1.060125
LOC152573	-2.5065
C3orf39	0.217375
C14orf108	0.2047
CDC25B	-2.04636363636364
BMP3	-1.37
TMEM180	0.2055
MAP1LC3C	1.74
CRYGC	-0.876
POU3F1	-1.4253
C20orf32	-1.34
CCDC95	-0.2485
HIGD1B	3.9565
USP6NL	0.24425
ABCD4	-0.160666666666667
DIMT1L	-1.00375
TEK	1.688625
SLC25A46	-0.21275
LARP7	-1.234
CD160	0.517
MT1JP	-0.0215
PHF20	0.551
CPNE4	-2.09025
GTPBP1	-0.330357142857143
RAB33B	0.928833333333333
ALDOC	-1.684875
ZNF212	-0.52225
NUDT1	-1.27583333333333
RFPL2	-0.14375
ZNF83	0.712
GDPD5	0.055875
PDCD4	0.44775
CEP350	-0.21625
OR10A2	0.17475
CST7	0.277
CIAO1	-0.737
SELL	1.025125
OR8J3	0.3185
LTBP4	-0.0813333333333333
SIRT6	0.012
CCL19	4.25175
PPIL1	-1.13083333333333
GBP7	-0.266333333333333
STK17A	-0.2834
ABR	0.6685
OR9G1	0.0015
FOXE1	-0.65875
CNGA3	0.6545
GML	0.44
CD38	-2.30125
ZDHHC6	-0.352666666666667
NEFH	-1.4445
CTDSP2	0.68225
PGBD5	-0.751833333333333
CCNY	0.223071428571429
RMND5B	0.251166666666667
ZNF257	-1.77125
FLJ22167	-0.337
EXOSC7	-0.429166666666667
ROR2	0.964125
MAOA	1.9585
TNNT3	2.01883333333333
GYPC	-0.251
C7orf33	0.3895
PLIN	4.17533333333333
LOC90826	-0.566
RNF4	-0.2076
F8A1	-0.225833333333333
PLEKHG4	-2.28125
GRB2	0.22575
HIST1H2AD	1.7995
