Hybridization REF	TCGA-B6-A0IH-01A-11R-A115-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.4565
CREB3L1	1.03925
RPS11	0.6885
PNMA1	0.17425
MMP2	1.5105
C10orf90	-1.68025
ZHX3	0.0548333333333333
ERCC5	0.24775
GPR98	-1.434625
RXFP3	0.0735
APBB2	1.699
PRO0478	-0.57875
KLHL13	0.77125
PRSSL1	-0.432166666666667
PDCL3	-0.0585
DECR1	0.325125
SALL1	-4.08383333333333
CADM4	1.50466666666667
RPS18	0.4335
HNRPD	-0.532416666666667
CFHR5	-0.252
SLC10A7	0.252375
OR2K2	-0.3625
LMAN1	-0.69175
SUHW1	-3.377
CHD8	0.3603
SUMO1	0.7083
GP1BA	1.6933
DDB1	-0.254666666666667
MYO9B	-0.2841
MMP7	7.41725
CRNKL1	1.238375
C9orf45	-0.327333333333333
XAB2	0.19475
RTN1	1.486875
KLHL14	0.5395
TBX10	-0.9165
CENPQ	-2.145
UTY	-0.976714285714286
ZBTB12	0.124
DTNBP1	0.57975
KBTBD8	-1.38416666666667
ZEB1	1.636
ZG16	-1.46425
MIER1	0.8659
ADAM5P	-0.165
CHD9	0.4865625
STK16	-0.492
KIAA1486	-0.2525
TOB2	0.0200833333333333
BANK1	3.39325
OR2V2	0.30975
GRM2	0.0201666666666667
PROSC	-0.068125
SPIN2B	0.5415
PIR	-2.46866666666667
IPO9	-0.218
EVC	1.42016666666667
CXCL13	4.1135
KIAA1199	-2.0944
SORL1	1.8885
NAT10	-0.43
CHD1	-0.14825
SYN3	-0.32375
SLC22A2	-0.24125
SERPINF1	1.53616666666667
WDR34	-0.85725
OR7A17	0.2605
C9orf11	0.293
RNF216L	-0.0624
LHB	-0.2295
STK25	-0.91475
TAOK3	1.270875
LOC152573	-0.21775
C3orf39	0.3515
C14orf108	0.584
CDC25B	-1.50827272727273
BMP3	-0.5895
TMEM180	-0.03
MAP1LC3C	0.8405
CRYGC	-0.6185
POU3F1	-1.4665
C20orf32	-1.3785
CCDC95	-0.4695
HIGD1B	4.99
USP6NL	0.5655
ABCD4	0.0553333333333333
DIMT1L	-0.437
TEK	2.46875
SLC25A46	-0.6695
LARP7	-1.0039
CD160	0.954666666666667
MT1JP	-0.210166666666667
PHF20	0.49575
CPNE4	-1.7645
GTPBP1	-0.448428571428571
RAB33B	1.214
ALDOC	-2.7265
ZNF212	0.03025
NUDT1	-0.830666666666667
RFPL2	0.49525
ZNF83	1.40883333333333
GDPD5	-0.93975
PDCD4	1.5916
CEP350	0.972
OR10A2	0.201
CST7	1.914
CIAO1	-1.741
SELL	1.718625
OR8J3	0.5605
LTBP4	-0.00816666666666667
SIRT6	-0.34325
CCL19	5.44025
PPIL1	-1.46916666666667
GBP7	-0.049
STK17A	-0.5817
ABR	0.20975
OR9G1	-0.2785
FOXE1	-0.720125
CNGA3	0.1415
GML	0.22
CD38	0.4455
ZDHHC6	-0.216333333333333
NEFH	0.76125
CTDSP2	0.719166666666667
PGBD5	-1.35416666666667
CCNY	0.442071428571429
RMND5B	-0.07475
ZNF257	0.95475
FLJ22167	-0.21225
EXOSC7	-0.654
ROR2	1.5895
MAOA	0.99425
TNNT3	2.04483333333333
GYPC	-0.69175
C7orf33	0.4815
PLIN	2.92966666666667
LOC90826	0.1685
RNF4	-0.0261
F8A1	-0.225333333333333
PLEKHG4	-0.554
GRB2	-0.5543
HIST1H2AD	-0.95225
DUS3L	-1.16033333333333
EIF1	-0.458333333333333
RP5-1077B9.4	-1.36066666666667
FPGT	1.2195
GDF10	2.90983333333333
COQ9	-1.029
GCC2	0.350857142857143
RARRES3	2.861
PLXNA1	-0.2935
KIAA0100	-0.2812
PMF1	0.1405
FNDC1	5.9655
HS2ST1	-0.320833333333333
CRELD2	0.5975
C8G	-2.2215
CD82	1.64925
LIM2	-1.001
UNQ6490	-0.2495
MMP16	0.30025
DRD3	-0.01675
C5orf26	-0.13225
C11orf73	-0.414125
PTP4A2	0.648375
OR4M2	-0.3455
HPCA	-1.56283333333333
SEC14L1	0.0393333333333333
CHFR	-0.805375
EMILIN1	0.81475
NDUFS4	0.13575
COL18A1	0.478375
PDZD3	-0.1501
C9orf16	-0.642166666666667
ERBB2IP	0.321833333333333
EMX2	4.98125
FUS	-0.3035
TF	-3.7049
CLCN4	1.07516666666667
CXorf56	0.19575
C11orf72	0.22825
ELAC2	-0.9965
NPR1	-0.065
ASS1	-1.60416666666667
USP42	0.749125
POLR2J	-0.5735
SEC23IP	0.566333333333333
UQCRC1	-1.17725
LOC729603	-0.787
C1orf71	0.5255
POLG	-2.951
ADAM23	-3.342
TFR2	-1.5825
RICTOR	-0.6303
MGC39606	1.38525
C19orf55	-0.319125
SNAPC1	-1.3955
GNA11	0.68225
CCDC52	-0.029
FSIP1	1.603
UPF3A	0.171125
IGSF11	-2.0805
LAGE3	0.16525
CHST6	-1.721
UNC13B	0.1795
TTLL4	-0.720875
ZNF687	1.0705
SDC2	0.5146
COX7A2	-0.501
LAMB4	0.447
FAM24A	-0.0515
LRRTM3	-0.9875
GPHB5	0.33175
OR4C13	0.718
EIF3EIP	0.0147857142857143
HABP4	-0.4615
TMEM125	2.79675
CNTN2	0.3295
ASNSD1	0.31675
FUT4	-0.038125
ACF	-3.4655
LOC158381	0.2695
CDH8	1.09475
AGPS	-1.43766666666667
C4orf18	3.0175
PECI	-0.209833333333333
UNG	-1.0645
GSTP1	-0.66075
DCUN1D5	-1.5205
DKFZP564J0863	-1.31925
SLC9A3R1	-0.641
BCDO2	-0.2985
CHMP7	-0.181375
REM2	-0.1175
DNHD1	-0.196
FKBP4	-1.111875
ZNF350	2.401
MGC11102	-0.68125
BST1	1.6485
KISS1R	-0.54
NCR2	0.219
DEFB125	-0.251
UBE2W	1.09775
KRT15	2.019125
C10orf99	-0.1895
SCN11A	0.422375
GFI1	-1.4175
RDHE2	3.35
FHL1	-0.128166666666667
OSGEP	-0.135166666666667
GATA1	-3.6605
SMC6	-0.78525
TTTY14	-0.91525
LPIN3	-0.05125
RPL4	-0.6971
RBPMS	0.8926
PRPF3	-0.4215
EMR1	-1.905
SPATA19	-0.122
XCR1	-0.1515
IRX3	1.0898
RBM6	-0.505
KLF4	-0.4114
UNC5CL	-0.76325
SEBOX	0.2575
BTK	-0.74625
KRCC1	1.17675
C6orf27	-0.0095
SYTL5	-1.123
PRND	3.2515
LOC653319	-1.5155
PIGL	-1.293625
HUS1	-0.361833333333333
SFRS6	-0.604333333333333
C17orf77	0.642
UIMC1	-0.194833333333333
FXYD2	-1.939
LOC283152	0.06675
ZNF667	1.2905
ZCCHC12	-0.2495
TFEC	2.5842
ATP7B	-0.03
POLD2	-1.79966666666667
RG9MTD1	-0.037
ACOT2	-0.496666666666667
HIST1H4I	-1.506875
PPARGC1A	-1.5315
ETFA	-1.5289
POLRMT	-0.82625
ZNF146	0.383375
MIA2	-0.766
KLHL6	-0.245
HOXB5	-0.365625
NENF	1.01316666666667
CUGBP1	-0.6805
PRSS22	0.938
CASC4	1.4632
CUL4B	0.1259
CENPJ	-0.8061
PITX1	0.0118333333333333
FLJ31033	0.435833333333333
CELSR3	-0.565166666666667
ZNF568	1.6305
ITSN1	0.710583333333333
EHBP1L1	-1.06533333333333
C19orf2	0.35975
DCTN1	-0.584
LIN28B	-4.00166666666667
TNKS2	-0.8705
C1QBP	-1.426625
CADPS2	2.37
SRMS	-0.06325
GJA9	0.4215
MGC24975	-1.10966666666667
TRIM45	0.0766666666666667
TSP50	0.2155
TCP1	-1.05175
TMED7	0.2719
CMA1	1.283
CENPL	-0.5775
PTCRA	-0.4235
