Hybridization REF	TCGA-C8-A12K-01A-21R-A115-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.422166666666667
CREB3L1	-0.05175
RPS11	0.60725
PNMA1	-0.91425
MMP2	-0.247166666666667
C10orf90	-1.37825
ZHX3	-1.40933333333333
ERCC5	0.25875
GPR98	-1.739
RXFP3	0.17
APBB2	0.83675
PRO0478	-1.50025
KLHL13	-0.6495
PRSSL1	-0.155
PDCL3	0.724
DECR1	0.20975
SALL1	-4.248
CADM4	0.634
RPS18	0.556857142857143
HNRPD	-0.321833333333333
CFHR5	0.347666666666667
SLC10A7	-0.109
OR2K2	0.415
LMAN1	0.56875
SUHW1	-1.61325
CHD8	-0.3125
SUMO1	0.8634
GP1BA	0.8709
DDB1	-1.01
MYO9B	-0.067
MMP7	7.08475
CRNKL1	0.145625
C9orf45	-1.2855
XAB2	0.414875
RTN1	1.59225
KLHL14	-1.6325
TBX10	-0.577
CENPQ	-2.00175
UTY	-1.11078571428571
ZBTB12	0.5225
DTNBP1	0.4235
KBTBD8	-0.187
ZEB1	-0.2855
ZG16	-1.30375
MIER1	0.8884
ADAM5P	-0.393
CHD9	-0.3803125
STK16	-1.0815
KIAA1486	-0.0795
TOB2	0.539916666666667
BANK1	3.134
OR2V2	0.40875
GRM2	0.0671666666666667
PROSC	0.1905
SPIN2B	0.37675
PIR	-0.380888888888889
IPO9	-0.2554
EVC	-0.3365
CXCL13	6.76883333333333
KIAA1199	-0.4809
SORL1	0.8305
NAT10	-0.73625
CHD1	-0.4245
SYN3	-0.776
SLC22A2	-0.10125
SERPINF1	-0.0305
WDR34	-0.94525
OR7A17	0.4315
C9orf11	0.1885
RNF216L	-0.37
LHB	-0.148
STK25	-1.73425
TAOK3	1.046625
LOC152573	-0.05975
C3orf39	-0.496875
C14orf108	0.5399
CDC25B	0.0927272727272727
BMP3	0.018
TMEM180	0.2145
MAP1LC3C	0.03825
CRYGC	-0.529
POU3F1	-1.2644
C20orf32	-1.135
