Hybridization REF	TCGA-C8-A12U-01A-11R-A115-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.119833333333333
CREB3L1	-1.026
RPS11	-0.5035
PNMA1	-0.00325
MMP2	-1.73683333333333
C10orf90	-2.0285
ZHX3	-0.276
ERCC5	-0.1345
GPR98	0.91575
RXFP3	0.245
APBB2	3.08125
PRO0478	-0.773
KLHL13	2.572
PRSSL1	-0.37
PDCL3	1.61966666666667
DECR1	-0.0955
SALL1	-5.34366666666667
CADM4	0.702666666666667
RPS18	-1.14671428571429
HNRPD	-0.305333333333333
CFHR5	-0.0296666666666667
SLC10A7	0.282875
OR2K2	0.1775
LMAN1	-0.197375
SUHW1	-2.1445
CHD8	1.0117
SUMO1	0.1455
GP1BA	1.1194
DDB1	-0.198166666666667
MYO9B	-0.367
MMP7	2.0085
CRNKL1	1.126375
C9orf45	-1.31533333333333
XAB2	0.464
RTN1	1.350875
KLHL14	-0.128
TBX10	-0.577
CENPQ	-0.1945
UTY	-1.03921428571429
ZBTB12	-0.1675
DTNBP1	-0.743125
KBTBD8	-0.365
ZEB1	-0.602166666666667
ZG16	-0.70275
MIER1	0.5276
ADAM5P	-0.7935
CHD9	0.5584375
STK16	1.2055
KIAA1486	-0.3415
TOB2	0.506916666666667
BANK1	3.0105
OR2V2	0.247
GRM2	0.223833333333333
PROSC	0.220375
SPIN2B	-1.352
PIR	0.138333333333333
IPO9	0.1166
EVC	-0.704
CXCL13	5.6585
KIAA1199	-3.5922
SORL1	0.761
NAT10	0.152
CHD1	-0.2385
SYN3	-0.26925
SLC22A2	-0.35625
SERPINF1	-1.616
WDR34	1.208
OR7A17	0.313
C9orf11	-0.128
RNF216L	-0.7872
LHB	-0.0115
STK25	-0.17425
TAOK3	0.08175
LOC152573	-2.87975
C3orf39	0.209125
C14orf108	1.1382
CDC25B	-0.841545454545454
BMP3	0.502
TMEM180	0.1455
MAP1LC3C	-0.44475
CRYGC	-0.2655
POU3F1	-0.9612
C20orf32	-1.3245
CCDC95	0.1395
HIGD1B	2.5235
USP6NL	-0.7465
ABCD4	-0.324
DIMT1L	-0.798083333333333
TEK	0.2595
SLC25A46	-0.8735
LARP7	-0.8405
CD160	1.44483333333333
MT1JP	0.0544999999999999
PHF20	0.319125
CPNE4	2.28
GTPBP1	-0.484357142857143
RAB33B	1.64433333333333
ALDOC	-3.171125
ZNF212	-0.556
NUDT1	0.0188333333333333
RFPL2	2.6115
ZNF83	0.054
GDPD5	-1.11925
PDCD4	-0.7003
CEP350	-0.3855
OR10A2	0.30075
CST7	2.01475
CIAO1	0.28825
SELL	1.38175
OR8J3	0.1755
LTBP4	-0.787666666666667
SIRT6	-0.60625
CCL19	4.05275
PPIL1	-0.4775
GBP7	1.41966666666667
STK17A	-0.8448
ABR	0.2855
OR9G1	-0.1215
FOXE1	-0.182875
CNGA3	0.275
GML	0.3815
CD38	0.22975
ZDHHC6	-0.209
NEFH	-1.976
CTDSP2	-1.1995
PGBD5	-1.57216666666667
CCNY	-0.432714285714286
RMND5B	0.219833333333333
ZNF257	0.56975
FLJ22167	-0.68325
EXOSC7	-0.0831666666666667
ROR2	-0.567
MAOA	-2.239375
TNNT3	-0.165833333333333
GYPC	-1.72275
C7orf33	0.721
PLIN	0.584
LOC90826	0.2545
RNF4	0.8593
F8A1	0.853666666666667
PLEKHG4	-0.433
GRB2	0.55825
HIST1H2AD	2.985
DUS3L	-1.17433333333333
EIF1	-0.5655
RP5-1077B9.4	-0.342833333333333
FPGT	2.01
GDF10	-1.62733333333333
COQ9	0.84175
GCC2	1.43971428571429
RARRES3	2.94
PLXNA1	-0.893
KIAA0100	-0.724
PMF1	0.0695
FNDC1	3.597
HS2ST1	-0.240333333333333
CRELD2	0.174
C8G	-0.9145
CD82	-0.39375
LIM2	-0.9775
UNQ6490	0.1095
MMP16	-0.315
DRD3	-0.081
C5orf26	-1.726
C11orf73	-1.11775
PTP4A2	2.79325
OR4M2	0.6485
HPCA	-1.18366666666667
SEC14L1	-0.0171666666666667
CHFR	0.08475
EMILIN1	-0.03625
NDUFS4	0.164
COL18A1	-0.716625
PDZD3	0.1985
C9orf16	0.818166666666667
ERBB2IP	0.1575
EMX2	0.378
FUS	-0.17825
TF	-3.7104
CLCN4	-0.375833333333333
CXorf56	0.82475
C11orf72	0.00425
ELAC2	0.0808333333333333
NPR1	-1.21975
ASS1	-0.625833333333333
USP42	0.232375
POLR2J	0.4635
SEC23IP	0.436166666666667
UQCRC1	0.59875
LOC729603	-0.63775
C1orf71	-0.12975
POLG	-1.0075
ADAM23	-4.09725
TFR2	-0.35775
RICTOR	-1.0517
MGC39606	0.04275
C19orf55	-0.137625
SNAPC1	-0.1165
GNA11	0.677875
CCDC52	0.0628333333333333
FSIP1	5.878
UPF3A	-0.555125
IGSF11	-1.6155
LAGE3	0.6815
CHST6	-3.152
UNC13B	-0.69
TTLL4	-1.2855
ZNF687	-0.73525
SDC2	-0.9278
COX7A2	0.54825
LAMB4	-0.4145
FAM24A	-0.0395
LRRTM3	-0.917666666666667
GPHB5	0.06775
OR4C13	-0.143
EIF3EIP	-0.539571428571429
HABP4	-0.9055
TMEM125	3.5075
CNTN2	0.2465
ASNSD1	-0.2825
FUT4	-0.752
ACF	-3.4275
LOC158381	0.393
CDH8	-0.47
AGPS	-0.694333333333333
C4orf18	3.7405
PECI	-0.922
UNG	-1.0345
GSTP1	-2.8665
DCUN1D5	-1.76583333333333
DKFZP564J0863	-0.41575
SLC9A3R1	3.7615
BCDO2	-0.830875
CHMP7	-0.364625
REM2	2.05
DNHD1	-0.193625
FKBP4	1.72125
ZNF350	1.15825
MGC11102	0.15925
BST1	0.5755
KISS1R	-0.3465
NCR2	-0.014
DEFB125	-0.089
UBE2W	1.573875
KRT15	-1.65775
C10orf99	0.055
SCN11A	0.186875
GFI1	-1.1965
RDHE2	3.89233333333333
FHL1	-2.468
OSGEP	1.13683333333333
GATA1	-3.24983333333333
SMC6	-0.516
TTTY14	-0.90075
LPIN3	-0.09025
RPL4	-0.7535
RBPMS	0.3213
PRPF3	-0.115166666666667
EMR1	-1.7015
SPATA19	0.22075
XCR1	0.1715
IRX3	1.3646
RBM6	-0.88925
KLF4	-1.6874
UNC5CL	-1.811
SEBOX	-0.33
BTK	-0.8025
KRCC1	0.2755
C6orf27	0.203
SYTL5	-0.021
PRND	1.236125
LOC653319	-0.396
PIGL	-0.572625
HUS1	-0.1535
SFRS6	0.569916666666667
C17orf77	0.638
UIMC1	-0.3395
FXYD2	-1.4542
LOC283152	2.69175
ZNF667	1.003
ZCCHC12	-0.79225
TFEC	3.1646
ATP7B	-1.58566666666667
POLD2	-0.737833333333333
RG9MTD1	0.0605
ACOT2	1.37366666666667
HIST1H4I	1.9245
PPARGC1A	-2.2918
ETFA	-0.0558
POLRMT	-0.63125
ZNF146	0.725375
MIA2	-1.209
KLHL6	-0.256333333333333
HOXB5	-1.441375
NENF	0.239833333333333
CUGBP1	-0.18025
PRSS22	1.90233333333333
CASC4	1.3535
CUL4B	0.2063
CENPJ	-1.8975
PITX1	-2.20683333333333
FLJ31033	1.535
CELSR3	1.022
ZNF568	0.8195
ITSN1	1.71216666666667
EHBP1L1	-1.21866666666667
C19orf2	-0.264
DCTN1	0.2335
LIN28B	-3.83916666666667
TNKS2	0.967
C1QBP	-0.545
CADPS2	1.30775
SRMS	0.0265
GJA9	0.338166666666667
MGC24975	0.295666666666667
TRIM45	-1.40566666666667
TSP50	0.21825
TCP1	-0.63575
TMED7	0.2792
CMA1	1.2935
CENPL	-0.932
PTCRA	0.5025
FST	-4.50675
VWCE	-4.006
PAWR	-0.65425
ABCC12	0.198
LDLR	-0.5278
ASTN2	1.7894
LOC441212	-2.1735
GPATCH8	-0.32625
TANC2	0.811333333333333
KIF4A	-0.50225
C18orf18	1.133
PGM1	-1.629
KIAA0258	-0.4445
CPD	-0.24025
SNCAIP	-2.4475
DCT	-4.115
HLA-DOA	2.75677272727273
OR11L1	0.425
UPK1B	-0.115333333333333
DNAJB4	0.22425
UGT1A8	-0.37025
HIST1H4L	-0.998
PECR	0.127666666666667
HSPA2	1.09925
WFIKKN1	0.71
SERP1	0.115625
SYDE2	4.177
TACR2	0.469
NUP85	1.27025
CD177	-0.252666666666667
LGR5	-1.82466666666667
PIGG	1.1945
PTHR1	-2.5595
RAB5A	0.6286
FLJ13224	0.1265
USP9Y	-1.71866666666667
C7orf53	-0.169
LRP1B	-1.387
XAF1	2.8415
ABCG8	-0.8515
ANKDD1A	-1.19333333333333
DAND5	-0.93
SPAG6	0.0873333333333333
LINCR	0.153
ZDHHC22	-1.236625
CCDC60	0.1505
THOC7	-0.835833333333333
TCTA	1.4368
OR8K3	0.098
NY-REN-7	-0.344
B2M	1.71766666666667
C6orf141	0.683
LPPR4	1.54425
SQLE	0.357375
SEPHS1	-0.565
BTBD14B	0.522428571428571
PLRG1	-0.377
SPG7	-0.489375
ZNF614	0.230666666666667
PARD6G	0.411166666666667
INPP5B	-0.6902
GRPEL2	0.581375
PPID	-0.6164
TRIM56	-0.43225
UBE2J1	-0.638375
IL20RA	4.8455
LOC387856	0.00699999999999999
C1orf107	0.466333333333333
UTS2R	-0.151
C19orf22	-0.143
SAFB2	0.38675
KIAA0652	-0.51425
KLRG1	0.440333333333333
MS4A8B	1.56483333333333
FRAG1	0.20625
KIAA1546	1.12375
E2F4	-1.0951
CLEC4M	-0.0495
BTBD14A	-0.50825
KIAA0999	0.6755
GYPA	-3.61233333333333
TAC1	0.5003
TRAIP	-0.3355
KIAA0232	1.664
ERCC8	-0.8695
GPX4	0.698625
KIAA0368	-0.026125
GPR157	0.0283333333333333
CTAGE4	3.243
C9orf30	-1.44883333333333
OR52A1	0.1155
HSP90B3P	-0.8355
ALG9	-0.3812
BTBD10	0.756
SDK2	0.019
BAIAP3	-1.79125
RABGGTB	-0.529875
ANKRD40	1.1515
KRT74	0.7665
CALCOCO2	0.144642857142857
SNCA	-4.0905
TMSL8	-1.40475
C2orf53	0.1655
ESRRB	-0.22525
ARHGAP26	-0.726
TDRD9	-2.90875
HRAS	0.937833333333333
KLRC4	-1.082
JAGN1	0.0146666666666667
BSDC1	0.7895
RNF43	0.1407
NDUFAF1	0.411
PHF12	0.37825
OR1L3	0.01375
FOLR2	1.6225
LYZL6	0.1975
tcag7.1260	-2.31
WSB1	-1.73016666666667
PROS1	-2.1685
OSTN	0.3945
PSMB8	2.12825
SOCS4	0.05625
DDIT4L	-0.27525
MAS1	-0.52
MGC34796	1.249
CSHL1	0.2955
TBCCD1	0.0593333333333333
ZBTB7C	0.4265
AP2S1	0.598875
P15RS	1.1655
VAT1	0.0276
SHANK3	0.529333333333333
TUFM	0.260166666666667
THEG	-0.51775
KRT34	-1.09225
SGSM3	-0.51475
TOMM22	-0.2945
SOCS3	0.0278333333333333
CPO	0.062
POP4	0.6675
BHLHB3	-1.23675
MALL	0.10925
OR1B1	0.28
PARK2	0.1605
GPR124	-0.76275
LCE1E	0.271
RUVBL2	-0.43775
CGRRF1	0.5479
ACPL2	-0.0755
WNT10B	-0.634625
BAIAP2L2	-2.173125
ISCA1	0.6975
C1orf125	0.451
RPAP1	-0.611
RAI16	-0.799666666666667
RPL27	-1.502375
NLRP9	0.0065
EPN1	0.35
LOC388610	-0.989
SLC35A1	0.5741
GAL	-4.16525
SLC14A2	0.28775
RDH11	-0.09
FAM138F	0.071
AUH	-0.372
FLJ40243	0.355
C14orf129	1.04883333333333
MBD2	0.933666666666667
ABHD14B	0.549625
PIGT	1.388125
ALS2CR4	0.094625
ALAS1	0.4643
FOXO1	-0.571833333333333
CRLF3	-0.61475
C20orf107	0.68
FARS2	0.614
CCDC28A	-0.827
NPHP3	-1.4315
OR13F1	0.414
TSEN54	1.343
DEFB106B	-0.0362
OR8B4	0.819
STH	1.233
ZC3H14	-0.578375
CBX2	-0.1735
TMEM49	-0.07075
C6orf21	0.242
FLJ20920	0.285125
CRTAP	-1.3845
DDX50	-0.8645
STYXL1	-0.03575
BLVRB	1.69266666666667
LOC147650	-0.841333333333333
MMP24	0.3965
GRID1	0.555666666666667
BANF1	-0.343833333333333
CTAGEP	1.45325
HMBS	-1.58025
SLC25A24	-0.485833333333333
C14orf50	2.52925
MRO	-0.293666666666667
SLC25A15	-0.415
FAM84B	1.2755
TDP1	-0.646
C16orf78	0.0805
C11orf57	0.044125
RFK	-0.327875
ZFYVE9	-1.175
STCH	-2.1393
WIBG	0.02325
LOC283871	0.114166666666667
GBA2	-0.9481
NDUFB3	0.42725
HSD17B13	-0.3965
GRIN3A	1.99316666666667
FMNL1	-0.6
SEPT7	-0.3561
GNLY	4.537
GRAMD1C	2.88416666666667
ZNF165	0.5675
USP38	1.45025
FAM83A	0.622333333333333
C14orf24	1.71141666666667
ARMCX3	1.252125
ARHGDIB	-0.618833333333333
AK1	1.424375
KIAA1045	-0.83575
DNAJB13	-0.102666666666667
NEU2	0.347
HIST1H4B	0.5465
FAM20B	-0.8404
HES2	1.85057142857143
FAM73B	-0.4282
LOC388381	-0.06875
INTS7	0.306818181818182
AMPH	0.017
ZNF775	-0.246125
UCKL1	0.193
C10orf97	0.38175
C1orf161	0.00675
ALDH1L1	-1.146
FLJ39378	-0.916125
SLC23A1	-1.2445
RBM4B	0.39125
THAP4	1.05483333333333
OGFRL1	-1.098
KIAA0831	0.469875
PPP1R15A	-0.473
C1orf96	0.470214285714286
C12orf11	-2.48725
BMF	-0.0055
MAN1A1	-0.342625
KIAA1600	-0.4235
NLGN4X	-3.20275
ALOX12	-0.690333333333333
RB1CC1	0.6859
NEIL2	0.2501
EIF4E	-0.0190909090909091
ABHD5	0.3515
EXOC4	-0.140833333333333
CIP29	-0.675166666666667
BATF2	1.93575
SLC29A4	-0.001875
HTR4	0.536
EMB	-0.523
TRAF6	1.30175
LMNB1	-0.0415
FAM19A5	-0.52525
SHE	1.179
PIK3C2B	1.591
C15orf15	-1.0214
USP15	1.9157
TCEAL2	-0.5545
C5orf39	1.568
PTGER2	-2.2405
SLC31A1	0.232875
IFT172	-0.2315
ADAM29	0.23525
GFOD1	-0.25425
ST7L	0.952333333333333
C15orf26	-2.851
PKN3	-1.56525
CNTD1	1.178
COMMD1	0.385875
NTRK2	1.15216666666667
FOXN3	-1.226625
MFGE8	-1.3951
PFKFB2	1.68866666666667
TAS2R4	-0.0905
ENTHD1	0.3925
PRMT5	-0.27425
MGC16384	-1.07025
LOC442229	-0.376
TSKU	2.081625
KRTCAP3	2.400375
PDLIM1	-0.702
KCNS2	0.3445
RNF126	-0.569333333333333
CEP63	0.665125
CLIC4	-1.084125
hCG_1990170	-1.0175
ACR	0.3
KLK7	-0.065
ALOX5AP	2.014
RIPK3	2.22175
TAS2R9	-0.268
C19orf18	3.0185
BIRC6	0.0481428571428571
ZNF16	0.565
RFT1	0.5105
SLC8A2	-0.52725
TACC1	-0.765875
ITGAD	2.031
SAMHD1	1.93525
SH3PXD2B	1.4796
EPC2	0.757
C20orf85	0.33175
ATP13A2	0.6045
KRT4	0.272375
CAPNS1	0.867
MDM2	1.58541666666667
PCDH20	0.35225
KCNK9	0.4405
OR2C1	-0.06
KLHDC3	-0.514833333333333
IPPK	0.688
EFHD2	-0.175625
GALR3	-0.1375
NBEA	1.292
ABCA6	1.2864
CLDN3	2.46183333333333
AKT2	-0.204357142857143
EGFR	-2.2376
RBM16	0.31275
ZDHHC3	0.0921
SLC25A4	0.569666666666667
CYB5B	-0.645833333333333
CPXM1	-1.62475
NDRG1	-1.06607692307692
FLJ43826	0.106
OR5L2	0.472666666666667
FARP2	0.5043
MRPL46	-0.1835
LDHAL6B	0.231666666666667
MAPKAPK3	-0.287666666666667
NCAM2	-2.3305
PRKD2	0.206833333333333
ZFP36L1	0.4116
CYSLTR1	-0.8125
OR4C3	0.308
HIST1H2AJ	2.585
CCNB2	-0.279111111111111
ZNF10	0.3425
TMEM175	0.1345
FAM134A	1.2805
TIGD4	0.4955
PCNP	-0.585
MGC39715	-0.3195
LQK1	-0.2175
CREB1	0.8463
TMPRSS3	-2.64025
C4orf32	1.670125
LAT	-1.104
KCNA3	0.922
SKIV2L2	-0.46125
ROPN1B	-3.8335
tcag7.23	-0.784
CDT1	-2.04325
ZHX2	1.84275
CD28	-3.0725
ZNF624	1.33625
SEPT2	0.859916666666667
SOHLH2	-1.972625
MCOLN3	-1.3925
UNQ1945	0.191
MASP2	-0.794
ZNRF3	0.6293
GPATCH3	-0.4725
AGL	-0.110875
QRICH2	0.8685
PSD4	0.2715
CCNB1IP1	-1.12975
ENPP7	0.042
OBFC1	-0.198
KCNG3	-0.5325
C14orf79	0.678833333333333
ENPEP	1.10266666666667
SCT	0.4205
SKI	0.118625
SEC61G	-0.339
CAPN11	-0.32325
ATXN7L3	-0.6215
